Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Morehead State,Jacksonville State,0,0,0,13,0,Foul on Anthony Elechi.
Morehead State,Jacksonville State,0,1,0,13,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,0,2,0,13,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,0,2,0,23,0,Malik Maitland Turnover.
Morehead State,Jacksonville State,0,2,0,24,0,Greg Tucker Steal.
Morehead State,Jacksonville State,0,2,0,25,0,Foul on Malik Maitland.
Morehead State,Jacksonville State,0,3,0,25,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,0,4,0,25,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,2,4,0,42,1,Malik Maitland made Layup.
Morehead State,Jacksonville State,2,4,1,2,0,JaQuail Townser missed Jumper.
Morehead State,Jacksonville State,2,4,1,2,0,Brent Arrington Defensive Rebound.
Morehead State,Jacksonville State,2,4,1,15,0,Foul on Christian Cunningham.
Morehead State,Jacksonville State,3,4,1,15,1,Anthony Elechi made Free Throw.
Morehead State,Jacksonville State,3,4,1,15,0,Anthony Elechi missed Free Throw.
Morehead State,Jacksonville State,3,4,1,15,0,Christian Cunningham Defensive Rebound.
Morehead State,Jacksonville State,3,4,1,32,0,Jeremy Watson missed Three Point Jumper.
Morehead State,Jacksonville State,3,4,1,32,0,Anthony Elechi Defensive Rebound.
Morehead State,Jacksonville State,6,4,1,41,1,Xavier Moon made Three Point Jumper.
Morehead State,Jacksonville State,6,4,2,2,0,Foul on Lyonell Gaines.
Morehead State,Jacksonville State,6,4,2,2,0,Greg Tucker missed Free Throw.
Morehead State,Jacksonville State,6,4,2,2,0,Jacksonville St Deadball Team Rebound.
Morehead State,Jacksonville State,6,5,2,2,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,6,6,2,2,1,Greg Tucker made Free Throw.
Morehead State,Jacksonville State,8,6,2,22,1,Lyonell Gaines made Layup.
Morehead State,Jacksonville State,8,6,2,22,0,Foul on Christian Cunningham.
Morehead State,Jacksonville State,9,6,2,22,1,Lyonell Gaines made Free Throw.
Morehead State,Jacksonville State,9,8,2,45,1,JaQuail Townser made Jumper.
Morehead State,Jacksonville State,9,8,3,2,0,Malik Maitland missed Three Point Jumper.
Morehead State,Jacksonville State,9,8,3,2,0,Jacksonville St Defensive Rebound.
Morehead State,Jacksonville State,9,8,3,24,0,Foul on JaQuail Townser.
Morehead State,Jacksonville State,9,8,3,24,0,JaQuail Townser Turnover.
Morehead State,Jacksonville State,11,8,3,40,1,Malik Maitland made Layup.
Morehead State,Jacksonville State,11,8,3,40,0,Foul on Ed Jones.
Morehead State,Jacksonville State,12,8,3,40,1,Malik Maitland made Free Throw.
Morehead State,Jacksonville State,12,11,4,1,1,JaQuail Townser made Three Point Jumper. Assisted by Greg Tucker.
Morehead State,Jacksonville State,12,11,4,22,0,Anthony Elechi missed Layup.
Morehead State,Jacksonville State,12,11,4,22,0,Ed Jones Block.
Morehead State,Jacksonville State,12,11,4,24,0,Jeremy Watson Defensive Rebound.
Morehead State,Jacksonville State,12,11,4,26,0,Foul on Anthony Elechi.
Morehead State,Jacksonville State,12,11,4,26,0,Official TV Timeout
Morehead State,Jacksonville State,12,11,4,38,0,Jeremy Watson missed Layup.
Morehead State,Jacksonville State,12,11,4,38,0,DeJuan Marrero Defensive Rebound.
Morehead State,Jacksonville State,12,11,5,6,0,Foul on Malik Maitland.
Morehead State,Jacksonville State,12,11,5,6,0,Malik Maitland Turnover.
Morehead State,Jacksonville State,12,14,5,29,1,Greg Tucker made Three Point Jumper.
Morehead State,Jacksonville State,12,14,5,43,0,DeJuan Marrero missed Layup.
Morehead State,Jacksonville State,12,14,5,43,0,Greg Tucker Defensive Rebound.
Morehead State,Jacksonville State,12,14,6,2,0,Foul on Miguel Dicent.
Morehead State,Jacksonville State,12,14,6,22,0,Ed Jones missed Jumper.
Morehead State,Jacksonville State,12,14,6,22,0,Lyonell Gaines Defensive Rebound.
Morehead State,Jacksonville State,12,14,6,30,0,Brent Arrington missed Jumper.
Morehead State,Jacksonville State,12,14,6,30,0,Jeremy Watson Defensive Rebound.
Morehead State,Jacksonville State,12,14,6,38,0,Jared Hamilton missed Jumper.
Morehead State,Jacksonville State,12,14,6,38,0,Lyonell Gaines Defensive Rebound.
Morehead State,Jacksonville State,12,14,6,48,0,Lyonell Gaines missed Jumper.
Morehead State,Jacksonville State,12,14,6,48,0,Jared Hamilton Defensive Rebound.
Morehead State,Jacksonville State,12,14,6,55,0,JaQuail Townser missed Jumper.
Morehead State,Jacksonville State,12,14,6,55,0,Lyonell Gaines Defensive Rebound.
Morehead State,Jacksonville State,12,14,7,4,0,Miguel Dicent missed Jumper.
Morehead State,Jacksonville State,12,14,7,4,0,Jeremy Watson Defensive Rebound.
Morehead State,Jacksonville State,12,14,7,25,0,JaQuail Townser Turnover.
Morehead State,Jacksonville State,12,14,7,27,0,Brent Arrington Steal.
Morehead State,Jacksonville State,14,14,7,31,1,Lyonell Gaines made Dunk. Assisted by Brent Arrington.
Morehead State,Jacksonville State,14,14,7,55,0,Jared Hamilton missed Three Point Jumper.
Morehead State,Jacksonville State,14,14,7,55,0,Xavier Moon Defensive Rebound.
Morehead State,Jacksonville State,16,14,8,4,1,Lyonell Gaines made Layup. Assisted by Xavier Moon.
Morehead State,Jacksonville State,16,14,8,21,0,Foul on Miguel Dicent.
Morehead State,Jacksonville State,16,14,8,21,0,Official TV Timeout
Morehead State,Jacksonville State,16,14,8,21,0,Jared Hamilton missed Free Throw.
Morehead State,Jacksonville State,16,14,8,21,0,Treshaad Williams Defensive Rebound.
Morehead State,Jacksonville State,19,14,8,46,1,Xavier Moon made Three Point Jumper. Assisted by Treshaad Williams.
Morehead State,Jacksonville State,19,14,9,19,0,DelFincko Bogan missed Three Point Jumper.
Morehead State,Jacksonville State,19,14,9,19,0,Xavier Moon Defensive Rebound.
Morehead State,Jacksonville State,19,14,9,28,0,Foul on DelFincko Bogan.
Morehead State,Jacksonville State,20,14,9,28,1,Treshaad Williams made Free Throw.
Morehead State,Jacksonville State,21,14,9,28,1,Treshaad Williams made Free Throw.
Morehead State,Jacksonville State,21,14,9,54,0,DelFincko Bogan missed Layup.
Morehead State,Jacksonville State,21,14,9,54,0,Jeremy Watson Offensive Rebound.
Morehead State,Jacksonville State,21,16,9,58,1,Jeremy Watson made Layup.
Morehead State,Jacksonville State,21,16,10,2,0,DeJuan Marrero missed Jumper.
Morehead State,Jacksonville State,21,16,10,2,0,Jacksonville St Defensive Rebound.
Morehead State,Jacksonville State,21,16,10,4,0,Foul on Treshaad Williams.
Morehead State,Jacksonville State,21,16,10,4,0,Greg Tucker missed Free Throw.
Morehead State,Jacksonville State,21,16,10,4,0,DeJuan Marrero Defensive Rebound.
Morehead State,Jacksonville State,23,16,10,9,1,Treshaad Williams made Layup. Assisted by Xavier Moon.
Morehead State,Jacksonville State,23,16,10,9,0,Foul on Andre Statam.
Morehead State,Jacksonville State,24,16,10,9,1,Treshaad Williams made Free Throw.
Morehead State,Jacksonville State,24,16,10,32,0,Andre Statam missed Three Point Jumper.
Morehead State,Jacksonville State,24,16,10,32,0,Jacksonville St Defensive Rebound.
Morehead State,Jacksonville State,24,18,10,36,1,Jared Hamilton made Layup. Assisted by JaQuail Townser.
Morehead State,Jacksonville State,24,18,10,52,0,Brent Arrington missed Jumper.
Morehead State,Jacksonville State,24,18,10,52,0,Jacksonville St Defensive Rebound.
Morehead State,Jacksonville State,24,18,11,12,0,Erik Durham missed Three Point Jumper.
Morehead State,Jacksonville State,24,18,11,12,0,Xavier Moon Defensive Rebound.
