Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Murray State,Morehead State,2,0,0,28,1,Bryce Jones made Layup.
Murray State,Morehead State,2,0,0,28,0,Foul on Xavier Moon.
Murray State,Morehead State,3,0,0,28,1,Bryce Jones made Free Throw.
Murray State,Morehead State,3,0,0,39,0,Anthony Elechi Turnover.
Murray State,Morehead State,3,0,0,56,0,Foul on Anthony Elechi.
Murray State,Morehead State,3,0,1,3,0,Wayne Langston missed Layup.
Murray State,Morehead State,3,0,1,3,0,Xavier Moon Defensive Rebound.
Murray State,Morehead State,3,0,1,20,0,Foul on Damarcus Croaker.
Murray State,Morehead State,3,0,1,29,0,Brent Arrington missed Dunk.
Murray State,Morehead State,3,0,1,29,0,Damarcus Croaker Defensive Rebound.
Murray State,Morehead State,3,0,1,38,0,Jeffery Moss missed Three Point Jumper.
Murray State,Morehead State,3,0,1,38,0,Gee McGhee Offensive Rebound.
Murray State,Morehead State,3,0,1,47,0,Damarcus Croaker missed Three Point Jumper.
Murray State,Morehead State,3,0,1,47,0,Morehead St Defensive Rebound.
Murray State,Morehead State,3,0,2,8,0,Malik Maitland missed Jumper.
Murray State,Morehead State,3,0,2,8,0,Jeffery Moss Defensive Rebound.
Murray State,Morehead State,3,0,2,12,0,Jeffery Moss Turnover.
Murray State,Morehead State,3,0,2,13,0,Malik Maitland Steal.
Murray State,Morehead State,3,2,2,18,1,Brent Arrington made Dunk.
Murray State,Morehead State,3,2,2,42,0,Jeffery Moss missed Three Point Jumper.
Murray State,Morehead State,3,2,2,42,0,Malik Maitland Defensive Rebound.
Murray State,Morehead State,3,4,2,58,1,Malik Maitland made Jumper.
Murray State,Morehead State,3,4,3,24,0,Gee McGhee missed Three Point Jumper.
Murray State,Morehead State,3,4,3,24,0,Jeffery Moss Offensive Rebound.
Murray State,Morehead State,3,4,3,48,0,Foul on Miguel Dicent.
Murray State,Morehead State,3,4,4,6,0,Foul on Lyonell Gaines.
Murray State,Morehead State,3,4,4,6,0,Official TV Timeout
Murray State,Morehead State,3,4,4,11,0,Damarcus Croaker missed Jumper.
Murray State,Morehead State,3,4,4,11,0,Brent Arrington Defensive Rebound.
Murray State,Morehead State,3,4,4,11,0,Foul on Wayne Langston.
Murray State,Morehead State,3,4,4,28,0,Brent Arrington missed Three Point Jumper.
Murray State,Morehead State,3,4,4,28,0,Gee McGhee Defensive Rebound.
Murray State,Morehead State,3,4,4,56,0,Gee McGhee missed Jumper.
Murray State,Morehead State,3,4,4,56,0,DeJuan Marrero Defensive Rebound.
Murray State,Morehead State,3,4,5,4,0,Malik Maitland missed Layup.
Murray State,Morehead State,3,4,5,4,0,Lyonell Gaines Offensive Rebound.
Murray State,Morehead State,3,4,5,5,0,Foul on Gee McGhee.
Murray State,Morehead State,3,5,5,5,1,Lyonell Gaines made Free Throw.
Murray State,Morehead State,3,6,5,5,1,Lyonell Gaines made Free Throw.
