Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Furman,Mt. St. Mary's,0,0,0,23,0,Kris Acox Turnover.
Furman,Mt. St. Mary's,0,0,0,51,0,Will Miller missed Jumper.
Furman,Mt. St. Mary's,0,0,0,51,0,Daniel Fowler Defensive Rebound.
Furman,Mt. St. Mary's,3,0,1,16,1,Stephen Croone made Three Point Jumper.
Furman,Mt. St. Mary's,3,3,1,30,1,Junior Robinson made Three Point Jumper.
Furman,Mt. St. Mary's,6,3,2,4,1,Matt Rafferty made Three Point Jumper. Assisted by Devin Sibley.
Furman,Mt. St. Mary's,6,3,2,23,0,Junior Robinson missed Three Point Jumper.
Furman,Mt. St. Mary's,6,3,2,23,0,Matt Rafferty Defensive Rebound.
Furman,Mt. St. Mary's,6,3,2,40,0,Kris Acox missed Jumper.
Furman,Mt. St. Mary's,6,3,2,40,0,Khalid Nwandu Defensive Rebound.
Furman,Mt. St. Mary's,6,5,2,54,1,Khalid Nwandu made Jumper.
Furman,Mt. St. Mary's,6,5,3,15,0,Devin Sibley missed Jumper.
Furman,Mt. St. Mary's,6,5,3,15,0,Matt Rafferty Offensive Rebound.
Furman,Mt. St. Mary's,8,5,3,24,1,Devin Sibley made Layup.
Furman,Mt. St. Mary's,8,5,3,43,0,Chris Wray missed Layup.
Furman,Mt. St. Mary's,8,5,3,43,0,Chris Wray Offensive Rebound.
Furman,Mt. St. Mary's,8,5,3,45,0,Chris Wray missed Layup.
Furman,Mt. St. Mary's,8,5,3,45,0,Devin Sibley Defensive Rebound.
Furman,Mt. St. Mary's,8,5,3,50,0,Devin Sibley Turnover.
Furman,Mt. St. Mary's,8,5,3,51,0,Khalid Nwandu Steal.
Furman,Mt. St. Mary's,8,5,4,9,0,BK Ashe Turnover.
Furman,Mt. St. Mary's,8,5,4,9,0,Official TV Timeout
Furman,Mt. St. Mary's,10,5,4,26,1,John Davis III made Jumper.
Furman,Mt. St. Mary's,10,5,4,44,0,Taylor Danaher Turnover.
Furman,Mt. St. Mary's,10,5,4,44,0,Foul on Taylor Danaher.
Furman,Mt. St. Mary's,12,5,5,6,1,Kendrec Ferrara made Jumper.
Furman,Mt. St. Mary's,12,5,5,24,0,Foul on Kendrec Ferrara.
Furman,Mt. St. Mary's,12,5,5,24,0,Khalid Nwandu missed Free Throw.
Furman,Mt. St. Mary's,12,5,5,24,0,Mt. St. Mary's Deadball Team Rebound.
Furman,Mt. St. Mary's,12,6,5,24,1,Khalid Nwandu made Free Throw.
Furman,Mt. St. Mary's,15,6,5,52,1,Kendrec Ferrara made Three Point Jumper.
Furman,Mt. St. Mary's,15,6,6,25,0,Foul on Stephen Croone.
Furman,Mt. St. Mary's,15,6,6,25,0,Gregory Graves missed Free Throw.
Furman,Mt. St. Mary's,15,6,6,25,0,Mt. St. Mary's Deadball Team Rebound.
Furman,Mt. St. Mary's,15,6,6,25,0,Gregory Graves missed Free Throw.
Furman,Mt. St. Mary's,15,6,6,25,0,Kendrec Ferrara Defensive Rebound.
Furman,Mt. St. Mary's,15,6,6,50,0,John Davis III Turnover.
Furman,Mt. St. Mary's,15,6,7,12,0,Junior Robinson missed Three Point Jumper.
Furman,Mt. St. Mary's,15,6,7,12,0,Gregory Graves Offensive Rebound.
Furman,Mt. St. Mary's,15,8,7,17,1,Gregory Graves made Layup.
Furman,Mt. St. Mary's,15,8,7,41,0,Stephen Croone missed Three Point Jumper.
Furman,Mt. St. Mary's,15,8,7,41,0,BK Ashe Defensive Rebound.
Furman,Mt. St. Mary's,15,8,7,49,0,BK Ashe Turnover.
Furman,Mt. St. Mary's,15,8,7,50,0,John Davis III Steal.
Furman,Mt. St. Mary's,15,8,8,2,0,Geoff Beans missed Three Point Jumper.
Furman,Mt. St. Mary's,15,8,8,2,0,Chris Wray Block.
Furman,Mt. St. Mary's,15,8,8,4,0,Will Miller Defensive Rebound.
Furman,Mt. St. Mary's,15,8,8,12,0,Will Miller missed Three Point Jumper.
Furman,Mt. St. Mary's,15,8,8,12,0,John Davis III Defensive Rebound.
Furman,Mt. St. Mary's,17,8,8,38,1,Geoff Beans made Jumper. Assisted by Andrew Brown.
Furman,Mt. St. Mary's,17,8,8,59,0,Foul on John Davis III.
Furman,Mt. St. Mary's,17,8,8,59,0,Official TV Timeout
Furman,Mt. St. Mary's,17,10,9,11,1,Taylor Danaher made Layup. Assisted by Junior Robinson.
Furman,Mt. St. Mary's,17,10,9,25,0,Jonathan Jean Turnover.
Furman,Mt. St. Mary's,17,10,9,36,0,Will Miller missed Three Point Jumper.
Furman,Mt. St. Mary's,17,10,9,36,0,Matt Rafferty Defensive Rebound.
Furman,Mt. St. Mary's,17,10,9,47,0,Daniel Fowler missed Three Point Jumper.
Furman,Mt. St. Mary's,17,10,9,47,0,Matt Rafferty Offensive Rebound.
Furman,Mt. St. Mary's,17,10,10,8,0,Jonathan Jean missed Three Point Jumper.
Furman,Mt. St. Mary's,17,10,10,8,0,Daniel Fowler Offensive Rebound.
Furman,Mt. St. Mary's,17,10,10,12,0,Daniel Fowler missed Layup.
Furman,Mt. St. Mary's,17,10,10,12,0,Daniel Fowler Offensive Rebound.
Furman,Mt. St. Mary's,19,10,10,14,1,Daniel Fowler made Layup.
Furman,Mt. St. Mary's,19,12,10,29,1,Junior Robinson made Jumper.
Furman,Mt. St. Mary's,21,12,10,48,1,Stephen Croone made Layup.
Furman,Mt. St. Mary's,21,15,10,58,1,Charles Glover made Three Point Jumper. Assisted by Junior Robinson.
