Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Niagara,Siena,2,0,0,19,1,Matt Scott made Jumper.
Niagara,Siena,2,3,0,28,1,Brett Bisping made Three Point Jumper. Assisted by Lavon Long.
Niagara,Siena,5,3,0,36,1,Emile Blackman made Three Point Jumper. Assisted by Cameron Fowler.
Niagara,Siena,5,3,0,48,0,Lavon Long missed Layup.
Niagara,Siena,5,3,0,48,0,Matt Scott Defensive Rebound.
Niagara,Siena,5,3,1,9,0,Dominic Robb missed Jumper.
Niagara,Siena,5,3,1,9,0,Brett Bisping Defensive Rebound.
Niagara,Siena,5,5,1,21,1,Javion Ogunyemi made Layup. Assisted by Nico Clareth.
Niagara,Siena,5,5,1,21,0,Foul on Matt Scott.
Niagara,Siena,5,6,1,21,1,Javion Ogunyemi made Free Throw.
Niagara,Siena,8,6,1,31,1,Matt Scott made Three Point Jumper. Assisted by Marvin Prochet.
Niagara,Siena,8,6,1,54,0,Foul on Brett Bisping.
Niagara,Siena,8,6,1,54,0,Brett Bisping Turnover.
Niagara,Siena,10,6,2,2,1,Emile Blackman made Layup.
Niagara,Siena,10,6,2,21,0,Foul on Dominic Robb.
Niagara,Siena,10,7,2,21,1,Brett Bisping made Free Throw.
Niagara,Siena,10,8,2,21,1,Brett Bisping made Free Throw.
Niagara,Siena,10,8,2,43,0,Foul on Javion Ogunyemi.
Niagara,Siena,10,8,2,43,0,Dominic Robb missed Free Throw.
Niagara,Siena,10,8,2,43,0,Niagara Deadball Team Rebound.
Niagara,Siena,11,8,2,43,1,Dominic Robb made Free Throw.
Niagara,Siena,11,11,3,5,1,Kenny Wormley made Three Point Jumper. Assisted by Nico Clareth.
Niagara,Siena,11,11,3,22,0,Marvin Prochet missed Three Point Jumper.
Niagara,Siena,11,11,3,22,0,Lavon Long Defensive Rebound.
Niagara,Siena,11,11,3,45,0,Brett Bisping Turnover.
Niagara,Siena,11,11,4,2,0,Foul on Brett Bisping.
Niagara,Siena,11,11,4,2,0,Official TV Timeout
Niagara,Siena,12,11,4,2,1,Marvin Prochet made Free Throw.
Niagara,Siena,13,11,4,2,1,Marvin Prochet made Free Throw.
Niagara,Siena,13,11,4,29,0,Ryan Oliver missed Three Point Jumper.
Niagara,Siena,13,11,4,29,0,Niagara Defensive Rebound.
Niagara,Siena,15,11,4,48,1,Emile Blackman made Jumper.
Niagara,Siena,15,11,5,7,0,Kenny Wormley missed Jumper.
Niagara,Siena,15,11,5,7,0,Siena Deadball Team Rebound.
Niagara,Siena,15,11,5,9,0,Foul on Matt Scott.
Niagara,Siena,15,11,5,22,0,Ryan Oliver missed Three Point Jumper.
Niagara,Siena,15,11,5,22,0,Emile Blackman Defensive Rebound.
Niagara,Siena,15,11,5,25,0,Foul on Lavon Long.
Niagara,Siena,15,11,5,50,0,Cameron Fowler missed Jumper.
Niagara,Siena,15,11,5,50,0,Emile Blackman Offensive Rebound.
Niagara,Siena,17,11,5,53,1,Emile Blackman made Two Point Tip Shot.
Niagara,Siena,17,11,6,3,0,Kinnon LaRose Turnover.
Niagara,Siena,17,11,6,17,0,Foul on Evan Fisher.
Niagara,Siena,17,11,6,17,0,Cameron Fowler missed Free Throw.
Niagara,Siena,17,11,6,17,0,Niagara Deadball Team Rebound.
Niagara,Siena,17,11,6,17,0,Cameron Fowler missed Free Throw.
Niagara,Siena,17,11,6,17,0,Ryan Oliver Defensive Rebound.
Niagara,Siena,17,11,6,26,0,Lavon Long missed Layup.
Niagara,Siena,17,11,6,26,0,Dominic Robb Defensive Rebound.
Niagara,Siena,19,11,6,43,1,Dominic Robb made Layup.
Niagara,Siena,19,11,6,50,0,Siena  Timeout
Niagara,Siena,19,11,7,0,0,Kenny Wormley Turnover.
Niagara,Siena,21,11,7,21,1,Marvin Prochet made Jumper. Assisted by Emile Blackman.
Niagara,Siena,21,13,7,36,1,Brett Bisping made Layup. Assisted by Ryan Oliver.
Niagara,Siena,21,13,7,51,0,Emile Blackman missed Three Point Jumper.
Niagara,Siena,21,13,7,51,0,Siena Defensive Rebound.
Niagara,Siena,21,13,8,6,0,Nico Clareth Turnover.
Niagara,Siena,21,13,8,6,0,Official TV Timeout
Niagara,Siena,21,13,8,9,0,Justin Satchell Turnover.
Niagara,Siena,21,13,8,18,0,Foul on Emile Blackman.
Niagara,Siena,21,13,8,19,0,Ryan Oliver missed Three Point Jumper.
Niagara,Siena,21,13,8,19,0,Javion Ogunyemi Offensive Rebound.
Niagara,Siena,21,16,8,38,1,Brett Bisping made Three Point Jumper. Assisted by Nico Clareth.
Niagara,Siena,21,16,8,55,0,Chris Barton missed Jumper.
Niagara,Siena,21,16,8,55,0,Brett Bisping Defensive Rebound.
Niagara,Siena,21,18,9,21,1,Brett Bisping made Layup. Assisted by Nico Clareth.
Niagara,Siena,21,18,9,51,0,Justin Satchell missed Three Point Jumper.
Niagara,Siena,21,18,9,51,0,Brett Bisping Defensive Rebound.
