Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Incarnate Word,Nicholls,0,2,0,19,1,T.J. Carpenter made Layup.
Incarnate Word,Nicholls,0,2,0,52,0,Kyle Hittle Turnover.
Incarnate Word,Nicholls,0,2,1,11,0,Foul on Kyle Hittle.
Incarnate Word,Nicholls,0,2,1,18,0,T.J. Carpenter missed Three Point Jumper.
Incarnate Word,Nicholls,0,2,1,18,0,Incarnate Word Defensive Rebound.
Incarnate Word,Nicholls,3,2,1,39,1,Shawn Johnson made Three Point Jumper. Assisted by Simi Socks.
Incarnate Word,Nicholls,3,2,2,6,0,Johnathan Bell missed Three Point Jumper.
Incarnate Word,Nicholls,3,2,2,6,0,Shawn Johnson Block.
Incarnate Word,Nicholls,3,2,2,8,0,Shawn Johnson Defensive Rebound.
Incarnate Word,Nicholls,3,2,2,16,0,Foul on Shawn Johnson.
Incarnate Word,Nicholls,3,3,2,16,1,Johnathan Bell made Free Throw.
Incarnate Word,Nicholls,3,4,2,16,1,Johnathan Bell made Free Throw.
Incarnate Word,Nicholls,3,4,2,16,0,Shawn Johnson Turnover.
Incarnate Word,Nicholls,3,4,2,38,0,Foul on Simi Socks.
Incarnate Word,Nicholls,3,4,2,45,0,Liam Thomas missed Jumper.
Incarnate Word,Nicholls,3,4,2,45,0,Simi Socks Defensive Rebound.
Incarnate Word,Nicholls,3,4,2,57,0,Sam Burmeister missed Layup.
Incarnate Word,Nicholls,3,4,2,57,0,Liam Thomas Block.
Incarnate Word,Nicholls,3,4,2,59,0,Johnathan Bell Defensive Rebound.
Incarnate Word,Nicholls,3,4,3,10,0,Schane Rillieux Turnover.
Incarnate Word,Nicholls,3,4,3,11,0,Kyle Hittle Steal.
Incarnate Word,Nicholls,3,4,3,20,0,Kyle Hittle missed Three Point Jumper.
Incarnate Word,Nicholls,3,4,3,20,0,Schane Rillieux Defensive Rebound.
Incarnate Word,Nicholls,3,4,3,33,0,Foul on Sam Burmeister.
Incarnate Word,Nicholls,3,5,3,33,1,Liam Thomas made Free Throw.
Incarnate Word,Nicholls,3,6,3,33,1,Liam Thomas made Free Throw.
Incarnate Word,Nicholls,3,6,3,48,0,Derail Green missed Jumper.
Incarnate Word,Nicholls,3,6,3,48,0,Johnathan Bell Defensive Rebound.
Incarnate Word,Nicholls,3,6,3,57,0,Liam Thomas missed Layup.
Incarnate Word,Nicholls,3,6,3,57,0,Incarnate Word Defensive Rebound.
Incarnate Word,Nicholls,3,6,3,58,0,Foul on Adam Ward.
Incarnate Word,Nicholls,3,6,4,12,0,Derail Green missed Jumper.
Incarnate Word,Nicholls,3,6,4,12,0,Liam Thomas Block.
Incarnate Word,Nicholls,3,6,4,14,0,Derail Green Offensive Rebound.
Incarnate Word,Nicholls,5,6,4,17,1,Mitchell Badillo made Layup. Assisted by Derail Green.
Incarnate Word,Nicholls,5,8,4,36,1,Adam Ward made Layup.
Incarnate Word,Nicholls,5,8,4,53,0,Simi Socks missed Jumper.
Incarnate Word,Nicholls,5,8,4,53,0,T.J. Carpenter Defensive Rebound.
Incarnate Word,Nicholls,5,8,5,10,0,Johnathan Bell missed Jumper.
Incarnate Word,Nicholls,5,8,5,10,0,Simi Socks Defensive Rebound.
Incarnate Word,Nicholls,5,8,5,19,0,Foul on Johnathan Bell.
Incarnate Word,Nicholls,5,8,5,19,0,Official TV Timeout
Incarnate Word,Nicholls,8,8,5,28,1,Jontrell Walker made Three Point Jumper. Assisted by Derail Green.
Incarnate Word,Nicholls,8,10,5,54,1,Liam Thomas made Layup. Assisted by T.J. Carpenter.
Incarnate Word,Nicholls,8,10,5,59,0,Mitchell Badillo Turnover.
Incarnate Word,Nicholls,8,10,6,14,0,Adam Ward missed Jumper.
Incarnate Word,Nicholls,8,10,6,14,0,Liam Thomas Offensive Rebound.
Incarnate Word,Nicholls,8,10,6,18,0,Liam Thomas missed Layup.
Incarnate Word,Nicholls,8,10,6,18,0,Kyle Hittle Defensive Rebound.
Incarnate Word,Nicholls,8,10,6,48,0,Tyler Singleton missed Jumper.
Incarnate Word,Nicholls,8,10,6,48,0,T.J. Carpenter Defensive Rebound.
Incarnate Word,Nicholls,8,10,7,9,0,Foul on Liam Thomas.
Incarnate Word,Nicholls,8,10,7,9,0,Liam Thomas Turnover.
Incarnate Word,Nicholls,8,10,7,19,0,Foul on Kyle Hittle.
Incarnate Word,Nicholls,8,10,7,19,0,Foul on Johnathan Bell.
Incarnate Word,Nicholls,8,10,7,25,0,Kyle Hittle missed Layup.
Incarnate Word,Nicholls,8,10,7,25,0,Adam Ward Block.
Incarnate Word,Nicholls,8,10,7,27,0,Kyle Hittle Offensive Rebound.
Incarnate Word,Nicholls,8,10,7,27,0,Foul on K.C. Caudill.
Incarnate Word,Nicholls,9,10,7,27,1,Simi Socks made Free Throw.
Incarnate Word,Nicholls,10,10,7,27,1,Simi Socks made Free Throw.
Incarnate Word,Nicholls,10,10,7,46,0,Schane Rillieux missed Layup.
Incarnate Word,Nicholls,10,10,7,46,0,Derail Green Block.
Incarnate Word,Nicholls,10,10,7,48,0,Incarnate Word Defensive Rebound.
Incarnate Word,Nicholls,12,10,8,5,1,Simi Socks made Layup.
Incarnate Word,Nicholls,12,10,8,27,0,K.C. Caudill missed Layup.
Incarnate Word,Nicholls,12,10,8,27,0,Adam Ward Offensive Rebound.
Incarnate Word,Nicholls,12,12,8,30,1,Adam Ward made Layup.
Incarnate Word,Nicholls,12,12,8,41,0,Shawn Johnson missed Layup.
Incarnate Word,Nicholls,12,12,8,41,0,K.C. Caudill Defensive Rebound.
Incarnate Word,Nicholls,12,14,9,1,1,K.C. Caudill made Layup. Assisted by Tre O'Neal.
Incarnate Word,Nicholls,12,14,9,27,0,Shawn Johnson Turnover.
Incarnate Word,Nicholls,12,14,9,29,0,Ja'Dante' Frye Steal.
Incarnate Word,Nicholls,12,14,9,32,0,Ja'Dante' Frye missed Layup.
Incarnate Word,Nicholls,12,14,9,32,0,Shawn Johnson Defensive Rebound.
Incarnate Word,Nicholls,12,14,9,39,0,Jontrell Walker missed Jumper.
Incarnate Word,Nicholls,12,14,9,39,0,Tyler Singleton Offensive Rebound.
Incarnate Word,Nicholls,15,14,9,45,1,Shawn Johnson made Three Point Jumper. Assisted by Jontrell Walker.
Incarnate Word,Nicholls,15,14,10,4,0,Adam Ward missed Jumper.
Incarnate Word,Nicholls,15,14,10,4,0,Sam Burmeister Defensive Rebound.
Incarnate Word,Nicholls,18,14,10,19,1,Shawn Johnson made Three Point Jumper. Assisted by Sam Burmeister.
Incarnate Word,Nicholls,18,17,10,35,1,Quinton Thomas made Three Point Jumper. Assisted by K.C. Caudill.
Incarnate Word,Nicholls,18,17,10,55,0,Foul on Quinton Thomas.
Incarnate Word,Nicholls,18,17,10,55,0,Official TV Timeout
Incarnate Word,Nicholls,18,17,11,4,0,Jontrell Walker missed Three Point Jumper.
Incarnate Word,Nicholls,18,17,11,4,0,Quinton Thomas Defensive Rebound.
Incarnate Word,Nicholls,18,19,11,15,1,Ja'Dante' Frye made Layup.
Incarnate Word,Nicholls,18,19,11,43,0,Derail Green Turnover.
Incarnate Word,Nicholls,18,19,11,53,0,Ja'Dante' Frye missed Jumper.
Incarnate Word,Nicholls,18,19,11,53,0,Liam Thomas Offensive Rebound.
Incarnate Word,Nicholls,18,19,11,55,0,Foul on Shawn Johnson.
Incarnate Word,Nicholls,18,19,12,8,0,Ja'Dante' Frye missed Dunk.
Incarnate Word,Nicholls,18,19,12,8,0,Nicholls St Offensive Rebound.
Incarnate Word,Nicholls,18,19,12,12,0,Official TV Timeout
Incarnate Word,Nicholls,18,22,12,27,1,Luka Kamber made Three Point Jumper. Assisted by Quinton Thomas.
Incarnate Word,Nicholls,20,22,12,56,1,Sam Burmeister made Layup.
Incarnate Word,Nicholls,20,24,13,21,1,T.J. Carpenter made Layup. Assisted by Liam Thomas.
Incarnate Word,Nicholls,20,24,13,32,0,Derail Green missed Three Point Jumper.
Incarnate Word,Nicholls,20,24,13,32,0,Incarnate Word Offensive Rebound.
Incarnate Word,Nicholls,20,24,13,45,0,Foul on Luka Kamber.
Incarnate Word,Nicholls,21,24,13,45,1,Tyler Singleton made Free Throw.
Incarnate Word,Nicholls,22,24,13,45,1,Tyler Singleton made Free Throw.
Incarnate Word,Nicholls,22,24,14,6,0,Luka Kamber missed Three Point Jumper.
Incarnate Word,Nicholls,22,24,14,6,0,Derail Green Defensive Rebound.
Incarnate Word,Nicholls,22,24,14,24,0,Derail Green Turnover.
Incarnate Word,Nicholls,22,24,14,25,0,Liam Thomas Steal.
Incarnate Word,Nicholls,22,27,14,33,1,Luka Kamber made Three Point Jumper. Assisted by Quinton Thomas.
Incarnate Word,Nicholls,22,27,14,49,0,Foul on Luka Kamber.
Incarnate Word,Nicholls,23,27,14,49,1,Tyler Singleton made Free Throw.
Incarnate Word,Nicholls,24,27,14,49,1,Tyler Singleton made Free Throw.
Incarnate Word,Nicholls,24,27,15,1,0,Foul on K.C. Caudill.
Incarnate Word,Nicholls,24,27,15,1,0,K.C. Caudill Turnover.
Incarnate Word,Nicholls,24,27,15,10,0,Foul on Tre O'Neal.
Incarnate Word,Nicholls,25,27,15,10,1,Mitchell Badillo made Free Throw.
Incarnate Word,Nicholls,26,27,15,10,1,Mitchell Badillo made Free Throw.
Incarnate Word,Nicholls,26,29,15,26,1,K.C. Caudill made Layup.
Incarnate Word,Nicholls,26,29,15,37,0,Mitchell Badillo Turnover.
Incarnate Word,Nicholls,26,29,15,38,0,T.J. Carpenter Steal.
Incarnate Word,Nicholls,26,31,15,41,1,Quinton Thomas made Dunk. Assisted by T.J. Carpenter.
Incarnate Word,Nicholls,26,31,15,56,0,Foul on T.J. Carpenter.
Incarnate Word,Nicholls,26,31,15,56,0,Sam Burmeister missed Free Throw.
Incarnate Word,Nicholls,26,31,15,56,0,Incarnate Word Deadball Team Rebound.
Incarnate Word,Nicholls,27,31,15,56,1,Sam Burmeister made Free Throw.
Incarnate Word,Nicholls,27,31,16,12,0,Official TV Timeout
Incarnate Word,Nicholls,27,31,16,24,0,Foul on Simi Socks.
Incarnate Word,Nicholls,27,31,16,24,0,Liam Thomas missed Free Throw.
Incarnate Word,Nicholls,27,31,16,24,0,Simi Socks Defensive Rebound.
Incarnate Word,Nicholls,27,31,16,34,0,Tyler Singleton missed Layup.
Incarnate Word,Nicholls,27,31,16,34,0,Adam Ward Block.
Incarnate Word,Nicholls,27,31,16,36,0,Simi Socks Offensive Rebound.
Incarnate Word,Nicholls,27,31,16,40,0,Kyle Hittle missed Three Point Jumper.
Incarnate Word,Nicholls,27,31,16,40,0,Quinton Thomas Defensive Rebound.
Incarnate Word,Nicholls,27,31,17,5,0,Adam Ward missed Layup.
Incarnate Word,Nicholls,27,31,17,5,0,Simi Socks Block.
Incarnate Word,Nicholls,27,31,17,7,0,Liam Thomas Offensive Rebound.
Incarnate Word,Nicholls,27,31,17,9,0,Liam Thomas missed Layup.
Incarnate Word,Nicholls,27,31,17,9,0,Liam Thomas Offensive Rebound.
Incarnate Word,Nicholls,27,33,17,12,1,Liam Thomas made Layup.
Incarnate Word,Nicholls,27,33,17,30,0,Mitchell Badillo missed Three Point Jumper.
Incarnate Word,Nicholls,27,33,17,30,0,Tyler Singleton Offensive Rebound.
Incarnate Word,Nicholls,27,33,17,34,0,Tyler Singleton missed Jumper.
Incarnate Word,Nicholls,27,33,17,34,0,T.J. Carpenter Defensive Rebound.
Incarnate Word,Nicholls,27,36,17,54,1,T.J. Carpenter made Three Point Jumper. Assisted by Liam Thomas.
Incarnate Word,Nicholls,29,36,18,13,1,Simi Socks made Jumper. Assisted by Kyle Hittle.
Incarnate Word,Nicholls,29,38,18,29,1,Adam Ward made Layup. Assisted by Liam Thomas.
Incarnate Word,Nicholls,29,38,18,49,0,Kyle Hittle missed Three Point Jumper.
Incarnate Word,Nicholls,29,38,18,49,0,Liam Thomas Defensive Rebound.
Incarnate Word,Nicholls,29,38,19,13,0,Foul on Quinton Thomas.
Incarnate Word,Nicholls,29,38,19,13,0,Quinton Thomas Turnover.
Incarnate Word,Nicholls,29,38,19,34,0,Derail Green Turnover.
Incarnate Word,Nicholls,29,38,19,36,0,Ja'Dante' Frye Steal.
Incarnate Word,Nicholls,29,38,19,37,0,Nicholls St  Timeout
