Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
York,Northern Colorado,0,2,0,19,1,Anthony Johnson made Layup.
York,Northern Colorado,0,2,0,30,0,Marcus Price Turnover.
York,Northern Colorado,0,2,0,48,0,Jeremy Verhagen missed Layup.
York,Northern Colorado,0,2,0,48,0,Chris Smith Defensive Rebound.
York,Northern Colorado,0,2,1,2,0,Chris Smith missed Three Point Jumper.
York,Northern Colorado,0,2,1,2,0,Jeremy Verhagen Defensive Rebound.
York,Northern Colorado,0,4,1,13,1,Anthony Johnson made Layup.
York,Northern Colorado,0,4,1,33,0,Trevor Lenear Turnover.
York,Northern Colorado,0,4,1,33,0,York College Nebraska  Timeout
York,Northern Colorado,0,6,1,45,1,Jordan Wilson made Jumper.
York,Northern Colorado,0,6,1,57,0,Foul on Jeremy Verhagen.
York,Northern Colorado,0,6,1,59,0,Trevor Lenear missed Jumper.
York,Northern Colorado,0,6,1,59,0,Trevor Lenear Offensive Rebound.
York,Northern Colorado,0,6,2,3,0,Chris Smith missed Jumper.
York,Northern Colorado,0,6,2,3,0,Marcus Price Offensive Rebound.
York,Northern Colorado,0,6,2,7,0,Marcus Price Turnover.
York,Northern Colorado,0,6,2,21,0,Jordan Davis Turnover.
York,Northern Colorado,0,6,2,21,0,Foul on Jordan Davis.
York,Northern Colorado,0,6,2,27,0,Chris Smith Turnover.
York,Northern Colorado,0,6,2,39,0,Anthony Johnson missed Three Point Jumper.
York,Northern Colorado,0,6,2,39,0,Marcus Price Defensive Rebound.
York,Northern Colorado,2,6,2,59,1,Marcus Price made Jumper. Assisted by Johnny Cooksey.
York,Northern Colorado,2,6,3,37,0,Jordan Davis missed Jumper.
York,Northern Colorado,2,6,3,37,0,Johnny Cooksey Defensive Rebound.
York,Northern Colorado,2,6,3,41,0,Foul on Jordan Davis.
York,Northern Colorado,4,6,3,58,1,Cameron Coleman made Jumper.
York,Northern Colorado,4,8,4,25,1,Anthony Johnson made Layup.
York,Northern Colorado,4,8,4,55,0,Chris Smith missed Jumper.
York,Northern Colorado,4,8,4,55,0,Tyler Loose Defensive Rebound.
York,Northern Colorado,4,8,5,15,0,Tanner Morgan Turnover.
York,Northern Colorado,4,8,5,15,0,Official TV Timeout
York,Northern Colorado,4,8,5,45,0,York College Nebraska  Turnover.
York,Northern Colorado,4,10,6,1,1,Tanner Morgan made Jumper. Assisted by Anthony Johnson.
York,Northern Colorado,4,10,6,19,0,Chris Smith Turnover.
York,Northern Colorado,4,10,6,19,0,Anthony Johnson Steal.
York,Northern Colorado,4,10,6,23,0,Jamal Evans missed Three Point Jumper.
York,Northern Colorado,4,10,6,23,0,Chris Smith Defensive Rebound.
York,Northern Colorado,6,10,6,32,1,Cameron Coleman made Layup. Assisted by Trevor Lenear.
York,Northern Colorado,6,13,6,47,1,Jordan Wilson made Three Point Jumper. Assisted by Tanner Morgan.
York,Northern Colorado,6,13,7,0,0,Johnny Cooksey missed Jumper.
York,Northern Colorado,6,13,7,0,0,Jordan Wilson Defensive Rebound.
York,Northern Colorado,6,13,7,12,0,Tanner Morgan missed Jumper.
York,Northern Colorado,6,15,7,34,1,Tanner Morgan made Jumper. Assisted by Tyler Loose.
York,Northern Colorado,6,15,7,41,0,Marcus Price missed Layup.
York,Northern Colorado,6,15,7,41,0,Jamal Evans Defensive Rebound.
York,Northern Colorado,6,17,7,59,1,Anthony Johnson made Jumper.
York,Northern Colorado,6,17,8,7,0,Official TV Timeout
York,Northern Colorado,8,17,8,19,1,Cameron Coleman made Jumper.
York,Northern Colorado,8,19,8,44,1,Jordan Davis made Layup.
York,Northern Colorado,8,19,8,57,0,Michael Johnson missed Jumper.
York,Northern Colorado,8,19,8,57,0,Jordan Davis Defensive Rebound.
York,Northern Colorado,8,22,9,8,1,Miles Seward made Three Point Jumper. Assisted by Tyler Loose.
York,Northern Colorado,8,22,9,27,0,Cameron Coleman missed Jumper.
York,Northern Colorado,8,22,9,27,0,Terrence Michae Cole Offensive Rebound.
York,Northern Colorado,8,22,9,53,0,Michael Johnson Turnover.
York,Northern Colorado,8,22,9,56,0,Tyler Loose Steal.
York,Northern Colorado,8,24,10,0,1,Anthony Johnson made Layup.
York,Northern Colorado,8,24,10,16,0,Eric Smith Turnover.
York,Northern Colorado,8,27,10,21,1,Jordan Wilson made Three Point Jumper. Assisted by Miles Seward.
York,Northern Colorado,10,27,10,38,1,Cameron Coleman made Jumper.
York,Northern Colorado,10,27,10,58,0,Foul on Marcus Price.
York,Northern Colorado,10,30,11,9,1,Anthony Johnson made Three Point Jumper. Assisted by Jordan Wilson.
York,Northern Colorado,10,30,11,40,0,Tre' Howe Turnover.
York,Northern Colorado,10,30,11,41,0,Jordan Wilson Steal.
York,Northern Colorado,10,32,11,43,1,Anthony Johnson made Layup. Assisted by Jordan Wilson.
York,Northern Colorado,10,32,11,43,0,Foul on Terrence Michae Cole.
York,Northern Colorado,10,33,11,43,1,Anthony Johnson made Free Throw.
York,Northern Colorado,10,33,11,52,0,Marcus Price missed Jumper.
York,Northern Colorado,10,33,11,52,0,Jordan Wilson Defensive Rebound.
York,Northern Colorado,10,33,12,24,0,Jamal Evans Turnover.
York,Northern Colorado,10,33,12,24,0,Foul on Jamal Evans.
York,Northern Colorado,10,33,13,21,0,Foul on Tanner Morgan.
York,Northern Colorado,10,33,13,21,0,Cameron Coleman missed Jumper.
York,Northern Colorado,10,33,13,21,0,Cameron Coleman Offensive Rebound.
York,Northern Colorado,10,33,13,21,0,Cameron Coleman missed Jumper.
York,Northern Colorado,10,33,13,21,0,Jamal Evans Defensive Rebound.
York,Northern Colorado,10,33,13,34,0,Foul on Cameron Coleman.
York,Northern Colorado,10,33,13,39,0,Jordan Wilson missed Three Point Jumper.
York,Northern Colorado,10,33,13,39,0,Chris Smith Defensive Rebound.
York,Northern Colorado,10,33,13,41,0,Foul on Jamal Evans.
York,Northern Colorado,13,33,13,43,1,Johnny Cooksey made Three Point Jumper. Assisted by Trevor Lenear.
