Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Northern Iowa,Wichita State,0,0,0,13,0,Ron Baker missed Three Point Jumper.
Northern Iowa,Wichita State,0,0,0,13,0,Northern Iowa Defensive Rebound.
Northern Iowa,Wichita State,0,0,0,15,0,Foul on Shaquille Morris.
Northern Iowa,Wichita State,0,0,0,26,0,Foul on Zach Brown.
Northern Iowa,Wichita State,0,0,0,35,0,Jeremy Morgan missed Jumper.
Northern Iowa,Wichita State,0,0,0,35,0,Evan Wessel Defensive Rebound.
Northern Iowa,Wichita State,0,0,0,55,0,Zach Brown missed Three Point Jumper.
Northern Iowa,Wichita State,0,0,0,55,0,Northern Iowa Defensive Rebound.
Northern Iowa,Wichita State,0,0,1,23,0,Bennett Koch Turnover.
Northern Iowa,Wichita State,0,2,1,39,1,Shaquille Morris made Layup. Assisted by Fred VanVleet.
Northern Iowa,Wichita State,0,2,1,55,0,Matt Bohannon missed Three Point Jumper.
Northern Iowa,Wichita State,0,2,1,55,0,Zach Brown Defensive Rebound.
Northern Iowa,Wichita State,0,2,1,58,0,Foul on Jeremy Morgan.
Northern Iowa,Wichita State,0,2,2,24,0,Zach Brown missed Layup.
Northern Iowa,Wichita State,0,2,2,24,0,Zach Brown Offensive Rebound.
Northern Iowa,Wichita State,0,4,2,34,1,Anton Grady made Layup. Assisted by Evan Wessel.
Northern Iowa,Wichita State,0,4,3,9,0,Wes Washpun missed Three Point Jumper.
Northern Iowa,Wichita State,0,4,3,9,0,Ron Baker Defensive Rebound.
Northern Iowa,Wichita State,0,6,3,28,1,Ron Baker made Jumper.
Northern Iowa,Wichita State,0,6,3,42,0,Jeremy Morgan missed Three Point Jumper.
Northern Iowa,Wichita State,0,6,3,42,0,Ron Baker Defensive Rebound.
Northern Iowa,Wichita State,0,6,3,52,0,Foul on Paul Jesperson.
Northern Iowa,Wichita State,0,6,3,57,0,Ron Baker missed Jumper.
Northern Iowa,Wichita State,0,6,3,57,0,Wichita St Offensive Rebound.
Northern Iowa,Wichita State,0,6,4,4,0,Ron Baker missed Jumper.
Northern Iowa,Wichita State,0,6,4,4,0,Klint Carlson Defensive Rebound.
Northern Iowa,Wichita State,0,6,4,14,0,Wes Washpun Turnover.
Northern Iowa,Wichita State,0,6,4,15,0,Anton Grady Steal.
Northern Iowa,Wichita State,0,6,4,31,0,Zach Brown missed Three Point Jumper.
Northern Iowa,Wichita State,0,6,4,31,0,Wes Washpun Defensive Rebound.
Northern Iowa,Wichita State,0,6,4,57,0,Wes Washpun missed Jumper.
Northern Iowa,Wichita State,0,6,4,57,0,Fred VanVleet Defensive Rebound.
Northern Iowa,Wichita State,0,8,5,8,1,Anton Grady made Jumper.
Northern Iowa,Wichita State,0,8,5,15,0,Northern Iowa  Timeout
Northern Iowa,Wichita State,0,8,5,36,0,Klint Carlson missed Jumper.
Northern Iowa,Wichita State,0,8,5,36,0,Ron Baker Defensive Rebound.
Northern Iowa,Wichita State,0,8,5,54,0,Markis McDuffie missed Three Point Jumper.
Northern Iowa,Wichita State,0,8,5,54,0,Ted Friedman Defensive Rebound.
Northern Iowa,Wichita State,0,8,5,57,0,Foul on Anton Grady.
Northern Iowa,Wichita State,0,8,6,8,0,Foul on Ron Baker.
Northern Iowa,Wichita State,0,8,6,19,0,Wyatt Lohaus missed Jumper.
Northern Iowa,Wichita State,0,8,6,19,0,Markis McDuffie Defensive Rebound.
Northern Iowa,Wichita State,0,8,6,22,0,Foul on Wyatt Lohaus.
Northern Iowa,Wichita State,0,8,6,33,0,Anton Grady missed Layup.
Northern Iowa,Wichita State,0,8,6,33,0,Bennett Koch Block.
Northern Iowa,Wichita State,0,8,6,34,0,Wichita St Offensive Rebound.
Northern Iowa,Wichita State,0,8,6,49,0,Anton Grady missed Jumper.
Northern Iowa,Wichita State,0,8,6,49,0,Jeremy Morgan Defensive Rebound.
Northern Iowa,Wichita State,0,8,7,7,0,Bennett Koch missed Jumper.
Northern Iowa,Wichita State,0,8,7,7,0,Northern Iowa Offensive Rebound.
Northern Iowa,Wichita State,0,8,7,13,0,Klint Carlson missed Three Point Jumper.
Northern Iowa,Wichita State,0,8,7,13,0,Shaquille Morris Defensive Rebound.
Northern Iowa,Wichita State,0,10,7,29,1,Shaquille Morris made Layup. Assisted by Markis McDuffie.
Northern Iowa,Wichita State,3,10,7,49,1,Wes Washpun made Three Point Jumper.
Northern Iowa,Wichita State,3,10,8,26,0,Foul on Jeremy Morgan.
Northern Iowa,Wichita State,3,10,8,26,0,Official TV Timeout
Northern Iowa,Wichita State,3,11,8,26,1,Markis McDuffie made Free Throw.
Northern Iowa,Wichita State,3,12,8,26,1,Markis McDuffie made Free Throw.
Northern Iowa,Wichita State,3,13,8,26,1,Markis McDuffie made Free Throw.
Northern Iowa,Wichita State,6,13,8,46,1,Paul Jesperson made Three Point Jumper. Assisted by Klint Carlson.
Northern Iowa,Wichita State,6,15,9,10,1,Markis McDuffie made Jumper. Assisted by Ron Baker.
Northern Iowa,Wichita State,6,15,9,24,0,Paul Jesperson missed Three Point Jumper.
Northern Iowa,Wichita State,6,15,9,24,0,Shaquille Morris Defensive Rebound.
Northern Iowa,Wichita State,6,17,9,43,1,Shaquille Morris made Jumper. Assisted by Ron Baker.
Northern Iowa,Wichita State,6,17,10,1,0,Jeremy Morgan missed Layup.
Northern Iowa,Wichita State,6,17,10,1,0,Shaquille Morris Block.
Northern Iowa,Wichita State,6,17,10,2,0,Northern Iowa Offensive Rebound.
Northern Iowa,Wichita State,6,17,10,14,0,Wes Washpun missed Three Point Jumper.
Northern Iowa,Wichita State,6,17,10,14,0,Markis McDuffie Defensive Rebound.
Northern Iowa,Wichita State,6,17,10,35,0,Markis McDuffie Turnover.
Northern Iowa,Wichita State,6,17,10,36,0,Klint Carlson Steal.
Northern Iowa,Wichita State,8,17,10,43,1,Wyatt Lohaus made Layup.
Northern Iowa,Wichita State,8,17,11,13,0,Foul on Wes Washpun.
Northern Iowa,Wichita State,8,19,11,28,1,Ron Baker made Jumper.
Northern Iowa,Wichita State,10,19,11,41,1,Bennett Koch made Jumper.
Northern Iowa,Wichita State,10,21,11,55,1,Ron Baker made Jumper.
Northern Iowa,Wichita State,12,21,12,17,1,Wyatt Lohaus made Layup.
