Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Oklahoma,Texas,0,0,0,0,0,Jump Ball won by Texas
Oklahoma,Texas,0,3,0,34,1,Connor Lammert made Three Point Jumper. Assisted by Isaiah Taylor.
Oklahoma,Texas,0,3,0,46,0,Ryan Spangler Turnover.
Oklahoma,Texas,0,3,0,52,0,Isaiah Taylor missed Layup.
Oklahoma,Texas,0,3,0,52,0,Connor Lammert Offensive Rebound.
Oklahoma,Texas,0,5,0,57,1,Connor Lammert made Layup.
Oklahoma,Texas,3,5,1,14,1,Jordan Woodard made Three Point Jumper. Assisted by Ryan Spangler.
Oklahoma,Texas,3,5,1,47,0,Connor Lammert missed Three Point Jumper.
Oklahoma,Texas,3,5,1,47,0,Isaiah Cousins Defensive Rebound.
Oklahoma,Texas,3,5,2,1,0,Buddy Hield missed Three Point Jumper.
Oklahoma,Texas,3,5,2,1,0,Connor Lammert Defensive Rebound.
Oklahoma,Texas,3,5,2,25,0,Javan Felix missed Jumper.
Oklahoma,Texas,3,5,2,25,0,Buddy Hield Defensive Rebound.
Oklahoma,Texas,6,5,2,30,1,Isaiah Cousins made Three Point Jumper. Assisted by Buddy Hield.
Oklahoma,Texas,6,5,2,42,0,Isaiah Taylor missed Three Point Jumper.
Oklahoma,Texas,6,5,2,42,0,Buddy Hield Defensive Rebound.
Oklahoma,Texas,6,5,2,46,0,Buddy Hield missed Three Point Jumper.
Oklahoma,Texas,6,5,2,46,0,Connor Lammert Defensive Rebound.
Oklahoma,Texas,6,5,3,33,0,Javan Felix Turnover.
Oklahoma,Texas,6,5,3,37,0,Ryan Spangler Turnover.
Oklahoma,Texas,6,5,3,45,0,Prince Ibeh Turnover.
Oklahoma,Texas,6,5,4,0,0,Ryan Spangler missed Jumper.
Oklahoma,Texas,6,5,4,0,0,Khadeem Lattin Offensive Rebound.
Oklahoma,Texas,6,5,4,4,0,Khadeem Lattin missed Layup.
Oklahoma,Texas,6,5,4,4,0,Prince Ibeh Defensive Rebound.
Oklahoma,Texas,6,5,4,27,0,Eric Davis Jr. missed Three Point Jumper.
Oklahoma,Texas,6,5,4,27,0,Buddy Hield Defensive Rebound.
Oklahoma,Texas,8,5,4,37,1,Buddy Hield made Layup.
Oklahoma,Texas,8,7,4,50,1,Isaiah Taylor made Jumper.
Oklahoma,Texas,11,7,5,5,1,Buddy Hield made Three Point Jumper. Assisted by Ryan Spangler.
Oklahoma,Texas,11,7,5,39,0,Foul on Khadeem Lattin.
Oklahoma,Texas,11,7,5,39,0,Official TV Timeout
Oklahoma,Texas,11,9,5,48,1,Javan Felix made Jumper.
Oklahoma,Texas,11,9,6,8,0,Foul on Tevin Mack.
Oklahoma,Texas,12,9,6,8,1,Jordan Woodard made Free Throw.
Oklahoma,Texas,12,9,6,8,0,Jordan Woodard missed Free Throw.
Oklahoma,Texas,12,9,6,8,0,Eric Davis Jr. Defensive Rebound.
Oklahoma,Texas,12,9,6,29,0,Eric Davis Jr. missed Jumper.
Oklahoma,Texas,12,9,6,29,0,Kerwin Roach Jr. Offensive Rebound.
Oklahoma,Texas,12,9,6,51,0,Shaquille Cleare missed Layup.
Oklahoma,Texas,12,9,6,51,0,Jamuni McNeace Defensive Rebound.
Oklahoma,Texas,12,9,7,1,0,Isaiah Cousins Turnover.
Oklahoma,Texas,12,11,7,9,1,Javan Felix made Jumper.
Oklahoma,Texas,14,11,7,27,1,Buddy Hield made Jumper.
Oklahoma,Texas,14,11,7,36,0,Javan Felix Turnover.
Oklahoma,Texas,14,11,7,36,0,Jamuni McNeace Steal.
Oklahoma,Texas,14,11,7,54,0,Foul on Javan Felix.
Oklahoma,Texas,15,11,7,54,1,Isaiah Cousins made Free Throw.
Oklahoma,Texas,16,11,7,54,1,Isaiah Cousins made Free Throw.
Oklahoma,Texas,16,11,8,10,0,Foul on Dante Buford.
Oklahoma,Texas,16,11,8,10,0,Official TV Timeout
Oklahoma,Texas,16,12,8,10,1,Eric Davis Jr. made Free Throw.
Oklahoma,Texas,16,13,8,10,1,Eric Davis Jr. made Free Throw.
Oklahoma,Texas,16,13,8,30,0,Jordan Woodard missed Three Point Jumper.
Oklahoma,Texas,16,13,8,30,0,Ryan Spangler Offensive Rebound.
Oklahoma,Texas,16,13,8,30,0,Ryan Spangler missed Two Point Tip Shot.
Oklahoma,Texas,16,13,8,30,0,Tevin Mack Defensive Rebound.
Oklahoma,Texas,16,15,8,48,1,Isaiah Taylor made Layup.
Oklahoma,Texas,19,15,8,55,1,Buddy Hield made Three Point Jumper.
Oklahoma,Texas,19,15,9,18,0,Isaiah Taylor missed Layup.
Oklahoma,Texas,19,15,9,18,0,Kendal Yancy Offensive Rebound.
Oklahoma,Texas,19,17,9,22,1,Kendal Yancy made Layup.
Oklahoma,Texas,22,17,9,31,1,Buddy Hield made Three Point Jumper.
Oklahoma,Texas,22,20,10,0,1,Eric Davis Jr. made Three Point Jumper. Assisted by Isaiah Taylor.
Oklahoma,Texas,22,20,10,17,0,Foul on Isaiah Taylor.
Oklahoma,Texas,22,20,10,27,0,Ryan Spangler missed Jumper.
Oklahoma,Texas,22,20,10,27,0,Dante Buford Offensive Rebound.
Oklahoma,Texas,24,20,10,34,1,Dante Buford made Dunk.
Oklahoma,Texas,24,20,10,45,0,Foul on Dante Buford.
Oklahoma,Texas,24,20,10,45,0,Isaiah Taylor missed Free Throw.
Oklahoma,Texas,24,20,10,45,0,Texas Deadball Team Rebound.
Oklahoma,Texas,24,21,10,45,1,Isaiah Taylor made Free Throw.
Oklahoma,Texas,24,21,11,10,0,Dinjiyl Walker missed Jumper.
Oklahoma,Texas,24,21,11,10,0,Kerwin Roach Jr. Defensive Rebound.
Oklahoma,Texas,24,23,11,21,1,Kerwin Roach Jr. made Layup.
Oklahoma,Texas,24,23,11,42,0,Dinjiyl Walker missed Three Point Jumper.
Oklahoma,Texas,24,23,11,42,0,Texas Defensive Rebound.
Oklahoma,Texas,24,23,12,5,0,Kendal Yancy missed Layup.
Oklahoma,Texas,24,23,12,5,0,Dante Buford Defensive Rebound.
Oklahoma,Texas,24,23,12,31,0,Isaiah Cousins missed Jumper.
Oklahoma,Texas,24,23,12,31,0,Dinjiyl Walker Offensive Rebound.
Oklahoma,Texas,24,23,12,37,0,Foul on Kerwin Roach Jr..
Oklahoma,Texas,24,23,12,37,0,Official TV Timeout
Oklahoma,Texas,27,23,12,39,1,Buddy Hield made Three Point Jumper.
Oklahoma,Texas,27,23,13,9,0,Connor Lammert missed Three Point Jumper.
Oklahoma,Texas,27,23,13,9,0,Christian James Defensive Rebound.
Oklahoma,Texas,27,23,13,14,0,Foul on Kerwin Roach Jr..
Oklahoma,Texas,29,23,13,17,1,Buddy Hield made Dunk. Assisted by Isaiah Cousins.
Oklahoma,Texas,29,23,13,42,0,Foul on Khadeem Lattin.
Oklahoma,Texas,29,24,13,42,1,Isaiah Taylor made Free Throw.
Oklahoma,Texas,29,25,13,42,1,Isaiah Taylor made Free Throw.
Oklahoma,Texas,29,25,14,2,0,Christian James missed Three Point Jumper.
Oklahoma,Texas,29,25,14,2,0,Connor Lammert Defensive Rebound.
Oklahoma,Texas,29,27,14,19,1,Javan Felix made Layup.
Oklahoma,Texas,31,27,14,41,1,Isaiah Cousins made Jumper.
Oklahoma,Texas,31,30,15,13,1,Connor Lammert made Three Point Jumper. Assisted by Javan Felix.
Oklahoma,Texas,31,30,15,37,0,Isaiah Cousins missed Three Point Jumper.
Oklahoma,Texas,31,30,15,37,0,Eric Davis Jr. Defensive Rebound.
Oklahoma,Texas,31,30,15,48,0,Eric Davis Jr. missed Layup.
Oklahoma,Texas,31,30,15,48,0,Prince Ibeh Offensive Rebound.
Oklahoma,Texas,31,30,15,56,0,Foul on Jamuni McNeace.
Oklahoma,Texas,31,30,15,56,0,Prince Ibeh missed Free Throw.
Oklahoma,Texas,31,30,15,56,0,Texas Deadball Team Rebound.
Oklahoma,Texas,31,30,15,56,0,Prince Ibeh missed Free Throw.
Oklahoma,Texas,31,30,15,56,0,Buddy Hield Defensive Rebound.
Oklahoma,Texas,33,30,16,11,1,Isaiah Cousins made Jumper.
Oklahoma,Texas,33,30,16,36,0,Javan Felix Turnover.
Oklahoma,Texas,33,30,16,36,0,Official TV Timeout
Oklahoma,Texas,33,30,16,50,0,Isaiah Cousins missed Three Point Jumper.
Oklahoma,Texas,33,30,16,50,0,Isaiah Taylor Defensive Rebound.
Oklahoma,Texas,33,33,17,17,1,Eric Davis Jr. made Three Point Jumper. Assisted by Isaiah Taylor.
Oklahoma,Texas,33,33,17,45,0,Foul on Jamuni McNeace.
Oklahoma,Texas,33,33,17,45,0,Jamuni McNeace Turnover.
Oklahoma,Texas,33,33,17,58,0,Isaiah Taylor missed Jumper.
Oklahoma,Texas,33,33,17,58,0,Isaiah Cousins Defensive Rebound.
Oklahoma,Texas,35,33,18,9,1,Ryan Spangler made Layup.
Oklahoma,Texas,35,33,18,23,0,Isaiah Taylor missed Layup.
Oklahoma,Texas,35,33,18,23,0,Jordan Woodard Defensive Rebound.
Oklahoma,Texas,35,33,18,27,0,Foul on Eric Davis Jr..
Oklahoma,Texas,35,33,18,41,0,Buddy Hield missed Jumper.
Oklahoma,Texas,35,33,18,41,0,Buddy Hield Offensive Rebound.
Oklahoma,Texas,37,33,18,44,1,Buddy Hield made Layup.
Oklahoma,Texas,37,33,18,44,0,Foul on Tevin Mack.
Oklahoma,Texas,38,33,18,44,1,Buddy Hield made Free Throw.
Oklahoma,Texas,38,33,19,6,0,Javan Felix missed Jumper.
Oklahoma,Texas,38,33,19,6,0,Buddy Hield Block.
Oklahoma,Texas,38,33,19,6,0,Texas Offensive Rebound.
Oklahoma,Texas,38,33,19,11,0,Texas  Timeout
Oklahoma,Texas,38,35,19,13,1,Prince Ibeh made Dunk. Assisted by Isaiah Taylor.
Oklahoma,Texas,38,35,19,24,0,Oklahoma  Timeout
Oklahoma,Texas,38,35,19,29,0,Jordan Woodard missed Three Point Jumper.
Oklahoma,Texas,38,35,19,29,0,Prince Ibeh Defensive Rebound.
Oklahoma,Texas,38,35,19,34,0,Javan Felix Turnover.
Oklahoma,Texas,38,35,19,34,0,Buddy Hield Steal.
Oklahoma,Texas,38,35,19,34,0,Foul on Prince Ibeh.
Oklahoma,Texas,39,35,19,34,1,Buddy Hield made Free Throw.
Oklahoma,Texas,40,35,19,34,1,Buddy Hield made Free Throw.
Oklahoma,Texas,40,35,19,46,0,Foul on Ryan Spangler.
Oklahoma,Texas,40,35,19,46,0,Prince Ibeh missed Free Throw.
Oklahoma,Texas,40,35,19,46,0,Demarcus Holland Offensive Rebound.
Oklahoma,Texas,40,37,19,50,1,Isaiah Taylor made Layup.
Oklahoma,Texas,40,37,19,56,0,Buddy Hield missed Three Point Jumper.
Oklahoma,Texas,40,37,19,56,0,Prince Ibeh Defensive Rebound.
Oklahoma,Texas,40,37,20,0,0,End of 1st half
Oklahoma,Texas,40,37,20,0,0,Jump Ball won by Oklahoma
Oklahoma,Texas,43,37,20,9,1,Jordan Woodard made Three Point Jumper. Assisted by Isaiah Cousins.
Oklahoma,Texas,43,37,20,50,0,Demarcus Holland missed Layup.
Oklahoma,Texas,43,37,20,50,0,Jordan Woodard Defensive Rebound.
Oklahoma,Texas,43,37,20,57,0,Jordan Woodard missed Layup.
Oklahoma,Texas,43,37,20,57,0,Demarcus Holland Defensive Rebound.
Oklahoma,Texas,43,37,21,4,0,Isaiah Taylor missed Layup.
Oklahoma,Texas,43,37,21,4,0,Khadeem Lattin Block.
Oklahoma,Texas,43,37,21,4,0,Demarcus Holland Offensive Rebound.
Oklahoma,Texas,43,40,21,26,1,Connor Lammert made Three Point Jumper. Assisted by Prince Ibeh.
Oklahoma,Texas,43,40,21,57,0,Foul on Isaiah Taylor.
Oklahoma,Texas,44,40,21,57,1,Jordan Woodard made Free Throw.
