Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Harvard,Oklahoma,0,0,0,0,0,Jump Ball won by Harvard
Harvard,Oklahoma,0,0,0,25,0,Tommy McCarthy missed Jumper.
Harvard,Oklahoma,0,0,0,25,0,Khadeem Lattin Block.
Harvard,Oklahoma,0,0,0,25,0,Buddy Hield Defensive Rebound.
Harvard,Oklahoma,0,0,0,31,0,Isaiah Cousins missed Jumper.
Harvard,Oklahoma,0,0,0,31,0,Khadeem Lattin Offensive Rebound.
Harvard,Oklahoma,0,3,0,38,1,Buddy Hield made Three Point Jumper. Assisted by Khadeem Lattin.
Harvard,Oklahoma,0,3,1,10,0,Zena Edosomwan missed Jumper.
Harvard,Oklahoma,0,3,1,10,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,0,5,1,28,1,Khadeem Lattin made Jumper. Assisted by Ryan Spangler.
Harvard,Oklahoma,0,5,1,58,0,Foul on Khadeem Lattin.
Harvard,Oklahoma,2,5,2,2,1,Zena Edosomwan made Dunk. Assisted by Tommy McCarthy.
Harvard,Oklahoma,2,7,2,14,1,Jordan Woodard made Layup.
Harvard,Oklahoma,5,7,2,24,1,Corey Johnson made Three Point Jumper. Assisted by Zena Edosomwan.
Harvard,Oklahoma,5,10,2,36,1,Jordan Woodard made Three Point Jumper. Assisted by Ryan Spangler.
Harvard,Oklahoma,5,10,2,46,0,Agunwa Okolie missed Jumper.
Harvard,Oklahoma,5,10,2,46,0,Zena Edosomwan Offensive Rebound.
Harvard,Oklahoma,5,10,2,53,0,Zena Edosomwan Turnover.
Harvard,Oklahoma,5,12,3,3,1,Khadeem Lattin made Dunk.
Harvard,Oklahoma,5,12,3,15,0,Foul on Jordan Woodard.
Harvard,Oklahoma,7,12,3,20,1,Evan Cummins made Jumper. Assisted by Tommy McCarthy.
Harvard,Oklahoma,7,12,3,41,0,Buddy Hield Turnover.
Harvard,Oklahoma,7,12,3,41,0,Tommy McCarthy Steal.
Harvard,Oklahoma,7,12,3,56,0,Foul on Khadeem Lattin.
Harvard,Oklahoma,7,12,3,56,0,Zena Edosomwan missed Free Throw.
Harvard,Oklahoma,7,12,3,56,0,Harvard Deadball Team Rebound.
Harvard,Oklahoma,7,12,3,56,0,Zena Edosomwan missed Free Throw.
Harvard,Oklahoma,7,12,3,56,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,7,12,4,8,0,Jordan Woodard Turnover.
Harvard,Oklahoma,7,12,4,8,0,Official TV Timeout
Harvard,Oklahoma,7,12,4,25,0,Zena Edosomwan missed Jumper.
Harvard,Oklahoma,7,12,4,25,0,Agunwa Okolie Offensive Rebound.
Harvard,Oklahoma,7,12,4,29,0,Agunwa Okolie missed Layup.
Harvard,Oklahoma,7,12,4,29,0,Agunwa Okolie Offensive Rebound.
Harvard,Oklahoma,7,12,4,29,0,Agunwa Okolie missed Two Point Tip Shot.
Harvard,Oklahoma,7,12,4,29,0,Zena Edosomwan Offensive Rebound.
Harvard,Oklahoma,7,12,4,29,0,Zena Edosomwan missed Layup.
Harvard,Oklahoma,7,12,4,33,0,Buddy Hield Defensive Rebound.
Harvard,Oklahoma,7,15,4,40,1,Jordan Woodard made Three Point Jumper.
Harvard,Oklahoma,9,15,5,0,1,Zena Edosomwan made Jumper.
Harvard,Oklahoma,9,15,5,20,0,Isaiah Cousins missed Three Point Jumper.
Harvard,Oklahoma,9,15,5,20,0,Ryan Spangler Offensive Rebound.
Harvard,Oklahoma,9,15,5,29,0,Buddy Hield missed Jumper.
Harvard,Oklahoma,9,15,5,29,0,Zena Edosomwan Defensive Rebound.
Harvard,Oklahoma,11,15,5,42,1,Zena Edosomwan made Jumper. Assisted by Agunwa Okolie.
Harvard,Oklahoma,11,15,6,5,0,Akolda Manyang missed Jumper.
Harvard,Oklahoma,11,15,6,5,0,Jordan Woodard Offensive Rebound.
Harvard,Oklahoma,11,15,6,12,0,Foul on Tommy McCarthy.
Harvard,Oklahoma,11,15,6,12,0,Jordan Woodard missed Free Throw.
Harvard,Oklahoma,11,15,6,12,0,Oklahoma Deadball Team Rebound.
Harvard,Oklahoma,11,16,6,12,1,Jordan Woodard made Free Throw.
Harvard,Oklahoma,11,16,6,34,0,Patrick Steeves missed Jumper.
Harvard,Oklahoma,11,16,6,34,0,Isaiah Cousins Defensive Rebound.
Harvard,Oklahoma,11,16,6,49,0,Foul on Zena Edosomwan.
Harvard,Oklahoma,11,17,6,49,1,Buddy Hield made Free Throw.
Harvard,Oklahoma,11,18,6,49,1,Buddy Hield made Free Throw.
Harvard,Oklahoma,14,18,6,58,1,Corey Johnson made Three Point Jumper. Assisted by Patrick Steeves.
Harvard,Oklahoma,14,18,7,11,0,Dinjiyl Walker missed Three Point Jumper.
Harvard,Oklahoma,14,18,7,11,0,Chris Egi Defensive Rebound.
Harvard,Oklahoma,14,18,7,27,0,Corbin Miller missed Three Point Jumper.
Harvard,Oklahoma,14,18,7,27,0,Isaiah Cousins Defensive Rebound.
Harvard,Oklahoma,14,20,7,35,1,Buddy Hield made Layup.
Harvard,Oklahoma,14,20,7,51,0,Foul on Akolda Manyang.
Harvard,Oklahoma,16,20,8,7,1,Chris Egi made Layup. Assisted by Evan Cummins.
Harvard,Oklahoma,16,20,8,13,0,Isaiah Cousins missed Three Point Jumper.
Harvard,Oklahoma,16,20,8,13,0,Chris Egi Defensive Rebound.
Harvard,Oklahoma,19,20,8,37,1,Corbin Miller made Three Point Jumper.
Harvard,Oklahoma,19,20,8,50,0,Dinjiyl Walker Turnover.
Harvard,Oklahoma,19,20,8,50,0,Agunwa Okolie Steal.
Harvard,Oklahoma,21,20,8,56,1,Agunwa Okolie made Layup.
Harvard,Oklahoma,21,22,9,13,1,Isaiah Cousins made Layup.
Harvard,Oklahoma,21,22,9,24,0,Patrick Steeves missed Jumper.
Harvard,Oklahoma,21,22,9,24,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,21,24,9,32,1,Buddy Hield made Layup. Assisted by Isaiah Cousins.
Harvard,Oklahoma,21,24,9,34,0,Harvard  Timeout
Harvard,Oklahoma,21,24,9,51,0,Agunwa Okolie missed Layup.
Harvard,Oklahoma,21,24,9,51,0,Akolda Manyang Block.
Harvard,Oklahoma,21,24,9,51,0,Harvard Offensive Rebound.
Harvard,Oklahoma,24,24,9,57,1,Corbin Miller made Three Point Jumper.
Harvard,Oklahoma,24,24,10,19,0,Buddy Hield Turnover.
Harvard,Oklahoma,24,24,10,19,0,Patrick Steeves Steal.
Harvard,Oklahoma,24,24,10,27,0,Corbin Miller missed Three Point Jumper.
Harvard,Oklahoma,24,24,10,27,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,24,24,10,36,0,Buddy Hield missed Three Point Jumper.
Harvard,Oklahoma,24,24,10,36,0,Agunwa Okolie Defensive Rebound.
Harvard,Oklahoma,24,24,10,54,0,Patrick Steeves Turnover.
Harvard,Oklahoma,24,24,11,1,0,Jordan Woodard missed Jumper.
Harvard,Oklahoma,24,24,11,1,0,Harvard Deadball Team Rebound.
Harvard,Oklahoma,24,24,11,3,0,Foul on Agunwa Okolie.
Harvard,Oklahoma,24,24,11,3,0,Akolda Manyang missed Free Throw.
Harvard,Oklahoma,24,24,11,3,0,Oklahoma Deadball Team Rebound.
Harvard,Oklahoma,24,25,11,3,1,Akolda Manyang made Free Throw.
Harvard,Oklahoma,24,25,11,18,0,Zena Edosomwan Turnover.
Harvard,Oklahoma,24,25,11,18,0,Jordan Woodard Steal.
Harvard,Oklahoma,24,25,11,18,0,Buddy Hield Turnover.
Harvard,Oklahoma,25,25,11,38,1,Evan Cummins made Free Throw.
Harvard,Oklahoma,26,25,11,38,1,Evan Cummins made Free Throw.
Harvard,Oklahoma,24,25,11,38,0,Foul on Dante Buford.
Harvard,Oklahoma,26,25,11,49,0,Foul on Corey Johnson.
Harvard,Oklahoma,26,25,11,55,0,Khadeem Lattin missed Layup.
Harvard,Oklahoma,26,25,11,55,0,Evan Cummins Block.
Harvard,Oklahoma,26,25,11,55,0,Oklahoma Offensive Rebound.
Harvard,Oklahoma,26,25,12,0,0,Foul on Dante Buford.
Harvard,Oklahoma,26,25,12,0,0,Dante Buford Turnover.
Harvard,Oklahoma,26,25,12,17,0,Zena Edosomwan missed Jumper.
Harvard,Oklahoma,26,25,12,17,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,26,25,12,27,0,Foul on Corey Johnson.
Harvard,Oklahoma,26,25,12,27,0,Official TV Timeout
Harvard,Oklahoma,26,25,12,37,0,Isaiah Cousins missed Three Point Jumper.
Harvard,Oklahoma,26,25,12,37,0,Oklahoma Offensive Rebound.
Harvard,Oklahoma,26,25,12,57,0,Isaiah Cousins missed Three Point Jumper.
Harvard,Oklahoma,26,25,12,57,0,Zena Edosomwan Defensive Rebound.
Harvard,Oklahoma,26,25,13,13,0,Zena Edosomwan missed Jumper.
Harvard,Oklahoma,26,25,13,13,0,Khadeem Lattin Defensive Rebound.
Harvard,Oklahoma,26,25,13,21,0,Christian James missed Three Point Jumper.
Harvard,Oklahoma,26,25,13,21,0,Zena Edosomwan Defensive Rebound.
Harvard,Oklahoma,26,25,13,33,0,Evan Cummins missed Jumper.
Harvard,Oklahoma,26,25,13,33,0,Khadeem Lattin Defensive Rebound.
Harvard,Oklahoma,26,27,13,42,1,Ryan Spangler made Layup. Assisted by Isaiah Cousins.
Harvard,Oklahoma,26,27,13,56,0,Foul on Ryan Spangler.
Harvard,Oklahoma,27,27,13,56,1,Zena Edosomwan made Free Throw.
Harvard,Oklahoma,27,27,13,56,0,Zena Edosomwan missed Free Throw.
Harvard,Oklahoma,27,27,13,56,0,Christian James Defensive Rebound.
Harvard,Oklahoma,27,27,14,15,0,Akolda Manyang missed Layup.
Harvard,Oklahoma,27,27,14,15,0,Weisner Perez Defensive Rebound.
Harvard,Oklahoma,27,27,14,23,0,Weisner Perez missed Three Point Jumper.
Harvard,Oklahoma,27,27,14,23,0,Jordan Woodard Defensive Rebound.
Harvard,Oklahoma,27,29,14,31,1,Jordan Woodard made Jumper.
Harvard,Oklahoma,27,29,14,49,0,Foul on Akolda Manyang.
Harvard,Oklahoma,28,29,14,49,1,Agunwa Okolie made Free Throw.
Harvard,Oklahoma,28,29,14,49,0,Agunwa Okolie missed Free Throw.
Harvard,Oklahoma,28,29,14,49,0,Ryan Spangler Defensive Rebound.
Harvard,Oklahoma,28,29,15,13,0,Isaiah Cousins missed Jumper.
Harvard,Oklahoma,28,29,15,13,0,Buddy Hield Offensive Rebound.
Harvard,Oklahoma,28,29,15,13,0,Foul on Agunwa Okolie.
Harvard,Oklahoma,28,29,15,21,0,Foul on Weisner Perez.
Harvard,Oklahoma,28,29,15,21,0,Ryan Spangler missed Free Throw.
Harvard,Oklahoma,28,29,15,21,0,Zena Edosomwan Defensive Rebound.
Harvard,Oklahoma,28,29,15,38,0,Weisner Perez missed Jumper.
Harvard,Oklahoma,28,29,15,38,0,Zena Edosomwan Offensive Rebound.
Harvard,Oklahoma,31,29,15,46,1,Tommy McCarthy made Three Point Jumper.
Harvard,Oklahoma,31,29,16,11,0,Isaiah Cousins Turnover.
Harvard,Oklahoma,31,29,16,11,0,Zena Edosomwan Steal.
Harvard,Oklahoma,31,29,16,27,0,Patrick Steeves Turnover.
Harvard,Oklahoma,31,29,16,27,0,Official TV Timeout
Harvard,Oklahoma,31,29,16,38,0,Buddy Hield Turnover.
Harvard,Oklahoma,31,29,16,38,0,Evan Cummins Steal.
Harvard,Oklahoma,33,29,16,44,1,Zena Edosomwan made Dunk. Assisted by Tommy McCarthy.
Harvard,Oklahoma,33,29,16,57,0,Isaiah Cousins missed Jumper.
Harvard,Oklahoma,33,29,16,57,0,Zena Edosomwan Defensive Rebound.
