Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Ole Miss,Florida,0,0,0,0,0,Jump Ball won by Florida
Ole Miss,Florida,0,2,0,4,1,KeVaughn Allen made Layup.
Ole Miss,Florida,3,2,0,32,1,Rasheed Brooks made Three Point Jumper.
Ole Miss,Florida,3,2,0,56,0,Dorian Finney-Smith missed Jumper.
Ole Miss,Florida,3,2,0,56,0,Marcanvis Hymon Defensive Rebound.
Ole Miss,Florida,3,2,1,5,0,Martavious Newby Turnover.
Ole Miss,Florida,3,2,1,11,0,Chris Chiozza missed Jumper.
Ole Miss,Florida,3,2,1,11,0,Martavious Newby Defensive Rebound.
Ole Miss,Florida,3,2,1,29,0,Rasheed Brooks Turnover.
Ole Miss,Florida,3,2,1,29,0,KeVaughn Allen Steal.
Ole Miss,Florida,3,2,1,37,0,Foul on Anthony Perez.
Ole Miss,Florida,3,2,1,37,0,KeVaughn Allen missed Free Throw.
Ole Miss,Florida,3,2,1,37,0,Florida Deadball Team Rebound.
Ole Miss,Florida,3,3,1,37,1,KeVaughn Allen made Free Throw.
Ole Miss,Florida,3,3,1,57,0,Stefan Moody missed Three Point Jumper.
Ole Miss,Florida,3,3,1,57,0,Justin Leon Defensive Rebound.
Ole Miss,Florida,3,5,2,9,1,John Egbunu made Dunk. Assisted by Chris Chiozza.
Ole Miss,Florida,3,5,2,34,0,Anthony Perez missed Layup.
Ole Miss,Florida,3,5,2,34,0,Justin Leon Defensive Rebound.
Ole Miss,Florida,3,5,2,35,0,Foul on Anthony Perez.
Ole Miss,Florida,3,7,2,44,1,KeVaughn Allen made Jumper.
Ole Miss,Florida,3,7,3,3,0,Stefan Moody Turnover.
Ole Miss,Florida,3,7,3,18,0,John Egbunu missed Jumper.
Ole Miss,Florida,3,7,3,18,0,Tomasz Gielo Defensive Rebound.
Ole Miss,Florida,3,7,3,32,0,Stefan Moody missed Three Point Jumper.
Ole Miss,Florida,3,7,3,32,0,Tomasz Gielo Offensive Rebound.
