Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Washington State,Oregon State,0,0,0,25,0,Gary Payton II missed Three Point Jumper.
Washington State,Oregon State,0,0,0,25,0,Que Johnson Defensive Rebound.
Washington State,Oregon State,0,0,0,48,0,Que Johnson missed Three Point Jumper.
Washington State,Oregon State,0,0,0,48,0,Washington St Offensive Rebound.
Washington State,Oregon State,2,0,1,3,1,Josh Hawkinson made Jumper. Assisted by Ike Iroegbu.
Washington State,Oregon State,2,0,1,12,0,Gary Payton II missed Layup.
Washington State,Oregon State,2,0,1,12,0,Ike Iroegbu Block.
Washington State,Oregon State,2,0,1,15,0,Olaf Schaftenaar Offensive Rebound.
Washington State,Oregon State,2,0,1,17,0,Malcolm Duvivier missed Three Point Jumper.
Washington State,Oregon State,2,0,1,17,0,Tres Tinkle Offensive Rebound.
Washington State,Oregon State,2,0,1,25,0,Malcolm Duvivier Turnover.
Washington State,Oregon State,2,0,1,26,0,Ike Iroegbu Steal.
Washington State,Oregon State,2,0,1,30,0,Ike Iroegbu missed Layup.
Washington State,Oregon State,2,0,1,30,0,Malcolm Duvivier Defensive Rebound.
Washington State,Oregon State,2,0,1,44,0,Foul on Valentine Izundu.
Washington State,Oregon State,2,1,1,44,1,Tres Tinkle made Free Throw.
Washington State,Oregon State,2,2,1,44,1,Tres Tinkle made Free Throw.
Washington State,Oregon State,4,2,2,12,1,Charles Callison made Jumper.
Washington State,Oregon State,4,2,2,27,0,Tres Tinkle missed Layup.
Washington State,Oregon State,4,2,2,27,0,Drew Eubanks Offensive Rebound.
Washington State,Oregon State,4,4,2,30,1,Drew Eubanks made Layup.
Washington State,Oregon State,4,4,3,0,0,Josh Hawkinson missed Jumper.
Washington State,Oregon State,4,4,3,0,0,Gary Payton II Defensive Rebound.
Washington State,Oregon State,4,4,3,16,0,Foul on Valentine Izundu.
Washington State,Oregon State,4,6,3,21,1,Drew Eubanks made Layup. Assisted by Malcolm Duvivier.
Washington State,Oregon State,4,6,3,38,0,Que Johnson Turnover.
Washington State,Oregon State,4,6,3,39,0,Tres Tinkle Steal.
Washington State,Oregon State,4,6,3,47,0,Gary Payton II missed Three Point Jumper.
Washington State,Oregon State,4,6,3,47,0,Josh Hawkinson Defensive Rebound.
Washington State,Oregon State,4,6,4,9,0,Conor Clifford Turnover.
Washington State,Oregon State,4,6,4,11,0,Olaf Schaftenaar Steal.
Washington State,Oregon State,4,8,4,13,1,Malcolm Duvivier made Dunk.
Washington State,Oregon State,4,8,4,42,0,Ike Iroegbu Turnover.
Washington State,Oregon State,4,8,4,43,0,Tres Tinkle Steal.
Washington State,Oregon State,4,10,4,46,1,Gary Payton II made Dunk. Assisted by Tres Tinkle.
Washington State,Oregon State,4,10,4,47,0,Washington St  Timeout
Washington State,Oregon State,4,10,4,47,0,Official TV Timeout
Washington State,Oregon State,4,10,5,16,0,Josh Hawkinson Turnover.
Washington State,Oregon State,4,12,5,33,1,Drew Eubanks made Dunk. Assisted by Gary Payton II.
Washington State,Oregon State,4,12,5,49,0,Que Johnson missed Three Point Jumper.
Washington State,Oregon State,4,12,5,49,0,Malcolm Duvivier Defensive Rebound.
Washington State,Oregon State,4,14,6,4,1,Gary Payton II made Jumper. Assisted by Olaf Schaftenaar.
Washington State,Oregon State,6,14,6,22,1,Conor Clifford made Layup. Assisted by Charles Callison.
Washington State,Oregon State,6,14,6,41,0,Gary Payton II missed Jumper.
Washington State,Oregon State,6,14,6,41,0,Washington St Defensive Rebound.
Washington State,Oregon State,6,14,7,9,0,Josh Hawkinson missed Jumper.
Washington State,Oregon State,6,14,7,9,0,Drew Eubanks Defensive Rebound.
Washington State,Oregon State,6,16,7,29,1,Olaf Schaftenaar made Jumper. Assisted by Stephen Thompson Jr..
Washington State,Oregon State,6,16,7,44,0,Foul on Conor Clifford.
Washington State,Oregon State,6,16,7,44,0,Conor Clifford Turnover.
Washington State,Oregon State,6,16,7,57,0,Stephen Thompson Jr. missed Three Point Jumper.
Washington State,Oregon State,6,16,7,57,0,Ike Iroegbu Defensive Rebound.
Washington State,Oregon State,6,16,8,9,0,Que Johnson missed Jumper.
Washington State,Oregon State,6,16,8,9,0,Langston Morris-Walker Defensive Rebound.
Washington State,Oregon State,6,18,8,18,1,Langston Morris-Walker made Jumper.
Washington State,Oregon State,6,18,8,21,0,Washington St  Timeout
Washington State,Oregon State,6,18,8,21,0,Official TV Timeout
Washington State,Oregon State,6,18,8,31,0,Ike Iroegbu Turnover.
Washington State,Oregon State,6,18,8,33,0,Langston Morris-Walker Steal.
Washington State,Oregon State,6,18,8,36,0,Stephen Thompson Jr. missed Layup.
Washington State,Oregon State,6,18,8,37,0,Derrien King Block.
Washington State,Oregon State,6,18,8,38,0,Oregon St Offensive Rebound.
Washington State,Oregon State,6,18,8,57,0,Olaf Schaftenaar missed Three Point Jumper.
Washington State,Oregon State,6,18,8,57,0,Gary Payton II Offensive Rebound.
Washington State,Oregon State,6,20,9,1,1,Gary Payton II made Dunk.
Washington State,Oregon State,6,20,9,18,0,Derrien King missed Three Point Jumper.
Washington State,Oregon State,6,20,9,18,0,Cheikh N'diaye Defensive Rebound.
Washington State,Oregon State,6,20,9,37,0,Cheikh N'diaye Turnover.
Washington State,Oregon State,6,20,9,46,0,Derrien King Turnover.
Washington State,Oregon State,6,20,9,47,0,Langston Morris-Walker Steal.
Washington State,Oregon State,6,20,9,50,0,Jarmal Reid missed Layup.
Washington State,Oregon State,6,20,9,50,0,Ike Iroegbu Defensive Rebound.
Washington State,Oregon State,8,20,10,5,1,Derrien King made Jumper. Assisted by Ike Iroegbu.
Washington State,Oregon State,8,20,10,34,0,Stephen Thompson Jr. missed Three Point Jumper.
Washington State,Oregon State,8,20,10,34,0,Junior Longrus Defensive Rebound.
Washington State,Oregon State,10,20,10,44,1,Josh Hawkinson made Jumper.
Washington State,Oregon State,10,20,10,44,0,Foul on Cheikh N'diaye.
Washington State,Oregon State,10,20,10,44,0,Josh Hawkinson missed Free Throw.
Washington State,Oregon State,10,20,10,44,0,Jarmal Reid Defensive Rebound.
Washington State,Oregon State,10,20,11,8,0,Stephen Thompson Jr. missed Layup.
Washington State,Oregon State,10,20,11,8,0,Derrien King Defensive Rebound.
Washington State,Oregon State,10,20,11,21,0,Charles Callison missed Jumper.
Washington State,Oregon State,10,20,11,21,0,Drew Eubanks Defensive Rebound.
Washington State,Oregon State,10,23,11,29,1,Langston Morris-Walker made Three Point Jumper. Assisted by Gary Payton II.
Washington State,Oregon State,10,23,11,46,0,Derrien King missed Jumper.
Washington State,Oregon State,10,23,11,46,0,Gary Payton II Defensive Rebound.
Washington State,Oregon State,10,23,11,51,0,Gary Payton II Turnover.
Washington State,Oregon State,10,23,12,7,0,Que Johnson missed Jumper.
Washington State,Oregon State,10,23,12,7,0,Tres Tinkle Defensive Rebound.
Washington State,Oregon State,10,23,12,25,0,Foul on Junior Longrus.
Washington State,Oregon State,10,23,12,33,0,Drew Eubanks missed Layup.
Washington State,Oregon State,10,23,12,33,0,Drew Eubanks Offensive Rebound.
Washington State,Oregon State,10,23,12,35,0,Drew Eubanks missed Two Point Tip Shot.
Washington State,Oregon State,10,23,12,35,0,Drew Eubanks Offensive Rebound.
Washington State,Oregon State,10,23,12,35,0,Foul on Que Johnson.
Washington State,Oregon State,10,23,12,40,0,Tres Tinkle missed Three Point Jumper.
Washington State,Oregon State,10,23,12,40,0,Junior Longrus Defensive Rebound.
Washington State,Oregon State,13,23,13,1,1,Que Johnson made Three Point Jumper. Assisted by Ike Iroegbu.
Washington State,Oregon State,13,23,13,20,0,Malcolm Duvivier Turnover.
Washington State,Oregon State,13,23,13,21,0,Charles Callison Steal.
Washington State,Oregon State,13,23,13,21,0,Foul on Drew Eubanks.
Washington State,Oregon State,13,23,13,39,0,Josh Hawkinson missed Three Point Jumper.
Washington State,Oregon State,13,23,13,39,0,Drew Eubanks Defensive Rebound.
Washington State,Oregon State,13,25,13,57,1,Drew Eubanks made Jumper. Assisted by Olaf Schaftenaar.
Washington State,Oregon State,13,25,14,18,0,Junior Longrus missed Jumper.
Washington State,Oregon State,13,25,14,18,0,Drew Eubanks Block.
Washington State,Oregon State,13,25,14,20,0,Tres Tinkle Defensive Rebound.
Washington State,Oregon State,13,28,14,42,1,Gary Payton II made Three Point Jumper. Assisted by Malcolm Duvivier.
Washington State,Oregon State,15,28,15,1,1,Josh Hawkinson made Layup. Assisted by Que Johnson.
Washington State,Oregon State,15,31,15,16,1,Olaf Schaftenaar made Three Point Jumper. Assisted by Malcolm Duvivier.
Washington State,Oregon State,18,31,15,38,1,Ike Iroegbu made Three Point Jumper.
Washington State,Oregon State,18,31,16,6,0,Tres Tinkle missed Layup.
Washington State,Oregon State,18,31,16,6,0,Junior Longrus Defensive Rebound.
Washington State,Oregon State,18,31,16,15,0,Official TV Timeout
Washington State,Oregon State,18,31,16,30,0,Charles Callison missed Three Point Jumper.
Washington State,Oregon State,18,31,16,30,0,Olaf Schaftenaar Defensive Rebound.
Washington State,Oregon State,18,31,16,49,0,Olaf Schaftenaar missed Three Point Jumper.
Washington State,Oregon State,18,31,16,49,0,Josh Hawkinson Defensive Rebound.
Washington State,Oregon State,18,31,16,57,0,Foul on Jarmal Reid.
Washington State,Oregon State,18,31,17,22,0,Que Johnson Turnover.
Washington State,Oregon State,18,31,17,39,0,Foul on Derrien King.
Washington State,Oregon State,18,32,17,39,1,Tres Tinkle made Free Throw.
Washington State,Oregon State,18,33,17,39,1,Tres Tinkle made Free Throw.
Washington State,Oregon State,20,33,17,48,1,Que Johnson made Jumper. Assisted by Charles Callison.
Washington State,Oregon State,20,35,18,22,1,Tres Tinkle made Layup. Assisted by Gary Payton II.
Washington State,Oregon State,20,35,18,37,0,Que Johnson Turnover.
Washington State,Oregon State,20,35,18,39,0,Drew Eubanks Steal.
Washington State,Oregon State,20,35,18,40,0,Drew Eubanks Turnover.
Washington State,Oregon State,20,35,18,41,0,Josh Hawkinson Steal.
Washington State,Oregon State,23,35,18,44,1,Charles Callison made Three Point Jumper. Assisted by Ike Iroegbu.
Washington State,Oregon State,23,35,19,10,0,Foul on Stephen Thompson Jr..
Washington State,Oregon State,23,35,19,10,0,Stephen Thompson Jr. Turnover.
Washington State,Oregon State,25,35,19,31,1,Valentine Izundu made Dunk. Assisted by Que Johnson.
Washington State,Oregon State,25,35,19,37,0,Oregon St  Timeout
Washington State,Oregon State,25,35,19,57,0,Tres Tinkle missed Layup.
Washington State,Oregon State,25,35,19,57,0,Ike Iroegbu Block.
Washington State,Oregon State,25,35,19,59,0,Ike Iroegbu Defensive Rebound.
Washington State,Oregon State,25,35,20,0,0,End of 1st half
Washington State,Oregon State,25,35,20,21,0,Josh Hawkinson missed Jumper.
Washington State,Oregon State,25,35,20,21,0,Drew Eubanks Defensive Rebound.
Washington State,Oregon State,25,35,20,43,0,Gary Payton II missed Jumper.
Washington State,Oregon State,25,35,20,43,0,Derrien King Defensive Rebound.
Washington State,Oregon State,25,35,21,7,0,Que Johnson missed Jumper.
Washington State,Oregon State,25,35,21,7,0,Josh Hawkinson Offensive Rebound.
Washington State,Oregon State,28,35,21,19,1,Charles Callison made Three Point Jumper. Assisted by Ike Iroegbu.
Washington State,Oregon State,28,35,21,46,0,Gary Payton II missed Layup.
Washington State,Oregon State,28,35,21,46,0,Gary Payton II Offensive Rebound.
Washington State,Oregon State,28,37,21,49,1,Gary Payton II made Layup.
Washington State,Oregon State,28,37,22,4,0,Foul on Gary Payton II.
Washington State,Oregon State,28,37,22,21,0,Josh Hawkinson Turnover.
Washington State,Oregon State,28,37,22,46,0,Foul on Derrien King.
Washington State,Oregon State,28,40,22,48,1,Olaf Schaftenaar made Three Point Jumper. Assisted by Gary Payton II.
