Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Maryland,Purdue,0,0,0,0,0,Jump Ball won by Purdue
Maryland,Purdue,0,0,0,16,0,Foul on Jake Layman.
Maryland,Purdue,0,0,0,19,0,Caleb Swanigan missed Jumper.
Maryland,Purdue,0,0,0,19,0,P.J. Thompson Offensive Rebound.
Maryland,Purdue,0,2,0,30,1,Vince Edwards made Jumper.
Maryland,Purdue,0,2,0,51,0,Melo Trimble missed Three Point Jumper.
Maryland,Purdue,0,2,0,51,0,Rapheal Davis Defensive Rebound.
Maryland,Purdue,0,4,1,5,1,Caleb Swanigan made Layup. Assisted by P.J. Thompson.
Maryland,Purdue,2,4,1,24,1,Jake Layman made Jumper.
Maryland,Purdue,2,4,1,42,0,Rapheal Davis missed Layup.
Maryland,Purdue,2,4,1,42,0,Rapheal Davis Offensive Rebound.
Maryland,Purdue,2,7,1,53,1,Rapheal Davis made Three Point Jumper. Assisted by A.J. Hammons.
Maryland,Purdue,2,7,2,9,0,Diamond Stone missed Jumper.
Maryland,Purdue,2,7,2,9,0,Maryland Deadball Team Rebound.
Maryland,Purdue,2,7,2,9,0,Foul on Caleb Swanigan.
Maryland,Purdue,5,7,2,11,1,Rasheed Sulaimon made Three Point Jumper. Assisted by Jake Layman.
Maryland,Purdue,5,9,2,29,1,A.J. Hammons made Jumper.
Maryland,Purdue,5,9,2,43,0,Diamond Stone missed Jumper.
Maryland,Purdue,5,9,2,43,0,Caleb Swanigan Defensive Rebound.
Maryland,Purdue,5,12,2,53,1,A.J. Hammons made Three Point Jumper. Assisted by P.J. Thompson.
Maryland,Purdue,5,12,3,21,0,Robert Carter missed Jumper.
Maryland,Purdue,5,12,3,21,0,Maryland Deadball Team Rebound.
Maryland,Purdue,5,12,3,33,0,Rasheed Sulaimon missed Three Point Jumper.
Maryland,Purdue,5,12,3,33,0,Caleb Swanigan Defensive Rebound.
Maryland,Purdue,5,12,3,36,0,Foul on Damonte Dodd.
Maryland,Purdue,5,12,3,52,0,Rapheal Davis Turnover.
Maryland,Purdue,8,12,4,0,1,Jake Layman made Three Point Jumper. Assisted by Robert Carter.
Maryland,Purdue,8,12,4,12,0,Rapheal Davis missed Three Point Jumper.
Maryland,Purdue,8,12,4,12,0,A.J. Hammons Offensive Rebound.
Maryland,Purdue,8,14,4,18,1,A.J. Hammons made Layup.
Maryland,Purdue,8,14,4,35,0,Damonte Dodd missed Layup.
Maryland,Purdue,8,14,4,35,0,A.J. Hammons Block.
Maryland,Purdue,8,14,4,35,0,A.J. Hammons Defensive Rebound.
Maryland,Purdue,8,14,4,48,0,Vince Edwards missed Layup.
Maryland,Purdue,8,14,4,48,0,Robert Carter Block.
Maryland,Purdue,8,14,4,48,0,Rasheed Sulaimon Defensive Rebound.
Maryland,Purdue,8,14,4,56,0,Melo Trimble missed Three Point Jumper.
Maryland,Purdue,8,14,4,56,0,Purdue Deadball Team Rebound.
Maryland,Purdue,8,14,4,59,0,Official TV Timeout
Maryland,Purdue,8,14,5,16,0,Foul on Damonte Dodd.
Maryland,Purdue,8,14,5,22,0,Foul on Michal Cekovsky.
Maryland,Purdue,8,15,5,22,1,Vince Edwards made Free Throw.
Maryland,Purdue,8,15,5,22,0,Vince Edwards missed Free Throw.
Maryland,Purdue,8,15,5,22,0,Maryland Deadball Team Rebound.
Maryland,Purdue,8,15,5,22,0,Foul on Isaac Haas.
Maryland,Purdue,8,15,5,47,0,Rasheed Sulaimon missed Jumper.
Maryland,Purdue,8,15,5,47,0,Rapheal Davis Defensive Rebound.
Maryland,Purdue,8,17,5,53,1,Rapheal Davis made Layup.
Maryland,Purdue,8,17,5,57,0,Foul on Robert Carter.
Maryland,Purdue,8,17,5,57,0,Robert Carter Turnover.
Maryland,Purdue,8,17,6,7,0,Isaac Haas missed Layup.
Maryland,Purdue,8,17,6,7,0,Isaac Haas Offensive Rebound.
Maryland,Purdue,8,19,6,15,1,Isaac Haas made Layup.
Maryland,Purdue,8,19,6,32,0,Foul on Vince Edwards.
Maryland,Purdue,8,19,6,47,0,Diamond Stone missed Layup.
Maryland,Purdue,8,19,6,47,0,Rapheal Davis Defensive Rebound.
Maryland,Purdue,8,19,6,56,0,Rapheal Davis missed Three Point Jumper.
Maryland,Purdue,8,19,6,56,0,Johnny Hill Offensive Rebound.
Maryland,Purdue,8,22,7,0,1,Dakota Mathias made Three Point Jumper. Assisted by Johnny Hill.
Maryland,Purdue,8,22,7,0,0,Maryland  Timeout
Maryland,Purdue,8,22,7,18,0,Rasheed Sulaimon Turnover.
Maryland,Purdue,8,22,7,18,0,Johnny Hill Steal.
Maryland,Purdue,8,24,7,23,1,Johnny Hill made Layup.
Maryland,Purdue,10,24,7,57,1,Robert Carter made Jumper.
Maryland,Purdue,10,24,8,14,0,Caleb Swanigan missed Three Point Jumper.
Maryland,Purdue,10,24,8,14,0,Maryland Deadball Team Rebound.
Maryland,Purdue,10,24,8,16,0,Foul on A.J. Hammons.
Maryland,Purdue,10,24,8,16,0,Official TV Timeout
Maryland,Purdue,13,24,8,40,1,Jared Nickens made Three Point Jumper. Assisted by Robert Carter.
Maryland,Purdue,13,24,9,4,0,A.J. Hammons missed Jumper.
Maryland,Purdue,13,24,9,4,0,Caleb Swanigan Offensive Rebound.
Maryland,Purdue,13,24,9,26,0,A.J. Hammons Turnover.
Maryland,Purdue,15,24,9,42,1,Diamond Stone made Jumper.
Maryland,Purdue,15,24,9,54,0,Vince Edwards missed Three Point Jumper.
Maryland,Purdue,15,24,9,54,0,Melo Trimble Defensive Rebound.
Maryland,Purdue,15,24,10,1,0,Jared Nickens missed Three Point Jumper.
Maryland,Purdue,15,24,10,1,0,A.J. Hammons Defensive Rebound.
Maryland,Purdue,15,24,10,1,0,Foul on Jared Nickens.
Maryland,Purdue,15,24,10,11,0,Vince Edwards Turnover.
Maryland,Purdue,15,24,10,11,0,Jared Nickens Steal.
Maryland,Purdue,15,24,10,18,0,Jared Nickens missed Jumper.
Maryland,Purdue,15,24,10,18,0,Michal Cekovsky Offensive Rebound.
Maryland,Purdue,15,24,10,18,0,Michal Cekovsky missed Two Point Tip Shot.
Maryland,Purdue,15,24,10,18,0,Caleb Swanigan Defensive Rebound.
Maryland,Purdue,15,24,10,33,0,Foul on Michal Cekovsky.
Maryland,Purdue,15,25,10,33,1,Caleb Swanigan made Free Throw.
Maryland,Purdue,15,25,10,33,0,Caleb Swanigan missed Free Throw.
Maryland,Purdue,15,25,10,36,0,Jared Nickens Defensive Rebound.
Maryland,Purdue,15,25,10,56,0,Jared Nickens missed Three Point Jumper.
Maryland,Purdue,15,25,10,56,0,Jake Layman Offensive Rebound.
Maryland,Purdue,17,25,11,5,1,Jake Layman made Layup.
Maryland,Purdue,17,25,11,16,0,Foul on A.J. Hammons.
Maryland,Purdue,17,25,11,16,0,A.J. Hammons Turnover.
Maryland,Purdue,19,25,11,30,1,Diamond Stone made Layup.
Maryland,Purdue,19,27,11,58,1,Caleb Swanigan made Layup. Assisted by Vince Edwards.
Maryland,Purdue,21,27,12,15,1,Diamond Stone made Jumper.
Maryland,Purdue,21,27,12,39,0,Isaac Haas Turnover.
Maryland,Purdue,21,27,12,39,0,Official TV Timeout
Maryland,Purdue,21,27,13,7,0,Diamond Stone missed Layup.
Maryland,Purdue,21,27,13,7,0,Robert Carter Offensive Rebound.
Maryland,Purdue,23,27,13,14,1,Robert Carter made Dunk.
Maryland,Purdue,23,27,13,27,0,P.J. Thompson missed Three Point Jumper.
Maryland,Purdue,23,27,13,27,0,Isaac Haas Offensive Rebound.
Maryland,Purdue,23,27,13,33,0,Isaac Haas missed Layup.
Maryland,Purdue,23,27,13,33,0,Diamond Stone Block.
Maryland,Purdue,23,27,13,33,0,Purdue Offensive Rebound.
Maryland,Purdue,23,29,13,56,1,Isaac Haas made Jumper. Assisted by Caleb Swanigan.
Maryland,Purdue,25,29,14,18,1,Diamond Stone made Layup. Assisted by Melo Trimble.
Maryland,Purdue,25,31,14,36,1,Isaac Haas made Dunk. Assisted by Caleb Swanigan.
Maryland,Purdue,25,31,14,58,0,Foul on Isaac Haas.
Maryland,Purdue,26,31,14,58,1,Robert Carter made Free Throw.
Maryland,Purdue,27,31,14,58,1,Robert Carter made Free Throw.
Maryland,Purdue,27,31,15,12,0,Rapheal Davis missed Jumper.
Maryland,Purdue,27,31,15,12,0,Melo Trimble Defensive Rebound.
Maryland,Purdue,27,31,15,26,0,Foul on Johnny Hill.
Maryland,Purdue,28,31,15,26,1,Melo Trimble made Free Throw.
Maryland,Purdue,29,31,15,26,1,Melo Trimble made Free Throw.
Maryland,Purdue,29,33,15,46,1,Vince Edwards made Layup. Assisted by Caleb Swanigan.
Maryland,Purdue,29,33,16,3,0,Foul on Johnny Hill.
Maryland,Purdue,29,33,16,3,0,Official TV Timeout
Maryland,Purdue,30,33,16,3,1,Melo Trimble made Free Throw.
Maryland,Purdue,31,33,16,3,1,Melo Trimble made Free Throw.
Maryland,Purdue,31,36,16,15,1,Dakota Mathias made Three Point Jumper.
Maryland,Purdue,34,36,16,39,1,Jared Nickens made Three Point Jumper. Assisted by Melo Trimble.
Maryland,Purdue,34,36,17,12,0,Caleb Swanigan Turnover.
Maryland,Purdue,34,36,17,27,0,Melo Trimble missed Layup.
Maryland,Purdue,34,36,17,27,0,Vince Edwards Defensive Rebound.
Maryland,Purdue,34,38,17,50,1,Dakota Mathias made Jumper.
Maryland,Purdue,34,38,18,6,0,Foul on Dakota Mathias.
Maryland,Purdue,35,38,18,6,1,Jared Nickens made Free Throw.
