Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Rhode Island,Nebraska,0,0,0,30,0,Four McGlynn missed Three Point Jumper.
Rhode Island,Nebraska,0,0,0,30,0,Michael Jacobson Defensive Rebound.
Rhode Island,Nebraska,0,3,0,57,1,Shavon Shields made Three Point Jumper. Assisted by Michael Jacobson.
Rhode Island,Nebraska,0,3,1,20,0,Four McGlynn Turnover.
Rhode Island,Nebraska,0,3,1,21,0,Andrew White Steal.
Rhode Island,Nebraska,0,5,1,37,1,Shavon Shields made Jumper. Assisted by Andrew White.
Rhode Island,Nebraska,0,5,1,38,0,Foul on Hassan Martin.
Rhode Island,Nebraska,0,6,1,38,1,Shavon Shields made Free Throw.
Rhode Island,Nebraska,2,6,1,50,1,Kuran Iverson made Layup.
Rhode Island,Nebraska,2,6,2,6,0,Shavon Shields Turnover.
Rhode Island,Nebraska,2,6,2,21,0,Kuran Iverson missed Three Point Jumper.
Rhode Island,Nebraska,2,6,2,21,0,Benny Parker Defensive Rebound.
Rhode Island,Nebraska,2,6,2,32,0,Benny Parker Turnover.
Rhode Island,Nebraska,5,6,2,50,1,Jarvis Garrett made Three Point Jumper. Assisted by Hassan Martin.
Rhode Island,Nebraska,5,6,3,11,0,Shavon Shields missed Jumper.
Rhode Island,Nebraska,5,6,3,11,0,Hassan Martin Block.
Rhode Island,Nebraska,5,6,3,13,0,Jared Terrell Defensive Rebound.
Rhode Island,Nebraska,5,6,3,16,0,Jared Terrell Turnover.
Rhode Island,Nebraska,5,6,3,16,0,Glynn Watson Jr. Steal.
Rhode Island,Nebraska,5,6,3,25,0,Andrew White missed Three Point Jumper.
Rhode Island,Nebraska,5,6,3,25,0,Shavon Shields Offensive Rebound.
Rhode Island,Nebraska,5,8,3,38,1,Michael Jacobson made Jumper. Assisted by Tai Webster.
Rhode Island,Nebraska,7,8,3,59,1,Jared Terrell made Jumper.
Rhode Island,Nebraska,7,8,4,12,0,Andrew White Turnover.
Rhode Island,Nebraska,7,8,4,12,0,Rhode Island  Timeout
Rhode Island,Nebraska,9,8,4,29,1,Kuran Iverson made Layup.
Rhode Island,Nebraska,9,10,4,41,1,Shavon Shields made Jumper.
Rhode Island,Nebraska,9,10,5,12,0,Kuran Iverson missed Three Point Jumper.
Rhode Island,Nebraska,9,10,5,12,0,Michael Jacobson Defensive Rebound.
Rhode Island,Nebraska,9,10,5,26,0,Michael Jacobson missed Jumper.
Rhode Island,Nebraska,9,10,5,26,0,Shavon Shields Offensive Rebound.
Rhode Island,Nebraska,9,10,5,30,0,Shavon Shields missed Jumper.
Rhode Island,Nebraska,9,10,5,30,0,Jarvis Garrett Defensive Rebound.
Rhode Island,Nebraska,9,10,5,37,0,Foul on Glynn Watson Jr..
Rhode Island,Nebraska,9,10,5,49,0,Foul on Jarvis Garrett.
Rhode Island,Nebraska,9,10,5,49,0,Jarvis Garrett Turnover.
