Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Abilene Christian,SE Louisiana,0,0,0,16,0,Jordan Capps Turnover.
Abilene Christian,SE Louisiana,0,0,0,16,0,Foul on Jordan Capps.
Abilene Christian,SE Louisiana,0,0,0,47,0,Abilene Christian  Turnover.
Abilene Christian,SE Louisiana,0,2,1,2,1,Zay Jackson made Jumper.
Abilene Christian,SE Louisiana,0,2,1,33,0,Jalen Little missed Three Point Jumper.
Abilene Christian,SE Louisiana,0,2,1,33,0,Jordan Capps Defensive Rebound.
Abilene Christian,SE Louisiana,0,2,1,53,0,Dominic Nelson missed Jumper.
Abilene Christian,SE Louisiana,0,2,1,53,0,Duran Porter Defensive Rebound.
Abilene Christian,SE Louisiana,3,2,2,4,1,Parker Wentz made Three Point Jumper. Assisted by Duran Porter.
Abilene Christian,SE Louisiana,3,2,2,27,0,Marlain Veal Turnover.
Abilene Christian,SE Louisiana,5,2,2,52,1,Duran Porter made Layup. Assisted by Austin Cooke.
Abilene Christian,SE Louisiana,5,5,3,22,1,Marlain Veal made Three Point Jumper. Assisted by Zay Jackson.
Abilene Christian,SE Louisiana,5,5,3,41,0,Duran Porter Turnover.
Abilene Christian,SE Louisiana,5,5,3,49,0,Marlain Veal Turnover.
Abilene Christian,SE Louisiana,5,5,3,51,0,Parker Wentz Steal.
Abilene Christian,SE Louisiana,7,5,3,54,1,Jaylen Franklin made Layup.
Abilene Christian,SE Louisiana,7,7,4,11,1,Joshua Filmore made Layup. Assisted by Zay Jackson.
Abilene Christian,SE Louisiana,7,7,4,30,0,Foul on Joshua Filmore.
Abilene Christian,SE Louisiana,7,7,4,30,0,Official TV Timeout
Abilene Christian,SE Louisiana,10,7,4,33,1,Austin Cooke made Three Point Jumper. Assisted by Jalen Little.
Abilene Christian,SE Louisiana,10,7,4,55,0,Foul on Austin Cooke.
Abilene Christian,SE Louisiana,10,8,4,55,1,Jordan Capps made Free Throw.
Abilene Christian,SE Louisiana,10,9,4,55,1,Jordan Capps made Free Throw.
Abilene Christian,SE Louisiana,10,9,5,14,0,Jalen Little missed Layup.
Abilene Christian,SE Louisiana,10,9,5,14,0,Jordan Capps Defensive Rebound.
Abilene Christian,SE Louisiana,10,11,5,24,1,Dominic Nelson made Layup. Assisted by Zay Jackson.
Abilene Christian,SE Louisiana,10,11,5,40,0,Foul on Zay Jackson.
Abilene Christian,SE Louisiana,10,11,5,40,0,Jaylen Franklin missed Free Throw.
Abilene Christian,SE Louisiana,10,11,5,40,0,Abilene Christian Deadball Team Rebound.
Abilene Christian,SE Louisiana,10,11,5,40,0,Jaylen Franklin missed Free Throw.
Abilene Christian,SE Louisiana,10,11,5,40,0,Austin Cooke Offensive Rebound.
Abilene Christian,SE Louisiana,13,11,5,48,1,Parker Wentz made Three Point Jumper. Assisted by Jaylen Franklin.
Abilene Christian,SE Louisiana,13,13,6,2,1,Marlain Veal made Jumper.
Abilene Christian,SE Louisiana,15,13,6,25,1,Duran Porter made Layup.
Abilene Christian,SE Louisiana,15,15,6,48,1,Dominic Nelson made Layup. Assisted by Jordan Capps.
Abilene Christian,SE Louisiana,15,15,7,3,0,Parker Wentz missed Three Point Jumper.
Abilene Christian,SE Louisiana,15,15,7,3,0,Jordan Capps Defensive Rebound.
Abilene Christian,SE Louisiana,15,18,7,12,1,Joshua Filmore made Three Point Jumper. Assisted by Marlain Veal.
Abilene Christian,SE Louisiana,15,18,7,14,0,Abilene Christian  Timeout
Abilene Christian,SE Louisiana,15,18,7,28,0,Hayden Howell missed Jumper.
Abilene Christian,SE Louisiana,15,18,7,28,0,Jordan Capps Defensive Rebound.
Abilene Christian,SE Louisiana,15,18,7,46,0,Moses Greenwood missed Jumper.
Abilene Christian,SE Louisiana,15,18,7,46,0,Jordan Capps Offensive Rebound.
Abilene Christian,SE Louisiana,15,18,7,48,0,Foul on Hayden Howell.
Abilene Christian,SE Louisiana,15,19,7,48,1,Jordan Capps made Free Throw.
Abilene Christian,SE Louisiana,15,19,7,48,0,Jordan Capps missed Free Throw.
Abilene Christian,SE Louisiana,15,19,7,48,0,Jovan Crnic Defensive Rebound.
Abilene Christian,SE Louisiana,17,19,8,8,1,Jaylen Franklin made Layup.
Abilene Christian,SE Louisiana,17,22,8,18,1,Dimi Cook made Three Point Jumper. Assisted by Zay Jackson.
Abilene Christian,SE Louisiana,17,22,8,53,0,Abilene Christian  Turnover.
Abilene Christian,SE Louisiana,17,22,8,53,0,Official TV Timeout
Abilene Christian,SE Louisiana,17,22,9,5,0,Zay Jackson Turnover.
Abilene Christian,SE Louisiana,17,22,9,17,0,Jovan Crnic missed Jumper.
Abilene Christian,SE Louisiana,17,22,9,17,0,Zay Jackson Defensive Rebound.
Abilene Christian,SE Louisiana,17,22,9,35,0,Moses Greenwood missed Layup.
Abilene Christian,SE Louisiana,17,22,9,35,0,Moses Greenwood Offensive Rebound.
Abilene Christian,SE Louisiana,17,22,9,39,0,Moses Greenwood Turnover.
Abilene Christian,SE Louisiana,17,22,9,56,0,Jaren Lewis missed Jumper.
Abilene Christian,SE Louisiana,17,22,9,56,0,Moses Greenwood Defensive Rebound.
Abilene Christian,SE Louisiana,17,22,10,0,0,Zay Jackson Turnover.
Abilene Christian,SE Louisiana,17,22,10,1,0,Jaren Lewis Steal.
Abilene Christian,SE Louisiana,17,22,10,6,0,Jovan Crnic missed Three Point Jumper.
Abilene Christian,SE Louisiana,17,22,10,6,0,Abilene Christian Offensive Rebound.
Abilene Christian,SE Louisiana,17,22,10,7,0,Foul on Moses Greenwood.
Abilene Christian,SE Louisiana,17,22,10,10,0,Jaren Lewis missed Jumper.
Abilene Christian,SE Louisiana,17,22,10,10,0,Duran Porter Offensive Rebound.
Abilene Christian,SE Louisiana,17,22,10,28,0,Jaren Lewis missed Jumper.
Abilene Christian,SE Louisiana,17,22,10,28,0,Moses Greenwood Defensive Rebound.
Abilene Christian,SE Louisiana,17,24,10,55,1,Dominic Nelson made Jumper. Assisted by Marlain Veal.
Abilene Christian,SE Louisiana,19,24,11,9,1,Duran Porter made Jumper. Assisted by Jaylen Franklin.
Abilene Christian,SE Louisiana,19,24,11,25,0,JaMichael Hawkins Turnover.
Abilene Christian,SE Louisiana,19,24,11,54,0,Jaylen Franklin missed Jumper.
Abilene Christian,SE Louisiana,19,24,11,54,0,Austin Cooke Offensive Rebound.
Abilene Christian,SE Louisiana,19,24,11,55,0,Foul on Dominic Nelson.
Abilene Christian,SE Louisiana,20,24,11,57,1,Austin Cooke made Free Throw.
Abilene Christian,SE Louisiana,21,24,11,57,1,Austin Cooke made Free Throw.
Abilene Christian,SE Louisiana,21,24,12,19,0,Marlain Veal missed Three Point Jumper.
Abilene Christian,SE Louisiana,21,24,12,19,0,Parker Wentz Defensive Rebound.
Abilene Christian,SE Louisiana,21,24,12,28,0,Parker Wentz missed Three Point Jumper.
Abilene Christian,SE Louisiana,21,24,12,28,0,Dominic Nelson Defensive Rebound.
Abilene Christian,SE Louisiana,21,26,12,36,1,Dimi Cook made Jumper.
Abilene Christian,SE Louisiana,21,26,12,48,0,Foul on Dimi Cook.
Abilene Christian,SE Louisiana,21,26,12,48,0,Official TV Timeout
Abilene Christian,SE Louisiana,21,26,13,3,0,Duran Porter missed Jumper.
Abilene Christian,SE Louisiana,21,26,13,3,0,Moses Greenwood Block.
Abilene Christian,SE Louisiana,21,26,13,5,0,Jaylen Franklin Offensive Rebound.
Abilene Christian,SE Louisiana,21,26,13,6,0,Duran Porter Turnover.
Abilene Christian,SE Louisiana,21,26,13,23,0,JaMichael Hawkins missed Three Point Jumper.
