Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
South Carolina State,Akron,0,0,0,21,0,Ed Stephens missed Three Point Jumper.
South Carolina State,Akron,0,0,0,21,0,Isaiah Johnson Defensive Rebound.
South Carolina State,Akron,0,3,0,52,1,Reggie McAdams made Three Point Jumper. Assisted by Kwan Cheatham Jr..
South Carolina State,Akron,0,3,1,25,0,South Carolina St  Turnover.
South Carolina State,Akron,0,3,1,56,0,Reggie McAdams missed Layup.
South Carolina State,Akron,0,3,1,56,0,Gabe McCray Defensive Rebound.
South Carolina State,Akron,0,3,2,10,0,Tashombe Riley missed Jumper.
South Carolina State,Akron,0,3,2,10,0,Isaiah Johnson Defensive Rebound.
South Carolina State,Akron,0,3,2,18,0,Antino Jackson missed Jumper.
South Carolina State,Akron,0,3,2,18,0,Doudou Gueye Defensive Rebound.
South Carolina State,Akron,2,3,2,25,1,Gabe McCray made Layup.
South Carolina State,Akron,2,3,2,45,0,Foul on Doudou Gueye.
South Carolina State,Akron,2,4,2,45,1,Isaiah Johnson made Free Throw.
South Carolina State,Akron,2,5,2,45,1,Isaiah Johnson made Free Throw.
South Carolina State,Akron,2,5,3,2,0,Doudou Gueye missed Layup.
South Carolina State,Akron,2,5,3,2,0,Kwan Cheatham Jr. Defensive Rebound.
South Carolina State,Akron,2,5,3,12,0,Noah Robotham missed Three Point Jumper.
South Carolina State,Akron,2,5,3,12,0,Tashombe Riley Defensive Rebound.
South Carolina State,Akron,4,5,3,18,1,Ed Stephens made Layup. Assisted by Ty Soloman.
South Carolina State,Akron,4,7,3,43,1,Antino Jackson made Jumper.
South Carolina State,Akron,6,7,3,53,1,Tashombe Riley made Layup. Assisted by Gabe McCray.
South Carolina State,Akron,6,7,4,0,0,Foul on Ty Soloman.
South Carolina State,Akron,6,7,4,9,0,Foul on Doudou Gueye.
South Carolina State,Akron,6,7,4,9,0,Official TV Timeout
South Carolina State,Akron,6,8,4,9,1,Isaiah Johnson made Free Throw.
South Carolina State,Akron,6,9,4,9,1,Isaiah Johnson made Free Throw.
South Carolina State,Akron,6,9,4,38,0,Ty Soloman missed Three Point Jumper.
South Carolina State,Akron,6,9,4,38,0,Kwan Cheatham Jr. Defensive Rebound.
South Carolina State,Akron,6,9,4,55,0,Reggie McAdams Turnover.
South Carolina State,Akron,6,9,4,57,0,Ed Stephens Steal.
South Carolina State,Akron,8,9,4,59,1,Ed Stephens made Layup.
South Carolina State,Akron,8,12,5,26,1,Jake Kretzer made Three Point Jumper. Assisted by Reggie McAdams.
South Carolina State,Akron,10,12,5,36,1,Gabe McCray made Layup.
South Carolina State,Akron,10,12,5,51,0,Isaiah Johnson missed Layup.
South Carolina State,Akron,10,12,5,51,0,Kwan Cheatham Jr. Offensive Rebound.
South Carolina State,Akron,10,12,5,52,0,Foul on Tashombe Riley.
South Carolina State,Akron,10,13,5,52,1,Kwan Cheatham Jr. made Free Throw.
South Carolina State,Akron,10,14,5,52,1,Kwan Cheatham Jr. made Free Throw.
South Carolina State,Akron,12,14,5,59,1,Daryll Palmer made Jumper.
South Carolina State,Akron,12,14,6,4,0,Foul on Kwan Cheatham Jr..
South Carolina State,Akron,13,14,6,11,1,Daryll Palmer made Free Throw.
South Carolina State,Akron,13,14,6,26,0,Antino Jackson missed Three Point Jumper.
South Carolina State,Akron,13,14,6,26,0,Daryll Palmer Defensive Rebound.
South Carolina State,Akron,13,14,6,28,0,Foul on Aaron Jackson.
South Carolina State,Akron,13,14,6,47,0,Daryll Palmer missed Jumper.
South Carolina State,Akron,13,14,6,47,0,Antino Jackson Defensive Rebound.
South Carolina State,Akron,13,16,7,4,1,Aaron Jackson made Layup. Assisted by Antino Jackson.
South Carolina State,Akron,13,16,7,4,0,Foul on Daryll Palmer.
South Carolina State,Akron,13,17,7,4,1,Aaron Jackson made Free Throw.
South Carolina State,Akron,15,17,7,19,1,Eric Eaves made Layup.
South Carolina State,Akron,15,17,7,37,0,Jake Kretzer missed Three Point Jumper.
South Carolina State,Akron,15,17,7,37,0,Daryll Palmer Defensive Rebound.
South Carolina State,Akron,15,17,8,0,0,Greg Mortimer missed Three Point Jumper.
South Carolina State,Akron,15,17,8,0,0,South Carolina St Deadball Team Rebound.
South Carolina State,Akron,15,17,8,0,0,Foul on Isaiah Johnson.
South Carolina State,Akron,15,17,8,0,0,Daryll Palmer missed Free Throw.
South Carolina State,Akron,15,17,8,0,0,South Carolina St Deadball Team Rebound.
