Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Florida,South Carolina,2,0,0,3,1,KeVaughn Allen made Layup.
Florida,South Carolina,2,2,0,28,1,Mindaugas Kacinas made Jumper. Assisted by Michael Carrera.
Florida,South Carolina,2,2,0,52,0,Kasey Hill missed Jumper.
Florida,South Carolina,2,2,0,52,0,Michael Carrera Defensive Rebound.
Florida,South Carolina,2,2,1,8,0,Laimonas Chatkevicius missed Jumper.
Florida,South Carolina,2,2,1,8,0,Laimonas Chatkevicius Offensive Rebound.
Florida,South Carolina,2,2,1,13,0,Laimonas Chatkevicius missed Jumper.
Florida,South Carolina,2,2,1,13,0,John Egbunu Defensive Rebound.
Florida,South Carolina,2,2,1,27,0,Foul on Duane Notice.
Florida,South Carolina,2,2,1,40,0,John Egbunu missed Jumper.
Florida,South Carolina,2,2,1,40,0,Michael Carrera Block.
Florida,South Carolina,2,2,1,43,0,Dorian Finney-Smith Offensive Rebound.
Florida,South Carolina,4,2,1,46,1,Justin Leon made Jumper. Assisted by Kasey Hill.
Florida,South Carolina,4,4,1,53,1,Mindaugas Kacinas made Layup. Assisted by Sindarius Thornwell.
Florida,South Carolina,4,4,2,9,0,Justin Leon missed Three Point Jumper.
Florida,South Carolina,4,4,2,9,0,John Egbunu Offensive Rebound.
Florida,South Carolina,4,4,2,22,0,KeVaughn Allen missed Three Point Jumper.
Florida,South Carolina,4,4,2,22,0,Michael Carrera Defensive Rebound.
Florida,South Carolina,4,4,2,32,0,Laimonas Chatkevicius missed Three Point Jumper.
Florida,South Carolina,4,4,2,32,0,Duane Notice Offensive Rebound.
Florida,South Carolina,4,4,2,43,0,Michael Carrera missed Jumper.
Florida,South Carolina,4,4,2,43,0,Michael Carrera Offensive Rebound.
Florida,South Carolina,4,4,2,46,0,Foul on John Egbunu.
Florida,South Carolina,4,4,2,46,0,Florida  Timeout
Florida,South Carolina,4,5,2,46,1,Michael Carrera made Free Throw.
Florida,South Carolina,4,5,2,46,0,Michael Carrera missed Free Throw.
Florida,South Carolina,4,5,2,46,0,Laimonas Chatkevicius Offensive Rebound.
Florida,South Carolina,4,7,2,57,1,Sindarius Thornwell made Jumper. Assisted by Michael Carrera.
Florida,South Carolina,4,7,3,13,0,Dorian Finney-Smith missed Three Point Jumper.
Florida,South Carolina,4,7,3,13,0,John Egbunu Offensive Rebound.
Florida,South Carolina,4,7,3,21,0,John Egbunu missed Jumper.
Florida,South Carolina,4,7,3,21,0,Michael Carrera Defensive Rebound.
Florida,South Carolina,4,7,3,33,0,Michael Carrera missed Three Point Jumper.
Florida,South Carolina,4,7,3,33,0,Kasey Hill Defensive Rebound.
Florida,South Carolina,4,7,3,42,0,Kasey Hill Turnover.
Florida,South Carolina,4,7,3,42,0,Sindarius Thornwell Steal.
Florida,South Carolina,4,7,3,54,0,Michael Carrera missed Jumper.
Florida,South Carolina,4,7,3,54,0,John Egbunu Block.
Florida,South Carolina,4,7,3,54,0,Michael Carrera Offensive Rebound.
Florida,South Carolina,4,9,4,4,1,Mindaugas Kacinas made Jumper.
Florida,South Carolina,4,9,4,25,0,Kasey Hill Turnover.
Florida,South Carolina,4,9,4,27,0,Duane Notice Steal.
Florida,South Carolina,4,9,4,27,0,Foul on Kasey Hill.
Florida,South Carolina,4,9,4,27,0,Official TV Timeout
Florida,South Carolina,4,9,4,51,0,PJ Dozier Turnover.
Florida,South Carolina,4,9,5,2,0,Kevarrius Hayes missed Jumper.
Florida,South Carolina,4,9,5,2,0,Kevarrius Hayes Offensive Rebound.
Florida,South Carolina,4,9,5,4,0,Foul on Chris Silva.
Florida,South Carolina,4,9,5,4,0,Kevarrius Hayes missed Free Throw.
Florida,South Carolina,4,9,5,4,0,Florida Deadball Team Rebound.
Florida,South Carolina,5,9,5,4,1,Kevarrius Hayes made Free Throw.
Florida,South Carolina,5,9,5,20,0,Laimonas Chatkevicius missed Jumper.
Florida,South Carolina,5,9,5,20,0,Kevarrius Hayes Defensive Rebound.
Florida,South Carolina,5,9,5,51,0,Chris Chiozza missed Three Point Jumper.
Florida,South Carolina,5,9,5,51,0,Dorian Finney-Smith Offensive Rebound.
Florida,South Carolina,5,9,5,56,0,KeVaughn Allen missed Three Point Jumper.
Florida,South Carolina,5,9,5,56,0,Marcus Stroman Defensive Rebound.
Florida,South Carolina,5,9,6,5,0,Michael Carrera missed Jumper.
Florida,South Carolina,5,9,6,5,0,Michael Carrera Offensive Rebound.
Florida,South Carolina,5,11,6,8,1,Michael Carrera made Jumper.
Florida,South Carolina,7,11,6,24,1,Devin Robinson made Jumper.
Florida,South Carolina,7,11,6,48,0,PJ Dozier missed Jumper.
Florida,South Carolina,7,11,6,48,0,Dorian Finney-Smith Defensive Rebound.
Florida,South Carolina,7,11,6,53,0,Chris Chiozza Turnover.
Florida,South Carolina,7,13,7,13,1,Laimonas Chatkevicius made Jumper. Assisted by Duane Notice.
Florida,South Carolina,10,13,7,23,1,Devin Robinson made Three Point Jumper. Assisted by Kasey Hill.
Florida,South Carolina,10,15,7,33,1,Mindaugas Kacinas made Layup.
Florida,South Carolina,10,15,8,7,0,Florida  Turnover.
Florida,South Carolina,10,15,8,7,0,Official TV Timeout
Florida,South Carolina,10,15,8,27,0,Mindaugas Kacinas missed Three Point Jumper.
Florida,South Carolina,10,15,8,27,0,Brandone Francis-Ramirez Defensive Rebound.
Florida,South Carolina,10,15,8,38,0,Kasey Hill Turnover.
Florida,South Carolina,10,18,8,52,1,Duane Notice made Three Point Jumper.
Florida,South Carolina,10,18,9,10,0,Brandone Francis-Ramirez missed Three Point Jumper.
Florida,South Carolina,10,18,9,10,0,Dorian Finney-Smith Offensive Rebound.
Florida,South Carolina,10,18,9,15,0,Chris Chiozza missed Three Point Jumper.
Florida,South Carolina,10,18,9,15,0,Devin Robinson Offensive Rebound.
Florida,South Carolina,10,18,9,24,0,Dorian Finney-Smith missed Jumper.
Florida,South Carolina,10,18,9,24,0,Devin Robinson Offensive Rebound.
Florida,South Carolina,10,18,9,29,0,Brandone Francis-Ramirez missed Three Point Jumper.
Florida,South Carolina,10,18,9,29,0,Mindaugas Kacinas Defensive Rebound.
Florida,South Carolina,10,21,9,42,1,Michael Carrera made Three Point Jumper.
Florida,South Carolina,10,21,10,18,0,John Egbunu missed Jumper.
Florida,South Carolina,10,21,10,18,0,Dorian Finney-Smith Offensive Rebound.
Florida,South Carolina,10,21,10,23,0,Foul on Sindarius Thornwell.
Florida,South Carolina,10,21,10,37,0,Devin Robinson missed Three Point Jumper.
Florida,South Carolina,10,21,10,37,0,Florida Offensive Rebound.
Florida,South Carolina,13,21,10,55,1,Chris Chiozza made Three Point Jumper. Assisted by Justin Leon.
Florida,South Carolina,13,24,11,5,1,Laimonas Chatkevicius made Three Point Jumper. Assisted by Sindarius Thornwell.
Florida,South Carolina,13,24,11,14,0,Schuyler Rimmer Turnover.
Florida,South Carolina,13,24,11,14,0,Foul on Schuyler Rimmer.
Florida,South Carolina,13,24,11,26,0,Mindaugas Kacinas missed Layup.
Florida,South Carolina,13,24,11,26,0,Michael Carrera Offensive Rebound.
Florida,South Carolina,13,24,11,29,0,Michael Carrera missed Jumper.
Florida,South Carolina,13,24,11,29,0,Michael Carrera Offensive Rebound.
Florida,South Carolina,13,26,11,31,1,Michael Carrera made Two Point Tip Shot.
Florida,South Carolina,13,26,11,42,0,Chris Chiozza missed Jumper.
