Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Southern Miss,Tulane,0,0,0,24,0,Von Julien missed Jumper.
Southern Miss,Tulane,0,0,0,24,0,Khari Price Block.
Southern Miss,Tulane,0,0,0,24,0,Tulane Offensive Rebound.
Southern Miss,Tulane,0,0,0,31,0,Malik Morgan missed Jumper.
Southern Miss,Tulane,0,0,0,31,0,Eddie Davis III Defensive Rebound.
Southern Miss,Tulane,2,0,0,47,1,Eddie Davis III made Layup.
Southern Miss,Tulane,2,0,1,8,0,Louis Dabney missed Three Point Jumper.
Southern Miss,Tulane,2,0,1,8,0,Malik Morgan Offensive Rebound.
Southern Miss,Tulane,2,2,1,10,1,Malik Morgan made Layup.
Southern Miss,Tulane,2,2,1,35,0,Cortez Edwards Turnover.
Southern Miss,Tulane,2,2,2,0,0,Jernard Jarreau missed Layup.
Southern Miss,Tulane,2,2,2,0,0,Cortez Edwards Block.
Southern Miss,Tulane,2,2,2,0,0,Tulane Offensive Rebound.
Southern Miss,Tulane,2,2,2,4,0,Von Julien missed Three Point Jumper.
Southern Miss,Tulane,2,2,2,4,0,Kourtlin Jackson Defensive Rebound.
Southern Miss,Tulane,2,2,2,11,0,Khari Price missed Three Point Jumper.
Southern Miss,Tulane,2,2,2,11,0,Malik Morgan Defensive Rebound.
Southern Miss,Tulane,2,4,2,21,1,Jernard Jarreau made Layup.
Southern Miss,Tulane,2,4,2,21,0,Foul on Eddie Davis III.
Southern Miss,Tulane,2,4,2,21,0,Jernard Jarreau missed Free Throw.
Southern Miss,Tulane,2,4,2,21,0,Eddie Davis III Defensive Rebound.
Southern Miss,Tulane,2,4,2,41,0,Keljin Blevins Turnover.
Southern Miss,Tulane,2,7,2,54,1,Kain Harris made Three Point Jumper. Assisted by Von Julien.
Southern Miss,Tulane,2,7,3,26,0,Khari Price missed Three Point Jumper.
Southern Miss,Tulane,2,7,3,26,0,Eddie Davis III Offensive Rebound.
Southern Miss,Tulane,2,7,3,31,0,Eddie Davis III missed Jumper.
Southern Miss,Tulane,2,7,3,31,0,Dylan Osetkowski Defensive Rebound.
Southern Miss,Tulane,2,7,3,43,0,Von Julien missed Three Point Jumper.
Southern Miss,Tulane,2,7,3,43,0,Kourtlin Jackson Defensive Rebound.
Southern Miss,Tulane,2,7,4,10,0,Foul on Kain Harris.
Southern Miss,Tulane,2,7,4,10,0,Official TV Timeout
Southern Miss,Tulane,3,7,4,10,1,Kourtlin Jackson made Free Throw.
Southern Miss,Tulane,4,7,4,10,1,Kourtlin Jackson made Free Throw.
Southern Miss,Tulane,4,7,4,35,0,Malik Morgan missed Jumper.
Southern Miss,Tulane,4,7,4,35,0,Jernard Jarreau Offensive Rebound.
Southern Miss,Tulane,4,7,4,39,0,Jernard Jarreau Turnover.
Southern Miss,Tulane,6,7,4,53,1,Cortez Edwards made Jumper. Assisted by Khari Price.
Southern Miss,Tulane,6,7,5,7,0,Jernard Jarreau missed Layup.
Southern Miss,Tulane,6,7,5,7,0,Khari Price Block.
Southern Miss,Tulane,6,7,5,8,0,Cortez Edwards Defensive Rebound.
Southern Miss,Tulane,8,7,5,12,1,Kourtlin Jackson made Layup. Assisted by Cortez Edwards.
Southern Miss,Tulane,8,7,5,39,0,Von Julien missed Three Point Jumper.
Southern Miss,Tulane,8,7,5,39,0,Jernard Jarreau Offensive Rebound.
Southern Miss,Tulane,8,7,5,42,0,Jernard Jarreau missed Layup.
Southern Miss,Tulane,8,7,5,42,0,Kourtlin Jackson Defensive Rebound.
Southern Miss,Tulane,8,7,5,44,0,Foul on Jernard Jarreau.
Southern Miss,Tulane,8,7,6,3,0,Cortez Edwards missed Three Point Jumper.
Southern Miss,Tulane,8,7,6,3,0,Dylan Osetkowski Defensive Rebound.
Southern Miss,Tulane,8,7,6,11,0,Foul on Raheem Watts.
Southern Miss,Tulane,8,8,6,11,1,Malik Morgan made Free Throw.
Southern Miss,Tulane,8,9,6,11,1,Malik Morgan made Free Throw.
Southern Miss,Tulane,10,9,6,29,1,Khari Price made Layup.
Southern Miss,Tulane,10,11,6,37,1,Cameron Reynolds made Jumper.
Southern Miss,Tulane,10,11,7,1,0,Eddie Davis III missed Three Point Jumper.
Southern Miss,Tulane,10,11,7,1,0,Southern Miss Offensive Rebound.
Southern Miss,Tulane,10,11,7,8,0,Eddie Davis III missed Jumper.
Southern Miss,Tulane,10,11,7,8,0,Cameron Reynolds Defensive Rebound.
Southern Miss,Tulane,10,11,7,11,0,Foul on Khari Price.
Southern Miss,Tulane,10,14,7,13,1,Cameron Reynolds made Three Point Jumper. Assisted by Louis Dabney.
Southern Miss,Tulane,10,14,7,31,0,Tim Rowe missed Jumper.
Southern Miss,Tulane,10,14,7,31,0,Cameron Reynolds Defensive Rebound.
Southern Miss,Tulane,10,14,7,39,0,Louis Dabney missed Layup.
Southern Miss,Tulane,10,14,7,39,0,Raheem Watts Defensive Rebound.
Southern Miss,Tulane,10,14,7,54,0,Kourtlin Jackson missed Three Point Jumper.
Southern Miss,Tulane,10,14,7,54,0,Kain Harris Defensive Rebound.
Southern Miss,Tulane,10,14,8,6,0,Kain Harris missed Three Point Jumper.
Southern Miss,Tulane,10,14,8,6,0,Cameron Reynolds Offensive Rebound.
Southern Miss,Tulane,10,14,8,7,0,Foul on Cameron Reynolds.
Southern Miss,Tulane,10,14,8,7,0,Cameron Reynolds Turnover.
Southern Miss,Tulane,10,14,8,7,0,Official TV Timeout
Southern Miss,Tulane,10,14,8,37,0,Michael Ramey missed Jumper.
Southern Miss,Tulane,10,14,8,37,0,Tulane Defensive Rebound.
Southern Miss,Tulane,10,14,9,1,0,Ryan Smith missed Layup.
