Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Middle Tennessee,Southern Miss,0,0,0,11,0,Foul on Darnell Harris.
Middle Tennessee,Southern Miss,0,0,0,11,0,Southern Miss  Turnover.
Middle Tennessee,Southern Miss,0,0,0,29,0,Perrin Buford Turnover.
Middle Tennessee,Southern Miss,0,2,0,54,1,Kourtlin Jackson made Jumper.
Middle Tennessee,Southern Miss,0,2,1,25,0,Giddy Potts missed Three Point Jumper.
Middle Tennessee,Southern Miss,0,2,1,25,0,Kourtlin Jackson Defensive Rebound.
Middle Tennessee,Southern Miss,0,2,1,28,0,Foul on Perrin Buford.
Middle Tennessee,Southern Miss,0,4,1,52,1,Kourtlin Jackson made Layup.
Middle Tennessee,Southern Miss,0,4,2,4,0,Quavius Copeland missed Three Point Jumper.
Middle Tennessee,Southern Miss,0,4,2,4,0,Quinton Campbell Defensive Rebound.
Middle Tennessee,Southern Miss,0,7,2,31,1,Quinton Campbell made Three Point Jumper. Assisted by Keljin Blevins.
Middle Tennessee,Southern Miss,0,7,2,32,0,Middle Tennessee  Timeout
Middle Tennessee,Southern Miss,0,7,2,52,0,Darnell Harris Turnover.
Middle Tennessee,Southern Miss,0,9,3,23,1,Raheem Watts made Jumper.
Middle Tennessee,Southern Miss,0,9,3,37,0,Foul on Keljin Blevins.
Middle Tennessee,Southern Miss,0,9,3,50,0,Darnell Harris missed Jumper.
Middle Tennessee,Southern Miss,0,9,3,50,0,Kourtlin Jackson Defensive Rebound.
Middle Tennessee,Southern Miss,0,9,4,0,0,Khari Price missed Layup.
Middle Tennessee,Southern Miss,0,9,4,0,0,Perrin Buford Defensive Rebound.
Middle Tennessee,Southern Miss,0,9,4,11,0,Darnell Harris missed Three Point Jumper.
Middle Tennessee,Southern Miss,0,9,4,11,0,Southern Miss Defensive Rebound.
Middle Tennessee,Southern Miss,0,9,4,15,0,Official TV Timeout
Middle Tennessee,Southern Miss,0,9,4,31,0,Raheem Watts missed Three Point Jumper.
Middle Tennessee,Southern Miss,0,9,4,31,0,Jaqawn Raymond Defensive Rebound.
Middle Tennessee,Southern Miss,0,9,4,47,0,Jaqawn Raymond Turnover.
Middle Tennessee,Southern Miss,0,9,4,49,0,Khari Price Steal.
Middle Tennessee,Southern Miss,0,9,4,53,0,Raheem Watts missed Three Point Jumper.
Middle Tennessee,Southern Miss,0,9,4,53,0,Perrin Buford Defensive Rebound.
Middle Tennessee,Southern Miss,0,9,5,14,0,Foul on Raheem Watts.
Middle Tennessee,Southern Miss,0,9,5,14,0,Darnell Harris missed Free Throw.
