Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Southern,Grand Canyon,0,0,0,14,0,Uros Ljeskovic missed Layup.
Southern,Grand Canyon,0,0,0,14,0,Boubacar Toure Offensive Rebound.
Southern,Grand Canyon,0,0,0,25,0,Joshua Braun missed Jumper.
Southern,Grand Canyon,0,0,0,25,0,Uros Ljeskovic Offensive Rebound.
Southern,Grand Canyon,0,0,0,25,0,Foul on D'Arian Allen.
Southern,Grand Canyon,0,2,0,52,1,Grandy Glaze made Layup. Assisted by Gerard Martin.
Southern,Grand Canyon,0,2,1,3,0,Trelun Banks missed Three Point Jumper.
Southern,Grand Canyon,0,2,1,3,0,Gerard Martin Defensive Rebound.
Southern,Grand Canyon,0,4,1,8,1,Grandy Glaze made Layup.
Southern,Grand Canyon,2,4,1,17,1,Adrian Rodgers made Jumper.
Southern,Grand Canyon,2,4,1,40,0,Uros Ljeskovic missed Layup.
Southern,Grand Canyon,2,4,1,40,0,Southern Defensive Rebound.
Southern,Grand Canyon,2,4,2,0,0,Adrian Rodgers missed Three Point Jumper.
Southern,Grand Canyon,2,4,2,0,0,Jarred Sam Offensive Rebound.
Southern,Grand Canyon,4,4,2,5,1,Jarred Sam made Layup.
Southern,Grand Canyon,4,6,2,16,1,Grandy Glaze made Layup. Assisted by Gerard Martin.
Southern,Grand Canyon,4,6,2,25,0,Adrian Rodgers Turnover.
Southern,Grand Canyon,4,6,2,28,0,Joshua Braun Steal.
Southern,Grand Canyon,4,8,2,34,1,Grandy Glaze made Layup. Assisted by DeWayne Russell.
Southern,Grand Canyon,4,8,2,53,0,Adrian Rodgers Turnover.
Southern,Grand Canyon,4,8,2,54,0,Uros Ljeskovic Steal.
Southern,Grand Canyon,4,10,3,6,1,Uros Ljeskovic made Layup. Assisted by DeWayne Russell.
Southern,Grand Canyon,4,10,3,33,0,Foul on DeWayne Russell.
Southern,Grand Canyon,7,10,3,47,1,Adrian Rodgers made Three Point Jumper. Assisted by Christopher Hyder.
Southern,Grand Canyon,7,10,4,7,0,Joshua Braun Turnover.
Southern,Grand Canyon,7,10,4,8,0,Christopher Hyder Steal.
Southern,Grand Canyon,7,10,4,11,0,Christopher Hyder Turnover.
Southern,Grand Canyon,7,10,4,11,0,Official TV Timeout
Southern,Grand Canyon,7,10,4,12,0,DeWayne Russell Turnover.
Southern,Grand Canyon,10,10,4,40,1,Christopher Hyder made Three Point Jumper.
Southern,Grand Canyon,10,10,5,12,0,Boubacar Toure Turnover.
Southern,Grand Canyon,13,10,5,33,1,Shawn Prudhomme made Three Point Jumper.
Southern,Grand Canyon,13,10,5,54,0,Keonta Vernon Turnover.
Southern,Grand Canyon,13,10,6,7,0,Trelun Banks Turnover.
Southern,Grand Canyon,13,12,6,19,1,Keonta Vernon made Layup. Assisted by DeWayne Russell.
Southern,Grand Canyon,13,12,6,27,0,Shawn Prudhomme missed Three Point Jumper.
Southern,Grand Canyon,13,12,6,27,0,Gerard Martin Defensive Rebound.
Southern,Grand Canyon,13,12,6,40,0,DeWayne Russell missed Layup.
Southern,Grand Canyon,13,12,6,40,0,Boubacar Toure Offensive Rebound.
Southern,Grand Canyon,13,12,6,45,0,Boubacar Toure missed Layup.
Southern,Grand Canyon,13,12,6,45,0,Chris Thomas Defensive Rebound.
Southern,Grand Canyon,13,12,6,50,0,Chris Thomas missed Jumper.
Southern,Grand Canyon,13,12,6,50,0,DeWayne Russell Defensive Rebound.
Southern,Grand Canyon,13,12,7,6,0,Keonta Vernon Turnover.
Southern,Grand Canyon,13,12,7,33,0,Chris Thomas missed Jumper.
Southern,Grand Canyon,13,12,7,33,0,Boubacar Toure Block.
Southern,Grand Canyon,13,12,7,36,0,Keonta Vernon Defensive Rebound.
Southern,Grand Canyon,13,12,7,42,0,Foul on Tony Nunn.
Southern,Grand Canyon,13,12,7,42,0,Boubacar Toure missed Free Throw.
Southern,Grand Canyon,13,12,7,42,0,Grand Canyon Deadball Team Rebound.
Southern,Grand Canyon,13,12,7,42,0,Boubacar Toure missed Free Throw.
Southern,Grand Canyon,13,12,7,42,0,Trelun Banks Defensive Rebound.
Southern,Grand Canyon,13,12,7,49,0,Trelun Banks missed Layup.
Southern,Grand Canyon,13,12,7,49,0,Shawn Prudhomme Offensive Rebound.
Southern,Grand Canyon,15,12,7,56,1,Shawn Prudhomme made Dunk.
Southern,Grand Canyon,15,12,8,7,0,Keonta Vernon missed Jumper.
Southern,Grand Canyon,15,12,8,7,0,Boubacar Toure Offensive Rebound.
Southern,Grand Canyon,15,12,8,15,0,Matt Jackson missed Three Point Jumper.
Southern,Grand Canyon,15,12,8,15,0,Chris Thomas Defensive Rebound.
Southern,Grand Canyon,15,12,8,35,0,Trelun Banks missed Layup.
