Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Dayton,St. Bonaventure,2,0,0,15,1,Kendall Pollard made Dunk. Assisted by Charles Cooke.
Dayton,St. Bonaventure,2,0,0,50,0,Idris Taqqee missed Jumper.
Dayton,St. Bonaventure,2,0,0,50,0,Dayton Defensive Rebound.
Dayton,St. Bonaventure,4,0,1,12,1,Kendall Pollard made Jumper.
Dayton,St. Bonaventure,4,2,1,33,1,Dion Wright made Jumper.
Dayton,St. Bonaventure,6,2,1,39,1,Kendall Pollard made Layup. Assisted by Scoochie Smith.
Dayton,St. Bonaventure,6,4,1,54,1,Marcus Posley made Jumper.
Dayton,St. Bonaventure,6,4,2,15,0,Scoochie Smith missed Three Point Jumper.
Dayton,St. Bonaventure,6,4,2,15,0,Idris Taqqee Defensive Rebound.
Dayton,St. Bonaventure,6,4,2,24,0,Jaylen Adams missed Three Point Jumper.
Dayton,St. Bonaventure,6,4,2,24,0,Dyshawn Pierre Defensive Rebound.
Dayton,St. Bonaventure,8,4,2,31,1,Kyle Davis made Layup. Assisted by Scoochie Smith.
Dayton,St. Bonaventure,8,4,2,31,0,Foul on Jordan Tyson.
Dayton,St. Bonaventure,8,4,2,31,0,Xeyrius Williams Defensive Rebound.
Dayton,St. Bonaventure,8,4,2,31,0,Kyle Davis missed Free Throw.
Dayton,St. Bonaventure,8,4,2,43,0,Foul on Scoochie Smith.
Dayton,St. Bonaventure,8,4,2,55,0,Jaylen Adams Turnover.
Dayton,St. Bonaventure,8,4,3,8,0,Scoochie Smith Turnover.
Dayton,St. Bonaventure,8,4,3,8,0,Jaylen Adams Steal.
Dayton,St. Bonaventure,8,4,3,18,0,Dion Wright missed Three Point Jumper.
Dayton,St. Bonaventure,8,4,3,18,0,Jaylen Adams Offensive Rebound.
Dayton,St. Bonaventure,8,6,3,44,1,Dion Wright made Layup. Assisted by Jaylen Adams.
Dayton,St. Bonaventure,8,6,4,1,0,Kendall Pollard missed Layup.
Dayton,St. Bonaventure,8,6,4,1,0,Derrick Woods Defensive Rebound.
Dayton,St. Bonaventure,8,6,4,23,0,Marcus Posley missed Jumper.
Dayton,St. Bonaventure,8,6,4,23,0,Kendall Pollard Defensive Rebound.
Dayton,St. Bonaventure,8,6,4,30,0,Foul on Derrick Woods.
Dayton,St. Bonaventure,8,6,4,30,0,Official TV Timeout
Dayton,St. Bonaventure,9,6,4,30,1,Charles Cooke made Free Throw.
Dayton,St. Bonaventure,10,6,4,30,1,Charles Cooke made Free Throw.
Dayton,St. Bonaventure,10,8,4,40,1,Marcus Posley made Layup.
Dayton,St. Bonaventure,12,8,5,1,1,Charles Cooke made Layup.
Dayton,St. Bonaventure,12,8,5,8,0,Foul on Charles Cooke.
Dayton,St. Bonaventure,12,8,5,34,0,Denzel Gregg Turnover.
Dayton,St. Bonaventure,12,8,5,36,0,Darrell Davis Steal.
Dayton,St. Bonaventure,14,8,5,55,1,Charles Cooke made Jumper. Assisted by Dyshawn Pierre.
Dayton,St. Bonaventure,14,8,6,14,0,Marcus Posley missed Layup.
Dayton,St. Bonaventure,14,8,6,14,0,John Crosby Defensive Rebound.
Dayton,St. Bonaventure,14,8,6,14,0,Foul on Denzel Gregg.
