Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Stony Brook,Kentucky,0,0,0,0,0,Jump Ball won by Kentucky
Stony Brook,Kentucky,0,0,0,14,0,Alex Poythress missed Jumper.
Stony Brook,Kentucky,0,0,0,14,0,Jameel Warney Defensive Rebound.
Stony Brook,Kentucky,0,0,0,34,0,Lucas Woodhouse Turnover.
Stony Brook,Kentucky,0,0,0,34,0,Skal Labissiere Steal.
Stony Brook,Kentucky,0,2,0,38,1,Skal Labissiere made Jumper. Assisted by Tyler Ulis.
Stony Brook,Kentucky,0,2,1,9,0,Rayshaun McGrew missed Layup.
Stony Brook,Kentucky,0,2,1,9,0,Stony Brook Offensive Rebound.
Stony Brook,Kentucky,0,2,1,16,0,Ahmad Walker missed Jumper.
Stony Brook,Kentucky,0,2,1,16,0,Jamal Murray Block.
Stony Brook,Kentucky,0,2,1,16,0,Stony Brook  Turnover.
Stony Brook,Kentucky,0,2,1,16,0,Stony Brook Deadball Team Rebound.
Stony Brook,Kentucky,0,2,1,36,0,Tyler Ulis missed Three Point Jumper.
Stony Brook,Kentucky,0,2,1,36,0,Jameel Warney Defensive Rebound.
Stony Brook,Kentucky,0,2,1,48,0,Rayshaun McGrew missed Jumper.
Stony Brook,Kentucky,0,2,1,48,0,Alex Poythress Defensive Rebound.
Stony Brook,Kentucky,0,2,1,57,0,Jamal Murray missed Three Point Jumper.
Stony Brook,Kentucky,0,2,1,57,0,Jameel Warney Defensive Rebound.
Stony Brook,Kentucky,0,2,2,14,0,Lucas Woodhouse missed Jumper.
Stony Brook,Kentucky,0,2,2,14,0,Jameel Warney Offensive Rebound.
Stony Brook,Kentucky,0,2,2,22,0,Jameel Warney missed Jumper.
Stony Brook,Kentucky,0,2,2,22,0,Rayshaun McGrew Offensive Rebound.
Stony Brook,Kentucky,2,2,2,22,1,Rayshaun McGrew made Two Point Tip Shot.
Stony Brook,Kentucky,2,2,2,50,0,Skal Labissiere missed Dunk.
Stony Brook,Kentucky,2,2,2,50,0,Jameel Warney Block.
Stony Brook,Kentucky,2,2,2,50,0,Rayshaun McGrew Defensive Rebound.
Stony Brook,Kentucky,2,2,3,5,0,Carson Puriefoy missed Three Point Jumper.
Stony Brook,Kentucky,2,2,3,5,0,Isaiah Briscoe Defensive Rebound.
Stony Brook,Kentucky,2,2,3,15,0,Foul on Rayshaun McGrew.
Stony Brook,Kentucky,2,3,3,15,1,Isaiah Briscoe made Free Throw.
Stony Brook,Kentucky,2,4,3,15,1,Isaiah Briscoe made Free Throw.
Stony Brook,Kentucky,2,4,3,29,0,Jameel Warney missed Jumper.
Stony Brook,Kentucky,2,4,3,29,0,Skal Labissiere Block.
Stony Brook,Kentucky,2,4,3,29,0,Ahmad Walker Offensive Rebound.
Stony Brook,Kentucky,2,4,3,36,0,Ahmad Walker missed Jumper.
Stony Brook,Kentucky,2,4,3,36,0,Skal Labissiere Block.
Stony Brook,Kentucky,2,4,3,36,0,Ahmad Walker Offensive Rebound.
Stony Brook,Kentucky,2,4,3,36,0,Foul on Marcus Lee.
Stony Brook,Kentucky,2,4,3,45,0,Jameel Warney missed Jumper.
Stony Brook,Kentucky,2,4,3,45,0,Isaiah Briscoe Defensive Rebound.
Stony Brook,Kentucky,2,4,3,53,0,Marcus Lee missed Dunk.
Stony Brook,Kentucky,2,4,3,53,0,Stony Brook Defensive Rebound.
