Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Stony Brook,Vermont,0,0,0,30,0,Rayshaun McGrew missed Jumper.
Stony Brook,Vermont,0,0,0,30,0,Jameel Warney Offensive Rebound.
Stony Brook,Vermont,0,0,0,32,0,Jameel Warney missed Layup.
Stony Brook,Vermont,0,0,0,32,0,Ethan O'Day Defensive Rebound.
Stony Brook,Vermont,0,3,1,0,1,Trae Bell-Haynes made Three Point Jumper. Assisted by Kurt Steidl.
Stony Brook,Vermont,0,3,1,18,0,Ahmad Walker missed Three Point Jumper.
Stony Brook,Vermont,0,3,1,18,0,Ernie Duncan Defensive Rebound.
Stony Brook,Vermont,0,5,1,24,1,Ernie Duncan made Layup.
Stony Brook,Vermont,3,5,1,50,1,Lucas Woodhouse made Three Point Jumper. Assisted by Jameel Warney.
Stony Brook,Vermont,3,5,2,23,0,Ethan O'Day missed Jumper.
Stony Brook,Vermont,3,5,2,23,0,Jameel Warney Block.
Stony Brook,Vermont,3,5,2,24,0,Ethan O'Day Offensive Rebound.
Stony Brook,Vermont,3,5,2,24,0,Vermont  Turnover.
Stony Brook,Vermont,3,5,2,44,0,Rayshaun McGrew missed Jumper.
Stony Brook,Vermont,3,5,2,44,0,Ethan O'Day Defensive Rebound.
Stony Brook,Vermont,3,5,2,46,0,Ethan O'Day Turnover.
Stony Brook,Vermont,3,5,2,46,0,Ahmad Walker Steal.
Stony Brook,Vermont,3,5,2,50,0,Jameel Warney missed Layup.
Stony Brook,Vermont,3,5,2,50,0,Nate Rohrer Defensive Rebound.
Stony Brook,Vermont,3,5,3,8,0,Trae Bell-Haynes missed Layup.
Stony Brook,Vermont,3,5,3,8,0,Jameel Warney Defensive Rebound.
Stony Brook,Vermont,5,5,3,16,1,Carson Puriefoy made Layup.
Stony Brook,Vermont,5,5,3,43,0,Foul on Lucas Woodhouse.
Stony Brook,Vermont,5,5,3,43,0,Ernie Duncan missed Free Throw.
Stony Brook,Vermont,5,5,3,43,0,Vermont Deadball Team Rebound.
Stony Brook,Vermont,5,6,3,43,1,Ernie Duncan made Free Throw.
Stony Brook,Vermont,5,6,4,5,0,Rayshaun McGrew missed Jumper.
Stony Brook,Vermont,5,6,4,5,0,Ethan O'Day Block.
Stony Brook,Vermont,5,6,4,6,0,Rayshaun McGrew Offensive Rebound.
Stony Brook,Vermont,7,6,4,7,1,Jameel Warney made Dunk. Assisted by Rayshaun McGrew.
Stony Brook,Vermont,7,6,4,7,0,Foul on Nate Rohrer.
Stony Brook,Vermont,7,6,4,7,0,Official TV Timeout
Stony Brook,Vermont,8,6,4,7,1,Jameel Warney made Free Throw.
Stony Brook,Vermont,8,6,4,33,0,Foul on Rayshaun McGrew.
Stony Brook,Vermont,8,6,4,46,0,Ethan O'Day missed Jumper.
Stony Brook,Vermont,8,6,4,46,0,Kurt Steidl Offensive Rebound.
Stony Brook,Vermont,8,6,5,1,0,Drew Urquhart missed Layup.
Stony Brook,Vermont,8,6,5,1,0,Jameel Warney Block.
Stony Brook,Vermont,8,6,5,2,0,Jameel Warney Defensive Rebound.
Stony Brook,Vermont,8,6,5,15,0,Foul on Ethan O'Day.
Stony Brook,Vermont,8,6,5,26,0,Tyrell Sturdivant missed Layup.
Stony Brook,Vermont,8,6,5,26,0,Darren Payen Block.
Stony Brook,Vermont,8,6,5,27,0,Dre Wills Defensive Rebound.
Stony Brook,Vermont,8,9,5,34,1,Kurt Steidl made Three Point Jumper. Assisted by Dre Wills.
Stony Brook,Vermont,8,9,5,51,0,Foul on Kurt Steidl.
Stony Brook,Vermont,10,9,5,58,1,Carson Puriefoy made Jumper. Assisted by Ahmad Walker.
Stony Brook,Vermont,10,11,6,8,1,Ethan O'Day made Jumper. Assisted by Cam Ward.
Stony Brook,Vermont,10,11,6,32,0,Bryan Sekunda missed Jumper.
Stony Brook,Vermont,10,11,6,32,0,Kurt Steidl Defensive Rebound.
Stony Brook,Vermont,10,13,6,43,1,Darren Payen made Jumper. Assisted by Cam Ward.
Stony Brook,Vermont,10,13,6,56,0,Ahmad Walker missed Three Point Jumper.
Stony Brook,Vermont,10,13,6,56,0,Dre Wills Defensive Rebound.
Stony Brook,Vermont,10,13,6,58,0,Foul on Tyrell Sturdivant.
Stony Brook,Vermont,10,13,7,20,0,Foul on Jameel Warney.
Stony Brook,Vermont,10,13,7,29,0,Foul on DeShaun Thrower.
Stony Brook,Vermont,10,13,7,34,0,Cam Ward missed Three Point Jumper.
Stony Brook,Vermont,10,13,7,34,0,Darren Payen Offensive Rebound.
Stony Brook,Vermont,10,15,7,55,1,Dre Wills made Layup. Assisted by Ernie Duncan.
Stony Brook,Vermont,10,15,8,19,0,Carson Puriefoy Turnover.
Stony Brook,Vermont,10,15,8,19,0,Dre Wills Steal.
Stony Brook,Vermont,10,17,8,25,1,Dre Wills made Layup.
Stony Brook,Vermont,10,17,8,27,0,Stony Brook  Timeout
Stony Brook,Vermont,10,17,8,27,0,Official TV Timeout
Stony Brook,Vermont,12,17,8,39,1,Rayshaun McGrew made Jumper.
Stony Brook,Vermont,12,19,8,58,1,Cam Ward made Layup.
Stony Brook,Vermont,14,19,9,18,1,Jameel Warney made Layup. Assisted by Rayshaun McGrew.
Stony Brook,Vermont,14,19,9,50,0,Cam Ward missed Three Point Jumper.
Stony Brook,Vermont,14,19,9,50,0,Lucas Woodhouse Defensive Rebound.
Stony Brook,Vermont,14,19,9,58,0,Carson Puriefoy Turnover.
Stony Brook,Vermont,14,19,9,59,0,Cam Ward Steal.
Stony Brook,Vermont,14,19,10,9,0,Ernie Duncan missed Three Point Jumper.
Stony Brook,Vermont,14,19,10,9,0,Rayshaun McGrew Defensive Rebound.
Stony Brook,Vermont,14,19,10,29,0,Foul on Ernie Duncan.
Stony Brook,Vermont,15,19,10,29,1,Rayshaun McGrew made Free Throw.
Stony Brook,Vermont,15,19,10,29,0,Rayshaun McGrew missed Free Throw.
Stony Brook,Vermont,15,19,10,29,0,Kurt Steidl Defensive Rebound.
Stony Brook,Vermont,15,19,10,46,0,Cam Ward missed Layup.
Stony Brook,Vermont,15,19,10,46,0,Rayshaun McGrew Defensive Rebound.
Stony Brook,Vermont,15,19,11,3,0,Rayshaun McGrew Turnover.
Stony Brook,Vermont,15,21,11,15,1,Ethan O'Day made Jumper.
Stony Brook,Vermont,15,21,11,15,0,Foul on Tyrell Sturdivant.
Stony Brook,Vermont,15,22,11,15,1,Ethan O'Day made Free Throw.
Stony Brook,Vermont,18,22,11,30,1,Lucas Woodhouse made Three Point Jumper. Assisted by Carson Puriefoy.
Stony Brook,Vermont,18,22,11,45,0,Nate Rohrer missed Three Point Jumper.
Stony Brook,Vermont,18,22,11,45,0,Stony Brook Defensive Rebound.
Stony Brook,Vermont,18,22,11,55,0,Ahmad Walker Turnover.
Stony Brook,Vermont,18,22,12,9,0,Trae Bell-Haynes missed Layup.
Stony Brook,Vermont,18,22,12,9,0,Jameel Warney Block.
Stony Brook,Vermont,18,22,12,10,0,Carson Puriefoy Defensive Rebound.
Stony Brook,Vermont,18,22,12,36,0,Ahmad Walker missed Jumper.
Stony Brook,Vermont,18,22,12,36,0,Stony Brook Offensive Rebound.
Stony Brook,Vermont,18,22,12,36,0,Official TV Timeout
Stony Brook,Vermont,18,22,12,45,0,Rayshaun McGrew Turnover.
Stony Brook,Vermont,18,22,12,45,0,Dre Wills Steal.
Stony Brook,Vermont,18,22,12,52,0,Kurt Steidl missed Jumper.
Stony Brook,Vermont,18,22,12,52,0,Dre Wills Offensive Rebound.
Stony Brook,Vermont,18,22,12,55,0,Dre Wills missed Jumper.
Stony Brook,Vermont,18,22,12,55,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,18,22,13,13,0,Carson Puriefoy missed Jumper.
Stony Brook,Vermont,18,22,13,13,0,Jameel Warney Offensive Rebound.
Stony Brook,Vermont,20,22,13,16,1,Jameel Warney made Layup.
Stony Brook,Vermont,20,22,13,39,0,Trae Bell-Haynes missed Three Point Jumper.
Stony Brook,Vermont,20,22,13,39,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,22,22,13,48,1,Ahmad Walker made Layup.
Stony Brook,Vermont,22,22,13,48,0,Foul on Kurt Steidl.
Stony Brook,Vermont,23,22,13,48,1,Ahmad Walker made Free Throw.
Stony Brook,Vermont,23,24,14,4,1,Darren Payen made Layup. Assisted by Ernie Duncan.
Stony Brook,Vermont,26,24,14,21,1,Bryan Sekunda made Three Point Jumper. Assisted by Jameel Warney.
Stony Brook,Vermont,26,24,14,55,0,Darren Payen missed Jumper.
Stony Brook,Vermont,26,24,14,55,0,Darren Payen Offensive Rebound.
Stony Brook,Vermont,26,24,15,0,0,Trae Bell-Haynes missed Layup.
Stony Brook,Vermont,26,24,15,0,0,Vermont Offensive Rebound.
Stony Brook,Vermont,26,27,15,15,1,Ernie Duncan made Three Point Jumper. Assisted by Trae Bell-Haynes.
Stony Brook,Vermont,26,27,15,28,0,Carson Puriefoy missed Three Point Jumper.
Stony Brook,Vermont,26,27,15,28,0,Ethan O'Day Defensive Rebound.
Stony Brook,Vermont,26,27,15,33,0,Foul on Bryan Sekunda.
Stony Brook,Vermont,26,27,15,33,0,Trae Bell-Haynes missed Free Throw.
Stony Brook,Vermont,26,27,15,33,0,Jameel Warney Defensive Rebound.
Stony Brook,Vermont,26,27,15,47,0,Foul on Ethan O'Day.
Stony Brook,Vermont,26,27,15,47,0,Jameel Warney missed Free Throw.
Stony Brook,Vermont,26,27,15,47,0,Stony Brook Deadball Team Rebound.
Stony Brook,Vermont,27,27,15,47,1,Jameel Warney made Free Throw.
Stony Brook,Vermont,27,27,16,2,0,Drew Urquhart missed Jumper.
Stony Brook,Vermont,27,27,16,2,0,Trae Bell-Haynes Offensive Rebound.
Stony Brook,Vermont,27,29,16,4,1,Trae Bell-Haynes made Layup.
Stony Brook,Vermont,27,29,16,4,0,Foul on Carson Puriefoy.
Stony Brook,Vermont,27,29,16,4,0,Official TV Timeout
Stony Brook,Vermont,27,30,16,4,1,Trae Bell-Haynes made Free Throw.
Stony Brook,Vermont,29,30,16,31,1,Ahmad Walker made Layup.
Stony Brook,Vermont,29,30,16,48,0,Dre Wills missed Layup.
Stony Brook,Vermont,29,30,16,48,0,Carson Puriefoy Block.
Stony Brook,Vermont,29,30,16,51,0,Lucas Woodhouse Defensive Rebound.
Stony Brook,Vermont,29,30,17,11,0,Lucas Woodhouse missed Layup.
Stony Brook,Vermont,29,30,17,11,0,Ernie Duncan Defensive Rebound.
Stony Brook,Vermont,29,32,17,16,1,Trae Bell-Haynes made Layup.
Stony Brook,Vermont,31,32,17,37,1,Rayshaun McGrew made Jumper.
Stony Brook,Vermont,31,32,17,51,0,Drew Urquhart missed Layup.
Stony Brook,Vermont,31,32,17,51,0,Jameel Warney Block.
Stony Brook,Vermont,31,32,17,52,0,Jameel Warney Defensive Rebound.
Stony Brook,Vermont,31,32,18,0,0,Rayshaun McGrew missed Layup.
Stony Brook,Vermont,31,32,18,0,0,Darren Payen Defensive Rebound.
Stony Brook,Vermont,31,32,18,7,0,Darren Payen Turnover.
Stony Brook,Vermont,31,32,18,7,0,Jameel Warney Steal.
Stony Brook,Vermont,31,32,18,10,0,Jameel Warney missed Layup.
Stony Brook,Vermont,31,32,18,10,0,Carson Puriefoy Offensive Rebound.
Stony Brook,Vermont,31,32,18,11,0,Foul on Jameel Warney.
Stony Brook,Vermont,31,32,18,11,0,Jameel Warney Turnover.
Stony Brook,Vermont,31,32,18,39,0,Drew Urquhart missed Jumper.
Stony Brook,Vermont,31,32,18,39,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,31,32,18,44,0,Lucas Woodhouse missed Three Point Jumper.
Stony Brook,Vermont,31,32,18,44,0,Trae Bell-Haynes Defensive Rebound.
Stony Brook,Vermont,31,32,18,53,0,Foul on Ahmad Walker.
Stony Brook,Vermont,31,33,18,53,1,Darren Payen made Free Throw.
Stony Brook,Vermont,31,33,18,53,0,Darren Payen missed Free Throw.
Stony Brook,Vermont,31,33,18,53,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,31,33,19,12,0,Vermont  Timeout
Stony Brook,Vermont,31,33,19,22,0,Carson Puriefoy missed Three Point Jumper.
Stony Brook,Vermont,31,33,19,22,0,Dre Wills Defensive Rebound.
Stony Brook,Vermont,31,33,19,50,0,Trae Bell-Haynes missed Three Point Jumper.
Stony Brook,Vermont,31,33,19,50,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,31,33,19,56,0,Foul on Drew Urquhart.
Stony Brook,Vermont,32,33,19,56,1,Ahmad Walker made Free Throw.
Stony Brook,Vermont,33,33,19,56,1,Ahmad Walker made Free Throw.
Stony Brook,Vermont,33,33,20,0,0,Trae Bell-Haynes missed Three Point Jumper.
Stony Brook,Vermont,33,33,20,0,0,Carson Puriefoy Block.
Stony Brook,Vermont,33,33,20,0,0,Stony Brook Defensive Rebound.
Stony Brook,Vermont,33,33,20,0,0,End of 1st half
Stony Brook,Vermont,33,33,20,26,0,Ernie Duncan missed Jumper.
Stony Brook,Vermont,33,33,20,26,0,Rayshaun McGrew Defensive Rebound.
Stony Brook,Vermont,33,33,20,43,0,Carson Puriefoy Turnover.
Stony Brook,Vermont,33,33,20,46,0,Ethan O'Day Steal.
Stony Brook,Vermont,33,33,20,49,0,Ernie Duncan missed Three Point Jumper.
Stony Brook,Vermont,33,33,20,49,0,Rayshaun McGrew Defensive Rebound.
Stony Brook,Vermont,33,33,21,10,0,Ahmad Walker missed Jumper.
Stony Brook,Vermont,33,33,21,10,0,Ethan O'Day Block.
Stony Brook,Vermont,33,33,21,12,0,Ernie Duncan Defensive Rebound.
Stony Brook,Vermont,33,33,21,29,0,Ernie Duncan missed Jumper.
Stony Brook,Vermont,33,33,21,29,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,33,33,21,35,0,Ahmad Walker Turnover.
Stony Brook,Vermont,33,33,21,36,0,Kurt Steidl Steal.
Stony Brook,Vermont,33,33,21,39,0,Foul on Trae Bell-Haynes.
Stony Brook,Vermont,33,33,21,39,0,Trae Bell-Haynes Turnover.
Stony Brook,Vermont,35,33,21,53,1,Jameel Warney made Jumper.
Stony Brook,Vermont,35,33,22,7,0,Foul on Trae Bell-Haynes.
Stony Brook,Vermont,35,33,22,7,0,Trae Bell-Haynes Turnover.
Stony Brook,Vermont,37,33,22,23,1,Jameel Warney made Jumper.
Stony Brook,Vermont,37,33,22,29,0,Vermont  Timeout
Stony Brook,Vermont,37,33,22,29,0,Official TV Timeout
Stony Brook,Vermont,37,33,22,53,0,Dre Wills missed Jumper.
Stony Brook,Vermont,37,33,22,53,0,Ahmad Walker Defensive Rebound.
Stony Brook,Vermont,37,33,23,18,0,Rayshaun McGrew Turnover.
Stony Brook,Vermont,37,33,23,19,0,Nate Rohrer Steal.
Stony Brook,Vermont,37,33,23,22,0,Kurt Steidl missed Three Point Jumper.
Stony Brook,Vermont,37,33,23,22,0,Lucas Woodhouse Defensive Rebound.
Stony Brook,Vermont,37,33,23,43,0,Rayshaun McGrew missed Layup.
