Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Harris Stowe,Tenn-Martin,0,0,0,17,0,Alex Anderson missed Jumper.
Harris Stowe,Tenn-Martin,0,0,0,17,0,Dominic Phillips Defensive Rebound.
Harris Stowe,Tenn-Martin,0,0,0,20,0,Dominic Phillips missed Jumper.
Harris Stowe,Tenn-Martin,0,0,0,20,0,Twymond Howard Defensive Rebound.
Harris Stowe,Tenn-Martin,0,0,0,40,0,Alex Anderson missed Three Point Jumper.
Harris Stowe,Tenn-Martin,0,0,0,40,0,Kedar Edwards Offensive Rebound.
Harris Stowe,Tenn-Martin,0,0,0,45,0,Jacolby Mobley missed Three Point Jumper.
Harris Stowe,Tenn-Martin,0,0,0,45,0,Chandler Rowe Offensive Rebound.
Harris Stowe,Tenn-Martin,0,0,0,49,0,Foul on Jamil Brown.
Harris Stowe,Tenn-Martin,0,2,1,8,1,Twymond Howard made Jumper.
Harris Stowe,Tenn-Martin,2,2,1,17,1,Jamil Brown made Layup.
Harris Stowe,Tenn-Martin,2,2,1,37,0,Foul on Chandler Rowe.
Harris Stowe,Tenn-Martin,2,2,1,37,0,Chandler Rowe Turnover.
Harris Stowe,Tenn-Martin,2,2,1,51,0,Foul on Jacolby Mobley.
Harris Stowe,Tenn-Martin,5,2,1,55,1,Trevor Roberts made Three Point Jumper. Assisted by Dominic Phillips.
Harris Stowe,Tenn-Martin,5,2,2,19,0,Kedar Edwards missed Three Point Jumper.
Harris Stowe,Tenn-Martin,5,2,2,19,0,Dominic Phillips Defensive Rebound.
Harris Stowe,Tenn-Martin,7,2,2,34,1,Trevor Roberts made Jumper.
Harris Stowe,Tenn-Martin,7,4,2,50,1,Chandler Rowe made Jumper. Assisted by Twymond Howard.
Harris Stowe,Tenn-Martin,10,4,3,11,1,Trevor Roberts made Three Point Jumper. Assisted by Jamil Brown.
Harris Stowe,Tenn-Martin,10,6,3,31,1,Chandler Rowe made Layup.
Harris Stowe,Tenn-Martin,10,6,3,31,0,Foul on Jalen Fletcher.
Harris Stowe,Tenn-Martin,10,7,3,31,1,Chandler Rowe made Free Throw.
Harris Stowe,Tenn-Martin,13,7,3,43,1,Jalen Fletcher made Three Point Jumper. Assisted by Trevor Roberts.
Harris Stowe,Tenn-Martin,13,7,4,4,0,Jacolby Mobley missed Three Point Jumper.
Harris Stowe,Tenn-Martin,13,7,4,4,0,Chandler Rowe Offensive Rebound.
Harris Stowe,Tenn-Martin,13,7,4,11,0,Kedar Edwards Turnover.
Harris Stowe,Tenn-Martin,13,7,4,11,0,Official TV Timeout
Harris Stowe,Tenn-Martin,13,7,4,22,0,Dominic Phillips missed Jumper.
Harris Stowe,Tenn-Martin,13,7,4,22,0,Chandler Rowe Defensive Rebound.
Harris Stowe,Tenn-Martin,13,7,4,42,0,Myles Taylor missed Jumper.
Harris Stowe,Tenn-Martin,13,7,4,42,0,Myles Taylor Offensive Rebound.
Harris Stowe,Tenn-Martin,13,7,4,44,0,Foul on John Johnson.
Harris Stowe,Tenn-Martin,13,8,4,44,1,Myles Taylor made Free Throw.
Harris Stowe,Tenn-Martin,13,9,4,44,1,Myles Taylor made Free Throw.
Harris Stowe,Tenn-Martin,13,9,4,57,0,Dominic Phillips Turnover.
Harris Stowe,Tenn-Martin,13,11,5,16,1,Myles Taylor made Layup. Assisted by Jacolby Mobley.
Harris Stowe,Tenn-Martin,13,11,5,31,0,Trevor Roberts missed Three Point Jumper.
Harris Stowe,Tenn-Martin,13,11,5,31,0,Richard Lee Defensive Rebound.
Harris Stowe,Tenn-Martin,13,13,5,52,1,Myles Taylor made Layup. Assisted by Chandler Rowe.
Harris Stowe,Tenn-Martin,16,13,6,8,1,Steve Wing made Three Point Jumper.
Harris Stowe,Tenn-Martin,16,16,6,29,1,Richard Lee made Three Point Jumper. Assisted by Chandler Rowe.
Harris Stowe,Tenn-Martin,16,16,6,39,0,Foul on Steve Wing.
Harris Stowe,Tenn-Martin,16,16,6,39,0,John Johnson Turnover.
Harris Stowe,Tenn-Martin,16,16,6,49,0,Foul on Steve Wing.
Harris Stowe,Tenn-Martin,16,16,6,53,0,Alex Anderson Turnover.
Harris Stowe,Tenn-Martin,16,16,6,55,0,Dominic Phillips Steal.
Harris Stowe,Tenn-Martin,16,16,6,58,0,Dominic Phillips missed Layup.
Harris Stowe,Tenn-Martin,16,16,6,58,0,Ronald Franklin Offensive Rebound.
Harris Stowe,Tenn-Martin,16,16,7,1,0,Ronald Franklin missed Layup.
Harris Stowe,Tenn-Martin,16,16,7,1,0,Alex Anderson Defensive Rebound.
Harris Stowe,Tenn-Martin,16,16,7,19,0,Alex Anderson missed Three Point Jumper.
Harris Stowe,Tenn-Martin,16,16,7,19,0,Myles Taylor Offensive Rebound.
Harris Stowe,Tenn-Martin,16,16,7,29,0,Jacolby Mobley missed Jumper.
Harris Stowe,Tenn-Martin,16,16,7,29,0,Steve Wing Defensive Rebound.
Harris Stowe,Tenn-Martin,16,16,7,38,0,Amenofis Mitchell missed Jumper.
Harris Stowe,Tenn-Martin,16,16,7,38,0,Richard Lee Defensive Rebound.
Harris Stowe,Tenn-Martin,16,16,7,45,0,Richard Lee missed Jumper.
Harris Stowe,Tenn-Martin,16,16,7,45,0,Amenofis Mitchell Defensive Rebound.
Harris Stowe,Tenn-Martin,16,16,8,5,0,Foul on Kedar Edwards.
Harris Stowe,Tenn-Martin,16,16,8,5,0,Official TV Timeout
Harris Stowe,Tenn-Martin,16,16,8,5,0,John Johnson Turnover.
Harris Stowe,Tenn-Martin,16,16,8,5,0,Fatodd Lewis Steal.
Harris Stowe,Tenn-Martin,16,16,8,11,0,Myles Taylor Offensive Rebound.
Harris Stowe,Tenn-Martin,16,16,8,11,0,Fatodd Lewis missed Jumper.
