Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Kentucky,Tennessee,0,0,0,0,0,Jump Ball won by Kentucky
Kentucky,Tennessee,0,0,0,18,0,Alex Poythress Turnover.
Kentucky,Tennessee,0,0,0,31,0,Devon Baulkman missed Jumper.
Kentucky,Tennessee,0,0,0,31,0,Alex Poythress Defensive Rebound.
Kentucky,Tennessee,0,0,0,52,0,Jamal Murray missed Three Point Jumper.
Kentucky,Tennessee,0,0,0,52,0,Kentucky Offensive Rebound.
Kentucky,Tennessee,0,0,1,13,0,Derek Willis missed Three Point Jumper.
Kentucky,Tennessee,0,0,1,13,0,Alex Poythress Offensive Rebound.
Kentucky,Tennessee,2,0,1,19,1,Alex Poythress made Layup.
Kentucky,Tennessee,2,0,1,34,0,Foul on Isaiah Briscoe.
Kentucky,Tennessee,2,2,1,44,1,Armani Moore made Layup. Assisted by Admiral Schofield.
Kentucky,Tennessee,2,2,1,54,0,Alex Poythress missed Jumper.
Kentucky,Tennessee,2,2,1,54,0,Kevin Punter Defensive Rebound.
Kentucky,Tennessee,2,2,2,1,0,Admiral Schofield missed Three Point Jumper.
Kentucky,Tennessee,2,2,2,1,0,Tennessee Offensive Rebound.
Kentucky,Tennessee,2,2,2,5,0,Foul on Alex Poythress.
Kentucky,Tennessee,2,2,2,11,0,Kevin Punter missed Jumper.
Kentucky,Tennessee,2,2,2,11,0,Jamal Murray Defensive Rebound.
Kentucky,Tennessee,2,2,2,39,0,Foul on Devon Baulkman.
Kentucky,Tennessee,3,2,2,39,1,Tyler Ulis made Free Throw.
Kentucky,Tennessee,4,2,2,39,1,Tyler Ulis made Free Throw.
Kentucky,Tennessee,5,2,2,39,1,Tyler Ulis made Free Throw.
Kentucky,Tennessee,5,2,2,52,0,Kevin Punter missed Jumper.
Kentucky,Tennessee,5,2,2,52,0,Robert Hubbs III Offensive Rebound.
Kentucky,Tennessee,5,2,2,57,0,Devon Baulkman missed Three Point Jumper.
Kentucky,Tennessee,5,2,2,57,0,Armani Moore Offensive Rebound.
Kentucky,Tennessee,5,2,3,14,0,Armani Moore missed Jumper.
Kentucky,Tennessee,5,2,3,14,0,Isaiah Briscoe Defensive Rebound.
Kentucky,Tennessee,8,2,3,29,1,Tyler Ulis made Three Point Jumper. Assisted by Jamal Murray.
Kentucky,Tennessee,8,2,4,2,0,Kyle Alexander missed Layup.
Kentucky,Tennessee,8,2,4,2,0,Derek Willis Defensive Rebound.
Kentucky,Tennessee,8,2,4,27,0,Foul on Robert Hubbs III.
Kentucky,Tennessee,8,2,4,27,0,Official TV Timeout
Kentucky,Tennessee,8,2,4,38,0,Tyler Ulis missed Jumper.
Kentucky,Tennessee,8,2,4,38,0,Derek Reese Defensive Rebound.
Kentucky,Tennessee,8,4,4,55,1,Kevin Punter made Jumper.
Kentucky,Tennessee,8,4,5,2,0,Isaiah Briscoe missed Layup.
Kentucky,Tennessee,8,4,5,2,0,Jamal Murray Offensive Rebound.
Kentucky,Tennessee,8,4,5,5,0,Foul on Armani Moore.
Kentucky,Tennessee,8,4,5,7,0,Jamal Murray missed Three Point Jumper.
Kentucky,Tennessee,8,4,5,7,0,Isaiah Briscoe Offensive Rebound.
Kentucky,Tennessee,8,4,5,12,0,Isaiah Briscoe missed Layup.
Kentucky,Tennessee,8,4,5,12,0,Isaiah Briscoe Offensive Rebound.
Kentucky,Tennessee,10,4,5,12,1,Isaiah Briscoe made Two Point Tip Shot.
Kentucky,Tennessee,10,6,5,23,1,Armani Moore made Jumper.
Kentucky,Tennessee,12,6,5,39,1,Alex Poythress made Jumper. Assisted by Jamal Murray.
Kentucky,Tennessee,12,6,5,51,0,Armani Moore missed Three Point Jumper.
Kentucky,Tennessee,12,6,5,51,0,Isaiah Briscoe Defensive Rebound.
Kentucky,Tennessee,14,6,5,58,1,Alex Poythress made Dunk. Assisted by Isaiah Briscoe.
Kentucky,Tennessee,14,6,6,0,0,Foul on Kevin Punter.
Kentucky,Tennessee,14,6,6,0,0,Alex Poythress missed Free Throw.
Kentucky,Tennessee,14,6,6,0,0,Armani Moore Defensive Rebound.
Kentucky,Tennessee,14,6,6,19,0,Derek Reese missed Layup.
Kentucky,Tennessee,14,6,6,19,0,Skal Labissiere Block.
Kentucky,Tennessee,14,6,6,19,0,Isaiah Briscoe Defensive Rebound.
Kentucky,Tennessee,14,6,6,30,0,Jamal Murray Turnover.
Kentucky,Tennessee,14,8,6,41,1,Detrick Mostella made Jumper.
Kentucky,Tennessee,16,8,7,4,1,Derek Willis made Dunk. Assisted by Skal Labissiere.
Kentucky,Tennessee,16,8,7,38,0,Detrick Mostella missed Layup.
Kentucky,Tennessee,16,8,7,38,0,Skal Labissiere Defensive Rebound.
Kentucky,Tennessee,16,8,7,40,0,Foul on Robert Hubbs III.
Kentucky,Tennessee,16,8,7,51,0,Foul on Derek Reese.
Kentucky,Tennessee,17,8,7,51,1,Alex Poythress made Free Throw.
Kentucky,Tennessee,18,8,7,51,1,Alex Poythress made Free Throw.
Kentucky,Tennessee,18,8,8,8,0,Foul on Jamal Murray.
Kentucky,Tennessee,18,8,8,8,0,Official TV Timeout
Kentucky,Tennessee,18,11,8,13,1,Kevin Punter made Three Point Jumper. Assisted by Armani Moore.
Kentucky,Tennessee,20,11,8,30,1,Skal Labissiere made Jumper.
Kentucky,Tennessee,20,11,8,46,0,Kevin Punter missed Three Point Jumper.
Kentucky,Tennessee,20,11,8,46,0,Tennessee Offensive Rebound.
Kentucky,Tennessee,20,11,8,59,0,Robert Hubbs III missed Jumper.
Kentucky,Tennessee,20,11,8,59,0,Derek Willis Defensive Rebound.
Kentucky,Tennessee,20,11,9,9,0,Derek Willis Turnover.
Kentucky,Tennessee,20,11,9,25,0,Armani Moore missed Layup.
Kentucky,Tennessee,20,11,9,25,0,Derek Willis Defensive Rebound.
Kentucky,Tennessee,22,11,9,39,1,Alex Poythress made Jumper. Assisted by Jamal Murray.
Kentucky,Tennessee,22,11,9,53,0,Kevin Punter Turnover.
Kentucky,Tennessee,25,11,10,4,1,Derek Willis made Three Point Jumper. Assisted by Tyler Ulis.
Kentucky,Tennessee,25,11,10,22,0,Armani Moore Turnover.
Kentucky,Tennessee,25,11,10,22,0,Tennessee  Timeout
Kentucky,Tennessee,25,11,10,25,0,Tyler Ulis missed Three Point Jumper.
Kentucky,Tennessee,25,11,10,25,0,Armani Moore Defensive Rebound.
Kentucky,Tennessee,25,11,10,46,0,Robert Hubbs III missed Jumper.
Kentucky,Tennessee,25,11,10,46,0,Admiral Schofield Offensive Rebound.
Kentucky,Tennessee,25,11,10,46,0,Admiral Schofield Turnover.
Kentucky,Tennessee,25,11,11,7,0,Jamal Murray missed Jumper.
Kentucky,Tennessee,25,11,11,7,0,Derek Willis Offensive Rebound.
Kentucky,Tennessee,25,11,11,11,0,Derek Willis Turnover.
Kentucky,Tennessee,25,11,11,21,0,Robert Hubbs III missed Jumper.
Kentucky,Tennessee,25,11,11,21,0,Marcus Lee Defensive Rebound.
Kentucky,Tennessee,28,11,11,31,1,Jamal Murray made Three Point Jumper. Assisted by Tyler Ulis.
