Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Tulane,Houston,0,0,0,0,0,Jump Ball won by Tulane
Tulane,Houston,0,0,0,24,0,Foul on LeRon Barnes.
Tulane,Houston,0,0,0,33,0,Dylan Osetkowski missed Jumper.
Tulane,Houston,0,0,0,33,0,Ryan Smith Offensive Rebound.
Tulane,Houston,0,0,0,40,0,Foul on Dylan Osetkowski.
Tulane,Houston,0,0,0,40,0,Dylan Osetkowski Turnover.
Tulane,Houston,0,0,1,2,0,LeRon Barnes missed Jumper.
Tulane,Houston,0,0,1,2,0,Malik Morgan Defensive Rebound.
Tulane,Houston,2,0,1,11,1,Malik Morgan made Layup.
Tulane,Houston,2,0,1,35,0,Galen Robinson Jr. missed Layup.
Tulane,Houston,2,0,1,35,0,Kyle Meyer Offensive Rebound.
Tulane,Houston,2,0,1,58,0,Devonta Pollard missed Jumper.
Tulane,Houston,2,0,1,58,0,Damyean Dotson Offensive Rebound.
Tulane,Houston,2,2,2,10,1,Galen Robinson Jr. made Layup.
Tulane,Houston,2,2,2,37,0,Von Julien Turnover.
Tulane,Houston,2,2,2,37,0,LeRon Barnes Steal.
Tulane,Houston,2,2,2,44,0,Foul on Malik Morgan.
Tulane,Houston,2,2,2,44,0,LeRon Barnes missed Free Throw.
Tulane,Houston,2,2,2,44,0,Houston Deadball Team Rebound.
Tulane,Houston,2,2,2,44,0,LeRon Barnes missed Free Throw.
Tulane,Houston,2,2,2,44,0,Tulane Deadball Team Rebound.
Tulane,Houston,2,2,2,44,0,Foul on Kyle Meyer.
Tulane,Houston,2,2,2,58,0,Dylan Osetkowski Turnover.
Tulane,Houston,2,2,2,58,0,LeRon Barnes Steal.
Tulane,Houston,2,2,2,58,0,Foul on Ryan Smith.
Tulane,Houston,2,2,3,17,0,Damyean Dotson missed Jumper.
Tulane,Houston,2,2,3,17,0,Tulane Defensive Rebound.
Tulane,Houston,4,2,3,41,1,Louis Dabney made Jumper.
Tulane,Houston,4,2,4,2,0,Devonta Pollard missed Jumper.
Tulane,Houston,4,2,4,2,0,Ryan Smith Defensive Rebound.
Tulane,Houston,4,2,4,9,0,Official TV Timeout
Tulane,Houston,4,2,4,33,0,Malik Morgan missed Three Point Jumper.
Tulane,Houston,4,2,4,33,0,Ryan Smith Offensive Rebound.
Tulane,Houston,4,2,4,44,0,Von Julien missed Three Point Jumper.
Tulane,Houston,4,2,4,44,0,Tulane Deadball Team Rebound.
Tulane,Houston,4,2,4,46,0,Foul on Devonta Pollard.
Tulane,Houston,6,2,4,57,1,Ryan Smith made Jumper. Assisted by Malik Morgan.
Tulane,Houston,6,2,5,9,0,Foul on Von Julien.
Tulane,Houston,6,2,5,22,0,Foul on Malik Morgan.
Tulane,Houston,6,4,5,26,1,Rob Gray Jr. made Layup.
Tulane,Houston,6,4,5,51,0,Foul on Rob Gray Jr..
Tulane,Houston,6,4,6,15,0,Melvin Frazier missed Three Point Jumper.
Tulane,Houston,6,4,6,15,0,Damyean Dotson Block.
Tulane,Houston,6,4,6,15,0,Kyle Meyer Defensive Rebound.
Tulane,Houston,6,4,6,24,0,Rob Gray Jr. missed Three Point Jumper.
Tulane,Houston,6,4,6,24,0,Melvin Frazier Defensive Rebound.
Tulane,Houston,6,4,6,32,0,Foul on Damyean Dotson.
Tulane,Houston,6,4,6,32,0,Von Julien missed Free Throw.
Tulane,Houston,6,4,6,32,0,Tulane Deadball Team Rebound.
Tulane,Houston,7,4,6,32,1,Von Julien made Free Throw.
Tulane,Houston,7,7,6,45,1,Damyean Dotson made Three Point Jumper. Assisted by Devonta Pollard.
Tulane,Houston,7,7,7,10,0,Foul on Blake Paul.
Tulane,Houston,7,7,7,10,0,Blake Paul Turnover.
Tulane,Houston,7,7,7,21,0,Damyean Dotson missed Three Point Jumper.
Tulane,Houston,7,7,7,21,0,Melvin Frazier Defensive Rebound.
Tulane,Houston,7,7,7,38,0,Louis Dabney missed Layup.
Tulane,Houston,7,7,7,38,0,Damyean Dotson Defensive Rebound.
Tulane,Houston,7,7,7,48,0,Foul on Blake Paul.
Tulane,Houston,7,8,7,48,1,Damyean Dotson made Free Throw.
Tulane,Houston,7,9,7,48,1,Damyean Dotson made Free Throw.
Tulane,Houston,7,9,7,56,0,Foul on Ronnie Johnson.
Tulane,Houston,7,9,8,12,0,Official TV Timeout
Tulane,Houston,7,9,8,23,0,Louis Dabney missed Three Point Jumper.
Tulane,Houston,7,9,8,23,0,Ronnie Johnson Defensive Rebound.
Tulane,Houston,7,9,8,30,0,Ronnie Johnson Turnover.
Tulane,Houston,9,9,8,35,1,Louis Dabney made Layup.
Tulane,Houston,9,9,9,3,0,Foul on Cameron Reynolds.
Tulane,Houston,9,9,9,3,0,Ronnie Johnson missed Free Throw.
Tulane,Houston,9,9,9,3,0,Kain Harris Defensive Rebound.
Tulane,Houston,9,9,9,23,0,Cameron Reynolds missed Jumper.
Tulane,Houston,9,9,9,23,0,Danrad Knowles Defensive Rebound.
Tulane,Houston,9,12,9,31,1,Rob Gray Jr. made Three Point Jumper. Assisted by Ronnie Johnson.
Tulane,Houston,9,12,9,59,0,Foul on Danrad Knowles.
Tulane,Houston,9,12,9,59,0,Louis Dabney missed Free Throw.
Tulane,Houston,9,12,9,59,0,Tulane Deadball Team Rebound.
Tulane,Houston,10,12,9,59,1,Louis Dabney made Free Throw.
Tulane,Houston,10,14,10,14,1,Rob Gray Jr. made Jumper.
Tulane,Houston,10,14,10,41,0,Melvin Frazier missed Three Point Jumper.
Tulane,Houston,10,14,10,41,0,Dylan Osetkowski Offensive Rebound.
Tulane,Houston,10,14,10,46,0,Dylan Osetkowski missed Layup.
Tulane,Houston,10,14,10,46,0,Danrad Knowles Block.
Tulane,Houston,10,14,10,46,0,Tulane Offensive Rebound.
Tulane,Houston,10,14,10,50,0,Cameron Reynolds missed Three Point Jumper.
Tulane,Houston,10,14,10,50,0,LeRon Barnes Defensive Rebound.
Tulane,Houston,10,14,10,57,0,Foul on Von Julien.
Tulane,Houston,10,15,10,57,1,Ronnie Johnson made Free Throw.
Tulane,Houston,10,16,10,57,1,Ronnie Johnson made Free Throw.
Tulane,Houston,12,16,11,21,1,Cameron Reynolds made Layup. Assisted by Von Julien.
Tulane,Houston,12,16,11,33,0,Devonta Pollard missed Jumper.
Tulane,Houston,12,16,11,33,0,LeRon Barnes Offensive Rebound.
Tulane,Houston,12,18,11,37,1,LeRon Barnes made Jumper.
Tulane,Houston,12,18,12,10,0,Cameron Reynolds missed Jumper.
Tulane,Houston,12,18,12,10,0,Devonta Pollard Defensive Rebound.
Tulane,Houston,12,18,12,18,0,Ronnie Johnson missed Layup.
Tulane,Houston,12,18,12,18,0,Kain Harris Defensive Rebound.
Tulane,Houston,12,18,12,29,0,Foul on Danrad Knowles.
Tulane,Houston,12,18,12,29,0,Official TV Timeout
Tulane,Houston,12,18,12,29,0,Dylan Osetkowski missed Free Throw.
Tulane,Houston,12,18,12,29,0,Melvin Frazier Offensive Rebound.
Tulane,Houston,14,18,12,41,1,Dylan Osetkowski made Jumper.
Tulane,Houston,14,20,12,57,1,Galen Robinson Jr. made Layup.
Tulane,Houston,16,20,13,11,1,Dylan Osetkowski made Layup. Assisted by Von Julien.
Tulane,Houston,16,20,13,17,0,Houston  Timeout
