Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Tulsa,South Carolina,0,0,0,23,0,D'Andre Wright missed Three Point Jumper.
Tulsa,South Carolina,0,0,0,23,0,PJ Dozier Defensive Rebound.
Tulsa,South Carolina,0,2,0,33,1,Laimonas Chatkevicius made Jumper. Assisted by Mindaugas Kacinas.
Tulsa,South Carolina,0,2,0,49,0,Rashad Smith missed Jumper.
Tulsa,South Carolina,0,2,0,49,0,D'Andre Wright Offensive Rebound.
Tulsa,South Carolina,0,2,0,51,0,D'Andre Wright missed Two Point Tip Shot.
Tulsa,South Carolina,0,2,0,51,0,PJ Dozier Block.
Tulsa,South Carolina,0,2,0,54,0,PJ Dozier Defensive Rebound.
Tulsa,South Carolina,0,2,1,13,0,Laimonas Chatkevicius missed Jumper.
Tulsa,South Carolina,0,2,1,13,0,Rashad Smith Defensive Rebound.
Tulsa,South Carolina,0,2,1,45,0,Mindaugas Kacinas missed Jumper.
Tulsa,South Carolina,0,2,1,45,0,Michael Carrera Offensive Rebound.
Tulsa,South Carolina,0,2,1,49,0,Michael Carrera missed Two Point Tip Shot.
Tulsa,South Carolina,0,2,1,49,0,Mindaugas Kacinas Offensive Rebound.
Tulsa,South Carolina,0,4,1,54,1,Mindaugas Kacinas made Two Point Tip Shot.
Tulsa,South Carolina,2,4,2,14,1,Rashad Smith made Jumper.
Tulsa,South Carolina,2,7,2,23,1,Sindarius Thornwell made Three Point Jumper.
Tulsa,South Carolina,2,7,2,34,0,Shaquille Harrison missed Three Point Jumper.
Tulsa,South Carolina,2,7,2,34,0,Laimonas Chatkevicius Block.
Tulsa,South Carolina,2,7,2,43,0,PJ Dozier Defensive Rebound.
Tulsa,South Carolina,2,7,2,45,0,Foul on Shaquille Harrison.
Tulsa,South Carolina,2,9,2,48,1,PJ Dozier made Jumper. Assisted by Sindarius Thornwell.
Tulsa,South Carolina,2,9,3,2,0,Shaquille Harrison missed Layup.
Tulsa,South Carolina,2,9,3,2,0,Mindaugas Kacinas Defensive Rebound.
Tulsa,South Carolina,2,12,3,11,1,Sindarius Thornwell made Three Point Jumper. Assisted by Mindaugas Kacinas.
Tulsa,South Carolina,2,12,3,15,0,Tulsa  Timeout
Tulsa,South Carolina,2,12,3,22,0,Rashad Smith Turnover.
Tulsa,South Carolina,2,12,3,25,0,Foul on Sindarius Thornwell.
Tulsa,South Carolina,2,12,3,25,0,Sindarius Thornwell Turnover.
Tulsa,South Carolina,2,12,3,44,0,James Woodard missed Jumper.
Tulsa,South Carolina,2,12,3,44,0,Mindaugas Kacinas Defensive Rebound.
