Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
UC Irvine,CS Fullerton,2,0,0,11,1,Alex Young made Jumper. Assisted by Luke Nelson.
UC Irvine,CS Fullerton,2,3,0,34,1,Malcolm Brooks made Three Point Jumper.
UC Irvine,CS Fullerton,4,3,0,52,1,Alex Young made Jumper. Assisted by Luke Nelson.
UC Irvine,CS Fullerton,4,5,1,5,1,Tre Coggins made Jumper. Assisted by Malcolm Henderson.
UC Irvine,CS Fullerton,6,5,1,26,1,Alex Young made Jumper. Assisted by Luke Nelson.
UC Irvine,CS Fullerton,6,5,1,42,0,Malcolm Brooks missed Three Point Jumper.
UC Irvine,CS Fullerton,6,5,1,42,0,Luke Nelson Defensive Rebound.
UC Irvine,CS Fullerton,6,5,1,51,0,Alex Young missed Three Point Jumper.
UC Irvine,CS Fullerton,6,5,1,51,0,Khalil Ahmad Defensive Rebound.
UC Irvine,CS Fullerton,6,8,2,5,1,Tre Coggins made Three Point Jumper. Assisted by Malcolm Brooks.
UC Irvine,CS Fullerton,6,8,2,28,0,Luke Nelson missed Three Point Jumper.
UC Irvine,CS Fullerton,6,8,2,28,0,Jamar Akoh Defensive Rebound.
UC Irvine,CS Fullerton,6,8,2,43,0,Malcolm Henderson Turnover.
UC Irvine,CS Fullerton,6,8,2,44,0,Luke Nelson Steal.
UC Irvine,CS Fullerton,8,8,2,46,1,Luke Nelson made Layup.
UC Irvine,CS Fullerton,8,8,3,11,0,Tre Coggins missed Three Point Jumper.
UC Irvine,CS Fullerton,8,8,3,11,0,Dominique Dunning Defensive Rebound.
UC Irvine,CS Fullerton,10,8,3,30,1,Mamadou Ndiaye made Jumper. Assisted by Dominique Dunning.
UC Irvine,CS Fullerton,10,10,3,57,1,Khalil Ahmad made Jumper. Assisted by Tre Coggins.
UC Irvine,CS Fullerton,13,10,4,15,1,Luke Nelson made Three Point Jumper. Assisted by Alex Young.
UC Irvine,CS Fullerton,13,13,4,34,1,Malcolm Brooks made Three Point Jumper. Assisted by Khalil Ahmad.
UC Irvine,CS Fullerton,13,13,4,49,0,Foul on Tre Coggins.
UC Irvine,CS Fullerton,13,13,4,49,0,Official TV Timeout
UC Irvine,CS Fullerton,13,13,4,51,0,Foul on Tre Coggins.
UC Irvine,CS Fullerton,14,13,4,51,1,Mamadou Ndiaye made Free Throw.
UC Irvine,CS Fullerton,15,13,4,51,1,Mamadou Ndiaye made Free Throw.
UC Irvine,CS Fullerton,15,15,5,8,1,Khalil Ahmad made Jumper. Assisted by Jamar Akoh.
UC Irvine,CS Fullerton,15,15,5,36,0,Mamadou Ndiaye missed Layup.
UC Irvine,CS Fullerton,15,15,5,36,0,Tim Myles Defensive Rebound.
UC Irvine,CS Fullerton,15,15,5,49,0,Khalil Ahmad Turnover.
UC Irvine,CS Fullerton,15,15,5,50,0,Jaron Martin Steal.
UC Irvine,CS Fullerton,15,15,5,55,0,Luke Nelson missed Three Point Jumper.
UC Irvine,CS Fullerton,15,15,5,55,0,Tim Myles Defensive Rebound.
UC Irvine,CS Fullerton,15,15,6,14,0,Foul on Aaron Wright.
UC Irvine,CS Fullerton,15,15,6,32,0,Kyle Allman missed Jumper.
UC Irvine,CS Fullerton,15,15,6,32,0,Aaron Wright Defensive Rebound.
UC Irvine,CS Fullerton,17,15,6,50,1,Ioannis Dimakopoulos made Dunk. Assisted by Luke Nelson.
UC Irvine,CS Fullerton,17,18,7,25,1,Lionheart Leslie made Three Point Jumper. Assisted by Tim Myles.
UC Irvine,CS Fullerton,17,18,7,48,0,Foul on Kennedy Esume.
UC Irvine,CS Fullerton,20,18,8,2,1,Jaron Martin made Three Point Jumper. Assisted by Aaron Wright.
UC Irvine,CS Fullerton,20,18,8,31,0,Khalil Ahmad missed Jumper.
UC Irvine,CS Fullerton,20,18,8,31,0,Jonathan Galloway Defensive Rebound.
UC Irvine,CS Fullerton,20,18,8,40,0,Alex Young missed Three Point Jumper.
UC Irvine,CS Fullerton,20,18,8,40,0,Lionheart Leslie Defensive Rebound.
UC Irvine,CS Fullerton,20,18,8,50,0,Foul on Ioannis Dimakopoulos.
UC Irvine,CS Fullerton,20,18,8,50,0,Official TV Timeout
UC Irvine,CS Fullerton,20,19,8,50,1,Kyle Allman made Free Throw.
UC Irvine,CS Fullerton,20,20,8,50,1,Kyle Allman made Free Throw.
UC Irvine,CS Fullerton,20,20,9,15,0,Jonathan Galloway missed Jumper.
UC Irvine,CS Fullerton,20,20,9,15,0,Kyle Allman Defensive Rebound.
UC Irvine,CS Fullerton,20,20,9,43,0,Lionheart Leslie Turnover.
UC Irvine,CS Fullerton,23,20,9,58,1,Aaron Wright made Three Point Jumper. Assisted by Alex Young.
UC Irvine,CS Fullerton,23,23,10,26,1,Khalil Ahmad made Three Point Jumper. Assisted by Jamar Akoh.
UC Irvine,CS Fullerton,23,23,10,44,0,Jaron Martin missed Three Point Jumper.
UC Irvine,CS Fullerton,23,23,10,44,0,Khalil Ahmad Defensive Rebound.
UC Irvine,CS Fullerton,23,25,10,55,1,Khalil Ahmad made Layup.
UC Irvine,CS Fullerton,26,25,11,15,1,Jaron Martin made Three Point Jumper. Assisted by Aaron Wright.
UC Irvine,CS Fullerton,26,25,11,46,0,Lionheart Leslie missed Jumper.
UC Irvine,CS Fullerton,26,25,11,46,0,Luke Nelson Defensive Rebound.
UC Irvine,CS Fullerton,26,25,11,59,0,Foul on Khalil Ahmad.
UC Irvine,CS Fullerton,28,25,12,0,1,Alex Young made Jumper. Assisted by Dominique Dunning.
UC Irvine,CS Fullerton,28,25,12,16,0,Khalil Ahmad missed Three Point Jumper.
UC Irvine,CS Fullerton,28,25,12,16,0,Dominique Dunning Defensive Rebound.
UC Irvine,CS Fullerton,28,25,12,29,0,Dominique Dunning missed Jumper.
UC Irvine,CS Fullerton,28,25,12,29,0,Jamar Akoh Block.
UC Irvine,CS Fullerton,28,25,12,31,0,Lionheart Leslie Defensive Rebound.
UC Irvine,CS Fullerton,28,27,12,35,1,Lionheart Leslie made Layup.
UC Irvine,CS Fullerton,30,27,12,54,1,Mike Best made Jumper. Assisted by Luke Nelson.
UC Irvine,CS Fullerton,30,27,13,10,0,Malcolm Brooks missed Jumper.
UC Irvine,CS Fullerton,30,27,13,10,0,Mamadou Ndiaye Block.
