Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Louisiana,UCLA,0,0,0,19,0,Kasey Shepherd missed Three Point Jumper.
Louisiana,UCLA,0,0,0,19,0,UCLA Defensive Rebound.
Louisiana,UCLA,0,2,0,35,1,Tony Parker made Jumper.
Louisiana,UCLA,0,2,0,53,0,Shawn Long missed Three Point Jumper.
Louisiana,UCLA,0,2,0,53,0,Isaac Hamilton Defensive Rebound.
Louisiana,UCLA,0,2,1,16,0,Foul on Johnathan Stove.
Louisiana,UCLA,0,3,1,16,1,Jonah Bolden made Free Throw.
Louisiana,UCLA,0,4,1,16,1,Jonah Bolden made Free Throw.
Louisiana,UCLA,0,4,1,36,0,Kasey Shepherd Turnover.
Louisiana,UCLA,0,4,1,50,0,Isaac Hamilton missed Three Point Jumper.
Louisiana,UCLA,0,4,1,50,0,Tony Parker Offensive Rebound.
Louisiana,UCLA,0,4,1,54,0,Tony Parker missed Layup.
Louisiana,UCLA,0,4,1,54,0,Shawn Long Block.
Louisiana,UCLA,0,4,1,56,0,Tony Parker Offensive Rebound.
Louisiana,UCLA,0,4,1,58,0,Tony Parker missed Layup.
Louisiana,UCLA,0,4,1,58,0,Jay Hedgeman Defensive Rebound.
Louisiana,UCLA,0,4,2,13,0,Johnathan Stove missed Jumper.
Louisiana,UCLA,0,4,2,13,0,Tony Parker Defensive Rebound.
Louisiana,UCLA,0,6,2,27,1,Tony Parker made Layup. Assisted by Aaron Holiday.
Louisiana,UCLA,0,6,2,42,0,Shawn Long missed Jumper.
Louisiana,UCLA,0,6,2,42,0,Bryce Alford Defensive Rebound.
Louisiana,UCLA,0,6,2,55,0,Aaron Holiday missed Jumper.
Louisiana,UCLA,0,6,2,55,0,Jonah Bolden Offensive Rebound.
Louisiana,UCLA,0,6,2,55,0,Foul on Jay Hedgeman.
Louisiana,UCLA,0,6,2,57,0,Bryce Alford missed Three Point Jumper.
Louisiana,UCLA,0,6,2,57,0,Shawn Long Defensive Rebound.
Louisiana,UCLA,0,6,3,25,0,Shawn Long missed Jumper.
Louisiana,UCLA,0,6,3,25,0,Aaron Holiday Defensive Rebound.
Louisiana,UCLA,0,8,3,33,1,Isaac Hamilton made Layup. Assisted by Aaron Holiday.
Louisiana,UCLA,0,8,3,39,0,UL Lafayette  Timeout
Louisiana,UCLA,0,8,3,44,0,Jay Wright missed Jumper.
Louisiana,UCLA,0,8,3,44,0,Isaac Hamilton Defensive Rebound.
Louisiana,UCLA,0,8,4,2,0,Bryce Alford Turnover.
Louisiana,UCLA,0,8,4,3,0,Kasey Shepherd Steal.
Louisiana,UCLA,2,8,4,5,1,Kasey Shepherd made Layup.
Louisiana,UCLA,2,8,4,24,0,Foul on Shawn Long.
Louisiana,UCLA,2,8,4,24,0,Tony Parker missed Free Throw.
Louisiana,UCLA,2,8,4,24,0,UCLA Deadball Team Rebound.
Louisiana,UCLA,2,9,4,24,1,Tony Parker made Free Throw.
Louisiana,UCLA,2,9,4,47,0,Jay Wright missed Three Point Jumper.
Louisiana,UCLA,2,9,4,47,0,Isaac Hamilton Defensive Rebound.
Louisiana,UCLA,2,12,5,0,1,Jonah Bolden made Three Point Jumper. Assisted by Bryce Alford.
Louisiana,UCLA,5,12,5,21,1,Kasey Shepherd made Three Point Jumper. Assisted by Johnathan Stove.
Louisiana,UCLA,5,12,5,39,0,Tony Parker missed Jumper.
Louisiana,UCLA,5,12,5,39,0,Jonah Bolden Offensive Rebound.
Louisiana,UCLA,5,15,5,50,1,Isaac Hamilton made Three Point Jumper.
Louisiana,UCLA,5,15,6,13,0,Johnathan Stove missed Three Point Jumper.
Louisiana,UCLA,5,15,6,13,0,Shawn Long Offensive Rebound.
Louisiana,UCLA,7,15,6,18,1,Shawn Long made Layup.
Louisiana,UCLA,7,17,6,29,1,Tony Parker made Jumper. Assisted by Bryce Alford.
Louisiana,UCLA,7,17,6,52,0,Foul on Tony Parker.
Louisiana,UCLA,7,17,6,54,0,Kasey Shepherd Turnover.
Louisiana,UCLA,7,17,6,55,0,Bryce Alford Steal.
Louisiana,UCLA,7,19,6,57,1,Bryce Alford made Layup.
Louisiana,UCLA,10,19,7,22,1,Steven Wronkoski made Three Point Jumper. Assisted by Shawn Long.
Louisiana,UCLA,10,21,7,48,1,Bryce Alford made Jumper.
Louisiana,UCLA,10,21,7,57,0,Foul on Alex Olesinski.
Louisiana,UCLA,10,21,7,59,0,Scott Plaisance Turnover.
Louisiana,UCLA,10,21,8,8,0,Foul on Scott Plaisance.
Louisiana,UCLA,10,21,8,8,0,Official TV Timeout
Louisiana,UCLA,10,21,8,8,0,Jonah Bolden missed Free Throw.
Louisiana,UCLA,10,21,8,8,0,UCLA Deadball Team Rebound.
Louisiana,UCLA,10,22,8,8,1,Jonah Bolden made Free Throw.
Louisiana,UCLA,13,22,8,26,1,Hayward Register made Three Point Jumper. Assisted by Jay Hedgeman.
Louisiana,UCLA,13,22,8,39,0,Foul on Hayward Register.
Louisiana,UCLA,13,22,8,52,0,Foul on Bryce Washington.
Louisiana,UCLA,13,23,8,52,1,Aaron Holiday made Free Throw.
Louisiana,UCLA,13,23,8,52,0,Aaron Holiday missed Free Throw.
Louisiana,UCLA,13,23,8,52,0,Hayward Register Defensive Rebound.
Louisiana,UCLA,13,23,9,0,0,Hayward Register missed Three Point Jumper.
Louisiana,UCLA,13,23,9,0,0,Bryce Washington Offensive Rebound.
Louisiana,UCLA,13,23,9,6,0,Bryce Washington Turnover.
Louisiana,UCLA,13,23,9,7,0,Aaron Holiday Steal.
