Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Hartford,UMass Lowell,0,0,0,25,0,Jahad Thomas missed Jumper.
Hartford,UMass Lowell,0,0,0,25,0,Ryan Jones Offensive Rebound.
Hartford,UMass Lowell,0,0,0,34,0,Josh Gantz missed Jumper.
Hartford,UMass Lowell,0,0,0,34,0,Justin Graham Defensive Rebound.
Hartford,UMass Lowell,3,0,0,43,1,Taylor Dyson made Three Point Jumper. Assisted by Pancake Thomas.
Hartford,UMass Lowell,3,0,1,5,0,Ryan Jones Turnover.
Hartford,UMass Lowell,3,0,1,23,0,Taylor Dyson missed Three Point Jumper.
Hartford,UMass Lowell,3,0,1,23,0,Pancake Thomas Offensive Rebound.
Hartford,UMass Lowell,3,0,1,33,0,Pancake Thomas missed Three Point Jumper.
Hartford,UMass Lowell,3,0,1,33,0,Mark Cornelius Defensive Rebound.
Hartford,UMass Lowell,3,0,2,6,0,UMass Lowell  Turnover.
Hartford,UMass Lowell,3,0,2,25,0,Justin Graham missed Three Point Jumper.
Hartford,UMass Lowell,3,0,2,25,0,Pancake Thomas Offensive Rebound.
Hartford,UMass Lowell,3,0,2,37,0,Foul on Josh Gantz.
Hartford,UMass Lowell,5,0,2,42,1,Pancake Thomas made Jumper. Assisted by George Blagojevic.
Hartford,UMass Lowell,5,0,2,58,0,Isaac White Turnover.
Hartford,UMass Lowell,5,0,3,18,0,Taylor Dyson missed Three Point Jumper.
Hartford,UMass Lowell,5,0,3,18,0,Mark Cornelius Defensive Rebound.
Hartford,UMass Lowell,5,2,3,27,1,Josh Gantz made Layup. Assisted by Isaac White.
Hartford,UMass Lowell,7,2,3,41,1,George Blagojevic made Layup. Assisted by Pancake Thomas.
Hartford,UMass Lowell,7,2,3,48,0,Ryan Jones Turnover.
Hartford,UMass Lowell,7,2,3,48,0,Justin Graham Steal.
Hartford,UMass Lowell,7,2,3,48,0,Justin Graham Turnover.
Hartford,UMass Lowell,7,2,3,51,0,Ryan Jones missed Three Point Jumper.
Hartford,UMass Lowell,7,2,3,51,0,Justin Graham Defensive Rebound.
Hartford,UMass Lowell,9,2,4,6,1,George Blagojevic made Layup.
Hartford,UMass Lowell,9,2,4,17,0,Foul on J.R. Lynch.
Hartford,UMass Lowell,9,2,4,17,0,Official TV Timeout
Hartford,UMass Lowell,9,5,4,24,1,Isaac White made Three Point Jumper. Assisted by Josh Gantz.
Hartford,UMass Lowell,9,5,4,44,0,Pancake Thomas missed Three Point Jumper.
Hartford,UMass Lowell,9,5,4,44,0,Mark Cornelius Defensive Rebound.
Hartford,UMass Lowell,9,7,4,52,1,Tyler Livingston made Layup. Assisted by Josh Gantz.
Hartford,UMass Lowell,9,7,5,5,0,George Blagojevic Turnover.
Hartford,UMass Lowell,9,7,5,23,0,Tyler Livingston Turnover.
Hartford,UMass Lowell,9,7,5,25,0,Evan Cooper Steal.
Hartford,UMass Lowell,9,7,5,28,0,Taylor Dyson missed Three Point Jumper.
Hartford,UMass Lowell,9,7,5,28,0,Pancake Thomas Offensive Rebound.
Hartford,UMass Lowell,9,7,5,41,0,Evan Cooper missed Three Point Jumper.
Hartford,UMass Lowell,9,7,5,41,0,Mark Cornelius Defensive Rebound.
Hartford,UMass Lowell,9,9,5,53,1,Tyler Livingston made Jumper.
Hartford,UMass Lowell,12,9,6,8,1,Justin Graham made Three Point Jumper.
Hartford,UMass Lowell,12,9,6,26,0,Josh Gantz missed Layup.
Hartford,UMass Lowell,12,9,6,26,0,Justin Graham Defensive Rebound.
Hartford,UMass Lowell,12,9,6,31,0,Foul on Keith Hayes II.
Hartford,UMass Lowell,12,9,6,45,0,George Blagojevic missed Three Point Jumper.
Hartford,UMass Lowell,12,9,6,45,0,Dontavious Smith Defensive Rebound.
Hartford,UMass Lowell,12,12,7,4,1,Keith Hayes II made Three Point Jumper. Assisted by Dontavious Smith.
Hartford,UMass Lowell,12,12,7,29,0,Foul on TreVaughn Wilkerson.
Hartford,UMass Lowell,12,12,7,29,0,TreVaughn Wilkerson Turnover.
Hartford,UMass Lowell,12,12,7,57,0,Dontavious Smith missed Layup.
Hartford,UMass Lowell,12,12,7,57,0,TreVaughn Wilkerson Defensive Rebound.
Hartford,UMass Lowell,12,12,8,8,0,Foul on Tyler Livingston.
Hartford,UMass Lowell,12,12,8,8,0,Official TV Timeout
Hartford,UMass Lowell,12,12,8,13,0,Pancake Thomas missed Three Point Jumper.
Hartford,UMass Lowell,12,12,8,13,0,Dontavious Smith Defensive Rebound.
Hartford,UMass Lowell,12,12,8,43,0,Tyler Livingston missed Three Point Jumper.
Hartford,UMass Lowell,12,12,8,43,0,Keith Hayes II Offensive Rebound.
Hartford,UMass Lowell,12,12,8,47,0,Keith Hayes II missed Jumper.
Hartford,UMass Lowell,12,12,8,47,0,Dontavious Smith Offensive Rebound.
Hartford,UMass Lowell,12,14,8,55,1,Tyler Livingston made Layup. Assisted by Keith Hayes II.
Hartford,UMass Lowell,12,14,9,8,0,Foul on TreVaughn Wilkerson.
Hartford,UMass Lowell,12,14,9,8,0,TreVaughn Wilkerson Turnover.
Hartford,UMass Lowell,12,14,9,10,0,Foul on Jalen Ross.
Hartford,UMass Lowell,12,14,9,25,0,Dontavious Smith Turnover.
Hartford,UMass Lowell,12,14,9,51,0,Evan Cooper missed Three Point Jumper.
Hartford,UMass Lowell,12,14,9,51,0,Logan Primerano Defensive Rebound.
