Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Middle Tennessee,UNC Asheville,0,0,0,25,0,Dwayne Sutton missed Jumper.
Middle Tennessee,UNC Asheville,0,0,0,25,0,Edward Simpson Defensive Rebound.
Middle Tennessee,UNC Asheville,0,0,0,40,0,Darnell Harris missed Three Point Jumper.
Middle Tennessee,UNC Asheville,0,0,0,40,0,UNC Asheville Defensive Rebound.
Middle Tennessee,UNC Asheville,0,2,1,1,1,Sam Hughes made Jumper. Assisted by Kevin Vannatta.
Middle Tennessee,UNC Asheville,0,2,1,19,0,Foul on Sam Hughes.
Middle Tennessee,UNC Asheville,3,2,1,21,1,Giddy Potts made Three Point Jumper. Assisted by Quavius Copeland.
Middle Tennessee,UNC Asheville,3,2,1,34,0,Ahmad Thomas Turnover.
Middle Tennessee,UNC Asheville,6,2,1,49,1,Edward Simpson made Three Point Jumper. Assisted by Reggie Upshaw.
Middle Tennessee,UNC Asheville,6,2,2,7,0,Foul on Darnell Harris.
Middle Tennessee,UNC Asheville,6,2,2,15,0,Sam Hughes Turnover.
Middle Tennessee,UNC Asheville,6,2,2,27,0,Darnell Harris Turnover.
Middle Tennessee,UNC Asheville,6,2,2,28,0,Kevin Vannatta Steal.
Middle Tennessee,UNC Asheville,6,2,2,48,0,David Robertson missed Three Point Jumper.
Middle Tennessee,UNC Asheville,6,2,2,48,0,Darnell Harris Defensive Rebound.
Middle Tennessee,UNC Asheville,6,2,3,0,0,Darnell Harris missed Layup.
Middle Tennessee,UNC Asheville,6,2,3,0,0,David Robertson Defensive Rebound.
Middle Tennessee,UNC Asheville,6,2,3,9,0,Dwayne Sutton missed Jumper.
Middle Tennessee,UNC Asheville,6,2,3,9,0,Middle Tennessee Defensive Rebound.
Middle Tennessee,UNC Asheville,8,2,3,19,1,Reggie Upshaw made Jumper. Assisted by Edward Simpson.
Middle Tennessee,UNC Asheville,8,2,3,43,0,Kevin Vannatta missed Three Point Jumper.
Middle Tennessee,UNC Asheville,8,2,3,43,0,Dwayne Sutton Offensive Rebound.
Middle Tennessee,UNC Asheville,8,2,3,44,0,Foul on Reggie Upshaw.
Middle Tennessee,UNC Asheville,8,2,3,48,0,Dwayne Sutton missed Free Throw.
Middle Tennessee,UNC Asheville,8,2,3,48,0,UNC Asheville Deadball Team Rebound.
Middle Tennessee,UNC Asheville,8,2,3,48,0,Dwayne Sutton missed Free Throw.
Middle Tennessee,UNC Asheville,8,2,3,48,0,John Cannon Offensive Rebound.
Middle Tennessee,UNC Asheville,8,2,3,52,0,John Cannon missed Two Point Tip Shot.
Middle Tennessee,UNC Asheville,8,2,3,52,0,Edward Simpson Defensive Rebound.
Middle Tennessee,UNC Asheville,8,2,4,1,0,Quavius Copeland missed Three Point Jumper.
Middle Tennessee,UNC Asheville,8,2,4,1,0,Ahmad Thomas Defensive Rebound.
Middle Tennessee,UNC Asheville,8,2,4,11,0,Dwayne Sutton Turnover.
Middle Tennessee,UNC Asheville,11,2,4,16,1,Edward Simpson made Three Point Jumper.
Middle Tennessee,UNC Asheville,11,2,4,18,0,UNC Asheville  Timeout
Middle Tennessee,UNC Asheville,11,2,4,18,0,Official TV Timeout
Middle Tennessee,UNC Asheville,11,2,4,30,0,John Cannon missed Jumper.
Middle Tennessee,UNC Asheville,11,2,4,30,0,Perrin Buford Defensive Rebound.
