Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Montana State,Utah Valley,0,0,0,24,0,Alex Carr missed Three Point Jumper.
Montana State,Utah Valley,0,0,0,24,0,Zach Green Defensive Rebound.
Montana State,Utah Valley,2,0,0,35,1,Zach Green made Jumper.
Montana State,Utah Valley,2,0,0,42,0,Alex Carr Turnover.
Montana State,Utah Valley,2,0,0,49,0,Zach Green missed Jumper.
Montana State,Utah Valley,2,0,0,49,0,Konner Frey Defensive Rebound.
Montana State,Utah Valley,2,0,1,0,0,Jaden Jackson missed Jumper.
Montana State,Utah Valley,2,0,1,0,0,Tyler Hall Defensive Rebound.
Montana State,Utah Valley,4,0,1,24,1,Zach Green made Jumper. Assisted by Marcus Colbert.
Montana State,Utah Valley,4,0,1,38,0,Konner Frey Turnover.
Montana State,Utah Valley,4,0,1,38,0,Tyler Hall Steal.
Montana State,Utah Valley,4,0,1,43,0,Zach Green Turnover.
Montana State,Utah Valley,4,0,1,43,0,Foul on Zach Green.
Montana State,Utah Valley,4,2,1,52,1,Marcel Davis made Jumper. Assisted by Konner Frey.
Montana State,Utah Valley,4,2,2,1,0,Quinton Everett missed Jumper.
Montana State,Utah Valley,4,2,2,1,0,Quinton Everett Offensive Rebound.
Montana State,Utah Valley,4,2,2,5,0,Foul on Darrious Hamilton.
Montana State,Utah Valley,4,2,2,5,0,Quinton Everett missed Free Throw.
Montana State,Utah Valley,4,2,2,5,0,Montana St Deadball Team Rebound.
Montana State,Utah Valley,5,2,2,5,1,Quinton Everett made Free Throw.
Montana State,Utah Valley,5,4,2,25,1,Marcel Davis made Layup.
Montana State,Utah Valley,5,4,2,43,0,Stephan Holm missed Three Point Jumper.
Montana State,Utah Valley,5,4,2,43,0,Danny Robison Offensive Rebound.
Montana State,Utah Valley,5,4,2,46,0,Foul on Konner Frey.
Montana State,Utah Valley,5,4,3,9,0,Stephan Holm Turnover.
Montana State,Utah Valley,5,4,3,10,0,Konner Frey Steal.
Montana State,Utah Valley,5,6,3,13,1,Konner Frey made Layup. Assisted by Jaden Jackson.
