Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Washington State,Utah,0,0,0,0,0,Jump Ball won by Washington St
Washington State,Utah,2,0,0,11,1,Que Johnson made Jumper. Assisted by Ny Redding.
Washington State,Utah,2,0,0,28,0,Foul on Valentine Izundu.
Washington State,Utah,2,1,0,28,1,Kyle Kuzma made Free Throw.
Washington State,Utah,2,2,0,28,1,Kyle Kuzma made Free Throw.
Washington State,Utah,2,2,0,38,0,Ny Redding Turnover.
Washington State,Utah,2,2,0,38,0,Lorenzo Bonam Steal.
Washington State,Utah,2,2,0,44,0,Lorenzo Bonam missed Layup.
Washington State,Utah,2,2,0,44,0,Josh Hawkinson Defensive Rebound.
Washington State,Utah,2,2,1,11,0,Valentine Izundu Turnover.
Washington State,Utah,2,2,1,38,0,Kyle Kuzma Turnover.
Washington State,Utah,2,2,1,51,0,Ny Redding Turnover.
Washington State,Utah,2,2,1,51,0,Jakob Poeltl Steal.
Washington State,Utah,2,2,2,0,0,Jordan Loveridge missed Layup.
Washington State,Utah,2,2,2,0,0,Josh Hawkinson Block.
Washington State,Utah,2,2,2,0,0,Ike Iroegbu Defensive Rebound.
Washington State,Utah,2,2,2,7,0,Ike Iroegbu missed Layup.
Washington State,Utah,2,2,2,7,0,Kyle Kuzma Defensive Rebound.
Washington State,Utah,2,2,2,27,0,Brandon Taylor Turnover.
Washington State,Utah,2,2,2,27,0,Ike Iroegbu Steal.
Washington State,Utah,4,2,2,46,1,Que Johnson made Jumper. Assisted by Ny Redding.
Washington State,Utah,4,2,2,54,0,Dakarai Tucker missed Layup.
Washington State,Utah,4,2,2,54,0,Josh Hawkinson Defensive Rebound.
Washington State,Utah,4,2,3,14,0,Foul on Valentine Izundu.
Washington State,Utah,4,2,3,14,0,Valentine Izundu Turnover.
Washington State,Utah,4,2,3,28,0,Foul on Conor Clifford.
Washington State,Utah,4,2,3,46,0,Brandon Taylor missed Jumper.
Washington State,Utah,4,2,3,46,0,Kyle Kuzma Offensive Rebound.
Washington State,Utah,4,4,3,53,1,Kyle Kuzma made Layup.
Washington State,Utah,6,4,4,11,1,Conor Clifford made Layup.
Washington State,Utah,6,4,4,29,0,Dakarai Tucker missed Three Point Jumper.
Washington State,Utah,6,4,4,29,0,Brett Boese Defensive Rebound.
Washington State,Utah,6,4,4,48,0,Que Johnson missed Jumper.
Washington State,Utah,6,4,4,48,0,Jakob Poeltl Defensive Rebound.
Washington State,Utah,6,6,5,3,1,Jakob Poeltl made Dunk. Assisted by Lorenzo Bonam.
Washington State,Utah,6,6,5,33,0,Que Johnson Turnover.
Washington State,Utah,6,6,5,33,0,Brandon Taylor Steal.
Washington State,Utah,6,6,5,47,0,Jakob Poeltl missed Jumper.
Washington State,Utah,6,6,5,47,0,Ny Redding Defensive Rebound.
Washington State,Utah,6,6,6,16,0,Foul on Dakarai Tucker.
Washington State,Utah,6,6,6,16,0,Official TV Timeout
Washington State,Utah,6,6,6,21,0,Ny Redding Turnover.
Washington State,Utah,6,6,6,21,0,Lorenzo Bonam Steal.
Washington State,Utah,6,6,6,29,0,Jakob Poeltl missed Layup.
Washington State,Utah,6,6,6,29,0,Conor Clifford Block.
Washington State,Utah,6,6,6,29,0,Kyle Kuzma Offensive Rebound.
Washington State,Utah,6,8,6,40,1,Kyle Kuzma made Layup.
Washington State,Utah,6,8,7,4,0,Viont'e Daniels missed Three Point Jumper.
Washington State,Utah,6,8,7,4,0,Dakarai Tucker Defensive Rebound.
Washington State,Utah,6,10,7,25,1,Jakob Poeltl made Layup. Assisted by Lorenzo Bonam.
Washington State,Utah,6,10,7,27,0,Washington St  Timeout
Washington State,Utah,9,10,7,42,1,Brett Boese made Three Point Jumper. Assisted by Ike Iroegbu.
Washington State,Utah,9,12,8,0,1,Jakob Poeltl made Layup.
Washington State,Utah,9,12,8,21,0,Conor Clifford missed Jumper.
Washington State,Utah,9,12,8,21,0,Jordan Loveridge Defensive Rebound.
Washington State,Utah,9,14,8,34,1,Jakob Poeltl made Layup.
Washington State,Utah,9,14,8,55,0,Brett Boese missed Three Point Jumper.
Washington State,Utah,9,14,8,55,0,Lorenzo Bonam Defensive Rebound.
Washington State,Utah,9,14,9,6,0,Foul on Brett Boese.
Washington State,Utah,9,14,9,6,0,Official TV Timeout
Washington State,Utah,9,15,9,6,1,Jordan Loveridge made Free Throw.
Washington State,Utah,9,16,9,6,1,Jordan Loveridge made Free Throw.
Washington State,Utah,9,17,9,6,1,Jordan Loveridge made Free Throw.
Washington State,Utah,9,17,9,33,0,Ike Iroegbu missed Three Point Jumper.
Washington State,Utah,9,17,9,33,0,Jordan Loveridge Defensive Rebound.
Washington State,Utah,9,19,9,45,1,Jakob Poeltl made Layup. Assisted by Dakarai Tucker.
Washington State,Utah,9,19,10,11,0,Robert Franks Turnover.
Washington State,Utah,9,19,10,27,0,Jordan Loveridge missed Three Point Jumper.
Washington State,Utah,9,19,10,27,0,Jakob Poeltl Offensive Rebound.
Washington State,Utah,9,21,10,27,1,Jakob Poeltl made Two Point Tip Shot.
Washington State,Utah,9,21,10,46,0,Washington St  Timeout
Washington State,Utah,9,21,11,5,0,Foul on Kyle Kuzma.
Washington State,Utah,10,21,11,5,1,Robert Franks made Free Throw.
Washington State,Utah,11,21,11,5,1,Robert Franks made Free Throw.
Washington State,Utah,12,21,11,5,1,Robert Franks made Free Throw.
Washington State,Utah,12,23,11,24,1,Kyle Kuzma made Layup. Assisted by Jordan Loveridge.
Washington State,Utah,12,23,11,47,0,Robert Franks missed Jumper.
Washington State,Utah,12,23,11,47,0,Dakarai Tucker Defensive Rebound.
Washington State,Utah,12,23,11,58,0,Foul on Ny Redding.
Washington State,Utah,12,23,12,18,0,Brekkott Chapman missed Layup.
Washington State,Utah,12,23,12,18,0,Kyle Kuzma Offensive Rebound.
Washington State,Utah,12,23,12,18,0,Kyle Kuzma missed Two Point Tip Shot.
Washington State,Utah,12,23,12,18,0,Washington St Defensive Rebound.
Washington State,Utah,12,23,12,20,0,Official TV Timeout
Washington State,Utah,12,23,12,48,0,Foul on Lorenzo Bonam.
Washington State,Utah,13,23,12,48,1,Robert Franks made Free Throw.
Washington State,Utah,14,23,12,48,1,Robert Franks made Free Throw.
Washington State,Utah,14,25,12,58,1,Jakob Poeltl made Layup. Assisted by Jordan Loveridge.
Washington State,Utah,14,25,13,21,0,Ike Iroegbu missed Layup.
Washington State,Utah,14,25,13,21,0,Kyle Kuzma Defensive Rebound.
Washington State,Utah,14,25,13,36,0,Kyle Kuzma missed Layup.
Washington State,Utah,14,25,13,36,0,Robert Franks Defensive Rebound.
Washington State,Utah,14,25,13,47,0,Foul on Kyle Kuzma.
Washington State,Utah,14,25,13,57,0,Brett Boese Turnover.
Washington State,Utah,14,25,13,57,0,Jordan Loveridge Steal.
Washington State,Utah,14,27,14,1,1,Jordan Loveridge made Layup.
Washington State,Utah,14,27,14,1,0,Foul on Ike Iroegbu.
Washington State,Utah,14,28,14,1,1,Jordan Loveridge made Free Throw.
Washington State,Utah,14,28,14,27,0,Foul on Conor Clifford.
Washington State,Utah,14,28,14,27,0,Conor Clifford Turnover.
Washington State,Utah,14,31,14,40,1,Brekkott Chapman made Three Point Jumper. Assisted by Isaiah Wright.
Washington State,Utah,14,31,15,4,0,Foul on Isaiah Wright.
Washington State,Utah,14,31,15,23,0,Viont'e Daniels Turnover.
Washington State,Utah,14,31,15,23,0,Jakob Poeltl Steal.
Washington State,Utah,14,34,15,32,1,Jordan Loveridge made Three Point Jumper. Assisted by Isaiah Wright.
Washington State,Utah,17,34,15,48,1,Ike Iroegbu made Three Point Jumper.
Washington State,Utah,17,34,15,59,0,Foul on Conor Clifford.
Washington State,Utah,17,35,15,59,1,Jakob Poeltl made Free Throw.
Washington State,Utah,17,36,15,59,1,Jakob Poeltl made Free Throw.
Washington State,Utah,17,36,16,17,0,Que Johnson missed Three Point Jumper.
Washington State,Utah,17,36,16,17,0,Jakob Poeltl Defensive Rebound.
Washington State,Utah,17,38,16,26,1,Brekkott Chapman made Layup. Assisted by Brandon Taylor.
Washington State,Utah,17,38,16,26,0,Foul on Junior Longrus.
Washington State,Utah,17,38,16,26,0,Official TV Timeout
Washington State,Utah,17,38,16,26,0,Brekkott Chapman missed Free Throw.
Washington State,Utah,17,38,16,26,0,Josh Hawkinson Defensive Rebound.
Washington State,Utah,19,38,16,46,1,Que Johnson made Jumper.
Washington State,Utah,19,38,17,7,0,Foul on Que Johnson.
Washington State,Utah,19,39,17,7,1,Brekkott Chapman made Free Throw.
