Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Saint Joseph's,Virginia Tech,0,2,0,14,1,Chris Clarke made Layup.
Saint Joseph's,Virginia Tech,0,2,0,34,0,Shavar Newkirk missed Three Point Jumper.
Saint Joseph's,Virginia Tech,0,2,0,34,0,Chris Clarke Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,0,54,0,Zach LeDay missed Jumper.
Saint Joseph's,Virginia Tech,0,2,0,54,0,DeAndre Bembry Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,1,9,0,Isaiah Miles missed Three Point Jumper.
Saint Joseph's,Virginia Tech,0,2,1,9,0,Saint Joseph's Offensive Rebound.
Saint Joseph's,Virginia Tech,0,2,1,22,0,DeAndre Bembry missed Jumper.
Saint Joseph's,Virginia Tech,0,2,1,22,0,Zach LeDay Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,1,31,0,Foul on Aaron Brown.
Saint Joseph's,Virginia Tech,0,2,1,49,0,Foul on Aaron Brown.
Saint Joseph's,Virginia Tech,0,2,2,0,0,Seth Allen missed Three Point Jumper.
Saint Joseph's,Virginia Tech,0,2,2,0,0,DeAndre Bembry Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,2,11,0,James Demery missed Jumper.
Saint Joseph's,Virginia Tech,0,2,2,11,0,Seth Allen Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,2,19,0,Zach LeDay missed Layup.
Saint Joseph's,Virginia Tech,0,2,2,19,0,James Demery Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,2,34,0,Isaiah Miles missed Jumper.
Saint Joseph's,Virginia Tech,0,2,2,34,0,Chris Clarke Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,2,48,0,Seth Allen missed Jumper.
Saint Joseph's,Virginia Tech,0,2,2,48,0,Shavar Newkirk Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,2,55,0,Foul on Devin Wilson.
Saint Joseph's,Virginia Tech,0,2,3,3,0,Shavar Newkirk missed Jumper.
Saint Joseph's,Virginia Tech,0,2,3,3,0,Zach LeDay Block.
Saint Joseph's,Virginia Tech,0,2,3,4,0,Saint Joseph's Offensive Rebound.
Saint Joseph's,Virginia Tech,0,2,3,9,0,DeAndre Bembry missed Three Point Jumper.
Saint Joseph's,Virginia Tech,0,2,3,9,0,Zach LeDay Defensive Rebound.
Saint Joseph's,Virginia Tech,0,2,3,17,0,Jalen Hudson Turnover.
Saint Joseph's,Virginia Tech,0,2,3,19,0,DeAndre Bembry Steal.
Saint Joseph's,Virginia Tech,2,2,3,22,1,DeAndre Bembry made Dunk.
Saint Joseph's,Virginia Tech,2,2,3,54,0,Devin Wilson missed Three Point Jumper.
Saint Joseph's,Virginia Tech,2,2,3,54,0,DeAndre Bembry Defensive Rebound.
Saint Joseph's,Virginia Tech,2,2,4,4,0,Shavar Newkirk missed Three Point Jumper.
Saint Joseph's,Virginia Tech,2,2,4,4,0,Zach LeDay Defensive Rebound.
Saint Joseph's,Virginia Tech,2,2,4,11,0,Justin Bibbs missed Layup.
Saint Joseph's,Virginia Tech,2,2,4,11,0,Isaiah Miles Defensive Rebound.
Saint Joseph's,Virginia Tech,2,2,4,33,0,DeAndre Bembry missed Layup.
Saint Joseph's,Virginia Tech,2,2,4,33,0,DeAndre Bembry Offensive Rebound.
Saint Joseph's,Virginia Tech,4,2,4,36,1,DeAndre Bembry made Two Point Tip Shot.
Saint Joseph's,Virginia Tech,4,2,4,51,0,Devin Wilson missed Three Point Jumper.
Saint Joseph's,Virginia Tech,4,2,4,51,0,Pierfrancesco Oliva Defensive Rebound.
Saint Joseph's,Virginia Tech,6,2,5,0,1,Shavar Newkirk made Layup. Assisted by DeAndre Bembry.
Saint Joseph's,Virginia Tech,6,2,5,23,0,Justin Bibbs missed Jumper.
Saint Joseph's,Virginia Tech,6,2,5,23,0,Isaiah Miles Defensive Rebound.
Saint Joseph's,Virginia Tech,6,2,5,25,0,Foul on Kerry Blackshear Jr..
Saint Joseph's,Virginia Tech,6,2,5,25,0,Official TV Timeout
Saint Joseph's,Virginia Tech,6,2,5,33,0,DeAndre Bembry missed Three Point Jumper.
Saint Joseph's,Virginia Tech,6,2,5,33,0,Pierfrancesco Oliva Offensive Rebound.
Saint Joseph's,Virginia Tech,8,2,6,5,1,Isaiah Miles made Layup.
Saint Joseph's,Virginia Tech,8,5,6,23,1,Justin Robinson made Three Point Jumper. Assisted by Chris Clarke.
Saint Joseph's,Virginia Tech,10,5,6,43,1,DeAndre Bembry made Layup. Assisted by Pierfrancesco Oliva.
Saint Joseph's,Virginia Tech,10,7,7,5,1,Justin Bibbs made Jumper.
Saint Joseph's,Virginia Tech,10,7,7,19,0,Foul on Seth Allen.
Saint Joseph's,Virginia Tech,10,7,7,23,0,Lamarr Kimble missed Layup.
Saint Joseph's,Virginia Tech,10,7,7,23,0,Kerry Blackshear Jr. Defensive Rebound.
Saint Joseph's,Virginia Tech,10,7,7,33,0,Justin Robinson missed Layup.
Saint Joseph's,Virginia Tech,10,7,7,33,0,Isaiah Miles Block.
Saint Joseph's,Virginia Tech,10,7,7,34,0,Virginia Tech Offensive Rebound.
Saint Joseph's,Virginia Tech,10,7,7,41,0,Seth Allen missed Jumper.
Saint Joseph's,Virginia Tech,10,7,7,41,0,Papa Ndao Defensive Rebound.
Saint Joseph's,Virginia Tech,10,7,7,53,0,DeAndre Bembry Turnover.
Saint Joseph's,Virginia Tech,10,9,8,7,1,Justin Robinson made Layup.
Saint Joseph's,Virginia Tech,10,9,8,32,0,Papa Ndao missed Three Point Jumper.
Saint Joseph's,Virginia Tech,10,9,8,32,0,Isaiah Miles Offensive Rebound.
Saint Joseph's,Virginia Tech,10,9,8,37,0,Foul on Justin Robinson.
Saint Joseph's,Virginia Tech,10,9,8,37,0,Official TV Timeout
Saint Joseph's,Virginia Tech,11,9,8,37,1,Isaiah Miles made Free Throw.
Saint Joseph's,Virginia Tech,12,9,8,37,1,Isaiah Miles made Free Throw.
Saint Joseph's,Virginia Tech,12,11,8,54,1,Kerry Blackshear Jr. made Layup. Assisted by Devin Wilson.
Saint Joseph's,Virginia Tech,12,11,9,10,0,Lamarr Kimble missed Jumper.
Saint Joseph's,Virginia Tech,12,11,9,10,0,Kerry Blackshear Jr. Defensive Rebound.
Saint Joseph's,Virginia Tech,12,11,9,19,0,Devin Wilson Turnover.
Saint Joseph's,Virginia Tech,14,11,9,34,1,Isaiah Miles made Dunk.
Saint Joseph's,Virginia Tech,14,11,9,52,0,Justin Bibbs missed Three Point Jumper.
Saint Joseph's,Virginia Tech,14,11,9,52,0,James Demery Defensive Rebound.
Saint Joseph's,Virginia Tech,14,11,10,4,0,Foul on Justin Bibbs.
Saint Joseph's,Virginia Tech,14,11,10,13,0,DeAndre Bembry Turnover.
Saint Joseph's,Virginia Tech,14,11,10,14,0,Zach LeDay Steal.
Saint Joseph's,Virginia Tech,14,11,10,17,0,Foul on Papa Ndao.
Saint Joseph's,Virginia Tech,14,11,10,30,0,Foul on Lamarr Kimble.
Saint Joseph's,Virginia Tech,14,11,10,30,0,Johnny Hamilton missed Jumper.
Saint Joseph's,Virginia Tech,14,11,10,30,0,Isaiah Miles Defensive Rebound.
Saint Joseph's,Virginia Tech,14,11,10,47,0,Foul on Papa Ndao.
Saint Joseph's,Virginia Tech,14,11,10,47,0,Papa Ndao Turnover.
Saint Joseph's,Virginia Tech,14,11,10,59,0,Johnny Hamilton missed Layup.
Saint Joseph's,Virginia Tech,14,11,10,59,0,James Demery Defensive Rebound.
Saint Joseph's,Virginia Tech,14,11,11,12,0,Lamarr Kimble missed Layup.
Saint Joseph's,Virginia Tech,14,11,11,12,0,Zach LeDay Block.
Saint Joseph's,Virginia Tech,14,11,11,13,0,Saint Joseph's Offensive Rebound.
Saint Joseph's,Virginia Tech,14,11,11,15,0,Foul on Justin Robinson.
Saint Joseph's,Virginia Tech,16,11,11,15,1,DeAndre Bembry made Jumper.
Saint Joseph's,Virginia Tech,16,11,11,15,0,DeAndre Bembry missed Free Throw.
Saint Joseph's,Virginia Tech,16,11,11,15,0,Zach LeDay Defensive Rebound.
Saint Joseph's,Virginia Tech,16,11,11,24,0,Kerry Blackshear Jr. missed Jumper.
Saint Joseph's,Virginia Tech,16,11,11,24,0,Lamarr Kimble Defensive Rebound.
Saint Joseph's,Virginia Tech,16,11,11,32,0,Foul on Justin Robinson.
Saint Joseph's,Virginia Tech,16,11,11,32,0,Lamarr Kimble missed Free Throw.
Saint Joseph's,Virginia Tech,16,11,11,32,0,Saint Joseph's Deadball Team Rebound.
Saint Joseph's,Virginia Tech,17,11,11,32,1,Lamarr Kimble made Free Throw.
Saint Joseph's,Virginia Tech,17,13,11,49,1,Kerry Blackshear Jr. made Layup. Assisted by Zach LeDay.
Saint Joseph's,Virginia Tech,19,13,12,17,1,James Demery made Layup. Assisted by Lamarr Kimble.
Saint Joseph's,Virginia Tech,19,13,12,42,0,Zach LeDay Turnover.
Saint Joseph's,Virginia Tech,19,13,12,43,0,James Demery Steal.
Saint Joseph's,Virginia Tech,19,13,12,45,0,Official TV Timeout
Saint Joseph's,Virginia Tech,19,13,12,56,0,Isaiah Miles missed Three Point Jumper.
Saint Joseph's,Virginia Tech,19,13,12,56,0,Javon Baumann Offensive Rebound.
Saint Joseph's,Virginia Tech,22,13,13,5,1,DeAndre Bembry made Three Point Jumper. Assisted by Javon Baumann.
Saint Joseph's,Virginia Tech,22,13,13,26,0,Foul on Kerry Blackshear Jr..
Saint Joseph's,Virginia Tech,22,13,13,26,0,Kerry Blackshear Jr. Turnover.
Saint Joseph's,Virginia Tech,22,13,13,42,0,DeAndre Bembry missed Three Point Jumper.
Saint Joseph's,Virginia Tech,22,13,13,42,0,Devin Wilson Defensive Rebound.
Saint Joseph's,Virginia Tech,22,13,13,51,0,Chris Clarke missed Jumper.
Saint Joseph's,Virginia Tech,22,13,13,51,0,Isaiah Miles Block.
Saint Joseph's,Virginia Tech,22,13,13,52,0,Virginia Tech Offensive Rebound.
Saint Joseph's,Virginia Tech,22,13,13,54,0,Justin Bibbs missed Jumper.
Saint Joseph's,Virginia Tech,22,13,13,54,0,Pierfrancesco Oliva Defensive Rebound.
Saint Joseph's,Virginia Tech,24,13,14,13,1,Isaiah Miles made Jumper. Assisted by Pierfrancesco Oliva.
Saint Joseph's,Virginia Tech,24,13,14,13,0,Foul on Zach LeDay.
Saint Joseph's,Virginia Tech,25,13,14,13,1,Isaiah Miles made Free Throw.
Saint Joseph's,Virginia Tech,25,13,14,41,0,Devin Wilson missed Three Point Jumper.
Saint Joseph's,Virginia Tech,25,13,14,41,0,Isaiah Miles Defensive Rebound.
Saint Joseph's,Virginia Tech,25,13,15,0,0,Javon Baumann missed Layup.
Saint Joseph's,Virginia Tech,25,13,15,0,0,Javon Baumann Offensive Rebound.
Saint Joseph's,Virginia Tech,25,13,15,3,0,Javon Baumann missed Layup.
Saint Joseph's,Virginia Tech,25,13,15,3,0,Johnny Hamilton Block.
Saint Joseph's,Virginia Tech,25,13,15,5,0,Isaiah Miles Offensive Rebound.
Saint Joseph's,Virginia Tech,27,13,15,14,1,DeAndre Bembry made Jumper.
Saint Joseph's,Virginia Tech,27,13,15,14,0,Foul on Chris Clarke.
Saint Joseph's,Virginia Tech,27,13,15,14,0,DeAndre Bembry missed Free Throw.
Saint Joseph's,Virginia Tech,27,13,15,14,0,Chris Clarke Defensive Rebound.
Saint Joseph's,Virginia Tech,27,15,15,21,1,Chris Clarke made Jumper. Assisted by Justin Bibbs.
Saint Joseph's,Virginia Tech,27,15,15,21,0,Foul on Isaiah Miles.
Saint Joseph's,Virginia Tech,27,16,15,21,1,Chris Clarke made Free Throw.
