Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Clemson,Wake Forest,0,0,0,29,0,Codi Miller-McIntyre missed Layup.
Clemson,Wake Forest,0,0,0,29,0,Donte Grantham Defensive Rebound.
Clemson,Wake Forest,0,0,0,42,0,Jaron Blossomgame missed Three Point Jumper.
Clemson,Wake Forest,0,0,0,42,0,Landry Nnoko Offensive Rebound.
Clemson,Wake Forest,0,0,0,46,0,Foul on Devin Thomas.
Clemson,Wake Forest,0,0,0,53,0,Foul on Konstantinos Mitoglou.
Clemson,Wake Forest,2,0,1,8,1,Jaron Blossomgame made Layup.
Clemson,Wake Forest,2,0,1,21,0,Bryant Crawford Turnover.
Clemson,Wake Forest,2,0,1,36,0,Avry Holmes missed Three Point Jumper.
Clemson,Wake Forest,2,0,1,36,0,Devin Thomas Defensive Rebound.
Clemson,Wake Forest,2,0,1,44,0,Devin Thomas missed Layup.
Clemson,Wake Forest,2,0,1,44,0,Landry Nnoko Block.
Clemson,Wake Forest,2,0,1,44,0,Wake Forest Offensive Rebound.
Clemson,Wake Forest,2,0,1,52,0,Bryant Crawford missed Three Point Jumper.
Clemson,Wake Forest,2,0,1,52,0,Jaron Blossomgame Defensive Rebound.
Clemson,Wake Forest,4,0,2,6,1,Jaron Blossomgame made Jumper.
Clemson,Wake Forest,4,0,2,35,0,Devin Thomas Turnover.
Clemson,Wake Forest,4,0,2,36,0,Avry Holmes Steal.
Clemson,Wake Forest,6,0,2,55,1,Donte Grantham made Jumper.
Clemson,Wake Forest,6,0,3,5,0,Bryant Crawford Turnover.
Clemson,Wake Forest,6,0,3,21,0,Avry Holmes missed Three Point Jumper.
Clemson,Wake Forest,6,0,3,21,0,Jaron Blossomgame Offensive Rebound.
Clemson,Wake Forest,6,0,3,25,0,Jaron Blossomgame missed Layup.
Clemson,Wake Forest,6,0,3,25,0,Konstantinos Mitoglou Defensive Rebound.
Clemson,Wake Forest,6,2,3,38,1,Mitchell Wilbekin made Layup.
Clemson,Wake Forest,8,2,3,59,1,Landry Nnoko made Layup.
Clemson,Wake Forest,8,2,4,8,0,Devin Thomas missed Layup.
Clemson,Wake Forest,8,2,4,8,0,Landry Nnoko Defensive Rebound.
Clemson,Wake Forest,11,2,4,16,1,Jaron Blossomgame made Three Point Jumper. Assisted by Jordan Roper.
Clemson,Wake Forest,11,5,4,35,1,Mitchell Wilbekin made Three Point Jumper. Assisted by Bryant Crawford.
Clemson,Wake Forest,11,5,5,4,0,Landry Nnoko missed Layup.
Clemson,Wake Forest,11,5,5,4,0,Mitchell Wilbekin Defensive Rebound.
Clemson,Wake Forest,11,7,5,10,1,Codi Miller-McIntyre made Layup.
Clemson,Wake Forest,11,7,5,36,0,Jaron Blossomgame missed Jumper.
Clemson,Wake Forest,11,7,5,36,0,Devin Thomas Defensive Rebound.
Clemson,Wake Forest,11,7,5,39,0,Foul on Landry Nnoko.
Clemson,Wake Forest,11,7,5,39,0,Official TV Timeout
Clemson,Wake Forest,11,7,6,9,0,Codi Miller-McIntyre missed Jumper.
Clemson,Wake Forest,11,7,6,9,0,Donte Grantham Defensive Rebound.
Clemson,Wake Forest,11,7,6,34,0,Avry Holmes missed Three Point Jumper.
Clemson,Wake Forest,11,7,6,34,0,John Collins Defensive Rebound.
Clemson,Wake Forest,11,7,6,56,0,Konstantinos Mitoglou missed Three Point Jumper.
Clemson,Wake Forest,11,7,6,56,0,Avry Holmes Defensive Rebound.
Clemson,Wake Forest,11,7,7,12,0,Foul on John Collins.
Clemson,Wake Forest,11,7,7,22,0,Gabe DeVoe missed Three Point Jumper.
Clemson,Wake Forest,11,7,7,22,0,Mitchell Wilbekin Defensive Rebound.
Clemson,Wake Forest,11,7,7,32,0,Bryant Crawford Turnover.
Clemson,Wake Forest,11,7,7,33,0,Jordan Roper Steal.
Clemson,Wake Forest,11,7,7,43,0,Sidy Djitte Turnover.
Clemson,Wake Forest,11,7,7,53,0,Bryant Crawford Turnover.
Clemson,Wake Forest,11,7,8,16,0,Foul on John Collins.
Clemson,Wake Forest,11,7,8,16,0,Official TV Timeout
Clemson,Wake Forest,13,7,8,33,1,Sidy Djitte made Jumper.
Clemson,Wake Forest,13,7,8,58,0,Cornelius Hudson Turnover.
Clemson,Wake Forest,13,7,8,59,0,Sidy Djitte Steal.
