Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Western Kentucky,Xavier,0,0,0,0,0,Jump Ball won by Xavier
Western Kentucky,Xavier,0,0,0,17,0,Jalen Reynolds missed Jumper.
Western Kentucky,Xavier,0,0,0,17,0,Chris McNeal Defensive Rebound.
Western Kentucky,Xavier,2,0,0,36,1,Justin Johnson made Jumper. Assisted by Chris McNeal.
Western Kentucky,Xavier,2,0,0,45,0,Remy Abell missed Layup.
Western Kentucky,Xavier,2,0,0,45,0,Jalen Reynolds Offensive Rebound.
Western Kentucky,Xavier,2,2,0,45,1,Jalen Reynolds made Two Point Tip Shot.
Western Kentucky,Xavier,2,2,1,11,0,Aaron Cosby missed Jumper.
Western Kentucky,Xavier,2,2,1,11,0,Trevon Bluiett Defensive Rebound.
Western Kentucky,Xavier,2,2,1,25,0,Trevon Bluiett missed Three Point Jumper.
Western Kentucky,Xavier,2,2,1,25,0,Chris McNeal Defensive Rebound.
Western Kentucky,Xavier,2,2,1,49,0,Chris McNeal missed Three Point Jumper.
Western Kentucky,Xavier,2,2,1,49,0,Jalen Reynolds Defensive Rebound.
Western Kentucky,Xavier,2,2,2,13,0,Foul on Anton Waters.
Western Kentucky,Xavier,2,4,2,14,1,Trevon Bluiett made Jumper. Assisted by Edmond Sumner.
Western Kentucky,Xavier,2,4,2,30,0,Justin Johnson missed Jumper.
Western Kentucky,Xavier,2,4,2,30,0,Trevon Bluiett Defensive Rebound.
Western Kentucky,Xavier,2,4,2,33,0,Foul on Anton Waters.
Western Kentucky,Xavier,2,4,2,43,0,Foul on Aleksej Rostov.
Western Kentucky,Xavier,2,4,2,52,0,Foul on Chris Harrison-Docks.
Western Kentucky,Xavier,2,5,2,52,1,Edmond Sumner made Free Throw.
Western Kentucky,Xavier,2,6,2,52,1,Edmond Sumner made Free Throw.
Western Kentucky,Xavier,2,6,3,0,0,Foul on Jalen Reynolds.
Western Kentucky,Xavier,2,6,3,11,0,Fredrick Edmond missed Layup.
Western Kentucky,Xavier,2,6,3,11,0,Xavier Defensive Rebound.
Western Kentucky,Xavier,2,6,3,33,0,Myles Davis missed Three Point Jumper.
Western Kentucky,Xavier,2,6,3,33,0,James Farr Offensive Rebound.
Western Kentucky,Xavier,2,8,3,37,1,James Farr made Two Point Tip Shot.
Western Kentucky,Xavier,2,8,4,8,0,Nigel Snipes missed Layup.
Western Kentucky,Xavier,2,8,4,8,0,Myles Davis Block.
Western Kentucky,Xavier,2,8,4,8,0,Marlon Hunter Offensive Rebound.
Western Kentucky,Xavier,4,8,4,8,1,Marlon Hunter made Two Point Tip Shot.
Western Kentucky,Xavier,4,8,4,16,0,Foul on Marlon Hunter.
Western Kentucky,Xavier,4,8,4,16,0,Official TV Timeout
Western Kentucky,Xavier,4,8,4,29,0,James Farr missed Layup.
Western Kentucky,Xavier,4,8,4,29,0,Nigel Snipes Defensive Rebound.
Western Kentucky,Xavier,4,8,4,52,0,Aleksej Rostov missed Jumper.
Western Kentucky,Xavier,4,8,4,52,0,Makinde London Defensive Rebound.
Western Kentucky,Xavier,4,8,5,3,0,Foul on Aleksej Rostov.
Western Kentucky,Xavier,4,9,5,3,1,Edmond Sumner made Free Throw.
Western Kentucky,Xavier,4,10,5,3,1,Edmond Sumner made Free Throw.
Western Kentucky,Xavier,7,10,5,11,1,Nigel Snipes made Three Point Jumper. Assisted by Aaron Cosby.
Western Kentucky,Xavier,7,12,5,26,1,James Farr made Jumper. Assisted by Makinde London.
Western Kentucky,Xavier,7,12,6,5,0,Western Kentucky  Turnover.
Western Kentucky,Xavier,7,14,6,13,1,James Farr made Dunk. Assisted by J.P. Macura.
