Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Truett-McConnell,Winthrop,0,3,0,13,1,Keon Johnson made Three Point Jumper. Assisted by Xavier Cooks.
Truett-McConnell,Winthrop,0,3,0,35,0,Darius McNear missed Jumper.
Truett-McConnell,Winthrop,0,3,0,35,0,Xavier Cooks Block.
Truett-McConnell,Winthrop,0,3,0,36,0,Xavier Cooks Defensive Rebound.
Truett-McConnell,Winthrop,0,3,0,41,0,Xavier Cooks missed Layup.
Truett-McConnell,Winthrop,0,3,0,41,0,Zach Price Offensive Rebound.
Truett-McConnell,Winthrop,0,3,0,43,0,Zach Price missed Layup.
Truett-McConnell,Winthrop,0,3,0,43,0,Xavier Holland Defensive Rebound.
Truett-McConnell,Winthrop,3,3,0,57,1,Andretti Loyd made Three Point Jumper. Assisted by Trae Jackson.
Truett-McConnell,Winthrop,3,5,1,10,1,Xavier Cooks made Dunk. Assisted by Zach Price.
Truett-McConnell,Winthrop,6,5,1,39,1,Andretti Loyd made Three Point Jumper. Assisted by Xavier Holland.
Truett-McConnell,Winthrop,6,8,1,51,1,Bjorn Broman made Three Point Jumper. Assisted by Zach Price.
Truett-McConnell,Winthrop,6,8,2,13,0,J'Quayveon Williams missed Jumper.
Truett-McConnell,Winthrop,6,8,2,13,0,Keon Johnson Defensive Rebound.
Truett-McConnell,Winthrop,6,8,2,25,0,Jimmy Gavin missed Three Point Jumper.
Truett-McConnell,Winthrop,6,8,2,25,0,J'Quayveon Williams Defensive Rebound.
Truett-McConnell,Winthrop,6,8,2,39,0,Andretti Loyd missed Jumper.
Truett-McConnell,Winthrop,6,8,2,39,0,Jimmy Gavin Defensive Rebound.
Truett-McConnell,Winthrop,6,8,2,56,0,Bjorn Broman missed Three Point Jumper.
Truett-McConnell,Winthrop,6,8,2,56,0,Xavier Cooks Offensive Rebound.
Truett-McConnell,Winthrop,6,8,3,0,0,Foul on Xavier Holland.
Truett-McConnell,Winthrop,6,8,3,4,0,Foul on Bj Burkett.
Truett-McConnell,Winthrop,6,8,3,10,0,Jimmy Gavin missed Three Point Jumper.
Truett-McConnell,Winthrop,6,8,3,10,0,Bj Burkett Defensive Rebound.
Truett-McConnell,Winthrop,6,8,3,35,0,Trae Jackson missed Three Point Jumper.
Truett-McConnell,Winthrop,6,8,3,35,0,Duby Okeke Defensive Rebound.
Truett-McConnell,Winthrop,6,11,3,44,1,Bjorn Broman made Three Point Jumper. Assisted by Xavier Cooks.
Truett-McConnell,Winthrop,6,11,4,5,0,Foul on Duby Okeke.
Truett-McConnell,Winthrop,6,11,4,5,0,Official TV Timeout
Truett-McConnell,Winthrop,6,11,4,5,0,J'Quayveon Williams missed Free Throw.
Truett-McConnell,Winthrop,6,11,4,5,0,Truett-McConnell Deadball Team Rebound.
Truett-McConnell,Winthrop,7,11,4,5,1,J'Quayveon Williams made Free Throw.
Truett-McConnell,Winthrop,7,11,4,18,0,Xavier Cooks missed Three Point Jumper.
Truett-McConnell,Winthrop,7,11,4,18,0,J'Quayveon Williams Defensive Rebound.
Truett-McConnell,Winthrop,10,11,4,43,1,Andretti Loyd made Three Point Jumper. Assisted by Trae Jackson.
Truett-McConnell,Winthrop,10,11,5,1,0,Foul on Bj Burkett.
Truett-McConnell,Winthrop,10,11,5,1,0,Xavier Cooks missed Free Throw.
Truett-McConnell,Winthrop,10,11,5,1,0,Winthrop Deadball Team Rebound.
Truett-McConnell,Winthrop,10,12,5,1,1,Xavier Cooks made Free Throw.
Truett-McConnell,Winthrop,10,12,5,12,0,Andretti Loyd missed Three Point Jumper.
Truett-McConnell,Winthrop,10,12,5,12,0,Roderick Perkins Defensive Rebound.
Truett-McConnell,Winthrop,10,12,5,15,0,Roderick Perkins Turnover.
Truett-McConnell,Winthrop,12,12,5,17,1,J'Quayveon Williams made Jumper.
Truett-McConnell,Winthrop,12,15,5,33,1,Keon Johnson made Three Point Jumper. Assisted by Roderick Perkins.
Truett-McConnell,Winthrop,12,15,5,45,0,Micah Woodard missed Layup.
Truett-McConnell,Winthrop,12,15,5,45,0,Duby Okeke Block.
Truett-McConnell,Winthrop,12,15,5,45,0,Truett-McConnell Offensive Rebound.
Truett-McConnell,Winthrop,12,15,6,0,0,Andretti Loyd missed Jumper.
Truett-McConnell,Winthrop,12,15,6,0,0,Josh Davenport Block.
Truett-McConnell,Winthrop,12,15,6,2,0,J'Quayveon Williams Offensive Rebound.
Truett-McConnell,Winthrop,14,15,6,3,1,J'Quayveon Williams made Layup.
Truett-McConnell,Winthrop,14,15,6,16,0,Roderick Perkins missed Jumper.
Truett-McConnell,Winthrop,14,15,6,16,0,J'Quayveon Williams Block.
Truett-McConnell,Winthrop,14,15,6,17,0,Micah Woodard Defensive Rebound.
Truett-McConnell,Winthrop,14,15,6,20,0,Foul on Keon Johnson.
Truett-McConnell,Winthrop,14,15,6,29,0,Sandale James Turnover.
Truett-McConnell,Winthrop,14,18,6,45,1,Roderick Perkins made Three Point Jumper. Assisted by Jimmy Gavin.
Truett-McConnell,Winthrop,17,18,7,20,1,David Campbell made Three Point Jumper.
Truett-McConnell,Winthrop,17,18,7,34,0,Bjorn Broman missed Three Point Jumper.
Truett-McConnell,Winthrop,17,18,7,34,0,Sandale James Defensive Rebound.
