Away Team,Home Team,Away Score,Home Score,Minute,Second,isScoringPosession,Desc.
Wright State,Xavier,0,0,0,0,0,Jump Ball won by Xavier
Wright State,Xavier,0,0,0,19,0,Myles Davis missed Three Point Jumper.
Wright State,Xavier,0,0,0,19,0,Joe Thomasson Defensive Rebound.
Wright State,Xavier,0,0,0,43,0,JT Yoho missed Jumper.
Wright State,Xavier,0,0,0,43,0,Jalen Reynolds Defensive Rebound.
Wright State,Xavier,0,0,1,3,0,Foul on Grant Benzinger.
Wright State,Xavier,0,1,1,3,1,Myles Davis made Free Throw.
Wright State,Xavier,0,2,1,3,1,Myles Davis made Free Throw.
Wright State,Xavier,0,2,1,14,0,Grant Benzinger missed Three Point Jumper.
Wright State,Xavier,0,2,1,14,0,Trevon Bluiett Defensive Rebound.
Wright State,Xavier,0,2,1,24,0,Jalen Reynolds missed Jumper.
Wright State,Xavier,0,2,1,24,0,Trevon Bluiett Offensive Rebound.
Wright State,Xavier,0,2,1,37,0,Trevon Bluiett missed Three Point Jumper.
Wright State,Xavier,0,2,1,37,0,Jalen Reynolds Offensive Rebound.
Wright State,Xavier,0,2,1,38,0,Jalen Reynolds missed Layup.
Wright State,Xavier,0,2,1,38,0,Edmond Sumner Offensive Rebound.
Wright State,Xavier,0,2,1,40,0,Edmond Sumner missed Jumper.
Wright State,Xavier,0,2,1,40,0,Trevon Bluiett Offensive Rebound.
Wright State,Xavier,0,2,1,41,0,Trevon Bluiett Turnover.
Wright State,Xavier,0,2,1,41,0,Grant Benzinger Steal.
Wright State,Xavier,0,2,1,49,0,Grant Benzinger Turnover.
Wright State,Xavier,0,2,2,2,0,Foul on JT Yoho.
Wright State,Xavier,0,4,2,4,1,Trevon Bluiett made Jumper.
Wright State,Xavier,2,4,2,26,1,Michael Karena made Jumper.
Wright State,Xavier,2,4,2,52,0,Foul on Grant Benzinger.
Wright State,Xavier,2,4,2,58,0,Remy Abell missed Three Point Jumper.
Wright State,Xavier,2,4,2,58,0,JT Yoho Defensive Rebound.
Wright State,Xavier,2,4,3,6,0,Biggie Minnis missed Layup.
Wright State,Xavier,2,4,3,6,0,Trevon Bluiett Defensive Rebound.
Wright State,Xavier,2,4,3,24,0,Jalen Reynolds missed Jumper.
Wright State,Xavier,2,4,3,24,0,Mark Alstork Defensive Rebound.
Wright State,Xavier,2,4,3,41,0,JT Yoho missed Three Point Jumper.
Wright State,Xavier,2,4,3,41,0,Trevon Bluiett Defensive Rebound.
Wright State,Xavier,2,4,3,53,0,Foul on Mark Alstork.
Wright State,Xavier,2,5,3,53,1,Remy Abell made Free Throw.
Wright State,Xavier,2,6,3,53,1,Remy Abell made Free Throw.
Wright State,Xavier,4,6,4,2,1,Justin Mitchell made Jumper. Assisted by Joe Thomasson.
Wright State,Xavier,4,8,4,16,1,James Farr made Jumper. Assisted by Myles Davis.
Wright State,Xavier,4,8,4,29,0,Foul on James Farr.
Wright State,Xavier,4,8,4,29,0,Official TV Timeout
Wright State,Xavier,4,8,4,36,0,Mark Alstork missed Jumper.
Wright State,Xavier,4,8,4,36,0,Michael Karena Offensive Rebound.
Wright State,Xavier,6,8,4,41,1,Michael Karena made Jumper.
Wright State,Xavier,6,8,4,52,0,Myles Davis missed Jumper.
Wright State,Xavier,6,8,4,52,0,James Farr Offensive Rebound.
Wright State,Xavier,6,8,5,1,0,James Farr missed Layup.
Wright State,Xavier,6,8,5,1,0,J.P. Macura Offensive Rebound.
Wright State,Xavier,6,10,5,18,1,J.P. Macura made Layup.
Wright State,Xavier,6,10,5,27,0,Joe Thomasson missed Three Point Jumper.
Wright State,Xavier,6,10,5,27,0,James Farr Defensive Rebound.
Wright State,Xavier,6,10,5,35,0,Trevon Bluiett missed Three Point Jumper.
Wright State,Xavier,6,10,5,35,0,JT Yoho Defensive Rebound.
Wright State,Xavier,6,10,5,35,0,JT Yoho missed Three Point Jumper.
Wright State,Xavier,6,10,5,36,0,Trevon Bluiett Defensive Rebound.
Wright State,Xavier,6,10,5,42,0,Foul on Michael Karena.
Wright State,Xavier,6,10,5,53,0,Edmond Sumner Turnover.
Wright State,Xavier,6,10,6,14,0,JT Yoho missed Jumper.
Wright State,Xavier,6,10,6,14,0,James Farr Defensive Rebound.
Wright State,Xavier,6,10,6,25,0,Edmond Sumner missed Three Point Jumper.
Wright State,Xavier,6,10,6,25,0,Mark Alstork Defensive Rebound.
Wright State,Xavier,6,10,6,29,0,Foul on J.P. Macura.
Wright State,Xavier,6,10,6,44,0,Daniel Mortensen missed Three Point Jumper.
Wright State,Xavier,6,10,6,44,0,Parker Ernsthausen Offensive Rebound.
Wright State,Xavier,6,10,6,51,0,Alan Vest missed Three Point Jumper.
