Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Coppin State,BYU,0,0,0,11,0,Nick Emery Turnover.
Coppin State,BYU,0,0,0,29,0,Blake Simpson missed Jumper.
Coppin State,BYU,0,0,0,29,0,Eric Mika Defensive Rebound.
Coppin State,BYU,0,2,0,44,1,Eric Mika made Jumper.
Coppin State,BYU,0,2,0,58,0,Joseph Gripper Turnover.
Coppin State,BYU,0,2,0,59,0,Nick Emery Steal.
Coppin State,BYU,0,2,1,1,0,Nick Emery Turnover.
Coppin State,BYU,0,2,1,17,0,Joshua Treadwell missed Three Point Jumper.
Coppin State,BYU,0,2,1,17,0,Coppin St Offensive Rebound.
Coppin State,BYU,0,2,1,32,0,Keith Shivers missed Jumper.
Coppin State,BYU,0,2,1,32,0,Blake Simpson Offensive Rebound.
Coppin State,BYU,0,2,1,38,0,Blake Simpson missed Jumper.
Coppin State,BYU,0,2,1,38,0,Kyle Davis Defensive Rebound.
Coppin State,BYU,0,2,1,44,0,Foul on Joseph Gripper.
Coppin State,BYU,0,3,1,44,1,Eric Mika made Free Throw.
Coppin State,BYU,0,4,1,44,1,Eric Mika made Free Throw.
Coppin State,BYU,0,4,2,0,0,Terry Harris Jr. missed Three Point Jumper.
Coppin State,BYU,0,4,2,0,0,TJ Haws Defensive Rebound.
Coppin State,BYU,0,4,2,8,0,Nick Emery missed Three Point Jumper.
Coppin State,BYU,0,4,2,8,0,L.J. Rose Offensive Rebound.
Coppin State,BYU,0,4,2,14,0,Foul on Joshua Treadwell.
Coppin State,BYU,0,4,2,14,0,Foul on Blake Simpson.
Coppin State,BYU,0,6,2,14,1,TJ Haws made Jumper. Assisted by L.J. Rose.
Coppin State,BYU,0,6,2,33,0,Joshua Treadwell missed Three Point Jumper.
Coppin State,BYU,0,6,2,33,0,Kyle Davis Defensive Rebound.
Coppin State,BYU,0,6,2,46,0,Eric Mika missed Jumper.
Coppin State,BYU,0,6,2,46,0,Eric Mika Offensive Rebound.
Coppin State,BYU,0,6,2,51,0,TJ Haws missed Three Point Jumper.
Coppin State,BYU,0,6,2,51,0,Terry Harris Jr. Defensive Rebound.
Coppin State,BYU,0,6,3,7,0,Terry Harris Jr. Turnover.
Coppin State,BYU,0,6,3,9,0,Nick Emery missed Three Point Jumper.
Coppin State,BYU,0,6,3,9,0,Eric Mika Offensive Rebound.
Coppin State,BYU,0,9,3,14,1,TJ Haws made Three Point Jumper. Assisted by Kyle Davis.
Coppin State,BYU,2,9,3,39,1,Terry Harris Jr. made Jumper.
Coppin State,BYU,2,12,3,45,1,TJ Haws made Three Point Jumper. Assisted by L.J. Rose.
Coppin State,BYU,2,12,4,4,0,Joseph Gripper Turnover.
Coppin State,BYU,2,12,4,5,0,TJ Haws Steal.
Coppin State,BYU,2,14,4,9,1,Kyle Davis made Layup. Assisted by L.J. Rose.
Coppin State,BYU,2,14,4,10,0,Coppin St  Timeout
Coppin State,BYU,5,14,4,22,1,Keith Shivers made Three Point Jumper. Assisted by Dejuan Clayton.
Coppin State,BYU,5,14,4,39,0,Eric Mika missed Jumper.
Coppin State,BYU,5,14,4,39,0,Dejuan Clayton Defensive Rebound.
Coppin State,BYU,5,14,4,52,0,Terry Harris Jr. missed Jumper.
Coppin State,BYU,5,14,4,52,0,Eric Mika Defensive Rebound.
Coppin State,BYU,5,16,5,8,1,Eric Mika made Jumper.
Coppin State,BYU,5,16,5,22,0,Terry Harris Jr. missed Three Point Jumper.
Coppin State,BYU,5,16,5,22,0,Kyle Davis Defensive Rebound.
Coppin State,BYU,5,16,5,25,0,Foul on Joshua Treadwell.
Coppin State,BYU,5,18,5,37,1,Kyle Davis made Jumper.
Coppin State,BYU,5,18,5,48,0,Joshua Treadwell missed Jumper.
Coppin State,BYU,5,18,5,48,0,Eric Mika Block.
Coppin State,BYU,5,18,5,49,0,Coppin St Offensive Rebound.
Coppin State,BYU,5,18,5,53,0,Dejuan Clayton missed Jumper.
Coppin State,BYU,5,18,5,53,0,Yoeli Childs Defensive Rebound.
Coppin State,BYU,5,18,6,8,0,Yoeli Childs Turnover.
Coppin State,BYU,5,18,6,8,0,Izais Hicks Steal.
Coppin State,BYU,5,18,6,12,0,Foul on Yoeli Childs.
Coppin State,BYU,5,18,6,16,0,Keith Shivers Turnover.
Coppin State,BYU,5,18,6,17,0,L.J. Rose Steal.
Coppin State,BYU,5,18,6,19,0,Foul on Keith Shivers.
Coppin State,BYU,5,19,6,19,1,L.J. Rose made Free Throw.
Coppin State,BYU,5,20,6,19,1,L.J. Rose made Free Throw.
Coppin State,BYU,5,20,6,27,0,Joshua Treadwell missed Jumper.
Coppin State,BYU,5,20,6,27,0,Elijah Bryant Defensive Rebound.
Coppin State,BYU,5,20,6,36,0,Kyle Davis missed Jumper.
Coppin State,BYU,5,20,6,36,0,Keith Shivers Block.
