Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Central Arkansas,Butler,0,0,0,16,0,Mathieu Kamba missed Jumper.
Central Arkansas,Butler,0,0,0,16,0,Kelan Martin Defensive Rebound.
Central Arkansas,Butler,0,0,0,36,0,Tyler Wideman missed Layup.
Central Arkansas,Butler,0,0,0,36,0,Mathieu Kamba Block.
Central Arkansas,Butler,0,0,0,39,0,Tyler Lewis Offensive Rebound.
Central Arkansas,Butler,0,2,0,42,1,Kelan Martin made Layup.
Central Arkansas,Butler,0,2,0,55,0,Jordan Howard missed Three Point Jumper.
Central Arkansas,Butler,0,2,0,55,0,Kelan Martin Defensive Rebound.
Central Arkansas,Butler,0,2,1,6,0,Andrew Chrabascz missed Three Point Jumper.
Central Arkansas,Butler,0,2,1,6,0,Mathieu Kamba Defensive Rebound.
Central Arkansas,Butler,0,2,1,19,0,Thatch Unruh Turnover.
Central Arkansas,Butler,0,2,1,30,0,Tyler Lewis missed Three Point Jumper.
Central Arkansas,Butler,0,2,1,30,0,Tyler Wideman Offensive Rebound.
Central Arkansas,Butler,0,2,1,41,0,Foul on Thatch Unruh.
Central Arkansas,Butler,0,3,1,41,1,Tyler Wideman made Free Throw.
Central Arkansas,Butler,0,4,1,41,1,Tyler Wideman made Free Throw.
Central Arkansas,Butler,0,4,2,3,0,Derreck Brooks missed Three Point Jumper.
Central Arkansas,Butler,0,4,2,3,0,Tyler Wideman Defensive Rebound.
Central Arkansas,Butler,0,4,2,11,0,Kelan Martin missed Jumper.
Central Arkansas,Butler,0,4,2,11,0,Derreck Brooks Defensive Rebound.
Central Arkansas,Butler,0,4,2,32,0,Derreck Brooks Turnover.
Central Arkansas,Butler,0,4,2,37,0,Tyler Wideman Steal.
Central Arkansas,Butler,0,4,2,43,0,Kelan Martin missed Jumper.
Central Arkansas,Butler,0,4,2,43,0,Andrew Chrabascz Offensive Rebound.
Central Arkansas,Butler,0,7,2,48,1,Avery Woodson made Three Point Jumper. Assisted by Tyler Lewis.
Central Arkansas,Butler,0,7,3,15,0,Tanner Schmit missed Jumper.
Central Arkansas,Butler,0,7,3,15,0,Kelan Martin Defensive Rebound.
Central Arkansas,Butler,0,7,3,36,0,Foul on Mathieu Kamba.
Central Arkansas,Butler,0,7,3,36,0,Tyler Wideman missed Free Throw.
Central Arkansas,Butler,0,7,3,36,0,Butler Deadball Team Rebound.
Central Arkansas,Butler,0,7,3,36,0,Tyler Wideman missed Free Throw.
Central Arkansas,Butler,0,7,3,36,0,Mathieu Kamba Defensive Rebound.
Central Arkansas,Butler,0,7,3,44,0,Derreck Brooks missed Three Point Jumper.
Central Arkansas,Butler,0,7,3,44,0,Butler Deadball Team Rebound.
Central Arkansas,Butler,0,7,3,46,0,Foul on Tanner Schmit.
Central Arkansas,Butler,0,7,3,59,0,Kelan Martin missed Jumper.
Central Arkansas,Butler,0,7,3,59,0,Tanner Schmit Defensive Rebound.
Central Arkansas,Butler,0,7,4,20,0,Foul on Tyler Lewis.
Central Arkansas,Butler,0,7,4,20,0,Official TV Timeout
