Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Central Arkansas,McNeese,0,3,0,16,1,Kalob Ledoux made Three Point Jumper. Assisted by Jamaya Burr.
Central Arkansas,McNeese,2,3,0,29,1,Tanner Schmit made Jumper. Assisted by Derreck Brooks.
Central Arkansas,McNeese,2,5,0,41,1,Stephen Ugochukwu made Layup. Assisted by Lance Potier.
Central Arkansas,McNeese,5,5,0,58,1,Mathieu Kamba made Three Point Jumper. Assisted by Jordan Howard.
Central Arkansas,McNeese,5,7,1,28,1,Jamaya Burr made Layup.
Central Arkansas,McNeese,5,7,1,36,0,Tanner Schmit missed Jumper.
Central Arkansas,McNeese,5,7,1,36,0,Jarren Greenwood Defensive Rebound.
Central Arkansas,McNeese,5,9,1,43,1,Jarren Greenwood made Jumper.
Central Arkansas,McNeese,7,9,2,0,1,Ethan Lee made Layup.
Central Arkansas,McNeese,7,11,2,12,1,Stephen Ugochukwu made Jumper. Assisted by Jamaya Burr.
Central Arkansas,McNeese,7,11,2,38,0,Jordan Howard missed Jumper.
Central Arkansas,McNeese,7,11,2,38,0,Stephen Ugochukwu Defensive Rebound.
Central Arkansas,McNeese,7,13,2,46,1,Jarren Greenwood made Jumper. Assisted by Jamaya Burr.
Central Arkansas,McNeese,7,13,2,50,0,C. Arkansas  Timeout
Central Arkansas,McNeese,7,13,3,16,0,Mathieu Kamba missed Jumper.
Central Arkansas,McNeese,7,13,3,16,0,Derreck Brooks Offensive Rebound.
Central Arkansas,McNeese,7,13,3,24,0,Tanner Schmit missed Jumper.
Central Arkansas,McNeese,7,13,3,24,0,Mathieu Kamba Offensive Rebound.
Central Arkansas,McNeese,9,13,3,28,1,Mathieu Kamba made Layup.
Central Arkansas,McNeese,9,13,3,35,0,Kalob Ledoux missed Three Point Jumper.
Central Arkansas,McNeese,9,13,3,35,0,Mathieu Kamba Defensive Rebound.
Central Arkansas,McNeese,9,13,3,44,0,Foul on Lance Potier.
Central Arkansas,McNeese,9,13,3,58,0,Tanner Schmit Turnover.
Central Arkansas,McNeese,9,13,3,59,0,Stephen Ugochukwu Steal.
Central Arkansas,McNeese,9,16,4,15,1,Kalob Ledoux made Three Point Jumper. Assisted by Jarren Greenwood.
Central Arkansas,McNeese,9,16,4,25,0,Foul on Stephen Ugochukwu.
Central Arkansas,McNeese,9,16,4,25,0,Official TV Timeout
Central Arkansas,McNeese,10,16,4,25,1,Jordan Howard made Free Throw.
Central Arkansas,McNeese,11,16,4,25,1,Jordan Howard made Free Throw.
Central Arkansas,McNeese,11,16,4,30,0,Jarren Greenwood missed Jumper.
Central Arkansas,McNeese,11,16,4,30,0,Kalob Ledoux Offensive Rebound.
Central Arkansas,McNeese,11,16,4,56,0,Kalob Ledoux missed Three Point Jumper.
Central Arkansas,McNeese,11,16,4,56,0,Lance Potier Offensive Rebound.
Central Arkansas,McNeese,11,16,5,24,0,Jamaya Burr missed Three Point Jumper.
Central Arkansas,McNeese,11,16,5,24,0,Stephen Ugochukwu Offensive Rebound.
Central Arkansas,McNeese,11,18,5,28,1,Stephen Ugochukwu made Layup.
Central Arkansas,McNeese,13,18,5,46,1,Derreck Brooks made Layup.
Central Arkansas,McNeese,13,18,6,5,0,Lance Potier Turnover.
Central Arkansas,McNeese,13,18,6,19,0,Derreck Brooks missed Jumper.
Central Arkansas,McNeese,13,18,6,19,0,Stephen Ugochukwu Defensive Rebound.
Central Arkansas,McNeese,13,18,6,27,0,Jamaya Burr Turnover.
Central Arkansas,McNeese,15,18,6,47,1,Jeff Lowery made Layup.
Central Arkansas,McNeese,15,21,7,16,1,Jamaya Burr made Three Point Jumper. Assisted by Jarren Greenwood.
Central Arkansas,McNeese,17,21,7,34,1,Jordan Howard made Jumper.
Central Arkansas,McNeese,17,21,8,3,0,Jarren Greenwood missed Three Point Jumper.
Central Arkansas,McNeese,17,21,8,3,0,McNeese Offensive Rebound.
Central Arkansas,McNeese,17,21,8,5,0,Official TV Timeout
Central Arkansas,McNeese,17,21,8,8,0,McNeese  Turnover.
Central Arkansas,McNeese,17,21,8,19,0,Foul on Lance Potier.
Central Arkansas,McNeese,17,21,8,21,0,Foul on Jacob Ledoux.
Central Arkansas,McNeese,17,21,8,26,0,Foul on Jacob Ledoux.
Central Arkansas,McNeese,18,21,8,26,1,Jordan Howard made Free Throw.
Central Arkansas,McNeese,19,21,8,26,1,Jordan Howard made Free Throw.
Central Arkansas,McNeese,19,21,8,55,0,James Harvey missed Three Point Jumper.
Central Arkansas,McNeese,19,21,8,55,0,Albert Christensson Defensive Rebound.
Central Arkansas,McNeese,19,21,9,21,0,Jeff Lowery missed Layup.
Central Arkansas,McNeese,19,21,9,21,0,Stephen Ugochukwu Defensive Rebound.
Central Arkansas,McNeese,19,21,9,50,0,James Harvey missed Jumper.
Central Arkansas,McNeese,19,21,9,50,0,Jordan Howard Defensive Rebound.
Central Arkansas,McNeese,19,21,10,2,0,Jordan Howard missed Three Point Jumper.
Central Arkansas,McNeese,19,21,10,2,0,McNeese Defensive Rebound.
Central Arkansas,McNeese,19,21,10,30,0,Foul on Thatch Unruh.
Central Arkansas,McNeese,19,23,10,51,1,Stephen Ugochukwu made Jumper. Assisted by Kalob Ledoux.
Central Arkansas,McNeese,19,23,11,5,0,Jeff Lowery missed Jumper.
Central Arkansas,McNeese,19,23,11,5,0,LaBarrius Hill Defensive Rebound.
Central Arkansas,McNeese,19,25,11,14,1,James Harvey made Layup.
Central Arkansas,McNeese,19,25,11,36,0,Thatch Unruh Turnover.
Central Arkansas,McNeese,19,25,11,38,0,Jarren Greenwood Steal.
Central Arkansas,McNeese,19,27,11,39,1,Jarren Greenwood made Layup.
Central Arkansas,McNeese,19,27,11,58,0,Thatch Unruh missed Three Point Jumper.
Central Arkansas,McNeese,19,27,11,58,0,Stephen Ugochukwu Defensive Rebound.
Central Arkansas,McNeese,19,27,12,7,0,LaBarrius Hill missed Layup.
Central Arkansas,McNeese,19,27,12,7,0,Tanner Schmit Defensive Rebound.
Central Arkansas,McNeese,19,27,12,13,0,Jordan Howard missed Three Point Jumper.
Central Arkansas,McNeese,19,27,12,13,0,Thatch Unruh Offensive Rebound.
Central Arkansas,McNeese,19,27,12,26,0,Thatch Unruh missed Three Point Jumper.
Central Arkansas,McNeese,19,27,12,26,0,Kalob Ledoux Defensive Rebound.
Central Arkansas,McNeese,19,27,12,35,0,Kalob Ledoux missed Jumper.
Central Arkansas,McNeese,19,27,12,35,0,Jeff Lowery Defensive Rebound.
Central Arkansas,McNeese,22,27,12,42,1,Jordan Howard made Three Point Jumper. Assisted by Jeff Lowery.
Central Arkansas,McNeese,22,27,13,15,0,LaBarrius Hill missed Jumper.
Central Arkansas,McNeese,22,27,13,15,0,Stephen Ugochukwu Offensive Rebound.
Central Arkansas,McNeese,22,27,13,15,0,Foul on Jeff Lowery.
Central Arkansas,McNeese,22,27,13,15,0,Foul on LaBarrius Hill.
Central Arkansas,McNeese,22,27,13,15,0,LaBarrius Hill Turnover.
Central Arkansas,McNeese,22,27,13,30,0,Mathieu Kamba Turnover.
Central Arkansas,McNeese,22,27,13,31,0,Jamaya Burr Steal.
Central Arkansas,McNeese,22,27,13,33,0,Jamaya Burr missed Layup.
Central Arkansas,McNeese,22,27,13,33,0,Kalob Ledoux Offensive Rebound.
Central Arkansas,McNeese,22,29,13,38,1,Kalob Ledoux made Dunk.
Central Arkansas,McNeese,25,29,13,55,1,Jordan Howard made Three Point Jumper.
Central Arkansas,McNeese,25,32,14,24,1,Kalob Ledoux made Three Point Jumper. Assisted by Jamaya Burr.
Central Arkansas,McNeese,27,32,14,45,1,Derreck Brooks made Jumper.
Central Arkansas,McNeese,27,32,14,55,0,Kalob Ledoux missed Three Point Jumper.
Central Arkansas,McNeese,27,32,14,55,0,Derreck Brooks Defensive Rebound.
Central Arkansas,McNeese,27,32,15,7,0,Ethan Lee missed Layup.
Central Arkansas,McNeese,27,32,15,7,0,LaBarrius Hill Block.
Central Arkansas,McNeese,27,32,15,9,0,Jamaya Burr Defensive Rebound.
Central Arkansas,McNeese,27,32,15,14,0,James Harvey missed Three Point Jumper.
Central Arkansas,McNeese,27,32,15,14,0,Jamaya Burr Offensive Rebound.
Central Arkansas,McNeese,27,32,15,21,0,Stephen Ugochukwu missed Layup.
Central Arkansas,McNeese,27,32,15,21,0,C. Arkansas Defensive Rebound.
Central Arkansas,McNeese,27,32,15,35,0,Foul on Stephen Ugochukwu.
Central Arkansas,McNeese,28,32,15,35,1,Mathieu Kamba made Free Throw.
Central Arkansas,McNeese,29,32,15,35,1,Mathieu Kamba made Free Throw.
Central Arkansas,McNeese,29,35,16,2,1,Jamaya Burr made Three Point Jumper.
Central Arkansas,McNeese,29,35,16,21,0,Mathieu Kamba missed Three Point Jumper.
Central Arkansas,McNeese,29,35,16,21,0,Jarren Greenwood Defensive Rebound.
Central Arkansas,McNeese,29,37,16,30,1,Stephen Ugochukwu made Dunk. Assisted by Jarren Greenwood.
Central Arkansas,McNeese,29,37,16,48,0,Mathieu Kamba missed Jumper.
Central Arkansas,McNeese,29,37,16,48,0,LaBarrius Hill Defensive Rebound.
Central Arkansas,McNeese,29,37,17,15,0,Foul on Jordan Howard.
Central Arkansas,McNeese,29,37,17,15,0,Official TV Timeout
Central Arkansas,McNeese,29,38,17,15,1,Jarren Greenwood made Free Throw.
Central Arkansas,McNeese,29,39,17,15,1,Jarren Greenwood made Free Throw.
Central Arkansas,McNeese,29,39,17,28,0,Foul on Mathieu Kamba.
Central Arkansas,McNeese,29,39,17,28,0,Mathieu Kamba Turnover.
Central Arkansas,McNeese,29,41,17,35,1,Richard Laku made Jumper. Assisted by Jarren Greenwood.
Central Arkansas,McNeese,32,41,17,48,1,Jeff Lowery made Three Point Jumper. Assisted by Derreck Brooks.
Central Arkansas,McNeese,32,41,18,13,0,Jarren Greenwood missed Three Point Jumper.
Central Arkansas,McNeese,32,41,18,13,0,Derreck Brooks Defensive Rebound.
Central Arkansas,McNeese,32,41,18,27,0,Tanner Schmit missed Jumper.
Central Arkansas,McNeese,32,41,18,27,0,Kalob Ledoux Defensive Rebound.
Central Arkansas,McNeese,32,41,18,35,0,Foul on Tanner Schmit.
Central Arkansas,McNeese,32,41,18,42,0,Jarren Greenwood missed Jumper.
Central Arkansas,McNeese,32,41,18,42,0,Derreck Brooks Defensive Rebound.
Central Arkansas,McNeese,32,41,18,51,0,Foul on Adrian Brown.
Central Arkansas,McNeese,33,41,18,51,1,Darraja Parnell made Free Throw.
Central Arkansas,McNeese,34,41,18,51,1,Darraja Parnell made Free Throw.
Central Arkansas,McNeese,34,41,19,4,0,Foul on Tanner Schmit.
Central Arkansas,McNeese,34,42,19,4,1,Adrian Brown made Free Throw.
Central Arkansas,McNeese,34,42,19,4,0,Adrian Brown missed Free Throw.
Central Arkansas,McNeese,34,42,19,4,0,Darraja Parnell Defensive Rebound.
Central Arkansas,McNeese,34,42,19,18,0,Jeff Lowery missed Layup.
Central Arkansas,McNeese,34,42,19,18,0,Adrian Brown Defensive Rebound.
Central Arkansas,McNeese,34,42,19,35,0,Richard Laku missed Three Point Jumper.
Central Arkansas,McNeese,34,42,19,35,0,Mathieu Kamba Defensive Rebound.
Central Arkansas,McNeese,34,42,19,41,0,Mathieu Kamba missed Layup.
Central Arkansas,McNeese,34,42,19,41,0,Mathieu Kamba Offensive Rebound.
Central Arkansas,McNeese,34,42,19,45,0,Mathieu Kamba Turnover.
Central Arkansas,McNeese,34,45,20,0,1,Jamaya Burr made Three Point Jumper. Assisted by Kalob Ledoux.
Central Arkansas,McNeese,34,45,20,0,0,End of 1st half
Central Arkansas,McNeese,34,45,20,22,0,Foul on Jordan Howard.
Central Arkansas,McNeese,34,45,20,22,0,Jordan Howard Turnover.
Central Arkansas,McNeese,34,45,20,49,0,Jarren Greenwood missed Jumper.
Central Arkansas,McNeese,34,45,20,49,0,Ethan Lee Defensive Rebound.
Central Arkansas,McNeese,36,45,20,57,1,Ethan Lee made Jumper. Assisted by Derreck Brooks.
Central Arkansas,McNeese,36,47,21,27,1,Jamaya Burr made Jumper.
Central Arkansas,McNeese,36,47,21,38,0,Foul on Otas Iyekekpolor.
Central Arkansas,McNeese,36,47,21,38,0,Otas Iyekekpolor Turnover.
Central Arkansas,McNeese,36,47,21,54,0,Kalob Ledoux missed Three Point Jumper.
