Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Mt. St. Mary's,Central Connecticut,0,0,0,30,0,Khalen Cumberlander missed Jumper.
Mt. St. Mary's,Central Connecticut,0,0,0,30,0,Mawdo Sallah Defensive Rebound.
Mt. St. Mary's,Central Connecticut,0,0,0,42,0,Foul on Tidell Pierre.
Mt. St. Mary's,Central Connecticut,0,0,0,45,0,Miles Wilson missed Three Point Jumper.
Mt. St. Mary's,Central Connecticut,0,0,0,45,0,Austin Nehls Defensive Rebound.
Mt. St. Mary's,Central Connecticut,0,2,1,15,1,Eric Bowles made Layup.
Mt. St. Mary's,Central Connecticut,0,2,1,36,0,Junior Robinson missed Three Point Jumper.
Mt. St. Mary's,Central Connecticut,0,2,1,36,0,Khalen Cumberlander Defensive Rebound.
Mt. St. Mary's,Central Connecticut,0,2,1,45,0,Eric Bowles Turnover.
Mt. St. Mary's,Central Connecticut,0,2,2,1,0,Elijah Long missed Layup.
Mt. St. Mary's,Central Connecticut,0,2,2,1,0,Tidell Pierre Defensive Rebound.
Mt. St. Mary's,Central Connecticut,0,4,2,9,1,Khalen Cumberlander made Layup. Assisted by Austin Nehls.
Mt. St. Mary's,Central Connecticut,0,4,2,11,0,Mt. St. Mary's  Timeout
Mt. St. Mary's,Central Connecticut,0,4,2,20,0,Foul on Austin Nehls.
Mt. St. Mary's,Central Connecticut,0,4,2,30,0,Greg Alexander missed Three Point Jumper.
Mt. St. Mary's,Central Connecticut,0,4,2,30,0,Miles Wilson Offensive Rebound.
Mt. St. Mary's,Central Connecticut,2,4,2,35,1,Miles Wilson made Layup.
Mt. St. Mary's,Central Connecticut,2,4,3,0,0,Mustafa Jones missed Jumper.
Mt. St. Mary's,Central Connecticut,2,4,3,0,0,Greg Alexander Defensive Rebound.
Mt. St. Mary's,Central Connecticut,2,4,3,13,0,Mawdo Sallah missed Jumper.
Mt. St. Mary's,Central Connecticut,2,4,3,13,0,Mustafa Jones Defensive Rebound.
Mt. St. Mary's,Central Connecticut,2,4,3,43,0,Austin Nehls Turnover.
Mt. St. Mary's,Central Connecticut,2,4,3,44,0,Elijah Long Steal.
Mt. St. Mary's,Central Connecticut,2,4,3,47,0,Elijah Long missed Jumper.
Mt. St. Mary's,Central Connecticut,2,4,3,47,0,Miles Wilson Offensive Rebound.
Mt. St. Mary's,Central Connecticut,2,4,3,51,0,Greg Alexander missed Three Point Jumper.
Mt. St. Mary's,Central Connecticut,2,4,3,51,0,Tidell Pierre Defensive Rebound.
Mt. St. Mary's,Central Connecticut,2,4,4,18,0,Tidell Pierre missed Jumper.
Mt. St. Mary's,Central Connecticut,2,4,4,18,0,Miles Wilson Defensive Rebound.
Mt. St. Mary's,Central Connecticut,4,4,4,27,1,Miles Wilson made Layup.
Mt. St. Mary's,Central Connecticut,4,6,4,56,1,Austin Nehls made Layup.
Mt. St. Mary's,Central Connecticut,4,6,5,24,0,Foul on Miles Wilson.
Mt. St. Mary's,Central Connecticut,4,6,5,24,0,Miles Wilson Turnover.
Mt. St. Mary's,Central Connecticut,4,6,5,24,0,Official TV Timeout
Mt. St. Mary's,Central Connecticut,4,6,5,44,0,Mustafa Jones missed Jumper.
Mt. St. Mary's,Central Connecticut,4,6,5,44,0,Chris Wray Defensive Rebound.
Mt. St. Mary's,Central Connecticut,4,6,6,7,0,Greg Alexander missed Three Point Jumper.
Mt. St. Mary's,Central Connecticut,4,6,6,7,0,Chris Wray Offensive Rebound.
