Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Cornell,USC,0,0,0,16,0,Jordan McLaughlin missed Layup.
Cornell,USC,0,0,0,16,0,Robert Hatter Defensive Rebound.
Cornell,USC,0,0,0,32,0,Foul on Shaqquan Aaron.
Cornell,USC,3,0,0,43,1,Stone Gettings made Three Point Jumper. Assisted by Troy Whiteside.
Cornell,USC,3,2,1,10,1,Chimezie Metu made Jumper.
Cornell,USC,3,2,1,10,0,Foul on Stone Gettings.
Cornell,USC,3,3,1,10,1,Chimezie Metu made Free Throw.
Cornell,USC,3,3,1,29,0,Stone Gettings missed Dunk.
Cornell,USC,3,3,1,29,0,Nick Rakocevic Defensive Rebound.
Cornell,USC,3,3,1,36,0,Shaqquan Aaron missed Jumper.
Cornell,USC,3,3,1,36,0,Troy Whiteside Defensive Rebound.
Cornell,USC,3,3,1,49,0,Matt Morgan missed Three Point Jumper.
Cornell,USC,3,3,1,49,0,Nick Rakocevic Defensive Rebound.
Cornell,USC,3,3,1,59,0,Foul on Troy Whiteside.
Cornell,USC,3,3,2,5,0,Chimezie Metu missed Jumper.
Cornell,USC,3,3,2,5,0,USC Offensive Rebound.
Cornell,USC,3,3,2,17,0,Elijah Stewart missed Three Point Jumper.
Cornell,USC,3,3,2,17,0,Cornell Deadball Team Rebound.
Cornell,USC,3,3,2,20,0,Foul on Nick Rakocevic.
Cornell,USC,5,3,2,42,1,Stone Gettings made Layup.
Cornell,USC,5,3,2,53,0,Shaqquan Aaron missed Three Point Jumper.
Cornell,USC,5,3,2,53,0,Matt Morgan Defensive Rebound.
Cornell,USC,8,3,3,2,1,Matt Morgan made Three Point Jumper. Assisted by JoJo Fallas.
Cornell,USC,8,3,3,16,0,Foul on Robert Hatter.
Cornell,USC,8,6,3,21,1,Shaqquan Aaron made Three Point Jumper. Assisted by Jordan McLaughlin.
Cornell,USC,11,6,3,33,1,Robert Hatter made Three Point Jumper.
Cornell,USC,11,6,3,49,0,Jordan McLaughlin missed Jumper.
Cornell,USC,11,6,3,49,0,JoJo Fallas Defensive Rebound.
Cornell,USC,11,6,3,51,0,Foul on Nick Rakocevic.
Cornell,USC,14,6,4,14,1,Stone Gettings made Three Point Jumper. Assisted by Robert Hatter.
Cornell,USC,14,6,4,29,0,Chimezie Metu Turnover.
Cornell,USC,14,6,4,29,0,Official TV Timeout
Cornell,USC,16,6,4,46,1,Stone Gettings made Jumper. Assisted by Darryl Smith.
Cornell,USC,16,6,5,15,0,De'Anthony Melton missed Jumper.
Cornell,USC,16,6,5,15,0,USC Deadball Team Rebound.
Cornell,USC,16,6,5,17,0,Foul on Stone Gettings.
Cornell,USC,16,9,5,19,1,Jordan McLaughlin made Three Point Jumper. Assisted by Charles Buggs.
Cornell,USC,18,9,5,43,1,Troy Whiteside made Layup.
Cornell,USC,18,11,5,56,1,Jonah Mathews made Layup. Assisted by Charles Buggs.
Cornell,USC,20,11,6,16,1,Troy Whiteside made Jumper. Assisted by JoJo Fallas.
Cornell,USC,20,13,6,41,1,Jordan McLaughlin made Layup.
Cornell,USC,20,13,7,0,0,Matt Morgan missed Three Point Jumper.
Cornell,USC,20,13,7,0,0,Chimezie Metu Defensive Rebound.
Cornell,USC,20,13,7,8,0,Jordan McLaughlin missed Three Point Jumper.
Cornell,USC,20,13,7,8,0,USC Deadball Team Rebound.
Cornell,USC,20,13,7,10,0,Foul on Troy Whiteside.
Cornell,USC,20,13,7,25,0,De'Anthony Melton missed Jumper.
Cornell,USC,20,13,7,25,0,Cornell Defensive Rebound.
Cornell,USC,20,13,7,46,0,Robert Hatter missed Layup.
Cornell,USC,20,13,7,46,0,De'Anthony Melton Block.
Cornell,USC,20,13,7,47,0,Cornell Offensive Rebound.
Cornell,USC,20,13,7,48,0,Foul on Elijah Stewart.
Cornell,USC,20,13,8,9,0,Wil Bathurst missed Jumper.
Cornell,USC,20,13,8,9,0,Elijah Stewart Block.
