Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Elon,Drexel,2,0,0,4,1,Dmitri Thompson made Layup. Assisted by Steven Santa Ana.
Elon,Drexel,2,0,0,22,0,Kurk Lee Turnover.
Elon,Drexel,2,0,0,31,0,Steven Santa Ana missed Three Point Jumper.
Elon,Drexel,2,0,0,31,0,Sammy Mojica Defensive Rebound.
Elon,Drexel,2,0,0,54,0,Austin Williams missed Jumper.
Elon,Drexel,2,0,0,54,0,Dainan Swoope Defensive Rebound.
Elon,Drexel,2,0,1,15,0,Foul on John Moran.
Elon,Drexel,4,0,1,36,1,Brian Dawkins made Jumper.
Elon,Drexel,4,0,1,49,0,John Moran missed Layup.
Elon,Drexel,4,0,1,49,0,John Moran Offensive Rebound.
Elon,Drexel,4,0,2,7,0,John Moran Turnover.
Elon,Drexel,4,0,2,9,0,Steven Santa Ana Steal.
Elon,Drexel,4,0,2,11,0,Dainan Swoope missed Jumper.
Elon,Drexel,4,0,2,11,0,Steven Santa Ana Offensive Rebound.
Elon,Drexel,4,0,2,15,0,Steven Santa Ana Turnover.
Elon,Drexel,4,0,2,17,0,Rodney Williams Steal.
Elon,Drexel,4,0,2,21,0,John Moran missed Three Point Jumper.
Elon,Drexel,4,0,2,21,0,Tyler Seibring Defensive Rebound.
Elon,Drexel,6,0,2,36,1,Brian Dawkins made Jumper. Assisted by Dmitri Thompson.
Elon,Drexel,6,3,2,49,1,Sammy Mojica made Three Point Jumper.
Elon,Drexel,6,3,3,3,0,Dainan Swoope missed Three Point Jumper.
Elon,Drexel,6,3,3,3,0,Rodney Williams Defensive Rebound.
Elon,Drexel,6,3,3,14,0,Foul on Tyler Seibring.
Elon,Drexel,6,3,3,14,0,Austin Williams missed Free Throw.
Elon,Drexel,6,3,3,14,0,Drexel Deadball Team Rebound.
Elon,Drexel,6,3,3,14,0,Austin Williams missed Free Throw.
Elon,Drexel,6,3,3,14,0,Elon Defensive Rebound.
Elon,Drexel,6,3,3,31,0,Dainan Swoope missed Layup.
Elon,Drexel,6,3,3,31,0,John Moran Defensive Rebound.
Elon,Drexel,6,3,3,39,0,Kurk Lee missed Three Point Jumper.
Elon,Drexel,6,3,3,39,0,Mohamed Bah Offensive Rebound.
Elon,Drexel,6,5,4,4,1,Mohamed Bah made Jumper. Assisted by Kurk Lee.
Elon,Drexel,6,5,4,19,0,Christian Hairston Turnover.
Elon,Drexel,6,5,4,20,0,Mohamed Bah Steal.
Elon,Drexel,6,8,4,30,1,Kurk Lee made Three Point Jumper.
Elon,Drexel,6,8,4,47,0,Christian Hairston Turnover.
Elon,Drexel,6,8,4,48,0,John Moran Steal.
Elon,Drexel,6,8,4,54,0,Kurk Lee missed Three Point Jumper.
Elon,Drexel,6,8,4,54,0,Tyshawn Myles Offensive Rebound.
Elon,Drexel,6,8,5,3,0,Tyshawn Myles Turnover.
Elon,Drexel,6,8,5,4,0,Dainan Swoope Steal.
Elon,Drexel,6,8,5,7,0,Luke Eddy Turnover.
Elon,Drexel,6,8,5,8,0,Kurk Lee Steal.
Elon,Drexel,6,10,5,12,1,Mohamed Bah made Jumper. Assisted by Kurk Lee.
Elon,Drexel,6,10,5,39,0,Brian Dawkins missed Three Point Jumper.
Elon,Drexel,6,10,5,39,0,Kurk Lee Defensive Rebound.
Elon,Drexel,6,10,5,50,0,Sammy Mojica missed Three Point Jumper.
Elon,Drexel,6,10,5,50,0,Luke Eddy Defensive Rebound.
Elon,Drexel,6,10,6,18,0,Luke Eddy Turnover.
Elon,Drexel,6,10,6,20,0,Sammy Mojica Steal.
Elon,Drexel,6,12,6,22,1,Sammy Mojica made Layup.
