Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
NC State,Duke,0,0,0,0,0,Jump Ball won by NC State
NC State,Duke,0,0,0,28,0,Abdul-Malik Abu missed Jumper.
NC State,Duke,0,0,0,28,0,Jayson Tatum Defensive Rebound.
NC State,Duke,0,0,0,37,0,Matt Jones missed Three Point Jumper.
NC State,Duke,0,0,0,37,0,Marques Bolden Offensive Rebound.
NC State,Duke,0,0,0,37,0,Marques Bolden missed Two Point Tip Shot.
NC State,Duke,0,0,0,37,0,Omer Yurtseven Defensive Rebound.
NC State,Duke,0,0,0,45,0,Maverick Rowan missed Three Point Jumper.
NC State,Duke,0,0,0,45,0,Terry Henderson Offensive Rebound.
NC State,Duke,2,0,0,45,1,Terry Henderson made Two Point Tip Shot.
NC State,Duke,2,0,1,1,0,Jayson Tatum missed Three Point Jumper.
NC State,Duke,2,0,1,1,0,Maverick Rowan Defensive Rebound.
NC State,Duke,4,0,1,22,1,Dennis Smith Jr. made Layup.
NC State,Duke,4,3,1,41,1,Frank Jackson made Three Point Jumper. Assisted by Jayson Tatum.
NC State,Duke,4,3,2,17,0,NC State  Turnover.
NC State,Duke,4,3,2,28,0,Marques Bolden missed Dunk.
NC State,Duke,4,3,2,28,0,Matt Jones Offensive Rebound.
NC State,Duke,4,5,2,32,1,Matt Jones made Layup.
NC State,Duke,4,5,2,45,0,Foul on Jayson Tatum.
NC State,Duke,5,5,2,45,1,Terry Henderson made Free Throw.
NC State,Duke,6,5,2,45,1,Terry Henderson made Free Throw.
NC State,Duke,6,5,2,45,0,Terry Henderson missed Free Throw.
NC State,Duke,6,5,2,45,0,Amile Jefferson Defensive Rebound.
NC State,Duke,6,7,2,59,1,Amile Jefferson made Layup. Assisted by Jayson Tatum.
NC State,Duke,6,7,3,18,0,Omer Yurtseven missed Jumper.
NC State,Duke,6,7,3,18,0,Frank Jackson Defensive Rebound.
NC State,Duke,6,9,3,29,1,Jayson Tatum made Layup.
NC State,Duke,8,9,3,55,1,Abdul-Malik Abu made Jumper.
NC State,Duke,8,9,4,16,0,Official TV Timeout
NC State,Duke,8,9,4,16,0,Harry Giles missed Layup.
NC State,Duke,8,9,4,16,0,Ted Kapita Defensive Rebound.
NC State,Duke,8,9,4,16,0,Dennis Smith Jr. missed Layup.
NC State,Duke,8,9,4,16,0,Amile Jefferson Block.
NC State,Duke,8,9,4,16,0,Harry Giles Defensive Rebound.
NC State,Duke,8,11,4,56,1,Harry Giles made Layup. Assisted by Luke Kennard.
NC State,Duke,8,11,4,56,0,Foul on Abdul-Malik Abu.
NC State,Duke,8,11,4,56,0,Harry Giles missed Free Throw.
NC State,Duke,8,11,4,56,0,Abdul-Malik Abu Defensive Rebound.
NC State,Duke,8,11,5,0,0,Maverick Rowan missed Three Point Jumper.
NC State,Duke,8,11,5,0,0,Luke Kennard Defensive Rebound.
NC State,Duke,8,11,5,6,0,Grayson Allen missed Three Point Jumper.
NC State,Duke,8,11,5,6,0,Amile Jefferson Offensive Rebound.
NC State,Duke,8,11,5,6,0,Amile Jefferson missed Two Point Tip Shot.
NC State,Duke,8,11,5,6,0,Ted Kapita Defensive Rebound.
NC State,Duke,11,11,5,35,1,Dennis Smith Jr. made Three Point Jumper. Assisted by Maverick Rowan.
NC State,Duke,11,14,5,52,1,Luke Kennard made Three Point Jumper. Assisted by Grayson Allen.
NC State,Duke,11,14,6,23,0,Dennis Smith Jr. missed Three Point Jumper.
NC State,Duke,11,14,6,23,0,Jayson Tatum Defensive Rebound.
NC State,Duke,11,14,6,31,0,Foul on Dennis Smith Jr..
NC State,Duke,11,16,6,33,1,Harry Giles made Dunk. Assisted by Frank Jackson.
NC State,Duke,11,16,6,40,0,NC State  Timeout
NC State,Duke,13,16,7,1,1,Ted Kapita made Layup. Assisted by Abdul-Malik Abu.
NC State,Duke,13,18,7,14,1,Grayson Allen made Jumper.
NC State,Duke,15,18,7,29,1,Abdul-Malik Abu made Jumper.
NC State,Duke,15,20,7,41,1,Harry Giles made Jumper. Assisted by Frank Jackson.
NC State,Duke,17,20,8,0,1,Torin Dorn made Jumper.
NC State,Duke,17,20,8,13,0,Grayson Allen Turnover.
NC State,Duke,17,20,8,13,0,Official TV Timeout
NC State,Duke,17,20,8,32,0,Terry Henderson missed Three Point Jumper.
NC State,Duke,17,20,8,32,0,Duke Defensive Rebound.
NC State,Duke,17,20,8,52,0,Luke Kennard Turnover.
NC State,Duke,17,20,8,52,0,Torin Dorn Steal.
NC State,Duke,17,20,8,52,0,Foul on Luke Kennard.
NC State,Duke,19,20,9,8,1,Ted Kapita made Jumper. Assisted by Abdul-Malik Abu.
NC State,Duke,19,20,9,27,0,Foul on Ted Kapita.
NC State,Duke,19,20,9,27,0,Foul on Ted Kapita.
NC State,Duke,19,22,9,47,1,Amile Jefferson made Layup. Assisted by Jayson Tatum.
NC State,Duke,19,22,10,2,0,Abdul-Malik Abu Turnover.
NC State,Duke,19,22,10,2,0,Marques Bolden Steal.
NC State,Duke,19,22,10,8,0,Matt Jones missed Three Point Jumper.
NC State,Duke,19,22,10,8,0,Torin Dorn Defensive Rebound.
NC State,Duke,19,22,10,25,0,Markell Johnson Turnover.
NC State,Duke,19,22,10,25,0,Jayson Tatum Steal.
NC State,Duke,19,25,10,30,1,Jayson Tatum made Three Point Jumper. Assisted by Matt Jones.
NC State,Duke,19,25,10,52,0,Torin Dorn missed Three Point Jumper.
NC State,Duke,19,25,10,52,0,Frank Jackson Defensive Rebound.
NC State,Duke,19,25,11,0,0,Frank Jackson Turnover.
NC State,Duke,19,25,11,0,0,Markell Johnson Steal.
NC State,Duke,21,25,11,5,1,Markell Johnson made Dunk.
NC State,Duke,21,25,11,33,0,Jayson Tatum Turnover.
NC State,Duke,21,25,11,51,0,Maverick Rowan missed Layup.
NC State,Duke,21,25,11,51,0,Jayson Tatum Block.
NC State,Duke,21,25,11,51,0,Amile Jefferson Defensive Rebound.
NC State,Duke,21,28,12,10,1,Grayson Allen made Three Point Jumper. Assisted by Amile Jefferson.
NC State,Duke,21,28,12,26,0,Foul on Matt Jones.
NC State,Duke,21,28,12,26,0,Official TV Timeout
NC State,Duke,22,28,12,26,1,Dennis Smith Jr. made Free Throw.
NC State,Duke,23,28,12,26,1,Dennis Smith Jr. made Free Throw.
NC State,Duke,23,28,12,44,0,Grayson Allen missed Three Point Jumper.
NC State,Duke,23,28,12,44,0,Maverick Rowan Defensive Rebound.
NC State,Duke,23,28,12,48,0,Foul on Jayson Tatum.
NC State,Duke,25,28,12,52,1,Dennis Smith Jr. made Layup.
NC State,Duke,25,28,13,9,0,Foul on Omer Yurtseven.
NC State,Duke,25,28,13,9,0,Amile Jefferson missed Free Throw.
