Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
The Citadel,East Tennessee State,0,0,0,20,0,Desonta Bradford missed Three Point Jumper.
The Citadel,East Tennessee State,0,0,0,20,0,Desonta Bradford Offensive Rebound.
The Citadel,East Tennessee State,0,3,0,27,1,Desonta Bradford made Three Point Jumper. Assisted by T.J. Cromer.
The Citadel,East Tennessee State,0,3,0,43,0,Foul on Zane Najdawi.
The Citadel,East Tennessee State,0,3,0,43,0,Zane Najdawi Turnover.
The Citadel,East Tennessee State,0,3,0,53,0,A.J. Merriweather missed Layup.
The Citadel,East Tennessee State,0,3,0,53,0,Zane Najdawi Block.
The Citadel,East Tennessee State,0,3,0,55,0,Zane Najdawi Defensive Rebound.
The Citadel,East Tennessee State,0,3,1,7,0,Foul on Desonta Bradford.
The Citadel,East Tennessee State,0,3,1,8,0,Zane Najdawi Turnover.
The Citadel,East Tennessee State,0,3,1,20,0,T.J. Cromer missed Three Point Jumper.
The Citadel,East Tennessee State,0,3,1,20,0,Hanner Mosquera-Perea Offensive Rebound.
The Citadel,East Tennessee State,0,3,1,26,0,Hanner Mosquera-Perea Turnover.
The Citadel,East Tennessee State,0,3,1,27,0,Quayson Williams Steal.
The Citadel,East Tennessee State,0,3,1,33,0,Foul on Hanner Mosquera-Perea.
The Citadel,East Tennessee State,0,3,1,33,0,Leandro Allende missed Free Throw.
The Citadel,East Tennessee State,0,3,1,33,0,The Citadel Deadball Team Rebound.
The Citadel,East Tennessee State,1,3,1,33,1,Leandro Allende made Free Throw.
The Citadel,East Tennessee State,1,3,1,44,0,Foul on Ezekiel Balogun.
The Citadel,East Tennessee State,1,3,1,49,0,Desonta Bradford Turnover.
The Citadel,East Tennessee State,1,3,1,56,0,Foul on Desonta Bradford.
The Citadel,East Tennessee State,4,3,2,6,1,Preston Parks made Three Point Jumper. Assisted by Frankie Johnson.
The Citadel,East Tennessee State,4,3,2,37,0,Foul on Ezekiel Balogun.
The Citadel,East Tennessee State,4,6,2,46,1,T.J. Cromer made Three Point Jumper.
The Citadel,East Tennessee State,6,6,3,2,1,Tom Koopman made Layup. Assisted by Preston Parks.
The Citadel,East Tennessee State,6,6,3,14,0,Jermaine Long missed Layup.
The Citadel,East Tennessee State,6,6,3,14,0,Tevin Glass Offensive Rebound.
The Citadel,East Tennessee State,6,8,3,16,1,Tevin Glass made Layup.
The Citadel,East Tennessee State,6,8,3,41,0,Preston Parks missed Three Point Jumper.
The Citadel,East Tennessee State,6,8,3,41,0,Tevin Glass Defensive Rebound.
The Citadel,East Tennessee State,6,8,3,44,0,Foul on Preston Parks.
The Citadel,East Tennessee State,6,8,3,58,0,T.J. Cromer missed Jumper.
The Citadel,East Tennessee State,6,8,3,58,0,Tevin Glass Offensive Rebound.
The Citadel,East Tennessee State,6,8,4,1,0,Foul on Warren Sledge.
The Citadel,East Tennessee State,6,8,4,14,0,Isaac Banks missed Jumper.
The Citadel,East Tennessee State,6,8,4,14,0,Tom Koopman Defensive Rebound.
The Citadel,East Tennessee State,8,8,4,24,1,Warren Sledge made Layup.
The Citadel,East Tennessee State,8,8,4,35,0,Foul on Jermaine Long.
The Citadel,East Tennessee State,8,8,4,35,0,Jermaine Long Turnover.
The Citadel,East Tennessee State,8,8,4,49,0,Brian White Turnover.
The Citadel,East Tennessee State,8,8,4,49,0,Devontavius Payne Steal.
The Citadel,East Tennessee State,8,8,4,52,0,T.J. Cromer missed Layup.
The Citadel,East Tennessee State,8,8,4,52,0,Zane Najdawi Block.
The Citadel,East Tennessee State,8,8,4,55,0,Quayson Williams Defensive Rebound.
The Citadel,East Tennessee State,8,8,4,59,0,Zane Najdawi missed Three Point Jumper.
The Citadel,East Tennessee State,8,8,4,59,0,Devontavius Payne Defensive Rebound.
The Citadel,East Tennessee State,8,11,5,5,1,T.J. Cromer made Three Point Jumper. Assisted by Devontavius Payne.
The Citadel,East Tennessee State,8,11,5,17,0,Preston Parks missed Layup.
The Citadel,East Tennessee State,8,11,5,17,0,T.J. Cromer Defensive Rebound.
The Citadel,East Tennessee State,8,14,5,37,1,T.J. Cromer made Three Point Jumper.
The Citadel,East Tennessee State,8,14,5,51,0,Warren Sledge missed Jumper.
The Citadel,East Tennessee State,8,14,5,51,0,Isaac Banks Defensive Rebound.
The Citadel,East Tennessee State,8,14,6,1,0,Devontavius Payne missed Three Point Jumper.
The Citadel,East Tennessee State,8,14,6,1,0,Brian White Defensive Rebound.
The Citadel,East Tennessee State,8,14,6,11,0,Warren Sledge missed Three Point Jumper.
The Citadel,East Tennessee State,8,14,6,11,0,Brian White Offensive Rebound.
The Citadel,East Tennessee State,11,14,6,15,1,Quayson Williams made Three Point Jumper. Assisted by Brian White.
The Citadel,East Tennessee State,11,14,6,27,0,Foul on Devontavius Payne.
The Citadel,East Tennessee State,11,14,6,27,0,Devontavius Payne Turnover.
The Citadel,East Tennessee State,11,14,6,35,0,Foul on A.J. Merriweather.
The Citadel,East Tennessee State,11,14,6,40,0,Zane Najdawi missed Layup.
The Citadel,East Tennessee State,11,14,6,40,0,Isaac Banks Defensive Rebound.
The Citadel,East Tennessee State,11,17,6,54,1,Jason Williams made Three Point Jumper. Assisted by A.J. Merriweather.
The Citadel,East Tennessee State,11,17,7,14,0,Frankie Johnson missed Three Point Jumper.
The Citadel,East Tennessee State,11,17,7,14,0,A.J. Merriweather Defensive Rebound.
The Citadel,East Tennessee State,11,17,7,22,0,Foul on A.J. Merriweather.
The Citadel,East Tennessee State,11,17,7,22,0,A.J. Merriweather Turnover.
The Citadel,East Tennessee State,11,17,7,34,0,Foul on Isaac Banks.
The Citadel,East Tennessee State,11,17,7,34,0,Ezekiel Balogun missed Free Throw.
The Citadel,East Tennessee State,11,17,7,34,0,David Burrell Defensive Rebound.
The Citadel,East Tennessee State,11,19,7,55,1,Hanner Mosquera-Perea made Layup. Assisted by T.J. Cromer.
The Citadel,East Tennessee State,11,19,8,7,0,Ezekiel Balogun missed Three Point Jumper.
The Citadel,East Tennessee State,11,19,8,7,0,Jason Williams Defensive Rebound.
The Citadel,East Tennessee State,11,19,8,16,0,T.J. Cromer missed Three Point Jumper.
The Citadel,East Tennessee State,11,19,8,16,0,Leandro Allende Defensive Rebound.
The Citadel,East Tennessee State,11,19,8,38,0,Quayson Williams missed Jumper.
The Citadel,East Tennessee State,11,19,8,38,0,T.J. Cromer Defensive Rebound.
The Citadel,East Tennessee State,11,19,8,48,0,Jason Williams missed Three Point Jumper.
The Citadel,East Tennessee State,11,19,8,48,0,Frankie Johnson Defensive Rebound.
The Citadel,East Tennessee State,11,19,8,59,0,Leandro Allende missed Three Point Jumper.
The Citadel,East Tennessee State,11,19,8,59,0,The Citadel Offensive Rebound.
The Citadel,East Tennessee State,11,19,9,1,0,The Citadel  Turnover.
The Citadel,East Tennessee State,11,21,9,6,1,Hanner Mosquera-Perea made Dunk. Assisted by T.J. Cromer.
The Citadel,East Tennessee State,11,21,9,18,0,Preston Parks missed Jumper.
The Citadel,East Tennessee State,11,21,9,18,0,David Burrell Defensive Rebound.
The Citadel,East Tennessee State,11,21,9,27,0,T.J. Cromer Turnover.
The Citadel,East Tennessee State,11,21,9,28,0,Zane Najdawi Steal.
The Citadel,East Tennessee State,11,21,9,49,0,Leandro Allende missed Layup.
The Citadel,East Tennessee State,11,21,9,49,0,David Burrell Defensive Rebound.
The Citadel,East Tennessee State,11,21,9,56,0,Foul on T.J. Cromer.
The Citadel,East Tennessee State,11,21,9,56,0,T.J. Cromer Turnover.
The Citadel,East Tennessee State,11,21,10,6,0,Warren Sledge Turnover.
The Citadel,East Tennessee State,11,24,10,20,1,David Burrell made Three Point Jumper. Assisted by T.J. Cromer.
The Citadel,East Tennessee State,11,24,10,34,0,Preston Parks Turnover.
The Citadel,East Tennessee State,11,24,10,34,0,Jermaine Long Steal.
The Citadel,East Tennessee State,11,24,10,37,0,T.J. Cromer missed Three Point Jumper.
The Citadel,East Tennessee State,11,24,10,37,0,Zane Najdawi Defensive Rebound.
The Citadel,East Tennessee State,14,24,10,49,1,Warren Sledge made Three Point Jumper. Assisted by Preston Parks.
The Citadel,East Tennessee State,14,26,11,9,1,Hanner Mosquera-Perea made Layup. Assisted by David Burrell.
The Citadel,East Tennessee State,14,26,11,16,0,Warren Sledge missed Layup.
The Citadel,East Tennessee State,14,26,11,16,0,Hanner Mosquera-Perea Block.
The Citadel,East Tennessee State,14,26,11,17,0,Jermaine Long Defensive Rebound.
The Citadel,East Tennessee State,14,26,11,21,0,Devontavius Payne missed Layup.
The Citadel,East Tennessee State,14,26,11,21,0,Leandro Allende Defensive Rebound.
The Citadel,East Tennessee State,14,26,11,29,0,Preston Parks Turnover.
The Citadel,East Tennessee State,14,26,11,30,0,Jermaine Long Steal.
The Citadel,East Tennessee State,14,26,11,33,0,Devontavius Payne Turnover.
The Citadel,East Tennessee State,14,26,11,38,0,Warren Sledge missed Three Point Jumper.
The Citadel,East Tennessee State,14,26,11,38,0,Matt Frierson Offensive Rebound.
The Citadel,East Tennessee State,17,26,11,41,1,Frankie Johnson made Three Point Jumper. Assisted by Matt Frierson.
The Citadel,East Tennessee State,17,29,12,0,1,Devontavius Payne made Three Point Jumper. Assisted by Jason Williams.
The Citadel,East Tennessee State,17,29,12,12,0,Brian White missed Jumper.
The Citadel,East Tennessee State,17,29,12,12,0,Hanner Mosquera-Perea Defensive Rebound.
The Citadel,East Tennessee State,17,32,12,21,1,David Burrell made Three Point Jumper. Assisted by Jason Williams.
The Citadel,East Tennessee State,17,32,12,31,0,Frankie Johnson missed Layup.
The Citadel,East Tennessee State,17,32,12,31,0,David Burrell Block.
The Citadel,East Tennessee State,17,32,12,32,0,The Citadel Offensive Rebound.
The Citadel,East Tennessee State,20,32,13,2,1,Frankie Johnson made Three Point Jumper.
The Citadel,East Tennessee State,20,35,13,15,1,Jason Williams made Three Point Jumper. Assisted by Tevin Glass.
The Citadel,East Tennessee State,20,35,13,37,0,Ezekiel Balogun missed Three Point Jumper.
The Citadel,East Tennessee State,20,35,13,37,0,Tevin Glass Defensive Rebound.
The Citadel,East Tennessee State,20,35,13,48,0,Devontavius Payne missed Three Point Jumper.
The Citadel,East Tennessee State,20,35,13,48,0,Ezekiel Balogun Defensive Rebound.
The Citadel,East Tennessee State,20,35,14,4,0,Ezekiel Balogun Turnover.
The Citadel,East Tennessee State,20,35,14,5,0,T.J. Cromer Steal.
The Citadel,East Tennessee State,20,37,14,8,1,T.J. Cromer made Dunk.
The Citadel,East Tennessee State,20,37,14,26,0,Warren Sledge missed Jumper.
The Citadel,East Tennessee State,20,37,14,26,0,Devontavius Payne Defensive Rebound.
The Citadel,East Tennessee State,20,37,14,31,0,Foul on Devontavius Payne.
The Citadel,East Tennessee State,20,37,14,31,0,Devontavius Payne Turnover.
The Citadel,East Tennessee State,20,37,14,43,0,Zane Najdawi Turnover.
The Citadel,East Tennessee State,20,37,14,45,0,Jermaine Long Steal.
The Citadel,East Tennessee State,20,39,14,48,1,Jermaine Long made Layup.
The Citadel,East Tennessee State,22,39,14,57,1,Zane Najdawi made Dunk.
The Citadel,East Tennessee State,22,39,15,14,0,Jermaine Long missed Three Point Jumper.
The Citadel,East Tennessee State,22,39,15,14,0,Tevin Glass Offensive Rebound.
The Citadel,East Tennessee State,22,39,15,16,0,Foul on Leandro Allende.
The Citadel,East Tennessee State,22,39,15,25,0,T.J. Cromer missed Three Point Jumper.
The Citadel,East Tennessee State,22,39,15,25,0,A.J. Merriweather Offensive Rebound.
The Citadel,East Tennessee State,22,39,15,31,0,Foul on Zane Najdawi.
The Citadel,East Tennessee State,22,40,15,31,1,A.J. Merriweather made Free Throw.
The Citadel,East Tennessee State,22,41,15,31,1,A.J. Merriweather made Free Throw.
The Citadel,East Tennessee State,22,41,16,2,0,The Citadel  Turnover.
The Citadel,East Tennessee State,22,41,16,2,0,Official TV Timeout
