Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Eastern Illinois,Missouri,0,0,0,0,0,Jump Ball won by Eastern Illinois
Eastern Illinois,Missouri,0,0,0,28,0,Muusa Dama missed Jumper.
Eastern Illinois,Missouri,0,0,0,28,0,Kevin Puryear Defensive Rebound.
Eastern Illinois,Missouri,0,0,0,56,0,Frankie Hughes missed Jumper.
Eastern Illinois,Missouri,0,0,0,56,0,Muusa Dama Block.
Eastern Illinois,Missouri,0,0,0,56,0,Missouri Offensive Rebound.
Eastern Illinois,Missouri,0,0,1,2,0,Cullen VanLeer missed Three Point Jumper.
Eastern Illinois,Missouri,0,0,1,2,0,Eastern Illinois Defensive Rebound.
Eastern Illinois,Missouri,0,0,1,28,0,Foul on Frankie Hughes.
Eastern Illinois,Missouri,1,0,1,28,1,Demetrius McReynolds made Free Throw.
Eastern Illinois,Missouri,2,0,1,28,1,Demetrius McReynolds made Free Throw.
Eastern Illinois,Missouri,2,0,1,37,0,Kevin Puryear Turnover.
Eastern Illinois,Missouri,2,0,1,37,0,Ray Crossland Steal.
Eastern Illinois,Missouri,2,0,1,44,0,Eastern Illinois  Timeout
Eastern Illinois,Missouri,4,0,1,55,1,Ray Crossland made Jumper. Assisted by Montell Goodwin.
Eastern Illinois,Missouri,4,3,2,31,1,Frankie Hughes made Three Point Jumper. Assisted by Terrence Phillips.
Eastern Illinois,Missouri,4,3,2,47,0,Cornell Johnston missed Three Point Jumper.
Eastern Illinois,Missouri,4,3,2,47,0,Frankie Hughes Defensive Rebound.
Eastern Illinois,Missouri,4,3,2,54,0,Terrence Phillips Turnover.
Eastern Illinois,Missouri,4,3,3,3,0,Ray Crossland Turnover.
Eastern Illinois,Missouri,4,5,3,25,1,Russell Woods made Jumper. Assisted by Terrence Phillips.
Eastern Illinois,Missouri,4,5,3,25,0,Foul on Ray Crossland.
Eastern Illinois,Missouri,4,6,3,25,1,Russell Woods made Free Throw.
Eastern Illinois,Missouri,4,6,3,49,0,Montell Goodwin missed Jumper.
Eastern Illinois,Missouri,4,6,3,49,0,Terrence Phillips Defensive Rebound.
Eastern Illinois,Missouri,4,6,3,57,0,Frankie Hughes missed Three Point Jumper.
Eastern Illinois,Missouri,4,6,3,57,0,Muusa Dama Defensive Rebound.
Eastern Illinois,Missouri,4,6,4,7,0,Foul on Terrence Phillips.
Eastern Illinois,Missouri,4,6,4,7,0,Official TV Timeout
Eastern Illinois,Missouri,4,6,4,25,0,Foul on Muusa Dama.
Eastern Illinois,Missouri,4,6,4,25,0,Muusa Dama Turnover.
Eastern Illinois,Missouri,4,6,4,31,0,Cullen VanLeer missed Three Point Jumper.
Eastern Illinois,Missouri,4,6,4,31,0,Demetrius McReynolds Defensive Rebound.
Eastern Illinois,Missouri,4,6,4,41,0,Foul on Kevin Puryear.
Eastern Illinois,Missouri,5,6,4,41,1,Ray Crossland made Free Throw.
