Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Drake,Evansville,0,0,0,22,0,Reed Timmer missed Layup.
Drake,Evansville,0,0,0,22,0,Dru Smith Defensive Rebound.
Drake,Evansville,0,2,0,47,1,Ryan Taylor made Jumper. Assisted by Jaylon Brown.
Drake,Evansville,0,2,1,12,0,Nick McGlynn missed Three Point Jumper.
Drake,Evansville,0,2,1,12,0,Jaylon Brown Defensive Rebound.
Drake,Evansville,0,4,1,20,1,Dru Smith made Layup.
Drake,Evansville,0,4,1,36,0,Reed Timmer missed Jumper.
Drake,Evansville,0,4,1,36,0,Jaylon Brown Defensive Rebound.
Drake,Evansville,0,6,2,1,1,David Howard made Layup. Assisted by Jaylon Brown.
Drake,Evansville,0,6,2,13,0,Ore Arogundade missed Three Point Jumper.
Drake,Evansville,0,6,2,13,0,Jaylon Brown Defensive Rebound.
Drake,Evansville,0,8,2,40,1,Ryan Taylor made Jumper.
Drake,Evansville,0,8,2,53,0,Foul on Dru Smith.
Drake,Evansville,3,8,2,59,1,Billy Wampler made Three Point Jumper. Assisted by Reed Timmer.
Drake,Evansville,3,8,3,21,0,David Howard missed Jumper.
Drake,Evansville,3,8,3,21,0,Reed Timmer Defensive Rebound.
Drake,Evansville,5,8,3,27,1,Reed Timmer made Jumper.
Drake,Evansville,5,8,3,52,0,Foul on Nick McGlynn.
Drake,Evansville,5,9,3,52,1,David Howard made Free Throw.
Drake,Evansville,5,10,3,52,1,David Howard made Free Throw.
Drake,Evansville,5,10,4,12,0,T.J. Thomas missed Jumper.
Drake,Evansville,5,10,4,12,0,Jaylon Brown Defensive Rebound.
Drake,Evansville,5,10,4,20,0,Ryan Taylor missed Three Point Jumper.
Drake,Evansville,5,10,4,20,0,Evansville Offensive Rebound.
Drake,Evansville,5,10,4,23,0,Official TV Timeout
Drake,Evansville,5,10,4,42,0,Christian Benzon missed Layup.
Drake,Evansville,5,10,4,42,0,T.J. Thomas Defensive Rebound.
Drake,Evansville,5,10,5,7,0,Billy Wampler missed Three Point Jumper.
Drake,Evansville,5,10,5,7,0,Duane Gibson Defensive Rebound.
Drake,Evansville,5,12,5,13,1,Duane Gibson made Layup.
Drake,Evansville,5,12,5,21,0,C.J. Rivers Turnover.
Drake,Evansville,5,12,5,21,0,Foul on C.J. Rivers.
Drake,Evansville,5,12,5,29,0,Foul on T.J. Thomas.
Drake,Evansville,5,12,5,42,0,David Howard missed Layup.
Drake,Evansville,5,12,5,42,0,Casey Schlatter Block.
Drake,Evansville,5,12,5,42,0,Graham Woodward Defensive Rebound.
Drake,Evansville,7,12,5,47,1,T.J. Thomas made Layup. Assisted by C.J. Rivers.
