Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Florida Intl,Elon,0,2,0,9,1,Tyler Seibring made Jumper.
Florida Intl,Elon,0,2,0,26,0,Richard Bivens missed Three Point Jumper.
Florida Intl,Elon,0,2,0,26,0,Michael Kessens Offensive Rebound.
Florida Intl,Elon,2,2,0,29,1,Michael Kessens made Jumper.
Florida Intl,Elon,2,2,0,36,0,Dmitri Thompson missed Layup.
Florida Intl,Elon,2,2,0,36,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,2,2,0,56,0,Donte McGill missed Jumper.
Florida Intl,Elon,2,2,0,56,0,Dmitri Thompson Defensive Rebound.
Florida Intl,Elon,2,5,1,9,1,Tyler Seibring made Three Point Jumper. Assisted by Luke Eddy.
Florida Intl,Elon,2,5,1,32,0,Michael Kessens missed Jumper.
Florida Intl,Elon,2,5,1,32,0,Dmitri Thompson Defensive Rebound.
Florida Intl,Elon,2,5,1,42,0,Tyler Seibring missed Three Point Jumper.
Florida Intl,Elon,2,5,1,42,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,4,5,1,56,1,Kimar Williams made Layup.
Florida Intl,Elon,4,5,2,5,0,Brian Dawkins missed Three Point Jumper.
Florida Intl,Elon,4,5,2,5,0,Richard Bivens Defensive Rebound.
Florida Intl,Elon,4,5,2,14,0,Foul on Brian Dawkins.
Florida Intl,Elon,4,5,2,26,0,Michael Kessens Turnover.
Florida Intl,Elon,4,5,2,36,0,Steven Santa Ana missed Three Point Jumper.
Florida Intl,Elon,4,5,2,36,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,4,5,2,43,0,Donte McGill missed Jumper.
Florida Intl,Elon,4,5,2,43,0,Tyler Seibring Defensive Rebound.
Florida Intl,Elon,4,5,2,53,0,Dmitri Thompson missed Three Point Jumper.
Florida Intl,Elon,4,5,2,53,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,4,5,2,54,0,Foul on Brian Dawkins.
Florida Intl,Elon,6,5,3,16,1,Kimar Williams made Jumper.
Florida Intl,Elon,6,5,3,42,0,Dainan Swoope missed Three Point Jumper.
Florida Intl,Elon,6,5,3,42,0,Florida International Defensive Rebound.
Florida Intl,Elon,6,5,3,58,0,Foul on Karolis Kundrotas.
Florida Intl,Elon,6,5,4,3,0,Michael Kessens missed Layup.
Florida Intl,Elon,6,5,4,3,0,Sheldon Eberhardt Block.
Florida Intl,Elon,6,5,4,5,0,Karolis Kundrotas Defensive Rebound.
Florida Intl,Elon,6,5,4,20,0,Christian Hairston missed Jumper.
Florida Intl,Elon,6,5,4,20,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,6,5,4,27,0,Anthony Boswell missed Three Point Jumper.
Florida Intl,Elon,6,5,4,27,0,Karolis Kundrotas Defensive Rebound.
Florida Intl,Elon,6,5,4,45,0,Christian Hairston missed Jumper.
Florida Intl,Elon,6,5,4,45,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,6,5,5,1,0,Anthony Boswell missed Jumper.
Florida Intl,Elon,6,5,5,1,0,Donte McGill Offensive Rebound.
Florida Intl,Elon,6,5,5,26,0,Richard Bivens Turnover.
Florida Intl,Elon,6,5,5,26,0,Official TV Timeout
Florida Intl,Elon,6,5,5,43,0,Foul on Elmo Stephen.
Florida Intl,Elon,6,5,5,44,0,Foul on Eric Lockett.
Florida Intl,Elon,6,6,5,44,1,Tyler Seibring made Free Throw.
Florida Intl,Elon,6,7,5,44,1,Tyler Seibring made Free Throw.
Florida Intl,Elon,6,7,6,4,0,Kimar Williams missed Layup.
Florida Intl,Elon,6,7,6,4,0,Elon Defensive Rebound.
Florida Intl,Elon,6,10,6,16,1,Steven Santa Ana made Three Point Jumper. Assisted by Sheldon Eberhardt.
Florida Intl,Elon,6,10,6,39,0,Donte McGill missed Jumper.
Florida Intl,Elon,6,10,6,39,0,Karolis Kundrotas Defensive Rebound.
Florida Intl,Elon,6,12,6,52,1,Steven Santa Ana made Layup. Assisted by Sheldon Eberhardt.
Florida Intl,Elon,8,12,7,15,1,Michael Kessens made Layup.
Florida Intl,Elon,8,12,7,24,0,Tyler Seibring missed Three Point Jumper.
Florida Intl,Elon,8,12,7,24,0,Michael Kessens Defensive Rebound.
Florida Intl,Elon,8,12,7,33,0,Kimar Williams missed Three Point Jumper.
Florida Intl,Elon,8,12,7,33,0,Steven Santa Ana Defensive Rebound.
Florida Intl,Elon,8,14,7,49,1,Steven Santa Ana made Layup. Assisted by Sheldon Eberhardt.
Florida Intl,Elon,8,14,8,12,0,Eric Lockett missed Three Point Jumper.
Florida Intl,Elon,8,14,8,12,0,Michael Kessens Offensive Rebound.
Florida Intl,Elon,8,14,8,20,0,Official TV Timeout
Florida Intl,Elon,8,14,8,40,0,Elmo Stephen missed Three Point Jumper.
Florida Intl,Elon,8,14,8,40,0,Elon Defensive Rebound.
Florida Intl,Elon,8,17,9,2,1,Dainan Swoope made Three Point Jumper. Assisted by Steven Santa Ana.
Florida Intl,Elon,8,17,9,31,0,Donte McGill missed Jumper.
Florida Intl,Elon,8,17,9,31,0,Dmitri Thompson Block.
Florida Intl,Elon,8,17,9,32,0,Donte McGill Offensive Rebound.
Florida Intl,Elon,8,17,9,37,0,Foul on Tyler Seibring.
Florida Intl,Elon,9,17,9,37,1,Eric Lockett made Free Throw.
Florida Intl,Elon,9,17,9,37,0,Eric Lockett missed Free Throw.
Florida Intl,Elon,9,17,9,37,0,Christian Hairston Defensive Rebound.
Florida Intl,Elon,9,17,10,3,0,Luke Eddy missed Three Point Jumper.
Florida Intl,Elon,9,17,10,3,0,Eric Lockett Defensive Rebound.
Florida Intl,Elon,12,17,10,22,1,Elmo Stephen made Three Point Jumper. Assisted by Eric Lockett.
Florida Intl,Elon,12,19,10,32,1,Dmitri Thompson made Layup.
Florida Intl,Elon,12,19,10,50,0,Eric Lockett missed Jumper.
Florida Intl,Elon,12,19,10,50,0,Christian Hairston Defensive Rebound.
Florida Intl,Elon,12,19,11,1,0,Christian Hairston Turnover.
Florida Intl,Elon,12,19,11,23,0,Elmo Stephen Turnover.
Florida Intl,Elon,12,19,11,35,0,Foul on Elmo Stephen.
Florida Intl,Elon,12,20,11,35,1,Christian Hairston made Free Throw.
Florida Intl,Elon,12,20,11,35,0,Christian Hairston missed Free Throw.
Florida Intl,Elon,12,20,11,35,0,Michael Kessens Defensive Rebound.
