Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Mercer,Furman,2,0,0,12,1,Stephon Jelks made Jumper.
Mercer,Furman,2,2,0,38,1,Daniel Fowler made Jumper. Assisted by Geoff Beans.
Mercer,Furman,2,2,0,56,0,Demetre Rivers missed Jumper.
Mercer,Furman,2,2,0,56,0,Daniel Fowler Defensive Rebound.
Mercer,Furman,2,2,1,19,0,John Davis III missed Three Point Jumper.
Mercer,Furman,2,2,1,19,0,Stephon Jelks Defensive Rebound.
Mercer,Furman,2,2,1,35,0,Stephon Jelks missed Jumper.
Mercer,Furman,2,2,1,35,0,John Davis III Defensive Rebound.
Mercer,Furman,2,2,1,50,0,Devin Sibley missed Three Point Jumper.
Mercer,Furman,2,2,1,50,0,Ria'n Holland Defensive Rebound.
Mercer,Furman,5,2,1,59,1,Ria'n Holland made Three Point Jumper.
Mercer,Furman,5,2,2,21,0,John Davis III missed Jumper.
Mercer,Furman,5,2,2,21,0,John Davis III Offensive Rebound.
Mercer,Furman,5,2,2,25,0,Geoff Beans missed Three Point Jumper.
Mercer,Furman,5,2,2,25,0,Stephon Jelks Defensive Rebound.
Mercer,Furman,7,2,2,38,1,Desmond Ringer made Layup. Assisted by Ria'n Holland.
Mercer,Furman,7,4,3,8,1,Devin Sibley made Jumper. Assisted by Daniel Fowler.
Mercer,Furman,7,4,3,38,0,Demetre Rivers missed Layup.
Mercer,Furman,7,4,3,38,0,Desmond Ringer Offensive Rebound.
Mercer,Furman,7,4,3,40,0,Desmond Ringer missed Layup.
Mercer,Furman,7,4,3,40,0,Desmond Ringer Offensive Rebound.
Mercer,Furman,7,4,3,40,0,Foul on Kris Acox.
Mercer,Furman,7,4,4,1,0,Official TV Timeout
Mercer,Furman,7,4,4,7,0,Stephon Jelks missed Layup.
Mercer,Furman,7,4,4,7,0,Stephon Jelks Offensive Rebound.
Mercer,Furman,9,4,4,10,1,Stephon Jelks made Layup.
Mercer,Furman,9,4,4,34,0,Kris Acox missed Jumper.
Mercer,Furman,9,4,4,34,0,Daniel Fowler Offensive Rebound.
Mercer,Furman,9,4,4,40,0,Daniel Fowler missed Jumper.
Mercer,Furman,9,4,4,40,0,Kris Acox Offensive Rebound.
Mercer,Furman,9,4,5,0,0,John Davis III missed Three Point Jumper.
Mercer,Furman,9,4,5,0,0,Desmond Ringer Defensive Rebound.
Mercer,Furman,11,4,5,14,1,Ria'n Holland made Jumper.
Mercer,Furman,11,4,5,27,0,Daniel Fowler missed Three Point Jumper.
Mercer,Furman,11,4,5,27,0,Ria'n Holland Defensive Rebound.
Mercer,Furman,11,4,5,40,0,Desmond Ringer missed Layup.
Mercer,Furman,11,4,5,40,0,Desmond Ringer Offensive Rebound.
Mercer,Furman,13,4,5,42,1,Desmond Ringer made Layup.
Mercer,Furman,13,4,5,45,0,Furman  Timeout
Mercer,Furman,13,4,6,2,0,Jordan Lyons missed Three Point Jumper.
Mercer,Furman,13,4,6,2,0,Demetre Rivers Defensive Rebound.
Mercer,Furman,13,4,6,17,0,Foul on Kris Acox.
Mercer,Furman,13,4,6,20,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,13,4,6,20,0,Jonathan Jean Defensive Rebound.
Mercer,Furman,13,6,6,29,1,Matt Rafferty made Layup. Assisted by Jonathan Jean.
Mercer,Furman,13,6,6,45,0,Foul on Daniel Fowler.
Mercer,Furman,16,6,6,54,1,Ryan Johnson made Three Point Jumper. Assisted by Ria'n Holland.
Mercer,Furman,16,6,7,15,0,Jordan Lyons Turnover.
Mercer,Furman,16,6,7,16,0,Cory Kilby Steal.
Mercer,Furman,16,6,7,20,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,16,6,7,20,0,Jonathan Jean Defensive Rebound.
Mercer,Furman,16,6,7,29,0,Foul on JJ N'Ganga.
Mercer,Furman,16,7,7,29,1,Devin Sibley made Free Throw.
Mercer,Furman,16,8,7,29,1,Devin Sibley made Free Throw.
Mercer,Furman,16,8,7,40,0,Ryan Johnson missed Jumper.
Mercer,Furman,16,8,7,40,0,Geoff Beans Defensive Rebound.
Mercer,Furman,16,8,7,44,0,Foul on Ryan Johnson.
Mercer,Furman,16,10,8,3,1,Matt Rafferty made Jumper.
Mercer,Furman,16,10,8,34,0,Cory Kilby missed Three Point Jumper.
Mercer,Furman,16,10,8,34,0,Devin Sibley Block.
Mercer,Furman,16,10,8,37,0,Matt Rafferty Defensive Rebound.
Mercer,Furman,16,12,8,43,1,Devin Sibley made Jumper.
Mercer,Furman,16,12,9,3,0,Foul on Devin Sibley.
Mercer,Furman,16,12,9,3,0,Official TV Timeout
Mercer,Furman,16,12,9,24,0,Demetre Rivers missed Jumper.
Mercer,Furman,16,12,9,24,0,Geoff Beans Defensive Rebound.
Mercer,Furman,16,12,9,33,0,Foul on Desmond Ringer.
Mercer,Furman,16,15,9,36,1,Jordan Lyons made Three Point Jumper. Assisted by Devin Sibley.
Mercer,Furman,16,15,9,54,0,Foul on Geoff Beans.
Mercer,Furman,18,15,10,7,1,Jordan Strawberry made Jumper.
Mercer,Furman,18,15,10,37,0,Matt Rafferty Turnover.
Mercer,Furman,20,15,10,51,1,Andrew Fishler made Layup. Assisted by Jordan Strawberry.
Mercer,Furman,20,15,11,7,0,Foul on Andrew Fishler.
Mercer,Furman,20,16,11,7,1,Daniel Fowler made Free Throw.
Mercer,Furman,20,16,11,7,0,Daniel Fowler missed Free Throw.
Mercer,Furman,20,16,11,7,0,Andrew Fishler Defensive Rebound.
Mercer,Furman,20,16,11,23,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,20,16,11,23,0,Daniel Fowler Defensive Rebound.
Mercer,Furman,20,16,11,30,0,Foul on Ria'n Holland.
Mercer,Furman,20,17,11,30,1,Matt Rafferty made Free Throw.
Mercer,Furman,20,18,11,30,1,Matt Rafferty made Free Throw.
Mercer,Furman,20,18,11,45,0,Foul on John Davis III.
Mercer,Furman,22,18,11,45,1,Ryan Johnson made Layup. Assisted by Jordan Strawberry.
Mercer,Furman,22,18,12,8,0,Foul on Andrew Fishler.
Mercer,Furman,22,18,12,8,0,Official TV Timeout
Mercer,Furman,22,18,12,22,0,Daniel Fowler missed Jumper.
Mercer,Furman,22,18,12,22,0,Desmond Ringer Defensive Rebound.
Mercer,Furman,25,18,12,50,1,Jordan Strawberry made Three Point Jumper. Assisted by Ria'n Holland.
Mercer,Furman,25,18,13,22,0,John Davis III missed Jumper.
Mercer,Furman,25,18,13,22,0,Demetre Rivers Defensive Rebound.
Mercer,Furman,25,18,13,50,0,Jordan Strawberry missed Jumper.
Mercer,Furman,25,18,13,50,0,Desmond Ringer Offensive Rebound.
Mercer,Furman,25,18,13,51,0,Foul on Devin Sibley.
Mercer,Furman,26,18,13,51,1,Desmond Ringer made Free Throw.
Mercer,Furman,26,18,13,51,0,Desmond Ringer missed Free Throw.
Mercer,Furman,26,18,13,51,0,Cory Kilby Offensive Rebound.
Mercer,Furman,26,18,14,10,0,Desmond Ringer Turnover.
Mercer,Furman,26,18,14,10,0,Jordan Lyons Steal.
Mercer,Furman,26,20,14,15,1,Matt Rafferty made Layup. Assisted by John Davis III.
Mercer,Furman,26,20,14,47,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,26,20,14,47,0,Furman Defensive Rebound.
Mercer,Furman,26,22,15,4,1,Kris Acox made Layup. Assisted by Matt Rafferty.
Mercer,Furman,26,22,15,24,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,26,22,15,24,0,John Davis III Defensive Rebound.
Mercer,Furman,26,22,15,32,0,Kris Acox Turnover.
Mercer,Furman,26,22,15,32,0,Foul on Kris Acox.
Mercer,Furman,26,22,15,52,0,Ria'n Holland Turnover.
Mercer,Furman,26,25,16,12,1,Daniel Fowler made Three Point Jumper. Assisted by Jonathan Jean.
Mercer,Furman,26,25,16,28,0,Ria'n Holland missed Jumper.
Mercer,Furman,26,25,16,28,0,Jalen Williams Defensive Rebound.
Mercer,Furman,26,25,16,29,0,Foul on JJ N'Ganga.
Mercer,Furman,26,25,16,29,0,Official TV Timeout
Mercer,Furman,26,26,16,29,1,Jalen Williams made Free Throw.
Mercer,Furman,26,26,16,29,0,Jalen Williams missed Free Throw.
Mercer,Furman,26,26,16,29,0,Stephon Jelks Defensive Rebound.
Mercer,Furman,26,26,16,55,0,Demetre Rivers missed Jumper.
Mercer,Furman,26,26,16,55,0,Jalen Williams Block.
Mercer,Furman,26,26,16,56,0,Daniel Fowler Defensive Rebound.
Mercer,Furman,26,26,17,5,0,Jordan Lyons Turnover.
Mercer,Furman,28,26,17,24,1,Jordan Strawberry made Jumper.
Mercer,Furman,28,26,17,42,0,Foul on Desmond Ringer.
Mercer,Furman,28,27,17,42,1,Matt Rafferty made Free Throw.
Mercer,Furman,28,28,17,42,1,Matt Rafferty made Free Throw.
Mercer,Furman,28,28,17,55,0,Jordan Strawberry missed Three Point Jumper.
Mercer,Furman,28,28,17,55,0,Jordan Strawberry Offensive Rebound.
Mercer,Furman,28,28,18,12,0,Ria'n Holland missed Three Point Jumper.
Mercer,Furman,28,28,18,12,0,Andrew Fishler Offensive Rebound.
Mercer,Furman,30,28,18,15,1,Andrew Fishler made Layup.
Mercer,Furman,30,28,18,16,0,Foul on Matt Rafferty.
Mercer,Furman,31,28,18,16,1,Andrew Fishler made Free Throw.
Mercer,Furman,31,28,18,31,0,Matt Rafferty missed Jumper.
Mercer,Furman,31,28,18,31,0,Ryan Johnson Defensive Rebound.
Mercer,Furman,31,28,18,39,0,Jordan Strawberry missed Layup.
Mercer,Furman,31,28,18,39,0,Geoff Beans Defensive Rebound.
Mercer,Furman,31,30,18,44,1,Daniel Fowler made Layup. Assisted by Jonathan Jean.
Mercer,Furman,31,30,18,44,0,Foul on Ria'n Holland.
Mercer,Furman,31,30,18,44,0,Daniel Fowler missed Free Throw.
Mercer,Furman,31,30,18,44,0,Darius Roy Defensive Rebound.
Mercer,Furman,31,30,19,3,0,Ryan Johnson missed Three Point Jumper.
Mercer,Furman,31,30,19,3,0,Daniel Fowler Defensive Rebound.
Mercer,Furman,31,30,19,12,0,Jonathan Jean missed Layup.
Mercer,Furman,31,30,19,12,0,Matt Rafferty Offensive Rebound.
Mercer,Furman,31,30,19,14,0,Matt Rafferty missed Two Point Tip Shot.
Mercer,Furman,31,30,19,14,0,Cory Kilby Defensive Rebound.
Mercer,Furman,31,30,19,27,0,Foul on Daniel Fowler.
