Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Gardner-Webb,Campbell,0,2,0,18,1,Shane Whitfield made Jumper.
Gardner-Webb,Campbell,0,2,0,36,0,Tyrell Nelson Turnover.
Gardner-Webb,Campbell,0,2,0,54,0,Shane Whitfield Turnover.
Gardner-Webb,Campbell,2,2,1,6,1,David Efianayi made Jumper.
Gardner-Webb,Campbell,2,2,1,35,0,Chris Clemons missed Three Point Jumper.
Gardner-Webb,Campbell,2,2,1,35,0,Andrew Eudy Offensive Rebound.
Gardner-Webb,Campbell,2,2,1,39,0,Andrew Eudy missed Layup.
Gardner-Webb,Campbell,2,2,1,39,0,Andrew Eudy Offensive Rebound.
Gardner-Webb,Campbell,2,5,2,12,1,Shane Whitfield made Three Point Jumper. Assisted by Chris Clemons.
Gardner-Webb,Campbell,2,5,2,25,0,David Efianayi Turnover.
Gardner-Webb,Campbell,2,5,2,47,0,Kyre' Hamer missed Jumper.
Gardner-Webb,Campbell,2,5,2,47,0,Laquincy Rideau Defensive Rebound.
Gardner-Webb,Campbell,2,5,2,54,0,Foul on Kyre' Hamer.
Gardner-Webb,Campbell,4,5,2,59,1,Laquincy Rideau made Jumper.
Gardner-Webb,Campbell,4,5,3,21,0,Shane Whitfield missed Three Point Jumper.
Gardner-Webb,Campbell,4,5,3,21,0,Tyrell Nelson Defensive Rebound.
Gardner-Webb,Campbell,4,5,3,31,0,Foul on Chris Clemons.
Gardner-Webb,Campbell,5,5,3,31,1,Laquincy Rideau made Free Throw.
Gardner-Webb,Campbell,6,5,3,31,1,Laquincy Rideau made Free Throw.
Gardner-Webb,Campbell,6,8,4,2,1,Chris Clemons made Three Point Jumper. Assisted by Kyre' Hamer.
Gardner-Webb,Campbell,8,8,4,11,1,David Efianayi made Layup.
Gardner-Webb,Campbell,8,8,4,38,0,Marcus Burk missed Three Point Jumper.
Gardner-Webb,Campbell,8,8,4,38,0,L'Hassane Niangane Defensive Rebound.
Gardner-Webb,Campbell,8,8,4,50,0,Tyrell Nelson Turnover.
Gardner-Webb,Campbell,8,8,4,50,0,Foul on Tyrell Nelson.
Gardner-Webb,Campbell,8,8,4,50,0,Official TV Timeout
