Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Alabama A&M;,Georgia State,0,0,0,17,0,Foul on Eugene Jones Jr..
Alabama A&M;,Georgia State,0,0,0,25,0,Foul on Evan Wiley.
Alabama A&M;,Georgia State,0,1,0,25,1,Willie Clayton made Free Throw.
Alabama A&M;,Georgia State,0,1,0,25,0,Willie Clayton missed Free Throw.
Alabama A&M;,Georgia State,0,1,0,25,0,Quinterian McConico Defensive Rebound.
Alabama A&M;,Georgia State,0,1,0,49,0,Evan Wiley missed Three Point Jumper.
Alabama A&M;,Georgia State,0,1,0,49,0,Jeremy Hollowell Defensive Rebound.
Alabama A&M;,Georgia State,0,1,1,14,0,Jeremy Hollowell missed Jumper.
Alabama A&M;,Georgia State,0,1,1,14,0,Willie Clayton Offensive Rebound.
Alabama A&M;,Georgia State,0,3,1,17,1,Willie Clayton made Layup.
Alabama A&M;,Georgia State,0,3,1,45,0,Evan Wiley Turnover.
Alabama A&M;,Georgia State,0,3,1,46,0,Isaiah Williams Steal.
Alabama A&M;,Georgia State,0,5,1,47,1,Isaiah Williams made Layup.
Alabama A&M;,Georgia State,0,5,2,0,0,Tracy Burnett Turnover.
Alabama A&M;,Georgia State,0,5,2,1,0,Willie Clayton Steal.
Alabama A&M;,Georgia State,0,8,2,5,1,Devin Mitchell made Three Point Jumper. Assisted by Isaiah Williams.
Alabama A&M;,Georgia State,0,8,2,6,0,Alabama A&M;  Timeout
Alabama A&M;,Georgia State,0,8,2,24,0,Tracy Burnett Turnover.
Alabama A&M;,Georgia State,0,8,2,36,0,Malik Benlevi missed Dunk.
Alabama A&M;,Georgia State,0,8,2,36,0,Christopher Thomas Defensive Rebound.
Alabama A&M;,Georgia State,0,8,2,42,0,Matthew Cotton missed Three Point Jumper.
Alabama A&M;,Georgia State,0,8,2,42,0,Jeremy Hollowell Defensive Rebound.
Alabama A&M;,Georgia State,0,8,2,49,0,Isaiah Williams missed Layup.
Alabama A&M;,Georgia State,0,8,2,49,0,Quinterian McConico Block.
Alabama A&M;,Georgia State,0,8,2,51,0,Quinterian McConico Defensive Rebound.
Alabama A&M;,Georgia State,0,8,2,56,0,De'Edrick Petty missed Three Point Jumper.
Alabama A&M;,Georgia State,0,8,2,56,0,Jeremy Hollowell Defensive Rebound.
Alabama A&M;,Georgia State,0,11,3,9,1,Jeremy Hollowell made Three Point Jumper. Assisted by Devin Mitchell.
Alabama A&M;,Georgia State,0,11,3,33,0,Quinterian McConico missed Jumper.
Alabama A&M;,Georgia State,0,11,3,33,0,Jeremy Hollowell Defensive Rebound.
Alabama A&M;,Georgia State,0,11,3,45,0,Devin Mitchell missed Three Point Jumper.
Alabama A&M;,Georgia State,0,11,3,45,0,Rakiya Battle Defensive Rebound.
Alabama A&M;,Georgia State,2,11,3,55,1,Christopher Thomas made Layup. Assisted by Rakiya Battle.
Alabama A&M;,Georgia State,2,13,4,16,1,Jeremy Hollowell made Jumper. Assisted by Isaiah Williams.
Alabama A&M;,Georgia State,2,13,4,42,0,Rakiya Battle missed Three Point Jumper.
Alabama A&M;,Georgia State,2,13,4,42,0,Willie Clayton Defensive Rebound.
Alabama A&M;,Georgia State,2,16,4,53,1,Jeremy Hollowell made Three Point Jumper. Assisted by Isaiah Williams.
Alabama A&M;,Georgia State,4,16,5,17,1,Quinterian McConico made Jumper. Assisted by Rakiya Battle.
Alabama A&M;,Georgia State,4,16,5,36,0,Isaiah Williams missed Three Point Jumper.
Alabama A&M;,Georgia State,4,16,5,36,0,Christopher Thomas Defensive Rebound.
Alabama A&M;,Georgia State,4,16,5,44,0,De'Edrick Petty missed Three Point Jumper.
Alabama A&M;,Georgia State,4,16,5,44,0,Malik Benlevi Defensive Rebound.
