Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Florida State,Georgia Tech,0,0,0,13,0,Jonathan Isaac missed Jumper.
Florida State,Georgia Tech,0,0,0,13,0,Josh Okogie Defensive Rebound.
Florida State,Georgia Tech,0,0,0,34,0,Josh Heath missed Jumper.
Florida State,Georgia Tech,0,0,0,34,0,Josh Heath Offensive Rebound.
Florida State,Georgia Tech,0,0,0,38,0,Foul on Xavier Rathan-Mayes.
Florida State,Georgia Tech,0,1,0,38,1,Josh Okogie made Free Throw.
Florida State,Georgia Tech,0,2,0,38,1,Josh Okogie made Free Throw.
Florida State,Georgia Tech,0,2,0,38,0,Josh Okogie missed Free Throw.
Florida State,Georgia Tech,0,2,0,38,0,Terance Mann Defensive Rebound.
Florida State,Georgia Tech,0,2,0,55,0,Michael Ojo missed Jumper.
Florida State,Georgia Tech,0,2,0,55,0,Terance Mann Offensive Rebound.
Florida State,Georgia Tech,0,2,1,2,0,Dwayne Bacon missed Jumper.
Florida State,Georgia Tech,0,2,1,2,0,Ben Lammers Defensive Rebound.
Florida State,Georgia Tech,0,2,1,14,0,Foul on Michael Ojo.
Florida State,Georgia Tech,0,2,1,14,0,Ben Lammers missed Free Throw.
Florida State,Georgia Tech,0,2,1,14,0,Georgia Tech Deadball Team Rebound.
Florida State,Georgia Tech,0,3,1,14,1,Ben Lammers made Free Throw.
Florida State,Georgia Tech,0,3,1,39,0,Terance Mann missed Layup.
Florida State,Georgia Tech,0,3,1,39,0,Quinton Stephens Block.
Florida State,Georgia Tech,0,3,1,40,0,Ben Lammers Defensive Rebound.
Florida State,Georgia Tech,0,5,1,54,1,Ben Lammers made Layup. Assisted by Josh Heath.
Florida State,Georgia Tech,0,5,1,54,0,Foul on Michael Ojo.
Florida State,Georgia Tech,0,6,1,54,1,Ben Lammers made Free Throw.
Florida State,Georgia Tech,2,6,2,6,1,Jonathan Isaac made Jumper.
Florida State,Georgia Tech,2,8,2,21,1,Josh Okogie made Layup. Assisted by Ben Lammers.
Florida State,Georgia Tech,2,8,2,38,0,Jonathan Isaac missed Three Point Jumper.
Florida State,Georgia Tech,2,8,2,38,0,Georgia Tech Deadball Team Rebound.
Florida State,Georgia Tech,2,8,2,40,0,Foul on Jarquez Smith.
Florida State,Georgia Tech,2,10,3,1,1,Ben Lammers made Dunk. Assisted by Josh Okogie.
Florida State,Georgia Tech,2,10,3,21,0,Jarquez Smith Turnover.
Florida State,Georgia Tech,2,10,3,21,0,Josh Heath Steal.
Florida State,Georgia Tech,2,12,3,33,1,Ben Lammers made Layup. Assisted by Josh Okogie.
Florida State,Georgia Tech,2,12,3,50,0,Foul on Ben Lammers.
Florida State,Georgia Tech,2,12,3,57,0,Dwayne Bacon missed Three Point Jumper.
Florida State,Georgia Tech,2,12,3,57,0,Josh Okogie Defensive Rebound.
Florida State,Georgia Tech,2,12,3,59,0,Foul on Terance Mann.
Florida State,Georgia Tech,2,12,4,23,0,Josh Okogie missed Three Point Jumper.
Florida State,Georgia Tech,2,12,4,23,0,Terance Mann Defensive Rebound.
Florida State,Georgia Tech,2,12,4,33,0,Dwayne Bacon missed Jumper.
Florida State,Georgia Tech,2,12,4,33,0,Georgia Tech Deadball Team Rebound.
Florida State,Georgia Tech,2,12,4,34,0,Foul on Terance Mann.
Florida State,Georgia Tech,2,12,4,35,0,Official TV Timeout
Florida State,Georgia Tech,2,12,4,47,0,Ben Lammers missed Jumper.
Florida State,Georgia Tech,2,12,4,47,0,Quinton Stephens Offensive Rebound.
Florida State,Georgia Tech,2,12,4,55,0,Josh Okogie missed Layup.
Florida State,Georgia Tech,2,12,4,55,0,Jarquez Smith Block.
Florida State,Georgia Tech,2,12,4,55,0,Trent Forrest Defensive Rebound.
Florida State,Georgia Tech,4,12,5,7,1,Jarquez Smith made Jumper. Assisted by Dwayne Bacon.
Florida State,Georgia Tech,4,12,5,37,0,Ben Lammers missed Layup.
Florida State,Georgia Tech,4,12,5,37,0,Ben Lammers Offensive Rebound.
Florida State,Georgia Tech,4,12,5,40,0,Ben Lammers missed Two Point Tip Shot.
Florida State,Georgia Tech,4,12,5,40,0,Ben Lammers Offensive Rebound.
Florida State,Georgia Tech,4,12,5,46,0,Quinton Stephens missed Three Point Jumper.
Florida State,Georgia Tech,4,12,5,46,0,Josh Okogie Offensive Rebound.
Florida State,Georgia Tech,4,14,5,48,1,Josh Okogie made Two Point Tip Shot.
Florida State,Georgia Tech,4,14,6,6,0,Foul on Josh Okogie.
Florida State,Georgia Tech,4,14,6,15,0,Braian Angola-Rodas missed Jumper.
Florida State,Georgia Tech,4,14,6,15,0,Ben Lammers Defensive Rebound.
Florida State,Georgia Tech,4,17,6,39,1,Corey Heyward made Three Point Jumper. Assisted by Tadric Jackson.
Florida State,Georgia Tech,4,17,7,2,0,Foul on Corey Heyward.
