Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Appalachian State,Hartford,0,2,0,2,1,Jason Dunne made Layup. Assisted by Jack Hobbs.
Appalachian State,Hartford,0,2,0,25,0,Emarius Logan Turnover.
Appalachian State,Hartford,0,2,0,25,0,Foul on Emarius Logan.
Appalachian State,Hartford,0,2,0,52,0,John Carroll missed Three Point Jumper.
Appalachian State,Hartford,0,2,0,52,0,Tyrell Johnson Defensive Rebound.
Appalachian State,Hartford,0,2,0,55,0,Foul on Jack Hobbs.
Appalachian State,Hartford,0,2,1,12,0,Ronshad Shabazz Turnover.
Appalachian State,Hartford,0,2,1,32,0,Jack Hobbs missed Three Point Jumper.
Appalachian State,Hartford,0,2,1,32,0,Ronshad Shabazz Defensive Rebound.
Appalachian State,Hartford,2,2,1,51,1,Tyrell Johnson made Layup. Assisted by Kelvin Robinson.
Appalachian State,Hartford,2,4,2,12,1,Jalen Ross made Jumper.
Appalachian State,Hartford,2,4,2,38,0,Griffin Kinney missed Jumper.
Appalachian State,Hartford,2,4,2,38,0,John Carroll Defensive Rebound.
Appalachian State,Hartford,2,4,2,59,0,Jalen Ross Turnover.
Appalachian State,Hartford,4,4,3,6,1,Ronshad Shabazz made Jumper. Assisted by Kelvin Robinson.
Appalachian State,Hartford,4,4,3,28,0,Jason Dunne Turnover.
Appalachian State,Hartford,6,4,3,42,1,Kelvin Robinson made Jumper. Assisted by Griffin Kinney.
Appalachian State,Hartford,6,4,4,11,0,Foul on Griffin Kinney.
Appalachian State,Hartford,6,4,4,11,0,Official TV Timeout
Appalachian State,Hartford,6,6,4,25,1,John Carroll made Jumper.
Appalachian State,Hartford,9,6,4,56,1,Ronshad Shabazz made Three Point Jumper. Assisted by Jake Babic.
Appalachian State,Hartford,9,8,5,16,1,J.R. Lynch made Jumper.
Appalachian State,Hartford,9,8,5,47,0,Jake Wilson missed Layup.
Appalachian State,Hartford,9,8,5,47,0,Hartford Defensive Rebound.
Appalachian State,Hartford,9,8,6,7,0,John Carroll Turnover.
Appalachian State,Hartford,9,8,6,19,0,Tyrell Johnson missed Jumper.
Appalachian State,Hartford,9,8,6,19,0,Jason Dunne Defensive Rebound.
Appalachian State,Hartford,9,8,6,25,0,Foul on Tyrell Johnson.
Appalachian State,Hartford,9,10,6,46,1,Andrew Ramirez made Jumper.
Appalachian State,Hartford,9,10,7,0,0,Ronshad Shabazz missed Layup.
Appalachian State,Hartford,9,10,7,0,0,John Carroll Defensive Rebound.
Appalachian State,Hartford,9,10,7,5,0,John Carroll Turnover.
Appalachian State,Hartford,9,10,7,6,0,Patrick Good Steal.
Appalachian State,Hartford,12,10,7,8,1,Patrick Good made Three Point Jumper.
Appalachian State,Hartford,12,10,7,24,0,Jalen Ross missed Three Point Jumper.
Appalachian State,Hartford,12,10,7,24,0,Isaac Johnson Defensive Rebound.
Appalachian State,Hartford,12,10,7,32,0,Jake Babic missed Three Point Jumper.
Appalachian State,Hartford,12,10,7,32,0,George Blagojevic Defensive Rebound.
Appalachian State,Hartford,12,10,7,45,0,Foul on Ronshad Shabazz.
Appalachian State,Hartford,12,11,7,45,1,John Carroll made Free Throw.
Appalachian State,Hartford,12,12,7,45,1,John Carroll made Free Throw.
Appalachian State,Hartford,12,12,7,57,0,Foul on Nikola Colovic.
Appalachian State,Hartford,13,12,7,57,1,Isaac Johnson made Free Throw.
Appalachian State,Hartford,14,12,7,57,1,Isaac Johnson made Free Throw.
Appalachian State,Hartford,14,12,8,22,0,Nikola Colovic missed Layup.
Appalachian State,Hartford,14,12,8,22,0,Isaac Johnson Block.
Appalachian State,Hartford,14,12,8,24,0,Kelvin Robinson Defensive Rebound.
Appalachian State,Hartford,16,12,8,33,1,Isaac Johnson made Layup. Assisted by Griffin Kinney.
Appalachian State,Hartford,16,12,8,50,0,Jalen Ross Turnover.
Appalachian State,Hartford,16,12,8,50,0,Foul on Jalen Ross.
Appalachian State,Hartford,16,12,8,50,0,Official TV Timeout
Appalachian State,Hartford,16,12,9,12,0,Kelvin Robinson missed Three Point Jumper.
Appalachian State,Hartford,16,12,9,12,0,Jason Dunne Defensive Rebound.
Appalachian State,Hartford,16,12,9,23,0,George Blagojevic missed Three Point Jumper.
Appalachian State,Hartford,16,12,9,23,0,Griffin Kinney Defensive Rebound.
Appalachian State,Hartford,16,12,9,42,0,Kelvin Robinson missed Layup.
Appalachian State,Hartford,16,12,9,42,0,Griffin Kinney Offensive Rebound.
Appalachian State,Hartford,16,12,9,48,0,Griffin Kinney missed Layup.
Appalachian State,Hartford,16,12,9,48,0,Kelvin Robinson Offensive Rebound.
Appalachian State,Hartford,16,12,9,48,0,Foul on Griffin Kinney.
