Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Princeton,Harvard,0,0,0,22,0,Devin Cannady missed Three Point Jumper.
Princeton,Harvard,0,0,0,22,0,Harvard Defensive Rebound.
Princeton,Harvard,0,0,0,43,0,Seth Towns missed Jumper.
Princeton,Harvard,0,0,0,43,0,Princeton Defensive Rebound.
Princeton,Harvard,0,0,1,7,0,Steven Cook Turnover.
Princeton,Harvard,0,0,1,8,0,Siyani Chambers Steal.
Princeton,Harvard,0,2,1,11,1,Siyani Chambers made Layup.
Princeton,Harvard,0,2,1,36,0,Spencer Weisz missed Jumper.
Princeton,Harvard,0,2,1,36,0,Chris Lewis Defensive Rebound.
Princeton,Harvard,0,2,1,38,0,Foul on Pete Miller.
Princeton,Harvard,0,2,1,58,0,Corey Johnson missed Three Point Jumper.
Princeton,Harvard,0,2,1,58,0,Chris Lewis Offensive Rebound.
Princeton,Harvard,0,2,2,2,0,Foul on Devin Cannady.
Princeton,Harvard,0,2,2,23,0,Seth Towns missed Jumper.
Princeton,Harvard,0,2,2,23,0,Devin Cannady Defensive Rebound.
Princeton,Harvard,0,2,2,52,0,Spencer Weisz missed Three Point Jumper.
Princeton,Harvard,0,2,2,52,0,Siyani Chambers Defensive Rebound.
Princeton,Harvard,0,2,3,4,0,Chris Lewis missed Layup.
Princeton,Harvard,0,2,3,4,0,Alec Brennan Block.
Princeton,Harvard,0,2,3,6,0,Steven Cook Defensive Rebound.
Princeton,Harvard,2,2,3,33,1,Steven Cook made Layup.
Princeton,Harvard,2,2,4,2,0,Foul on Myles Stephens.
Princeton,Harvard,2,2,4,2,0,Official TV Timeout
Princeton,Harvard,2,5,4,25,1,Bryce Aiken made Three Point Jumper.
Princeton,Harvard,4,5,4,44,1,Myles Stephens made Layup.
Princeton,Harvard,4,5,5,8,0,Weisner Perez missed Layup.
Princeton,Harvard,4,5,5,8,0,Myles Stephens Block.
Princeton,Harvard,4,5,5,10,0,Weisner Perez Offensive Rebound.
Princeton,Harvard,4,7,5,14,1,Weisner Perez made Layup.
Princeton,Harvard,4,7,5,27,0,Will Gladson missed Three Point Jumper.
Princeton,Harvard,4,7,5,27,0,Justin Bassey Defensive Rebound.
Princeton,Harvard,4,7,5,41,0,Corey Johnson missed Three Point Jumper.
Princeton,Harvard,4,7,5,41,0,Zena Edosomwan Offensive Rebound.
Princeton,Harvard,4,10,5,49,1,Justin Bassey made Three Point Jumper. Assisted by Bryce Aiken.
Princeton,Harvard,4,10,6,14,0,Amir Bell Turnover.
Princeton,Harvard,4,10,6,21,0,Justin Bassey Turnover.
Princeton,Harvard,4,10,6,23,0,Steven Cook Steal.
Princeton,Harvard,7,10,6,26,1,Spencer Weisz made Three Point Jumper. Assisted by Steven Cook.
Princeton,Harvard,7,12,7,4,1,Bryce Aiken made Jumper.
Princeton,Harvard,7,12,7,36,0,Steven Cook missed Three Point Jumper.
Princeton,Harvard,7,12,7,36,0,Zena Edosomwan Defensive Rebound.
Princeton,Harvard,7,12,8,1,0,Zena Edosomwan missed Layup.
Princeton,Harvard,7,12,8,1,0,Weisner Perez Offensive Rebound.
Princeton,Harvard,7,12,8,3,0,Weisner Perez missed Layup.
Princeton,Harvard,7,12,8,3,0,Steven Cook Defensive Rebound.
Princeton,Harvard,7,12,8,12,0,Foul on Zena Edosomwan.
Princeton,Harvard,7,12,8,12,0,Official TV Timeout
Princeton,Harvard,8,12,8,12,1,Amir Bell made Free Throw.
Princeton,Harvard,8,12,8,12,0,Amir Bell missed Free Throw.
Princeton,Harvard,8,12,8,12,0,Corbin Miller Defensive Rebound.
Princeton,Harvard,8,12,8,28,0,Chris Lewis Turnover.
Princeton,Harvard,11,12,8,41,1,Steven Cook made Three Point Jumper.
Princeton,Harvard,11,14,8,57,1,Chris Lewis made Two Point Tip Shot. Assisted by Siyani Chambers.
Princeton,Harvard,11,14,9,9,0,Myles Stephens missed Layup.
Princeton,Harvard,11,14,9,9,0,Corey Johnson Defensive Rebound.
Princeton,Harvard,11,14,9,17,0,Chris Lewis Turnover.
Princeton,Harvard,11,14,9,18,0,Myles Stephens Steal.
Princeton,Harvard,11,14,9,30,0,Devin Cannady missed Three Point Jumper.
Princeton,Harvard,11,14,9,30,0,Siyani Chambers Defensive Rebound.
Princeton,Harvard,11,14,9,53,0,Seth Towns Turnover.
Princeton,Harvard,11,14,9,54,0,Myles Stephens Steal.
Princeton,Harvard,14,14,9,58,1,Spencer Weisz made Three Point Jumper. Assisted by Myles Stephens.
Princeton,Harvard,14,14,10,2,0,Harvard  Timeout
Princeton,Harvard,14,14,10,25,0,Chris Lewis Turnover.
Princeton,Harvard,14,14,10,26,0,Aaron Young Steal.
Princeton,Harvard,14,14,10,33,0,Steven Cook missed Three Point Jumper.
Princeton,Harvard,14,14,10,33,0,Justin Bassey Defensive Rebound.
Princeton,Harvard,14,14,10,46,0,Bryce Aiken missed Three Point Jumper.
Princeton,Harvard,14,14,10,46,0,Aaron Young Defensive Rebound.
Princeton,Harvard,14,14,11,5,0,Steven Cook missed Layup.
Princeton,Harvard,14,14,11,5,0,Bryce Aiken Defensive Rebound.
Princeton,Harvard,14,17,11,14,1,Siyani Chambers made Three Point Jumper.
Princeton,Harvard,14,17,11,33,0,Will Gladson missed Three Point Jumper.
Princeton,Harvard,14,17,11,33,0,Justin Bassey Defensive Rebound.
Princeton,Harvard,14,17,11,40,0,Siyani Chambers missed Three Point Jumper.
Princeton,Harvard,14,17,11,40,0,Chris Lewis Offensive Rebound.
Princeton,Harvard,14,17,11,46,0,Chris Lewis Turnover.
Princeton,Harvard,14,17,11,47,0,Steven Cook Steal.
Princeton,Harvard,14,17,12,9,0,Devin Cannady missed Jumper.
Princeton,Harvard,14,17,12,9,0,Bryce Aiken Defensive Rebound.
Princeton,Harvard,14,17,12,19,0,Bryce Aiken missed Layup.
Princeton,Harvard,14,17,12,19,0,Steven Cook Block.
Princeton,Harvard,14,17,12,20,0,Devin Cannady Defensive Rebound.
Princeton,Harvard,17,17,12,24,1,Spencer Weisz made Three Point Jumper. Assisted by Devin Cannady.
Princeton,Harvard,17,17,12,57,0,Siyani Chambers Turnover.
Princeton,Harvard,17,17,12,59,0,Steven Cook Steal.
Princeton,Harvard,17,17,13,2,0,Spencer Weisz Turnover.
Princeton,Harvard,17,17,13,2,0,Foul on Spencer Weisz.
Princeton,Harvard,17,17,13,2,0,Official TV Timeout
Princeton,Harvard,17,17,13,34,0,Harvard  Turnover.
Princeton,Harvard,19,17,13,54,1,Steven Cook made Layup.
Princeton,Harvard,19,17,14,11,0,Bryce Aiken Turnover.
Princeton,Harvard,19,17,14,37,0,Myles Stephens missed Three Point Jumper.
Princeton,Harvard,19,17,14,37,0,Princeton Offensive Rebound.
Princeton,Harvard,19,17,14,40,0,Foul on Bryce Aiken.
