Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Holy Cross,Syracuse,3,0,0,27,1,Robert Champion made Three Point Jumper. Assisted by Anthony Thompson.
Holy Cross,Syracuse,3,3,0,49,1,Andrew White III made Three Point Jumper. Assisted by Frank Howard.
Holy Cross,Syracuse,3,3,1,24,0,Malachi Alexander missed Jumper.
Holy Cross,Syracuse,3,3,1,24,0,Malachi Alexander Offensive Rebound.
Holy Cross,Syracuse,3,3,1,28,0,Anthony Thompson missed Three Point Jumper.
Holy Cross,Syracuse,3,3,1,28,0,Anthony Thompson Offensive Rebound.
Holy Cross,Syracuse,3,3,1,33,0,Anthony Thompson missed Layup.
Holy Cross,Syracuse,3,3,1,33,0,DaJuan Coleman Defensive Rebound.
Holy Cross,Syracuse,3,3,1,40,0,Frank Howard missed Layup.
Holy Cross,Syracuse,3,3,1,40,0,Malachi Alexander Defensive Rebound.
Holy Cross,Syracuse,3,3,2,1,0,Andrew White III Steal.
Holy Cross,Syracuse,3,3,2,3,0,Malachi Alexander Turnover.
Holy Cross,Syracuse,3,5,2,13,1,Tyler Roberson made Jumper. Assisted by Frank Howard.
Holy Cross,Syracuse,5,5,2,42,1,Robert Champion made Layup. Assisted by Jehyve Floyd.
Holy Cross,Syracuse,5,5,2,54,0,Andrew White III missed Three Point Jumper.
Holy Cross,Syracuse,5,5,2,54,0,DaJuan Coleman Offensive Rebound.
Holy Cross,Syracuse,5,5,2,55,0,Foul on DaJuan Coleman.
Holy Cross,Syracuse,5,5,2,55,0,DaJuan Coleman Turnover.
Holy Cross,Syracuse,5,5,3,18,0,Robert Champion missed Layup.
Holy Cross,Syracuse,5,5,3,18,0,Paschal Chukwu Block.
Holy Cross,Syracuse,5,5,3,20,0,Paschal Chukwu Defensive Rebound.
Holy Cross,Syracuse,5,5,3,20,0,Foul on Robert Champion.
Holy Cross,Syracuse,5,7,3,34,1,John Gillon made Jumper. Assisted by Andrew White III.
Holy Cross,Syracuse,5,7,3,51,0,Jehyve Floyd Turnover.
Holy Cross,Syracuse,5,7,3,53,0,John Gillon Steal.
Holy Cross,Syracuse,5,7,3,59,0,John Gillon missed Three Point Jumper.
Holy Cross,Syracuse,5,7,3,59,0,Tyler Roberson Offensive Rebound.
Holy Cross,Syracuse,5,7,4,2,0,Tyler Roberson missed Jumper.
Holy Cross,Syracuse,5,7,4,2,0,Tyler Lydon Offensive Rebound.
Holy Cross,Syracuse,5,9,4,5,1,Tyler Lydon made Layup.
Holy Cross,Syracuse,5,9,4,24,0,Official TV Timeout
Holy Cross,Syracuse,5,11,4,46,1,Tyler Roberson made Jumper. Assisted by John Gillon.
Holy Cross,Syracuse,5,11,5,17,0,Malachi Alexander missed Jumper.
Holy Cross,Syracuse,5,11,5,17,0,Paschal Chukwu Block.
Holy Cross,Syracuse,5,11,5,18,0,Andrew White III Defensive Rebound.
Holy Cross,Syracuse,5,11,5,19,0,Foul on Malachi Alexander.
Holy Cross,Syracuse,5,13,5,33,1,Tyler Lydon made Jumper. Assisted by John Gillon.
Holy Cross,Syracuse,8,13,6,4,1,Anthony Thompson made Three Point Jumper. Assisted by Robert Champion.
Holy Cross,Syracuse,8,16,6,17,1,Andrew White III made Three Point Jumper. Assisted by Paschal Chukwu.
Holy Cross,Syracuse,8,16,6,43,0,Foul on Tyler Lydon.
Holy Cross,Syracuse,9,16,6,43,1,Jehyve Floyd made Free Throw.
Holy Cross,Syracuse,9,16,6,43,0,Jehyve Floyd missed Free Throw.
