Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Quinnipiac,Holy Cross,0,3,0,20,1,Malachi Alexander made Three Point Jumper. Assisted by Karl Charles.
Quinnipiac,Holy Cross,3,3,0,51,1,Reggie Oliver made Three Point Jumper. Assisted by Phil Winston.
Quinnipiac,Holy Cross,3,3,1,10,0,Robert Champion missed Three Point Jumper.
Quinnipiac,Holy Cross,3,3,1,10,0,Chaise Daniels Defensive Rebound.
Quinnipiac,Holy Cross,3,3,1,23,0,Chaise Daniels Turnover.
Quinnipiac,Holy Cross,3,3,1,24,0,Patrick Benzan Steal.
Quinnipiac,Holy Cross,3,5,1,40,1,Karl Charles made Layup. Assisted by Robert Champion.
Quinnipiac,Holy Cross,3,5,1,40,0,Foul on Phil Winston.
Quinnipiac,Holy Cross,3,6,1,40,1,Karl Charles made Free Throw.
Quinnipiac,Holy Cross,3,6,1,52,0,Reggie Oliver missed Three Point Jumper.
Quinnipiac,Holy Cross,3,6,1,52,0,Robert Champion Defensive Rebound.
Quinnipiac,Holy Cross,3,6,2,15,0,Matt Husek missed Jumper.
Quinnipiac,Holy Cross,3,6,2,15,0,Daniel Harris Defensive Rebound.
Quinnipiac,Holy Cross,3,6,2,22,0,Phil Winston Turnover.
Quinnipiac,Holy Cross,3,6,2,24,0,Robert Champion Steal.
Quinnipiac,Holy Cross,3,6,2,43,0,Foul on Daniel Harris.
Quinnipiac,Holy Cross,3,6,2,43,0,Matt Husek missed Free Throw.
Quinnipiac,Holy Cross,3,6,2,43,0,Holy Cross Deadball Team Rebound.
Quinnipiac,Holy Cross,3,6,2,43,0,Matt Husek missed Free Throw.
Quinnipiac,Holy Cross,3,6,2,43,0,Abdulai Bundu Defensive Rebound.
Quinnipiac,Holy Cross,5,6,2,59,1,Daniel Harris made Jumper. Assisted by Reggie Oliver.
Quinnipiac,Holy Cross,5,6,3,18,0,Foul on Abdulai Bundu.
Quinnipiac,Holy Cross,5,9,3,26,1,Robert Champion made Three Point Jumper. Assisted by Karl Charles.
Quinnipiac,Holy Cross,5,9,3,43,0,Chaise Daniels Turnover.
Quinnipiac,Holy Cross,5,9,3,45,0,Robert Champion Steal.
Quinnipiac,Holy Cross,5,11,3,48,1,Robert Champion made Dunk.
Quinnipiac,Holy Cross,5,11,3,49,0,Quinnipiac  Timeout
Quinnipiac,Holy Cross,5,11,4,8,0,Foul on Matt Husek.
Quinnipiac,Holy Cross,6,11,4,8,1,Chaise Daniels made Free Throw.
Quinnipiac,Holy Cross,7,11,4,8,1,Chaise Daniels made Free Throw.
