Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Northwestern,Illinois,0,0,0,0,0,Jump Ball won by Northwestern
Northwestern,Illinois,0,0,0,28,0,Bryant McIntosh missed Three Point Jumper.
Northwestern,Illinois,0,0,0,28,0,Illinois Deadball Team Rebound.
Northwestern,Illinois,0,0,0,28,0,Northwestern  Turnover.
Northwestern,Illinois,0,2,0,56,1,Leron Black made Jumper.
Northwestern,Illinois,0,2,1,13,0,Foul on Malcolm Hill.
Northwestern,Illinois,0,2,1,22,0,Foul on Vic Law.
Northwestern,Illinois,0,2,1,22,0,Vic Law Turnover.
Northwestern,Illinois,0,2,1,41,0,Tracy Abrams missed Three Point Jumper.
Northwestern,Illinois,0,2,1,41,0,Bryant McIntosh Defensive Rebound.
Northwestern,Illinois,0,2,1,41,0,Foul on Te'Jon Lucas.
Northwestern,Illinois,2,2,1,47,1,Bryant McIntosh made Jumper.
Northwestern,Illinois,2,2,1,47,0,Foul on Te'Jon Lucas.
Northwestern,Illinois,3,2,1,47,1,Bryant McIntosh made Free Throw.
Northwestern,Illinois,3,2,1,52,0,Foul on Vic Law.
Northwestern,Illinois,3,2,1,52,0,Malcolm Hill missed Free Throw.
Northwestern,Illinois,3,2,1,52,0,Illinois Deadball Team Rebound.
Northwestern,Illinois,3,3,1,52,1,Malcolm Hill made Free Throw.
Northwestern,Illinois,3,3,2,9,0,Scottie Lindsey missed Jumper.
Northwestern,Illinois,3,3,2,9,0,Leron Black Defensive Rebound.
Northwestern,Illinois,3,6,2,19,1,Leron Black made Three Point Jumper. Assisted by Malcolm Hill.
Northwestern,Illinois,3,6,2,37,0,Bryant McIntosh missed Jumper.
Northwestern,Illinois,3,6,2,37,0,Dererk Pardon Offensive Rebound.
Northwestern,Illinois,5,6,2,47,1,Dererk Pardon made Layup.
Northwestern,Illinois,5,6,2,58,0,Leron Black missed Jumper.
Northwestern,Illinois,5,6,2,58,0,Bryant McIntosh Defensive Rebound.
Northwestern,Illinois,5,6,3,4,0,Nathan Taphorn missed Three Point Jumper.
Northwestern,Illinois,5,6,3,4,0,Tracy Abrams Defensive Rebound.
Northwestern,Illinois,5,6,3,15,0,Tracy Abrams missed Jumper.
Northwestern,Illinois,5,6,3,15,0,Leron Black Offensive Rebound.
Northwestern,Illinois,5,8,3,15,1,Leron Black made Two Point Tip Shot.
Northwestern,Illinois,5,8,3,35,0,Scottie Lindsey missed Three Point Jumper.
Northwestern,Illinois,5,8,3,35,0,Dererk Pardon Offensive Rebound.
Northwestern,Illinois,5,8,3,41,0,Bryant McIntosh missed Three Point Jumper.
Northwestern,Illinois,5,8,3,41,0,Malcolm Hill Defensive Rebound.
Northwestern,Illinois,5,8,4,2,0,Malcolm Hill missed Jumper.
Northwestern,Illinois,5,8,4,2,0,Dererk Pardon Defensive Rebound.
Northwestern,Illinois,5,8,4,13,0,Dererk Pardon Turnover.
Northwestern,Illinois,5,8,4,13,0,Official TV Timeout
Northwestern,Illinois,5,11,4,39,1,Te'Jon Lucas made Three Point Jumper.
Northwestern,Illinois,5,11,5,4,0,Isiah Brown missed Jumper.
Northwestern,Illinois,5,11,5,4,0,Aaron Jordan Defensive Rebound.
Northwestern,Illinois,5,11,5,18,0,Maverick Morgan missed Jumper.
Northwestern,Illinois,5,11,5,18,0,Northwestern Deadball Team Rebound.
Northwestern,Illinois,5,11,5,20,0,Foul on Michael Finke.
Northwestern,Illinois,5,11,5,36,0,Isiah Brown missed Jumper.
Northwestern,Illinois,5,11,5,36,0,Kipper Nichols Block.
Northwestern,Illinois,5,11,5,36,0,Northwestern Offensive Rebound.
Northwestern,Illinois,5,11,5,44,0,Nathan Taphorn Turnover.
Northwestern,Illinois,5,11,5,44,0,Kipper Nichols Steal.
Northwestern,Illinois,5,11,5,47,0,Northwestern  Timeout
Northwestern,Illinois,5,13,5,50,1,Kipper Nichols made Layup.
Northwestern,Illinois,8,13,6,5,1,Gavin Skelly made Three Point Jumper. Assisted by Bryant McIntosh.
Northwestern,Illinois,8,13,6,30,0,Michael Finke Turnover.
Northwestern,Illinois,8,13,6,40,0,Bryant McIntosh Turnover.
Northwestern,Illinois,8,13,6,40,0,Tracy Abrams Steal.
Northwestern,Illinois,8,13,7,6,0,Michael Finke Turnover.
Northwestern,Illinois,8,13,7,6,0,Foul on Michael Finke.
Northwestern,Illinois,10,13,7,15,1,Scottie Lindsey made Jumper.
Northwestern,Illinois,10,13,7,36,0,Leron Black missed Three Point Jumper.
Northwestern,Illinois,10,13,7,36,0,Gavin Skelly Defensive Rebound.
Northwestern,Illinois,10,13,7,59,0,Vic Law missed Jumper.
Northwestern,Illinois,10,13,7,59,0,Kipper Nichols Defensive Rebound.
Northwestern,Illinois,10,13,8,20,0,Foul on Gavin Skelly.
Northwestern,Illinois,10,13,8,20,0,Official TV Timeout
Northwestern,Illinois,10,13,8,24,0,Malcolm Hill missed Three Point Jumper.
Northwestern,Illinois,10,13,8,24,0,Scottie Lindsey Defensive Rebound.
Northwestern,Illinois,10,13,8,38,0,Gavin Skelly missed Layup.
Northwestern,Illinois,10,13,8,38,0,Maverick Morgan Defensive Rebound.
Northwestern,Illinois,10,13,9,7,0,Leron Black Turnover.
Northwestern,Illinois,12,13,9,20,1,Bryant McIntosh made Layup. Assisted by Dererk Pardon.
Northwestern,Illinois,12,13,9,29,0,Foul on Bryant McIntosh.
Northwestern,Illinois,12,14,9,29,1,Te'Jon Lucas made Free Throw.
Northwestern,Illinois,12,15,9,29,1,Te'Jon Lucas made Free Throw.
Northwestern,Illinois,12,15,9,46,0,Foul on Aaron Jordan.
Northwestern,Illinois,12,15,10,6,0,Scottie Lindsey missed Three Point Jumper.
Northwestern,Illinois,12,15,10,6,0,Maverick Morgan Defensive Rebound.
Northwestern,Illinois,12,15,10,24,0,Maverick Morgan missed Jumper.
Northwestern,Illinois,12,15,10,24,0,Bryant McIntosh Defensive Rebound.
Northwestern,Illinois,14,15,10,32,1,Bryant McIntosh made Jumper.
Northwestern,Illinois,14,15,10,55,0,Jump Ball won by Illinois
Northwestern,Illinois,14,15,11,10,0,Michael Finke missed Layup.
Northwestern,Illinois,14,15,11,10,0,Tracy Abrams Offensive Rebound.
Northwestern,Illinois,14,15,11,19,0,Leron Black missed Jumper.
Northwestern,Illinois,14,15,11,19,0,Dererk Pardon Defensive Rebound.
Northwestern,Illinois,14,15,11,30,0,Isiah Brown missed Three Point Jumper.
Northwestern,Illinois,14,15,11,30,0,Michael Finke Defensive Rebound.
Northwestern,Illinois,14,15,11,33,0,Foul on Vic Law.
Northwestern,Illinois,14,17,11,39,1,Malcolm Hill made Layup.
Northwestern,Illinois,14,17,11,53,0,Scottie Lindsey missed Three Point Jumper.
Northwestern,Illinois,14,17,11,53,0,Dererk Pardon Offensive Rebound.
Northwestern,Illinois,16,17,11,59,1,Dererk Pardon made Dunk.
Northwestern,Illinois,16,20,12,15,1,Tracy Abrams made Three Point Jumper. Assisted by Malcolm Hill.
Northwestern,Illinois,18,20,12,40,1,Isiah Brown made Jumper.
Northwestern,Illinois,18,20,12,57,0,Leron Black missed Three Point Jumper.
Northwestern,Illinois,18,20,12,57,0,Michael Finke Offensive Rebound.
Northwestern,Illinois,18,20,13,1,0,Foul on Isiah Brown.
Northwestern,Illinois,18,20,13,1,0,Official TV Timeout
Northwestern,Illinois,18,20,13,24,0,Kipper Nichols Turnover.
Northwestern,Illinois,18,20,13,45,0,Dererk Pardon Turnover.
Northwestern,Illinois,18,20,13,45,0,Te'Jon Lucas Steal.
Northwestern,Illinois,18,20,13,49,0,Michael Finke missed Three Point Jumper.
Northwestern,Illinois,18,20,13,49,0,Illinois Deadball Team Rebound.
Northwestern,Illinois,18,20,13,49,0,Foul on Bryant McIntosh.
Northwestern,Illinois,18,21,13,49,1,Kipper Nichols made Free Throw.
Northwestern,Illinois,18,22,13,49,1,Kipper Nichols made Free Throw.
Northwestern,Illinois,20,22,14,3,1,Bryant McIntosh made Layup.
Northwestern,Illinois,20,22,14,3,0,Foul on Kipper Nichols.
Northwestern,Illinois,21,22,14,3,1,Bryant McIntosh made Free Throw.
Northwestern,Illinois,21,22,14,20,0,Jump Ball won by Northwestern
Northwestern,Illinois,21,22,14,20,0,Malcolm Hill Turnover.
Northwestern,Illinois,21,22,14,20,0,Barret Benson Steal.
Northwestern,Illinois,21,22,14,31,0,Gavin Skelly Turnover.
Northwestern,Illinois,21,24,14,47,1,Maverick Morgan made Dunk. Assisted by Te'Jon Lucas.
Northwestern,Illinois,21,24,15,15,0,Scottie Lindsey missed Jumper.
Northwestern,Illinois,21,24,15,15,0,Tracy Abrams Defensive Rebound.
Northwestern,Illinois,21,24,15,24,0,Tracy Abrams missed Three Point Jumper.
Northwestern,Illinois,21,24,15,24,0,Maverick Morgan Offensive Rebound.
Northwestern,Illinois,21,24,15,33,0,Maverick Morgan missed Jumper.
Northwestern,Illinois,21,24,15,33,0,Barret Benson Defensive Rebound.
Northwestern,Illinois,23,24,15,38,1,Bryant McIntosh made Layup.
Northwestern,Illinois,23,24,15,59,0,Malcolm Hill missed Jumper.
Northwestern,Illinois,23,24,15,59,0,Bryant McIntosh Defensive Rebound.
Northwestern,Illinois,23,24,16,15,0,Bryant McIntosh Turnover.
Northwestern,Illinois,23,24,16,15,0,Official TV Timeout
Northwestern,Illinois,23,26,16,40,1,Leron Black made Jumper. Assisted by Te'Jon Lucas.
Northwestern,Illinois,23,26,17,3,0,Foul on Leron Black.
Northwestern,Illinois,23,26,17,3,0,Gavin Skelly missed Free Throw.
Northwestern,Illinois,23,26,17,3,0,Aaron Jordan Defensive Rebound.
Northwestern,Illinois,23,26,17,23,0,Leron Black missed Jumper.
Northwestern,Illinois,23,26,17,23,0,Sanjay Lumpkin Defensive Rebound.
Northwestern,Illinois,25,26,17,33,1,Isiah Brown made Layup.
Northwestern,Illinois,25,26,17,42,0,Foul on Dererk Pardon.
Northwestern,Illinois,25,26,17,42,0,Aaron Jordan missed Free Throw.
Northwestern,Illinois,25,26,17,42,0,Illinois Deadball Team Rebound.
Northwestern,Illinois,25,26,17,42,0,Aaron Jordan missed Free Throw.
Northwestern,Illinois,25,26,17,42,0,Dererk Pardon Defensive Rebound.
Northwestern,Illinois,25,26,17,53,0,Foul on Aaron Jordan.
Northwestern,Illinois,26,26,17,53,1,Gavin Skelly made Free Throw.
Northwestern,Illinois,26,26,17,53,0,Gavin Skelly missed Free Throw.
Northwestern,Illinois,26,26,18,0,0,Michael Finke Defensive Rebound.
Northwestern,Illinois,26,28,18,9,1,Malcolm Hill made Jumper.
Northwestern,Illinois,26,28,18,28,0,Scottie Lindsey missed Jumper.
Northwestern,Illinois,26,28,18,28,0,Northwestern Offensive Rebound.
Northwestern,Illinois,26,28,18,46,0,Isiah Brown missed Jumper.
Northwestern,Illinois,26,28,18,46,0,Kipper Nichols Block.
Northwestern,Illinois,26,28,18,46,0,Malcolm Hill Defensive Rebound.
Northwestern,Illinois,26,30,18,50,1,Kipper Nichols made Layup. Assisted by Malcolm Hill.
Northwestern,Illinois,29,30,18,56,1,Gavin Skelly made Three Point Jumper. Assisted by Bryant McIntosh.
Northwestern,Illinois,29,33,19,15,1,Michael Finke made Three Point Jumper. Assisted by Tracy Abrams.
Northwestern,Illinois,32,33,19,45,1,Isiah Brown made Three Point Jumper. Assisted by Gavin Skelly.
Northwestern,Illinois,32,33,19,53,0,Illinois  Timeout
Northwestern,Illinois,32,33,20,0,0,End of 1st half
Northwestern,Illinois,32,33,20,0,0,Jump Ball won by Illinois
Northwestern,Illinois,32,35,20,8,1,Leron Black made Jumper. Assisted by Te'Jon Lucas.
Northwestern,Illinois,32,35,20,27,0,Bryant McIntosh missed Three Point Jumper.
Northwestern,Illinois,32,35,20,27,0,Leron Black Defensive Rebound.
Northwestern,Illinois,32,35,20,59,0,Te'Jon Lucas missed Jumper.
Northwestern,Illinois,32,35,20,59,0,Illinois Deadball Team Rebound.
Northwestern,Illinois,32,35,21,3,0,Illinois  Turnover.
Northwestern,Illinois,32,35,21,10,0,Scottie Lindsey missed Jumper.
Northwestern,Illinois,32,35,21,10,0,Maverick Morgan Defensive Rebound.
Northwestern,Illinois,32,35,21,51,0,Malcolm Hill missed Three Point Jumper.
Northwestern,Illinois,32,35,21,51,0,Vic Law Defensive Rebound.
Northwestern,Illinois,32,35,22,2,0,Bryant McIntosh Turnover.
Northwestern,Illinois,32,35,22,2,0,Maverick Morgan Steal.
Northwestern,Illinois,32,35,22,9,0,Foul on Bryant McIntosh.
Northwestern,Illinois,32,35,22,19,0,Leron Black missed Jumper.
Northwestern,Illinois,32,35,22,19,0,Dererk Pardon Defensive Rebound.
Northwestern,Illinois,32,35,22,29,0,Isiah Brown Turnover.
Northwestern,Illinois,32,35,22,29,0,Maverick Morgan Steal.
Northwestern,Illinois,32,35,22,46,0,Malcolm Hill missed Three Point Jumper.
Northwestern,Illinois,32,35,22,46,0,Bryant McIntosh Defensive Rebound.
Northwestern,Illinois,32,35,22,57,0,Foul on Leron Black.
Northwestern,Illinois,32,35,23,4,0,Bryant McIntosh missed Jumper.
