Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Valparaiso,Illinois,2,0,0,14,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,2,0,0,39,0,Maverick Morgan missed Jumper.
Valparaiso,Illinois,2,0,0,39,0,Tevonn Walker Defensive Rebound.
Valparaiso,Illinois,2,0,0,49,0,Shane Hammink missed Three Point Jumper.
Valparaiso,Illinois,2,0,0,49,0,Maverick Morgan Defensive Rebound.
Valparaiso,Illinois,2,0,0,56,0,Tracy Abrams missed Jumper.
Valparaiso,Illinois,2,0,0,56,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,2,2,1,1,1,Leron Black made Layup.
Valparaiso,Illinois,2,2,1,16,0,Tevonn Walker missed Jumper.
Valparaiso,Illinois,2,2,1,16,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,2,5,1,48,1,Malcolm Hill made Three Point Jumper. Assisted by Tracy Abrams.
Valparaiso,Illinois,2,5,2,24,0,Lexus Williams missed Three Point Jumper.
Valparaiso,Illinois,2,5,2,24,0,Malcolm Hill Defensive Rebound.
Valparaiso,Illinois,2,8,2,29,1,Malcolm Hill made Three Point Jumper.
Valparaiso,Illinois,4,8,2,43,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,4,8,3,6,0,Foul on Max Joseph.
Valparaiso,Illinois,4,10,3,8,1,Malcolm Hill made Jumper.
Valparaiso,Illinois,4,10,3,27,0,Shane Hammink Turnover.
Valparaiso,Illinois,4,10,3,28,0,Tracy Abrams Steal.
Valparaiso,Illinois,4,12,3,30,1,Tracy Abrams made Layup.
Valparaiso,Illinois,4,12,3,55,0,Foul on Tracy Abrams.
Valparaiso,Illinois,6,12,3,58,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,6,12,4,17,0,Te'Jon Lucas Turnover.
Valparaiso,Illinois,6,12,4,20,0,Tevonn Walker Steal.
Valparaiso,Illinois,6,12,4,21,0,Lexus Williams Turnover.
Valparaiso,Illinois,6,12,4,27,0,Tracy Abrams missed Jumper.
Valparaiso,Illinois,6,12,4,27,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,6,12,4,31,0,Leron Black missed Jumper.
Valparaiso,Illinois,6,12,4,31,0,Maverick Morgan Offensive Rebound.
Valparaiso,Illinois,6,14,4,33,1,Maverick Morgan made Layup.
Valparaiso,Illinois,6,14,5,1,0,Jaume Sorolla missed Jumper.
Valparaiso,Illinois,6,14,5,1,0,Maverick Morgan Defensive Rebound.
Valparaiso,Illinois,6,16,5,7,1,Leron Black made Dunk. Assisted by Te'Jon Lucas.
Valparaiso,Illinois,6,16,5,11,0,Valparaiso  Timeout
Valparaiso,Illinois,6,16,5,11,0,Valparaiso  Turnover.
Valparaiso,Illinois,6,16,5,27,0,Maverick Morgan Turnover.
Valparaiso,Illinois,9,16,5,44,1,Max Joseph made Three Point Jumper. Assisted by John Kiser.
Valparaiso,Illinois,9,16,6,13,0,Kipper Nichols missed Three Point Jumper.
Valparaiso,Illinois,9,16,6,13,0,Micah Bradford Defensive Rebound.
Valparaiso,Illinois,9,16,6,26,0,John Kiser missed Three Point Jumper.
Valparaiso,Illinois,9,16,6,26,0,Illinois Defensive Rebound.
Valparaiso,Illinois,9,16,6,50,0,Mike Thorne Jr. Turnover.
Valparaiso,Illinois,9,16,7,5,0,Foul on Mike Thorne Jr..
Valparaiso,Illinois,9,16,7,11,0,Tevonn Walker missed Three Point Jumper.
Valparaiso,Illinois,9,16,7,11,0,Kipper Nichols Defensive Rebound.
Valparaiso,Illinois,9,16,7,29,0,Kipper Nichols missed Three Point Jumper.
Valparaiso,Illinois,9,16,7,29,0,Max Joseph Defensive Rebound.
Valparaiso,Illinois,9,16,7,43,0,Foul on Jalen Coleman-Lands.
Valparaiso,Illinois,9,16,7,51,0,Micah Bradford missed Layup.
Valparaiso,Illinois,9,16,7,51,0,Kipper Nichols Block.
Valparaiso,Illinois,9,16,7,54,0,Derrik Smits Offensive Rebound.
Valparaiso,Illinois,9,16,7,56,0,Derrik Smits missed Jumper.
Valparaiso,Illinois,9,16,7,56,0,Leron Black Defensive Rebound.
Valparaiso,Illinois,9,16,8,7,0,Mike Thorne Jr. missed Jumper.
Valparaiso,Illinois,9,16,8,7,0,Valparaiso Deadball Team Rebound.
Valparaiso,Illinois,9,16,8,8,0,Foul on Leron Black.
Valparaiso,Illinois,9,16,8,8,0,Official TV Timeout
Valparaiso,Illinois,9,16,8,17,0,Derrik Smits Turnover.
Valparaiso,Illinois,9,16,8,35,0,Maverick Morgan missed Jumper.
Valparaiso,Illinois,9,16,8,35,0,Illinois Deadball Team Rebound.
Valparaiso,Illinois,9,16,8,36,0,Foul on John Kiser.
Valparaiso,Illinois,9,18,8,45,1,Jalen Coleman-Lands made Jumper.
Valparaiso,Illinois,9,18,9,13,0,Shane Hammink missed Jumper.
Valparaiso,Illinois,9,18,9,13,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,9,20,9,23,1,Tracy Abrams made Jumper.
Valparaiso,Illinois,9,20,9,34,0,Foul on Jalen Coleman-Lands.
Valparaiso,Illinois,10,20,9,34,1,Tevonn Walker made Free Throw.
Valparaiso,Illinois,11,20,9,34,1,Tevonn Walker made Free Throw.
Valparaiso,Illinois,11,20,9,53,0,Malcolm Hill missed Three Point Jumper.
Valparaiso,Illinois,11,20,9,53,0,Tevonn Walker Defensive Rebound.
Valparaiso,Illinois,13,20,10,3,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,13,22,10,18,1,Maverick Morgan made Layup. Assisted by Malcolm Hill.
Valparaiso,Illinois,13,22,10,18,0,Foul on Shane Hammink.
Valparaiso,Illinois,13,22,10,18,0,Maverick Morgan missed Free Throw.
Valparaiso,Illinois,13,22,10,18,0,Max Joseph Defensive Rebound.
Valparaiso,Illinois,13,22,10,27,0,Foul on Leron Black.
Valparaiso,Illinois,13,22,10,48,0,Max Joseph missed Three Point Jumper.
Valparaiso,Illinois,13,22,10,48,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,13,22,10,58,0,Malcolm Hill missed Jumper.
Valparaiso,Illinois,13,22,10,58,0,Illinois Offensive Rebound.
Valparaiso,Illinois,13,24,11,8,1,Maverick Morgan made Jumper. Assisted by Tracy Abrams.
Valparaiso,Illinois,13,24,11,36,0,Max Joseph missed Three Point Jumper.
Valparaiso,Illinois,13,24,11,36,0,Illinois Defensive Rebound.
Valparaiso,Illinois,13,27,11,59,1,Jalen Coleman-Lands made Three Point Jumper. Assisted by Te'Jon Lucas.
Valparaiso,Illinois,16,27,12,23,1,Micah Bradford made Three Point Jumper. Assisted by Tevonn Walker.
Valparaiso,Illinois,16,27,12,46,0,Maverick Morgan missed Jumper.
Valparaiso,Illinois,16,27,12,46,0,Tevonn Walker Defensive Rebound.
Valparaiso,Illinois,16,27,12,57,0,Micah Bradford missed Three Point Jumper.
Valparaiso,Illinois,16,27,12,57,0,Maverick Morgan Defensive Rebound.
Valparaiso,Illinois,16,29,13,9,1,Malcolm Hill made Jumper.
Valparaiso,Illinois,16,29,13,34,0,Jaume Sorolla missed Jumper.
Valparaiso,Illinois,16,29,13,34,0,Maverick Morgan Block.
Valparaiso,Illinois,16,29,13,36,0,Maverick Morgan Defensive Rebound.
Valparaiso,Illinois,16,29,13,44,0,Jalen Coleman-Lands Turnover.
Valparaiso,Illinois,16,29,13,44,0,Official TV Timeout
Valparaiso,Illinois,16,29,13,53,0,Foul on Te'Jon Lucas.
Valparaiso,Illinois,16,29,14,2,0,Micah Bradford missed Jumper.
Valparaiso,Illinois,16,29,14,2,0,Leron Black Defensive Rebound.
Valparaiso,Illinois,16,32,14,12,1,Leron Black made Three Point Jumper. Assisted by Mike Thorne Jr..
Valparaiso,Illinois,16,32,14,34,0,Max Joseph missed Jumper.
Valparaiso,Illinois,16,32,14,34,0,Micah Bradford Offensive Rebound.
Valparaiso,Illinois,18,32,14,49,1,Max Joseph made Jumper.
Valparaiso,Illinois,18,35,14,57,1,Malcolm Hill made Three Point Jumper. Assisted by Jalen Coleman-Lands.
Valparaiso,Illinois,18,35,15,19,0,Tevonn Walker missed Three Point Jumper.
Valparaiso,Illinois,18,35,15,19,0,Leron Black Defensive Rebound.
Valparaiso,Illinois,18,35,15,27,0,Te'Jon Lucas Turnover.
Valparaiso,Illinois,18,35,15,51,0,Jaume Sorolla Turnover.
Valparaiso,Illinois,18,35,15,52,0,Te'Jon Lucas Steal.
Valparaiso,Illinois,18,35,15,55,0,Leron Black Turnover.
Valparaiso,Illinois,18,35,15,55,0,Lexus Williams Steal.
Valparaiso,Illinois,20,35,15,56,1,John Kiser made Layup. Assisted by Lexus Williams.
Valparaiso,Illinois,20,35,16,1,0,Te'Jon Lucas Turnover.
Valparaiso,Illinois,20,35,16,2,0,Lexus Williams Steal.
Valparaiso,Illinois,22,35,16,3,1,John Kiser made Layup. Assisted by Lexus Williams.
Valparaiso,Illinois,22,35,16,3,0,Illinois  Timeout
Valparaiso,Illinois,22,35,16,22,0,Mike Thorne Jr. missed Jumper.
Valparaiso,Illinois,22,35,16,22,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,22,37,16,26,1,Leron Black made Layup.
Valparaiso,Illinois,24,37,16,53,1,John Kiser made Jumper.
Valparaiso,Illinois,24,39,17,23,1,Leron Black made Jumper.
Valparaiso,Illinois,24,39,17,49,0,Shane Hammink missed Three Point Jumper.
Valparaiso,Illinois,24,39,17,49,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,24,39,18,0,0,Jalen Coleman-Lands missed Three Point Jumper.
Valparaiso,Illinois,24,39,18,0,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,24,41,18,8,1,Kipper Nichols made Layup. Assisted by Tracy Abrams.
Valparaiso,Illinois,24,41,18,32,0,Micah Bradford Turnover.
Valparaiso,Illinois,24,41,18,34,0,Tracy Abrams Steal.
Valparaiso,Illinois,24,41,18,36,0,Malcolm Hill missed Three Point Jumper.
Valparaiso,Illinois,24,41,18,36,0,Mike Thorne Jr. Offensive Rebound.
Valparaiso,Illinois,24,41,18,40,0,Mike Thorne Jr. Turnover.
Valparaiso,Illinois,24,41,18,40,0,Micah Bradford Steal.
Valparaiso,Illinois,24,41,18,54,0,Foul on Derrik Smits.
Valparaiso,Illinois,24,41,18,54,0,Derrik Smits Turnover.
Valparaiso,Illinois,24,41,19,7,0,Kipper Nichols missed Jumper.
Valparaiso,Illinois,24,41,19,7,0,Mike Thorne Jr. Offensive Rebound.
Valparaiso,Illinois,24,41,19,32,0,Malcolm Hill missed Jumper.
Valparaiso,Illinois,24,41,19,32,0,Lexus Williams Defensive Rebound.
Valparaiso,Illinois,24,41,19,55,0,Foul on Kipper Nichols.
Valparaiso,Illinois,24,41,19,56,0,Tevonn Walker missed Three Point Jumper.
Valparaiso,Illinois,24,41,19,56,0,John Kiser Offensive Rebound.
Valparaiso,Illinois,24,41,20,0,0,John Kiser missed Two Point Tip Shot.
Valparaiso,Illinois,24,41,20,0,0,Jaylon Tate Defensive Rebound.
Valparaiso,Illinois,24,41,20,0,0,End of 1st half
Valparaiso,Illinois,24,41,20,27,0,Te'Jon Lucas missed Three Point Jumper.
Valparaiso,Illinois,24,41,20,27,0,Maverick Morgan Offensive Rebound.
Valparaiso,Illinois,24,41,20,43,0,Foul on Jaume Sorolla.
Valparaiso,Illinois,24,41,20,50,0,Maverick Morgan Turnover.
Valparaiso,Illinois,24,41,20,52,0,Max Joseph Steal.
Valparaiso,Illinois,24,41,21,4,0,Max Joseph Turnover.
Valparaiso,Illinois,24,41,21,6,0,Malcolm Hill Steal.
Valparaiso,Illinois,24,41,21,17,0,Te'Jon Lucas missed Jumper.
Valparaiso,Illinois,24,41,21,17,0,Te'Jon Lucas Offensive Rebound.
Valparaiso,Illinois,24,41,21,24,0,Maverick Morgan missed Jumper.
Valparaiso,Illinois,24,41,21,24,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,24,41,21,28,0,Leron Black missed Jumper.
Valparaiso,Illinois,24,41,21,28,0,Tevonn Walker Defensive Rebound.
Valparaiso,Illinois,24,41,21,39,0,Lexus Williams missed Three Point Jumper.
Valparaiso,Illinois,24,41,21,39,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,24,43,21,58,1,Maverick Morgan made Jumper. Assisted by Te'Jon Lucas.
Valparaiso,Illinois,24,43,22,3,0,Valparaiso  Timeout
Valparaiso,Illinois,26,43,22,20,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,26,43,22,36,0,Foul on Derrik Smits.
Valparaiso,Illinois,26,44,22,36,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,26,45,22,36,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,28,45,22,54,1,Derrik Smits made Layup. Assisted by Nick Davidson.
Valparaiso,Illinois,28,45,23,13,0,Tracy Abrams missed Three Point Jumper.
Valparaiso,Illinois,28,45,23,13,0,Nick Davidson Defensive Rebound.
Valparaiso,Illinois,28,45,23,28,0,Micah Bradford Turnover.
Valparaiso,Illinois,28,45,23,29,0,Leron Black Steal.
Valparaiso,Illinois,28,45,23,34,0,Te'Jon Lucas Turnover.
Valparaiso,Illinois,28,45,23,34,0,Foul on Te'Jon Lucas.
Valparaiso,Illinois,28,45,23,58,0,Derrik Smits missed Jumper.
Valparaiso,Illinois,28,45,23,58,0,Leron Black Defensive Rebound.
Valparaiso,Illinois,28,45,24,10,0,Leron Black Turnover.
Valparaiso,Illinois,28,45,24,10,0,Nick Davidson Steal.
Valparaiso,Illinois,28,45,24,14,0,Nick Davidson missed Jumper.
Valparaiso,Illinois,28,45,24,14,0,Tracy Abrams Block.
Valparaiso,Illinois,28,45,24,14,0,Valparaiso Offensive Rebound.
Valparaiso,Illinois,28,45,24,14,0,Official TV Timeout
Valparaiso,Illinois,30,45,24,28,1,Derrik Smits made Jumper.
Valparaiso,Illinois,30,45,24,43,0,Foul on John Kiser.
Valparaiso,Illinois,30,46,24,43,1,Jalen Coleman-Lands made Free Throw.
Valparaiso,Illinois,30,47,24,43,1,Jalen Coleman-Lands made Free Throw.
Valparaiso,Illinois,30,48,24,43,1,Jalen Coleman-Lands made Free Throw.
Valparaiso,Illinois,30,48,25,5,0,Tevonn Walker missed Layup.
Valparaiso,Illinois,30,48,25,5,0,Mike Thorne Jr. Defensive Rebound.
Valparaiso,Illinois,30,50,25,16,1,Malcolm Hill made Jumper. Assisted by Tracy Abrams.
Valparaiso,Illinois,30,50,25,42,0,Derrik Smits missed Jumper.
Valparaiso,Illinois,30,50,25,42,0,Jalen Coleman-Lands Defensive Rebound.
Valparaiso,Illinois,30,50,26,2,0,Jalen Coleman-Lands Turnover.
Valparaiso,Illinois,30,50,26,4,0,Tevonn Walker Steal.
Valparaiso,Illinois,30,50,26,9,0,Micah Bradford missed Jumper.
Valparaiso,Illinois,30,50,26,9,0,Valparaiso Offensive Rebound.
Valparaiso,Illinois,30,50,26,10,0,Nick Davidson missed Jumper.
Valparaiso,Illinois,30,50,26,10,0,Leron Black Defensive Rebound.
Valparaiso,Illinois,30,50,26,27,0,Foul on John Kiser.
Valparaiso,Illinois,30,50,26,29,0,Jalen Coleman-Lands missed Three Point Jumper.
Valparaiso,Illinois,30,50,26,29,0,Max Joseph Defensive Rebound.
Valparaiso,Illinois,32,50,26,38,1,Max Joseph made Layup.
Valparaiso,Illinois,32,50,27,11,0,Te'Jon Lucas missed Three Point Jumper.
Valparaiso,Illinois,32,50,27,11,0,Illinois Deadball Team Rebound.
Valparaiso,Illinois,32,50,27,12,0,Illinois  Turnover.
Valparaiso,Illinois,34,50,27,27,1,John Kiser made Jumper.
Valparaiso,Illinois,34,50,27,41,0,Illinois  Timeout
Valparaiso,Illinois,34,50,27,58,0,Leron Black missed Jumper.
Valparaiso,Illinois,34,50,27,58,0,Malcolm Hill Offensive Rebound.
Valparaiso,Illinois,34,50,28,2,0,Foul on Lexus Williams.
Valparaiso,Illinois,34,51,28,2,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,34,52,28,2,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,34,52,28,24,0,Max Joseph missed Jumper.
Valparaiso,Illinois,34,52,28,24,0,Malcolm Hill Block.
Valparaiso,Illinois,34,52,28,26,0,Malcolm Hill Defensive Rebound.
Valparaiso,Illinois,34,52,28,37,0,Foul on Tevonn Walker.
Valparaiso,Illinois,34,53,28,37,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,34,53,28,37,0,Malcolm Hill missed Free Throw.
Valparaiso,Illinois,34,53,28,37,0,Tevonn Walker Defensive Rebound.
Valparaiso,Illinois,34,53,28,53,0,Foul on Maverick Morgan.
Valparaiso,Illinois,34,53,28,57,0,Foul on Maverick Morgan.
Valparaiso,Illinois,36,53,29,11,1,Tevonn Walker made Jumper.
Valparaiso,Illinois,36,53,29,37,0,Foul on Derrik Smits.
Valparaiso,Illinois,36,54,29,37,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,36,55,29,37,1,Malcolm Hill made Free Throw.
Valparaiso,Illinois,36,55,29,43,0,Foul on Tevonn Walker.
Valparaiso,Illinois,36,55,29,43,0,Tevonn Walker Turnover.
Valparaiso,Illinois,36,55,30,0,0,Mike Thorne Jr. missed Jumper.
Valparaiso,Illinois,36,55,30,0,0,Leron Black Offensive Rebound.
Valparaiso,Illinois,36,55,30,5,0,Malcolm Hill missed Three Point Jumper.
Valparaiso,Illinois,36,55,30,5,0,Max Joseph Defensive Rebound.
Valparaiso,Illinois,36,55,30,12,0,Foul on Mike Thorne Jr..
Valparaiso,Illinois,37,55,30,12,1,Tevonn Walker made Free Throw.
Valparaiso,Illinois,38,55,30,12,1,Tevonn Walker made Free Throw.
Valparaiso,Illinois,38,58,30,28,1,Tracy Abrams made Three Point Jumper. Assisted by Te'Jon Lucas.
Valparaiso,Illinois,38,58,30,47,0,Max Joseph missed Three Point Jumper.
Valparaiso,Illinois,38,58,30,47,0,Tracy Abrams Defensive Rebound.
Valparaiso,Illinois,38,58,31,2,0,Mike Thorne Jr. missed Jumper.
Valparaiso,Illinois,38,58,31,2,0,Lexus Williams Defensive Rebound.
