Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Jacksonville,South Carolina Upstate,0,2,0,19,1,Malik Moore made Layup.
Jacksonville,South Carolina Upstate,0,2,0,40,0,J.R. Holder missed Layup.
Jacksonville,South Carolina Upstate,0,2,0,40,0,Philip Whittington Defensive Rebound.
Jacksonville,South Carolina Upstate,0,4,1,6,1,Philip Whittington made Layup.
Jacksonville,South Carolina Upstate,2,4,1,13,1,J.R. Holder made Layup.
Jacksonville,South Carolina Upstate,2,4,1,37,0,Foul on Antwon Clayton.
Jacksonville,South Carolina Upstate,2,7,1,51,1,Deion Holmes made Three Point Jumper. Assisted by Jure Span.
Jacksonville,South Carolina Upstate,2,7,2,11,0,J.R. Holder Turnover.
Jacksonville,South Carolina Upstate,2,7,2,13,0,Philip Whittington Steal.
Jacksonville,South Carolina Upstate,2,7,2,17,0,Josh Cuthbertson missed Three Point Jumper.
Jacksonville,South Carolina Upstate,2,7,2,17,0,Darien Fernandez Defensive Rebound.
Jacksonville,South Carolina Upstate,4,7,2,34,1,Omar El Manasterly made Layup. Assisted by Antwon Clayton.
Jacksonville,South Carolina Upstate,4,7,2,57,0,Malik Moore Turnover.
Jacksonville,South Carolina Upstate,4,7,3,13,0,J.R. Holder missed Layup.
Jacksonville,South Carolina Upstate,4,7,3,13,0,Malik Moore Defensive Rebound.
Jacksonville,South Carolina Upstate,4,7,3,31,0,Philip Whittington missed Jumper.
Jacksonville,South Carolina Upstate,4,7,3,31,0,Devin Harris Defensive Rebound.
Jacksonville,South Carolina Upstate,4,7,3,40,0,Darien Fernandez missed Layup.
Jacksonville,South Carolina Upstate,4,7,3,40,0,Demontrez Austin Offensive Rebound.
Jacksonville,South Carolina Upstate,4,7,3,43,0,Demontrez Austin missed Two Point Tip Shot.
Jacksonville,South Carolina Upstate,4,7,3,43,0,Philip Whittington Defensive Rebound.
Jacksonville,South Carolina Upstate,4,10,3,57,1,Jure Span made Three Point Jumper. Assisted by Malik Moore.
Jacksonville,South Carolina Upstate,7,10,4,21,1,Darien Fernandez made Three Point Jumper.
Jacksonville,South Carolina Upstate,7,10,4,49,0,Josh Cuthbertson Turnover.
Jacksonville,South Carolina Upstate,7,10,4,49,0,Official TV Timeout
Jacksonville,South Carolina Upstate,7,10,5,7,0,Darius Dawkins missed Three Point Jumper.
Jacksonville,South Carolina Upstate,7,10,5,7,0,Jure Span Defensive Rebound.
Jacksonville,South Carolina Upstate,7,13,5,27,1,Jure Span made Three Point Jumper. Assisted by Josh Cuthbertson.
Jacksonville,South Carolina Upstate,7,13,5,36,0,J.R. Holder missed Layup.
Jacksonville,South Carolina Upstate,7,13,5,36,0,Philip Whittington Defensive Rebound.
Jacksonville,South Carolina Upstate,7,13,5,53,0,Deion Holmes missed Jumper.
Jacksonville,South Carolina Upstate,7,13,5,53,0,Jacksonville Defensive Rebound.
Jacksonville,South Carolina Upstate,7,13,6,21,0,Tanner Rubio Turnover.
Jacksonville,South Carolina Upstate,7,13,6,37,0,Josh Cuthbertson missed Three Point Jumper.
Jacksonville,South Carolina Upstate,7,13,6,37,0,Demontrez Austin Defensive Rebound.
Jacksonville,South Carolina Upstate,7,13,6,54,0,Darien Fernandez missed Three Point Jumper.
Jacksonville,South Carolina Upstate,7,13,6,54,0,Ramel Thompkins Defensive Rebound.
Jacksonville,South Carolina Upstate,7,16,7,2,1,Ramel Thompkins made Three Point Jumper. Assisted by Jure Span.
Jacksonville,South Carolina Upstate,10,16,7,23,1,Darien Fernandez made Three Point Jumper. Assisted by J.R. Holder.
Jacksonville,South Carolina Upstate,10,18,7,42,1,Michael Buchanan made Layup. Assisted by Josh Cuthbertson.
Jacksonville,South Carolina Upstate,10,18,8,11,0,Demontrez Austin Turnover.
Jacksonville,South Carolina Upstate,10,18,8,12,0,Mike Cunningham Steal.
Jacksonville,South Carolina Upstate,10,18,8,28,0,Jure Span missed Three Point Jumper.
Jacksonville,South Carolina Upstate,10,18,8,28,0,Josh Cuthbertson Offensive Rebound.
Jacksonville,South Carolina Upstate,10,18,8,31,0,Foul on Darien Fernandez.
Jacksonville,South Carolina Upstate,10,18,8,31,0,Official TV Timeout
Jacksonville,South Carolina Upstate,10,20,8,45,1,Michael Buchanan made Layup. Assisted by Ramel Thompkins.
Jacksonville,South Carolina Upstate,10,20,8,45,0,Foul on Darius Dawkins.
Jacksonville,South Carolina Upstate,10,20,8,45,0,Michael Buchanan missed Free Throw.
Jacksonville,South Carolina Upstate,10,20,8,45,0,Antwon Clayton Defensive Rebound.
Jacksonville,South Carolina Upstate,13,20,8,50,1,Tanner Rubio made Three Point Jumper. Assisted by Devin Harris.
Jacksonville,South Carolina Upstate,13,20,9,19,0,Mike Cunningham missed Three Point Jumper.
Jacksonville,South Carolina Upstate,13,20,9,19,0,Tanner Rubio Defensive Rebound.
Jacksonville,South Carolina Upstate,15,20,9,28,1,Devin Harris made Layup. Assisted by Tanner Rubio.
Jacksonville,South Carolina Upstate,15,23,9,52,1,Deion Holmes made Three Point Jumper. Assisted by Malik Moore.
Jacksonville,South Carolina Upstate,18,23,10,19,1,Tanner Rubio made Three Point Jumper. Assisted by Devin Harris.
Jacksonville,South Carolina Upstate,18,23,10,37,0,Deion Holmes Turnover.
Jacksonville,South Carolina Upstate,18,23,10,46,0,Foul on Philip Whittington.
Jacksonville,South Carolina Upstate,19,23,10,46,1,Antwon Clayton made Free Throw.
Jacksonville,South Carolina Upstate,19,23,10,46,0,Antwon Clayton missed Free Throw.
Jacksonville,South Carolina Upstate,19,23,10,46,0,Philip Whittington Defensive Rebound.
Jacksonville,South Carolina Upstate,19,23,11,6,0,Deion Holmes missed Three Point Jumper.
Jacksonville,South Carolina Upstate,19,23,11,6,0,Mike Cunningham Offensive Rebound.
Jacksonville,South Carolina Upstate,19,23,11,17,0,Malik Moore missed Three Point Jumper.
