Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Kentucky,Florida,0,0,0,0,0,Jump Ball won by Florida
Kentucky,Florida,0,0,0,12,0,Justin Leon missed Jumper.
Kentucky,Florida,0,0,0,12,0,Wenyen Gabriel Block.
Kentucky,Florida,0,0,0,12,0,John Egbunu Offensive Rebound.
Kentucky,Florida,0,2,0,23,1,John Egbunu made Layup. Assisted by Kasey Hill.
Kentucky,Florida,0,2,0,44,0,Edrice Adebayo missed Jumper.
Kentucky,Florida,0,2,0,44,0,Devin Robinson Block.
Kentucky,Florida,0,2,0,44,0,Kasey Hill Defensive Rebound.
Kentucky,Florida,0,2,0,51,0,Kasey Hill missed Jumper.
Kentucky,Florida,0,2,0,51,0,John Egbunu Offensive Rebound.
Kentucky,Florida,0,2,0,51,0,John Egbunu missed Two Point Tip Shot.
Kentucky,Florida,0,2,0,51,0,Devin Robinson Offensive Rebound.
Kentucky,Florida,0,5,1,2,1,KeVaughn Allen made Three Point Jumper. Assisted by Kasey Hill.
Kentucky,Florida,2,5,1,14,1,Edrice Adebayo made Dunk. Assisted by Isaiah Briscoe.
Kentucky,Florida,2,5,1,25,0,Kasey Hill missed Layup.
Kentucky,Florida,2,5,1,25,0,Wenyen Gabriel Defensive Rebound.
Kentucky,Florida,4,5,1,32,1,Isaiah Briscoe made Layup.
Kentucky,Florida,4,5,1,51,0,KeVaughn Allen missed Three Point Jumper.
Kentucky,Florida,4,5,1,51,0,Isaiah Briscoe Defensive Rebound.
Kentucky,Florida,4,5,2,5,0,Malik Monk missed Jumper.
Kentucky,Florida,4,5,2,5,0,Florida Defensive Rebound.
Kentucky,Florida,4,5,2,5,0,Foul on Wenyen Gabriel.
Kentucky,Florida,4,5,2,30,0,Justin Leon missed Three Point Jumper.
Kentucky,Florida,4,5,2,30,0,Isaiah Briscoe Defensive Rebound.
Kentucky,Florida,4,5,2,42,0,Edrice Adebayo missed Jumper.
Kentucky,Florida,4,5,2,42,0,Justin Leon Defensive Rebound.
Kentucky,Florida,4,8,2,52,1,Kasey Hill made Three Point Jumper. Assisted by KeVaughn Allen.
Kentucky,Florida,7,8,3,4,1,Wenyen Gabriel made Three Point Jumper. Assisted by Isaiah Briscoe.
Kentucky,Florida,7,8,3,20,0,Kasey Hill missed Jumper.
Kentucky,Florida,7,8,3,20,0,Florida Offensive Rebound.
Kentucky,Florida,7,8,3,25,0,Justin Leon Turnover.
Kentucky,Florida,7,8,3,35,0,De'Aaron Fox missed Layup.
Kentucky,Florida,7,8,3,35,0,Kevarrius Hayes Block.
Kentucky,Florida,7,8,3,35,0,Kasey Hill Defensive Rebound.
Kentucky,Florida,7,8,3,42,0,KeVaughn Allen Turnover.
Kentucky,Florida,7,8,3,54,0,Edrice Adebayo missed Layup.
Kentucky,Florida,7,8,3,54,0,Kasey Hill Block.
Kentucky,Florida,7,8,3,54,0,Kasey Hill Defensive Rebound.
Kentucky,Florida,7,8,3,54,0,Foul on Derek Willis.
Kentucky,Florida,7,8,3,54,0,Kasey Hill missed Free Throw.
Kentucky,Florida,7,8,3,54,0,Florida Deadball Team Rebound.
Kentucky,Florida,7,9,3,54,1,Kasey Hill made Free Throw.
Kentucky,Florida,7,9,4,0,0,Isaiah Briscoe missed Jumper.
Kentucky,Florida,7,9,4,0,0,Devin Robinson Defensive Rebound.
Kentucky,Florida,7,9,4,9,0,Devin Robinson missed Jumper.
Kentucky,Florida,7,9,4,9,0,De'Aaron Fox Defensive Rebound.
Kentucky,Florida,7,9,4,17,0,De'Aaron Fox missed Layup.
Kentucky,Florida,7,9,4,17,0,Kevarrius Hayes Block.
Kentucky,Florida,7,9,4,17,0,Kasey Hill Defensive Rebound.
Kentucky,Florida,7,11,4,28,1,Kasey Hill made Layup.
Kentucky,Florida,7,11,4,47,0,Foul on Kasey Hill.
Kentucky,Florida,7,11,4,47,0,Official TV Timeout
Kentucky,Florida,7,11,4,59,0,Derek Willis missed Three Point Jumper.
Kentucky,Florida,7,11,4,59,0,KeVaughn Allen Defensive Rebound.
Kentucky,Florida,7,11,5,33,0,Florida  Turnover.
Kentucky,Florida,7,11,5,39,0,Malik Monk missed Jumper.
Kentucky,Florida,7,11,5,39,0,John Egbunu Defensive Rebound.
Kentucky,Florida,7,11,5,51,0,KeVaughn Allen missed Three Point Jumper.
Kentucky,Florida,7,11,5,51,0,Derek Willis Defensive Rebound.
Kentucky,Florida,7,11,5,59,0,Malik Monk missed Three Point Jumper.
Kentucky,Florida,7,11,5,59,0,KeVaughn Allen Defensive Rebound.
Kentucky,Florida,7,11,6,18,0,Kasey Hill Turnover.
Kentucky,Florida,7,11,6,18,0,Derek Willis Steal.
Kentucky,Florida,9,11,6,23,1,Derek Willis made Layup. Assisted by Isaac Humphries.
Kentucky,Florida,9,11,6,34,0,Foul on De'Aaron Fox.
Kentucky,Florida,9,11,6,36,0,Canyon Barry missed Jumper.
Kentucky,Florida,9,11,6,36,0,Kevarrius Hayes Offensive Rebound.
Kentucky,Florida,9,13,6,36,1,Kevarrius Hayes made Two Point Tip Shot.
Kentucky,Florida,9,13,6,36,0,Foul on Derek Willis.
Kentucky,Florida,9,14,6,36,1,Kevarrius Hayes made Free Throw.
Kentucky,Florida,9,14,6,52,0,Malik Monk missed Layup.
Kentucky,Florida,9,14,6,53,0,Florida Defensive Rebound.
Kentucky,Florida,9,14,7,15,0,Chris Chiozza missed Three Point Jumper.
Kentucky,Florida,9,14,7,15,0,Justin Leon Offensive Rebound.
Kentucky,Florida,9,16,7,23,1,Kasey Hill made Jumper.
Kentucky,Florida,9,16,7,46,0,Isaiah Briscoe missed Layup.
Kentucky,Florida,9,16,7,46,0,Wenyen Gabriel Offensive Rebound.
Kentucky,Florida,11,16,7,46,1,Wenyen Gabriel made Two Point Tip Shot.
Kentucky,Florida,11,18,7,56,1,Chris Chiozza made Layup.
Kentucky,Florida,11,18,8,21,0,Isaiah Briscoe Turnover.
Kentucky,Florida,11,18,8,21,0,Official TV Timeout
Kentucky,Florida,11,18,8,34,0,Kasey Hill missed Three Point Jumper.
Kentucky,Florida,11,18,8,34,0,Kentucky Defensive Rebound.
Kentucky,Florida,11,18,8,56,0,Foul on Chris Chiozza.
Kentucky,Florida,11,18,9,13,0,Foul on Canyon Barry.
Kentucky,Florida,11,18,9,17,0,Isaiah Briscoe missed Three Point Jumper.
Kentucky,Florida,11,18,9,17,0,Edrice Adebayo Offensive Rebound.
Kentucky,Florida,11,18,9,35,0,Edrice Adebayo missed Layup.
Kentucky,Florida,11,18,9,35,0,Kasey Hill Defensive Rebound.
Kentucky,Florida,11,18,9,47,0,Kasey Hill Turnover.
Kentucky,Florida,11,18,9,47,0,Edrice Adebayo Steal.
Kentucky,Florida,11,18,9,52,0,Foul on Kasey Hill.
Kentucky,Florida,11,18,10,0,0,Mychal Mulder missed Three Point Jumper.
Kentucky,Florida,11,18,10,0,0,Justin Leon Defensive Rebound.
Kentucky,Florida,11,18,10,3,0,Foul on Wenyen Gabriel.
Kentucky,Florida,11,18,10,15,0,Chris Chiozza missed Three Point Jumper.
Kentucky,Florida,11,18,10,15,0,Derek Willis Defensive Rebound.
Kentucky,Florida,13,18,10,24,1,De'Aaron Fox made Layup.
Kentucky,Florida,13,18,10,32,0,Foul on Kevarrius Hayes.
Kentucky,Florida,13,18,10,32,0,Kevarrius Hayes Turnover.
Kentucky,Florida,13,18,10,42,0,De'Aaron Fox missed Jumper.
Kentucky,Florida,13,18,10,42,0,Chris Chiozza Defensive Rebound.
Kentucky,Florida,13,18,10,45,0,Foul on Isaiah Briscoe.
Kentucky,Florida,13,18,11,18,0,Chris Chiozza missed Three Point Jumper.
Kentucky,Florida,13,18,11,18,0,Edrice Adebayo Defensive Rebound.
Kentucky,Florida,13,18,11,23,0,Isaiah Briscoe missed Layup.
Kentucky,Florida,13,18,11,23,0,John Egbunu Defensive Rebound.
Kentucky,Florida,13,21,11,33,1,Devin Robinson made Three Point Jumper. Assisted by KeVaughn Allen.
Kentucky,Florida,13,21,11,58,0,Isaiah Briscoe missed Jumper.
Kentucky,Florida,13,21,11,58,0,John Egbunu Block.
Kentucky,Florida,13,21,11,58,0,Chris Chiozza Defensive Rebound.
Kentucky,Florida,13,21,12,4,0,Jump Ball won by Kentucky
Kentucky,Florida,13,21,12,4,0,Florida  Turnover.
Kentucky,Florida,13,21,12,4,0,Official TV Timeout
Kentucky,Florida,13,21,12,14,0,Edrice Adebayo Turnover.
Kentucky,Florida,13,21,12,34,0,Chris Chiozza missed Layup.
Kentucky,Florida,13,21,12,34,0,Malik Monk Block.
Kentucky,Florida,13,21,12,34,0,Florida Offensive Rebound.
Kentucky,Florida,13,21,12,37,0,KeVaughn Allen missed Three Point Jumper.
Kentucky,Florida,13,21,12,37,0,Kentucky Defensive Rebound.
Kentucky,Florida,13,21,12,51,0,Edrice Adebayo missed Dunk.
Kentucky,Florida,13,21,12,51,0,Devin Robinson Defensive Rebound.
Kentucky,Florida,13,21,13,11,0,KeVaughn Allen missed Layup.
Kentucky,Florida,13,21,13,11,0,Edrice Adebayo Block.
Kentucky,Florida,13,21,13,11,0,Devin Robinson Offensive Rebound.
Kentucky,Florida,13,21,13,11,0,Devin Robinson Turnover.
Kentucky,Florida,13,21,13,11,0,Edrice Adebayo Steal.
Kentucky,Florida,13,21,13,16,0,Malik Monk missed Jumper.
Kentucky,Florida,13,21,13,16,0,Devin Robinson Defensive Rebound.
Kentucky,Florida,13,21,13,24,0,Canyon Barry missed Three Point Jumper.
Kentucky,Florida,13,21,13,24,0,Edrice Adebayo Defensive Rebound.
Kentucky,Florida,13,21,13,41,0,Foul on Canyon Barry.
Kentucky,Florida,14,21,13,41,1,De'Aaron Fox made Free Throw.
Kentucky,Florida,15,21,13,41,1,De'Aaron Fox made Free Throw.
Kentucky,Florida,15,21,13,51,0,Devin Robinson Turnover.
Kentucky,Florida,15,21,14,4,0,Foul on Justin Leon.
Kentucky,Florida,15,21,14,4,0,Edrice Adebayo missed Free Throw.
Kentucky,Florida,15,21,14,4,0,Kentucky Deadball Team Rebound.
Kentucky,Florida,15,21,14,4,0,Edrice Adebayo missed Free Throw.
Kentucky,Florida,15,21,14,4,0,Kevarrius Hayes Defensive Rebound.
Kentucky,Florida,15,24,14,8,1,KeVaughn Allen made Three Point Jumper. Assisted by Chris Chiozza.
Kentucky,Florida,15,24,14,24,0,Foul on Kevarrius Hayes.
Kentucky,Florida,16,24,14,24,1,De'Aaron Fox made Free Throw.
Kentucky,Florida,17,24,14,24,1,De'Aaron Fox made Free Throw.
Kentucky,Florida,17,27,14,41,1,Devin Robinson made Three Point Jumper. Assisted by Chris Chiozza.
Kentucky,Florida,17,27,14,54,0,De'Aaron Fox Turnover.
Kentucky,Florida,17,30,15,18,1,Eric Hester made Three Point Jumper. Assisted by Chris Chiozza.
Kentucky,Florida,17,30,15,24,0,Kentucky  Timeout
Kentucky,Florida,17,30,15,33,0,Foul on John Egbunu.
Kentucky,Florida,18,30,15,33,1,Edrice Adebayo made Free Throw.
Kentucky,Florida,18,30,15,33,0,Edrice Adebayo missed Free Throw.
Kentucky,Florida,18,30,15,33,0,Devin Robinson Defensive Rebound.
Kentucky,Florida,18,30,15,46,0,Foul on John Egbunu.
Kentucky,Florida,18,30,15,46,0,John Egbunu Turnover.
Kentucky,Florida,20,30,16,2,1,Isaiah Briscoe made Layup.
