Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Louisiana,James Madison,2,0,0,15,1,Frank Bartley IV made Layup.
Louisiana,James Madison,2,0,0,42,0,Yohanny Dalembert Turnover.
Louisiana,James Madison,2,0,0,44,0,Frank Bartley IV Steal.
Louisiana,James Madison,2,0,0,49,0,Frank Bartley IV missed Layup.
Louisiana,James Madison,2,0,0,49,0,UL Lafayette Offensive Rebound.
Louisiana,James Madison,4,0,1,11,1,Justin Miller made Layup. Assisted by Roydell Brown.
Louisiana,James Madison,4,0,1,14,0,Joey McLean Turnover.
Louisiana,James Madison,6,0,1,27,1,Bryce Washington made Layup. Assisted by Jay Wright.
Louisiana,James Madison,6,0,1,56,0,Yohanny Dalembert missed Layup.
Louisiana,James Madison,6,0,1,56,0,Jackson Kent Offensive Rebound.
Louisiana,James Madison,6,0,2,12,0,Jackson Kent missed Three Point Jumper.
Louisiana,James Madison,6,0,2,12,0,Ramone Snowden Offensive Rebound.
Louisiana,James Madison,6,0,2,16,0,Ramone Snowden missed Layup.
Louisiana,James Madison,6,0,2,16,0,Bryce Washington Defensive Rebound.
Louisiana,James Madison,8,0,2,35,1,Jay Wright made Jumper.
Louisiana,James Madison,8,0,2,40,0,James Madison  Timeout
Louisiana,James Madison,8,0,2,52,0,Tom Vodanovich missed Layup.
Louisiana,James Madison,8,0,2,52,0,Bryce Washington Block.
Louisiana,James Madison,8,0,2,55,0,Ramone Snowden Offensive Rebound.
Louisiana,James Madison,8,3,2,57,1,Jackson Kent made Three Point Jumper. Assisted by Ramone Snowden.
Louisiana,James Madison,8,3,3,22,0,Bryce Washington missed Three Point Jumper.
Louisiana,James Madison,8,3,3,22,0,Jackson Kent Defensive Rebound.
Louisiana,James Madison,8,3,3,30,0,Foul on Roydell Brown.
Louisiana,James Madison,8,5,3,31,1,Tom Vodanovich made Layup. Assisted by Joey McLean.
Louisiana,James Madison,8,5,3,46,0,Jay Wright missed Three Point Jumper.
Louisiana,James Madison,8,5,3,46,0,Justin Miller Offensive Rebound.
Louisiana,James Madison,8,5,4,6,0,Frank Bartley IV missed Jumper.
Louisiana,James Madison,8,5,4,6,0,Joey McLean Defensive Rebound.
