Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
BYU,Loyola Marymount,0,0,0,11,0,Eric Mika Turnover.
BYU,Loyola Marymount,0,0,0,12,0,Shamar Johnson Steal.
BYU,Loyola Marymount,0,0,0,33,0,Shamar Johnson missed Jumper.
BYU,Loyola Marymount,0,0,0,33,0,Shamar Johnson Offensive Rebound.
BYU,Loyola Marymount,0,0,0,39,0,Foul on Yoeli Childs.
BYU,Loyola Marymount,0,1,0,39,1,Stefan Jovanovic made Free Throw.
BYU,Loyola Marymount,0,2,0,39,1,Stefan Jovanovic made Free Throw.
BYU,Loyola Marymount,0,2,0,47,0,TJ Haws missed Three Point Jumper.
BYU,Loyola Marymount,0,2,0,47,0,Buay Tuach Defensive Rebound.
BYU,Loyola Marymount,0,2,1,6,0,Shamar Johnson Turnover.
BYU,Loyola Marymount,0,2,1,6,0,Foul on Shamar Johnson.
BYU,Loyola Marymount,2,2,1,19,1,Yoeli Childs made Layup. Assisted by L.J. Rose.
BYU,Loyola Marymount,2,2,1,19,0,Foul on Stefan Jovanovic.
BYU,Loyola Marymount,3,2,1,19,1,Yoeli Childs made Free Throw.
BYU,Loyola Marymount,3,4,1,32,1,Shamar Johnson made Layup. Assisted by Buay Tuach.
BYU,Loyola Marymount,3,4,1,46,0,Eric Mika missed Layup.
BYU,Loyola Marymount,3,4,1,46,0,Eric Mika Offensive Rebound.
BYU,Loyola Marymount,3,4,1,52,0,TJ Haws missed Three Point Jumper.
BYU,Loyola Marymount,3,4,1,52,0,Buay Tuach Defensive Rebound.
BYU,Loyola Marymount,3,6,2,11,1,Stefan Jovanovic made Layup. Assisted by Brandon Brown.
BYU,Loyola Marymount,3,6,2,23,0,Eric Mika Turnover.
BYU,Loyola Marymount,3,6,2,45,0,Shamar Johnson missed Layup.
BYU,Loyola Marymount,3,6,2,45,0,Eric Mika Defensive Rebound.
BYU,Loyola Marymount,3,6,2,46,0,Foul on Buay Tuach.
BYU,Loyola Marymount,5,6,2,56,1,Yoeli Childs made Layup. Assisted by TJ Haws.
BYU,Loyola Marymount,5,8,3,11,1,Stefan Jovanovic made Jumper. Assisted by Buay Tuach.
BYU,Loyola Marymount,8,8,3,22,1,Nick Emery made Three Point Jumper. Assisted by L.J. Rose.
BYU,Loyola Marymount,8,10,3,44,1,Stefan Jovanovic made Layup. Assisted by Brandon Brown.
BYU,Loyola Marymount,8,10,3,55,0,Eric Mika missed Layup.
BYU,Loyola Marymount,8,10,3,55,0,Buay Tuach Block.
BYU,Loyola Marymount,8,10,3,57,0,Brandon Brown Defensive Rebound.
BYU,Loyola Marymount,8,10,4,4,0,Stefan Jovanovic Turnover.
BYU,Loyola Marymount,8,10,4,4,0,Foul on Stefan Jovanovic.
BYU,Loyola Marymount,8,10,4,4,0,Official TV Timeout
BYU,Loyola Marymount,10,10,4,19,1,Eric Mika made Layup.
BYU,Loyola Marymount,10,10,4,49,0,Foul on TJ Haws.
BYU,Loyola Marymount,10,11,4,49,1,Mattias Markusson made Free Throw.
BYU,Loyola Marymount,10,11,4,49,0,Mattias Markusson missed Free Throw.
BYU,Loyola Marymount,10,11,4,49,0,Eric Mika Defensive Rebound.
BYU,Loyola Marymount,10,11,5,4,0,Eric Mika missed Layup.
BYU,Loyola Marymount,10,11,5,4,0,Kelvin Amayo Block.
BYU,Loyola Marymount,10,11,5,6,0,Buay Tuach Defensive Rebound.
BYU,Loyola Marymount,10,14,5,10,1,Buay Tuach made Three Point Jumper. Assisted by Brandon Brown.
BYU,Loyola Marymount,10,14,5,19,0,Nick Emery missed Three Point Jumper.
BYU,Loyola Marymount,10,14,5,19,0,Buay Tuach Defensive Rebound.
BYU,Loyola Marymount,10,16,5,33,1,Buay Tuach made Layup.
BYU,Loyola Marymount,10,16,5,36,0,BYU  Timeout
BYU,Loyola Marymount,13,16,5,48,1,Nick Emery made Three Point Jumper. Assisted by Steven Beo.
BYU,Loyola Marymount,13,16,6,16,0,Buay Tuach missed Layup.
BYU,Loyola Marymount,13,16,6,16,0,Eric Mika Defensive Rebound.
BYU,Loyola Marymount,13,16,6,25,0,Eric Mika missed Dunk.
BYU,Loyola Marymount,13,16,6,25,0,Braiden Shaw Offensive Rebound.
BYU,Loyola Marymount,13,16,6,27,0,Foul on Trevor Manuel.
BYU,Loyola Marymount,13,16,6,27,0,Braiden Shaw missed Free Throw.
BYU,Loyola Marymount,13,16,6,27,0,BYU Deadball Team Rebound.
BYU,Loyola Marymount,14,16,6,27,1,Braiden Shaw made Free Throw.
BYU,Loyola Marymount,14,16,6,35,0,Brandon Brown missed Jumper.
BYU,Loyola Marymount,14,16,6,35,0,Trevor Manuel Offensive Rebound.
BYU,Loyola Marymount,14,18,6,38,1,Trevor Manuel made Layup.
BYU,Loyola Marymount,16,18,6,53,1,TJ Haws made Jumper.
BYU,Loyola Marymount,16,18,7,1,0,Foul on Nick Emery.
BYU,Loyola Marymount,16,20,7,18,1,Mattias Markusson made Layup. Assisted by Buay Tuach.
BYU,Loyola Marymount,16,20,7,38,0,Jamal Aytes missed Layup.
BYU,Loyola Marymount,16,20,7,38,0,Mattias Markusson Block.
BYU,Loyola Marymount,16,20,7,39,0,BYU Offensive Rebound.
BYU,Loyola Marymount,16,20,7,41,0,Jamal Aytes missed Layup.
BYU,Loyola Marymount,16,20,7,41,0,Trevor Manuel Defensive Rebound.
BYU,Loyola Marymount,16,20,7,48,0,Buay Tuach missed Dunk.
BYU,Loyola Marymount,16,20,7,48,0,Brandon Brown Offensive Rebound.
BYU,Loyola Marymount,16,20,8,3,0,Kelvin Amayo Turnover.
BYU,Loyola Marymount,16,20,8,3,0,Official TV Timeout
BYU,Loyola Marymount,16,20,8,20,0,TJ Haws missed Three Point Jumper.
BYU,Loyola Marymount,16,20,8,20,0,Loyola Marymount Defensive Rebound.
BYU,Loyola Marymount,16,20,8,39,0,Foul on Braiden Shaw.
BYU,Loyola Marymount,16,20,8,39,0,Shamar Johnson missed Free Throw.
BYU,Loyola Marymount,16,20,8,39,0,Loyola Marymount Deadball Team Rebound.
BYU,Loyola Marymount,16,20,8,39,0,Shamar Johnson missed Free Throw.
BYU,Loyola Marymount,16,20,8,39,0,L.J. Rose Defensive Rebound.
BYU,Loyola Marymount,16,20,8,49,0,Foul on Mattias Markusson.
BYU,Loyola Marymount,16,20,8,52,0,Eric Mika missed Layup.
BYU,Loyola Marymount,16,20,8,52,0,Trevor Manuel Defensive Rebound.
BYU,Loyola Marymount,16,20,9,19,0,Steven Haney missed Three Point Jumper.
BYU,Loyola Marymount,16,20,9,19,0,Loyola Marymount Offensive Rebound.
BYU,Loyola Marymount,16,20,9,44,0,Trevor Manuel Turnover.
BYU,Loyola Marymount,16,20,9,55,0,L.J. Rose missed Layup.
BYU,Loyola Marymount,16,20,9,55,0,Yoeli Childs Offensive Rebound.
BYU,Loyola Marymount,16,20,9,56,0,Foul on Munis Tutu.
BYU,Loyola Marymount,17,20,9,56,1,Yoeli Childs made Free Throw.
BYU,Loyola Marymount,17,20,9,56,0,Yoeli Childs missed Free Throw.
BYU,Loyola Marymount,17,20,9,56,0,Mattias Markusson Defensive Rebound.
BYU,Loyola Marymount,17,23,10,14,1,Munis Tutu made Three Point Jumper. Assisted by Shamar Johnson.
BYU,Loyola Marymount,17,23,10,28,0,Eric Mika missed Jumper.
BYU,Loyola Marymount,17,23,10,28,0,Yoeli Childs Offensive Rebound.
BYU,Loyola Marymount,20,23,10,31,1,Nick Emery made Three Point Jumper. Assisted by Yoeli Childs.
BYU,Loyola Marymount,20,23,10,47,0,Munis Tutu missed Jumper.
BYU,Loyola Marymount,20,23,10,47,0,Eric Mika Defensive Rebound.
BYU,Loyola Marymount,20,23,11,2,0,Eric Mika Turnover.
BYU,Loyola Marymount,20,23,11,2,0,Foul on Eric Mika.
BYU,Loyola Marymount,20,26,11,30,1,Trevor Manuel made Three Point Jumper. Assisted by Kelvin Amayo.
BYU,Loyola Marymount,20,26,11,41,0,Nick Emery missed Three Point Jumper.
BYU,Loyola Marymount,20,26,11,41,0,Kelvin Amayo Defensive Rebound.
BYU,Loyola Marymount,20,26,11,48,0,Foul on Steven Beo.
BYU,Loyola Marymount,20,29,12,0,1,Steven Haney made Three Point Jumper. Assisted by Munis Tutu.
BYU,Loyola Marymount,20,29,12,17,0,Yoeli Childs Turnover.
BYU,Loyola Marymount,20,29,12,17,0,Foul on Yoeli Childs.
BYU,Loyola Marymount,20,29,12,17,0,Official TV Timeout
BYU,Loyola Marymount,20,31,12,22,1,Steven Haney made Jumper. Assisted by Munis Tutu.
BYU,Loyola Marymount,20,31,12,51,0,Nick Emery missed Three Point Jumper.
BYU,Loyola Marymount,20,31,12,51,0,Kelvin Amayo Defensive Rebound.
BYU,Loyola Marymount,20,31,13,0,0,Foul on Nick Emery.
BYU,Loyola Marymount,20,32,13,6,1,Munis Tutu made Free Throw.
BYU,Loyola Marymount,20,33,13,6,1,Munis Tutu made Free Throw.
BYU,Loyola Marymount,22,33,13,26,1,L.J. Rose made Jumper. Assisted by Braiden Shaw.
BYU,Loyola Marymount,22,33,13,56,0,Steven Haney missed Jumper.
BYU,Loyola Marymount,22,33,13,56,0,BYU Defensive Rebound.
BYU,Loyola Marymount,22,33,14,8,0,Foul on Petr Herman.
BYU,Loyola Marymount,22,33,14,8,0,Eric Mika missed Free Throw.
BYU,Loyola Marymount,22,33,14,8,0,Kelvin Amayo Defensive Rebound.
BYU,Loyola Marymount,22,33,14,24,0,Buay Tuach Turnover.
BYU,Loyola Marymount,22,33,14,41,0,Eric Mika missed Jumper.
BYU,Loyola Marymount,22,33,14,41,0,Brandon Brown Defensive Rebound.
BYU,Loyola Marymount,22,35,14,51,1,Brandon Brown made Jumper.
BYU,Loyola Marymount,22,35,15,6,0,Eric Mika missed Layup.
BYU,Loyola Marymount,22,35,15,6,0,Kelvin Amayo Block.
BYU,Loyola Marymount,22,35,15,9,0,Shamar Johnson Defensive Rebound.
BYU,Loyola Marymount,22,35,15,9,0,Foul on Eric Mika.
BYU,Loyola Marymount,22,35,15,9,0,Shamar Johnson missed Free Throw.
BYU,Loyola Marymount,22,35,15,9,0,Braiden Shaw Defensive Rebound.
BYU,Loyola Marymount,22,35,15,9,0,L.J. Rose missed Jumper.
BYU,Loyola Marymount,22,35,15,9,0,BYU Deadball Team Rebound.
BYU,Loyola Marymount,22,35,15,17,0,Foul on Buay Tuach.
BYU,Loyola Marymount,23,35,15,21,1,Braiden Shaw made Free Throw.
BYU,Loyola Marymount,23,35,15,21,0,Braiden Shaw missed Free Throw.
BYU,Loyola Marymount,23,35,15,21,0,Shamar Johnson Defensive Rebound.
BYU,Loyola Marymount,23,35,15,33,0,Trevor Manuel Turnover.
BYU,Loyola Marymount,23,35,15,38,0,TJ Haws Turnover.
BYU,Loyola Marymount,23,35,15,46,0,Shamar Johnson missed Layup.
BYU,Loyola Marymount,23,35,15,46,0,Payton Dastrup Defensive Rebound.
BYU,Loyola Marymount,23,35,15,58,0,Payton Dastrup missed Three Point Jumper.
BYU,Loyola Marymount,23,35,15,58,0,Loyola Marymount Defensive Rebound.
BYU,Loyola Marymount,23,35,16,0,0,Loyola Marymount  Timeout
BYU,Loyola Marymount,23,35,16,0,0,Official TV Timeout
BYU,Loyola Marymount,23,37,16,15,1,Kelvin Amayo made Layup. Assisted by Shamar Johnson.
BYU,Loyola Marymount,23,37,16,20,0,Braiden Shaw Turnover.
BYU,Loyola Marymount,23,37,16,21,0,Brandon Brown Steal.
BYU,Loyola Marymount,23,37,16,33,0,Brandon Brown missed Layup.
BYU,Loyola Marymount,23,37,16,33,0,Payton Dastrup Block.
BYU,Loyola Marymount,23,37,16,34,0,Loyola Marymount Offensive Rebound.
BYU,Loyola Marymount,23,37,16,45,0,Kelvin Amayo missed Layup.
BYU,Loyola Marymount,23,37,16,45,0,Trevor Manuel Offensive Rebound.
BYU,Loyola Marymount,23,39,16,47,1,Trevor Manuel made Layup.
BYU,Loyola Marymount,23,39,16,51,0,L.J. Rose Turnover.
BYU,Loyola Marymount,23,39,16,51,0,Foul on L.J. Rose.
BYU,Loyola Marymount,23,39,17,5,0,Brandon Brown missed Three Point Jumper.
BYU,Loyola Marymount,23,39,17,5,0,Shamar Johnson Offensive Rebound.
BYU,Loyola Marymount,23,39,17,8,0,Foul on Payton Dastrup.
BYU,Loyola Marymount,23,39,17,8,0,Shamar Johnson missed Free Throw.
BYU,Loyola Marymount,23,39,17,8,0,Loyola Marymount Deadball Team Rebound.
BYU,Loyola Marymount,23,39,17,8,0,Shamar Johnson missed Free Throw.
BYU,Loyola Marymount,23,39,17,8,0,Kelvin Amayo Offensive Rebound.
BYU,Loyola Marymount,23,41,17,28,1,Kelvin Amayo made Layup. Assisted by Munis Tutu.
BYU,Loyola Marymount,26,41,17,41,1,TJ Haws made Three Point Jumper. Assisted by Payton Dastrup.
BYU,Loyola Marymount,26,43,18,4,1,Shamar Johnson made Layup.
BYU,Loyola Marymount,26,43,18,19,0,Foul on Kelvin Amayo.
BYU,Loyola Marymount,27,43,18,19,1,Yoeli Childs made Free Throw.
BYU,Loyola Marymount,27,43,18,19,0,Yoeli Childs missed Free Throw.
BYU,Loyola Marymount,27,43,18,19,0,Steven Haney Defensive Rebound.
