Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
Maine,New Hampshire,0,0,0,23,0,Andrew Fleming missed Jumper.
Maine,New Hampshire,0,0,0,23,0,Iba Camara Defensive Rebound.
Maine,New Hampshire,0,0,0,35,0,Jaleen Smith missed Three Point Jumper.
Maine,New Hampshire,0,0,0,35,0,Maine Defensive Rebound.
Maine,New Hampshire,0,0,0,53,0,Vincent Eze missed Jumper.
Maine,New Hampshire,0,0,0,53,0,Iba Camara Defensive Rebound.
Maine,New Hampshire,0,0,1,8,0,Daniel Dion missed Three Point Jumper.
Maine,New Hampshire,0,0,1,8,0,Vincent Eze Defensive Rebound.
Maine,New Hampshire,0,0,1,26,0,Vincent Eze missed Jumper.
Maine,New Hampshire,0,0,1,26,0,Iba Camara Defensive Rebound.
Maine,New Hampshire,0,0,1,39,0,Tanner Leissner missed Jumper.
Maine,New Hampshire,0,0,1,39,0,Vincent Eze Defensive Rebound.
Maine,New Hampshire,3,0,2,5,1,Danny Evans made Three Point Jumper. Assisted by Ryan Bernstein.
Maine,New Hampshire,3,2,2,34,1,Tanner Leissner made Jumper. Assisted by Daniel Dion.
Maine,New Hampshire,3,2,3,4,0,Ryan Bernstein missed Three Point Jumper.
Maine,New Hampshire,3,2,3,4,0,Jaleen Smith Defensive Rebound.
Maine,New Hampshire,3,2,3,13,0,Jordan Reed missed Three Point Jumper.
Maine,New Hampshire,3,2,3,13,0,Ryan Bernstein Defensive Rebound.
Maine,New Hampshire,3,2,3,45,0,Foul on Tanner Leissner.
Maine,New Hampshire,4,2,3,45,1,Vincent Eze made Free Throw.
Maine,New Hampshire,5,2,3,45,1,Vincent Eze made Free Throw.
Maine,New Hampshire,5,4,3,58,1,Iba Camara made Layup. Assisted by Jordan Reed.
Maine,New Hampshire,5,4,3,58,0,Foul on Andrew Fleming.
Maine,New Hampshire,5,5,3,58,1,Iba Camara made Free Throw.
Maine,New Hampshire,5,5,4,17,0,Danny Evans missed Jumper.
Maine,New Hampshire,5,5,4,17,0,Iba Camara Defensive Rebound.
Maine,New Hampshire,5,5,4,25,0,Daniel Dion missed Three Point Jumper.
Maine,New Hampshire,5,5,4,25,0,Iba Camara Offensive Rebound.
Maine,New Hampshire,5,5,4,31,0,Tanner Leissner missed Three Point Jumper.
Maine,New Hampshire,5,5,4,31,0,Austin Howard Defensive Rebound.
Maine,New Hampshire,5,5,4,53,0,Andrew Fleming missed Three Point Jumper.
Maine,New Hampshire,5,5,4,53,0,Danny Evans Offensive Rebound.
Maine,New Hampshire,5,5,4,59,0,Austin Howard missed Three Point Jumper.
Maine,New Hampshire,5,5,4,59,0,New Hampshire Defensive Rebound.
Maine,New Hampshire,5,5,5,2,0,Official TV Timeout
Maine,New Hampshire,5,5,5,24,0,Daniel Dion Turnover.
Maine,New Hampshire,5,5,5,34,0,Andrew Fleming missed Jumper.
Maine,New Hampshire,5,5,5,34,0,Jaleen Smith Defensive Rebound.
Maine,New Hampshire,5,7,5,46,1,Iba Camara made Jumper. Assisted by Daniel Dion.
Maine,New Hampshire,7,7,6,20,1,Danny Evans made Layup.
Maine,New Hampshire,7,7,6,45,0,Jaleen Smith missed Three Point Jumper.
Maine,New Hampshire,7,7,6,45,0,New Hampshire Offensive Rebound.
Maine,New Hampshire,7,7,6,54,0,Foul on Vincent Eze.
Maine,New Hampshire,7,8,6,54,1,Jaleen Smith made Free Throw.
Maine,New Hampshire,7,9,6,54,1,Jaleen Smith made Free Throw.
Maine,New Hampshire,9,9,6,54,1,Vincent Eze made Jumper.
Maine,New Hampshire,9,9,7,34,0,Foul on Austin Howard.
Maine,New Hampshire,9,10,7,34,1,Jaleen Smith made Free Throw.
Maine,New Hampshire,9,11,7,34,1,Jaleen Smith made Free Throw.
Maine,New Hampshire,9,11,7,52,0,Danny Evans missed Jumper.
Maine,New Hampshire,9,11,7,52,0,Dennis Ashley Offensive Rebound.
Maine,New Hampshire,9,11,7,57,0,Ryan Bernstein missed Three Point Jumper.
Maine,New Hampshire,9,11,7,57,0,John Ogwuche Defensive Rebound.
Maine,New Hampshire,9,13,8,12,1,Tanner Leissner made Jumper. Assisted by Jaleen Smith.
Maine,New Hampshire,11,13,8,41,1,Andrew Fleming made Jumper.
Maine,New Hampshire,11,13,8,48,0,Foul on Vincent Eze.
Maine,New Hampshire,11,13,8,48,0,Official TV Timeout
Maine,New Hampshire,11,13,8,57,0,Foul on Danny Evans.
Maine,New Hampshire,11,13,9,2,0,Tanner Leissner Turnover.
Maine,New Hampshire,11,13,9,16,0,Andrew Fleming Turnover.
Maine,New Hampshire,11,13,9,24,0,John Ogwuche missed Jumper.
Maine,New Hampshire,11,13,9,24,0,Keon Burns Offensive Rebound.
Maine,New Hampshire,11,13,9,36,0,Keon Burns missed Three Point Jumper.
Maine,New Hampshire,11,13,9,36,0,John Ogwuche Offensive Rebound.
Maine,New Hampshire,11,13,9,41,0,Daniel Dion missed Three Point Jumper.
Maine,New Hampshire,11,13,9,41,0,Danny Evans Defensive Rebound.
Maine,New Hampshire,11,13,10,2,0,Andrew Fleming Turnover.
Maine,New Hampshire,11,13,10,3,0,Daniel Dion Steal.
Maine,New Hampshire,11,15,10,7,1,Jaleen Smith made Layup. Assisted by John Ogwuche.
Maine,New Hampshire,11,15,10,23,0,Foul on Tanner Leissner.
Maine,New Hampshire,12,15,10,23,1,Andrew Fleming made Free Throw.
Maine,New Hampshire,13,15,10,23,1,Andrew Fleming made Free Throw.
Maine,New Hampshire,13,15,10,48,0,Keon Burns Turnover.
Maine,New Hampshire,13,15,11,2,0,Foul on Iba Camara.
Maine,New Hampshire,13,15,11,6,0,Dennis Ashley missed Jumper.
Maine,New Hampshire,13,15,11,6,0,Iba Camara Defensive Rebound.
Maine,New Hampshire,13,15,11,21,0,Kijana Love missed Three Point Jumper.
Maine,New Hampshire,13,15,11,21,0,Ryan Bernstein Defensive Rebound.
Maine,New Hampshire,13,15,11,30,0,Ryan Bernstein missed Layup.
Maine,New Hampshire,13,15,11,30,0,Kijana Love Block.
Maine,New Hampshire,13,15,11,33,0,Jaleen Smith Defensive Rebound.
Maine,New Hampshire,13,17,11,40,1,Jaleen Smith made Layup. Assisted by Keon Burns.
Maine,New Hampshire,15,17,12,1,1,Andrew Fleming made Layup. Assisted by Ryan Bernstein.
Maine,New Hampshire,15,17,12,30,0,Kijana Love missed Layup.
Maine,New Hampshire,15,17,12,30,0,Iba Camara Offensive Rebound.
Maine,New Hampshire,15,17,12,47,0,Keon Burns missed Three Point Jumper.
Maine,New Hampshire,15,17,12,47,0,Iba Camara Offensive Rebound.
Maine,New Hampshire,15,17,13,10,0,Daniel Dion missed Three Point Jumper.
Maine,New Hampshire,15,17,13,10,0,Ryan Bernstein Defensive Rebound.
Maine,New Hampshire,15,17,13,44,0,Danny Evans missed Three Point Jumper.
Maine,New Hampshire,15,17,13,44,0,Kijana Love Defensive Rebound.
Maine,New Hampshire,15,17,14,4,0,Jaleen Smith missed Layup.
Maine,New Hampshire,15,17,14,4,0,Iba Camara Offensive Rebound.
Maine,New Hampshire,15,17,14,6,0,Foul on Austin Howard.
Maine,New Hampshire,15,17,14,6,0,Official TV Timeout
Maine,New Hampshire,15,17,14,6,0,Iba Camara missed Free Throw.
Maine,New Hampshire,15,17,14,6,0,New Hampshire Deadball Team Rebound.
Maine,New Hampshire,15,18,14,6,1,Iba Camara made Free Throw.
Maine,New Hampshire,15,18,14,24,0,Dennis Ashley missed Jumper.
Maine,New Hampshire,15,18,14,24,0,Kijana Love Defensive Rebound.
Maine,New Hampshire,15,21,14,35,1,Kijana Love made Three Point Jumper. Assisted by Daniel Dion.
Maine,New Hampshire,17,21,15,0,1,Vincent Eze made Layup. Assisted by Garvey Melmed.
Maine,New Hampshire,17,21,15,21,0,Daniel Dion Turnover.
Maine,New Hampshire,17,21,15,24,0,Garvey Melmed Steal.
Maine,New Hampshire,19,21,15,49,1,Vincent Eze made Layup. Assisted by Ryan Bernstein.
Maine,New Hampshire,19,23,16,12,1,Jaleen Smith made Jumper.
Maine,New Hampshire,19,23,16,39,0,Dennis Ashley missed Three Point Jumper.
Maine,New Hampshire,19,23,16,39,0,Daniel Dion Defensive Rebound.
Maine,New Hampshire,19,23,16,47,0,Daniel Dion missed Three Point Jumper.
Maine,New Hampshire,19,23,16,47,0,Tanner Leissner Offensive Rebound.
Maine,New Hampshire,19,25,16,51,1,Tanner Leissner made Layup.
Maine,New Hampshire,19,25,17,3,0,Maine  Timeout
Maine,New Hampshire,19,25,17,3,0,Official TV Timeout
Maine,New Hampshire,19,25,17,21,0,Andrew Fleming missed Layup.
Maine,New Hampshire,19,25,17,21,0,Keon Burns Defensive Rebound.
Maine,New Hampshire,19,25,17,27,0,Kijana Love Turnover.
Maine,New Hampshire,19,25,17,43,0,Danny Evans Turnover.
Maine,New Hampshire,19,28,17,55,1,Jordan Reed made Three Point Jumper. Assisted by Jaleen Smith.
Maine,New Hampshire,19,28,18,26,0,Ryan Bernstein Turnover.
Maine,New Hampshire,19,28,18,27,0,Jaleen Smith Steal.
Maine,New Hampshire,19,31,18,31,1,Kijana Love made Three Point Jumper. Assisted by Jaleen Smith.
Maine,New Hampshire,19,31,18,34,0,Maine  Timeout
Maine,New Hampshire,19,31,18,50,0,Dennis Ashley missed Layup.
Maine,New Hampshire,19,31,18,50,0,Keon Burns Defensive Rebound.
Maine,New Hampshire,19,33,19,10,1,Keon Burns made Jumper. Assisted by Jaleen Smith.
Maine,New Hampshire,19,33,19,43,0,Andrew Fleming Turnover.
Maine,New Hampshire,19,33,19,44,0,New Hampshire  Timeout
Maine,New Hampshire,19,35,19,55,1,Jaleen Smith made Layup.
Maine,New Hampshire,19,35,20,0,0,End of 1st half
Maine,New Hampshire,19,35,20,22,0,Kijana Love missed Three Point Jumper.
Maine,New Hampshire,19,35,20,22,0,Iba Camara Offensive Rebound.
Maine,New Hampshire,19,35,20,27,0,Tanner Leissner missed Layup.
Maine,New Hampshire,19,35,20,27,0,Jordan Reed Offensive Rebound.
Maine,New Hampshire,19,38,20,45,1,Jaleen Smith made Three Point Jumper.
Maine,New Hampshire,19,38,21,4,0,Andrew Fleming missed Jumper.
Maine,New Hampshire,19,38,21,4,0,Tanner Leissner Defensive Rebound.
Maine,New Hampshire,19,38,21,22,0,Jordan Reed missed Three Point Jumper.
