Away Team,Home Team,Away Score, Home Score,Minute,Second,isScoringPosession,Desc.
West Virginia Wesleyan,Marshall,0,0,0,14,0,Luke Layhew missed Layup.
West Virginia Wesleyan,Marshall,0,0,0,14,0,Jon Elmore Defensive Rebound.
West Virginia Wesleyan,Marshall,0,2,0,25,1,Aleksa Nikolic made Layup.
West Virginia Wesleyan,Marshall,0,2,0,45,0,Kevin Kangni missed Three Point Jumper.
West Virginia Wesleyan,Marshall,0,2,0,45,0,Jon Elmore Defensive Rebound.
West Virginia Wesleyan,Marshall,0,2,0,52,0,Austin Loop missed Three Point Jumper.
West Virginia Wesleyan,Marshall,0,2,0,52,0,Kevin Kangni Defensive Rebound.
West Virginia Wesleyan,Marshall,0,2,1,9,0,Mo Berchie missed Jumper.
West Virginia Wesleyan,Marshall,0,2,1,9,0,Jon Elmore Defensive Rebound.
West Virginia Wesleyan,Marshall,0,4,1,19,1,Stevie Browning made Jumper.
West Virginia Wesleyan,Marshall,0,4,1,52,0,Kevin Kangni missed Jumper.
West Virginia Wesleyan,Marshall,0,4,1,52,0,Jon Elmore Defensive Rebound.
West Virginia Wesleyan,Marshall,0,4,1,58,0,Jon Elmore missed Three Point Jumper.
West Virginia Wesleyan,Marshall,0,4,1,58,0,Clay Todd Defensive Rebound.
West Virginia Wesleyan,Marshall,0,4,2,13,0,Luke Layhew missed Layup.
West Virginia Wesleyan,Marshall,0,4,2,13,0,Jon Elmore Defensive Rebound.
West Virginia Wesleyan,Marshall,0,4,2,26,0,Foul on Mo Berchie.
West Virginia Wesleyan,Marshall,0,6,2,28,1,Stevie Browning made Jumper. Assisted by Jon Elmore.
West Virginia Wesleyan,Marshall,0,6,3,0,0,Fred Brondsted missed Three Point Jumper.
West Virginia Wesleyan,Marshall,0,6,3,0,0,Aleksa Nikolic Defensive Rebound.
West Virginia Wesleyan,Marshall,0,6,3,7,0,Austin Loop missed Three Point Jumper.
West Virginia Wesleyan,Marshall,0,6,3,7,0,Mo Berchie Defensive Rebound.
West Virginia Wesleyan,Marshall,0,6,3,14,0,Mo Berchie missed Layup.
West Virginia Wesleyan,Marshall,0,6,3,14,0,Aleksa Nikolic Block.
West Virginia Wesleyan,Marshall,0,6,3,16,0,Ajdin Penava Defensive Rebound.
West Virginia Wesleyan,Marshall,0,6,3,22,0,Aleksa Nikolic missed Layup.
West Virginia Wesleyan,Marshall,0,6,3,22,0,Luke Layhew Defensive Rebound.
West Virginia Wesleyan,Marshall,0,6,3,35,0,Foul on Aleksa Nikolic.
West Virginia Wesleyan,Marshall,0,6,3,35,0,Luke Layhew missed Free Throw.
West Virginia Wesleyan,Marshall,0,6,3,35,0,West Virginia Wesleyan Deadball Team Rebound.
West Virginia Wesleyan,Marshall,1,6,3,35,1,Luke Layhew made Free Throw.
West Virginia Wesleyan,Marshall,1,6,3,40,0,Landon Todd missed Layup.
West Virginia Wesleyan,Marshall,1,6,3,40,0,Fred Brondsted Offensive Rebound.
West Virginia Wesleyan,Marshall,1,6,3,50,0,Jalen Melvin missed Jumper.
West Virginia Wesleyan,Marshall,1,6,3,50,0,Aleksa Nikolic Defensive Rebound.
West Virginia Wesleyan,Marshall,1,6,4,11,0,Foul on Ajdin Penava.
West Virginia Wesleyan,Marshall,1,6,4,11,0,Official TV Timeout
West Virginia Wesleyan,Marshall,1,6,4,27,0,Jalen Melvin missed Layup.
West Virginia Wesleyan,Marshall,1,6,4,27,0,Aleksa Nikolic Defensive Rebound.
West Virginia Wesleyan,Marshall,1,6,4,30,0,Foul on Luka Petrovic.
West Virginia Wesleyan,Marshall,1,6,4,40,0,C.J. Burks Turnover.
West Virginia Wesleyan,Marshall,1,6,4,41,0,Clay Todd Steal.
West Virginia Wesleyan,Marshall,1,6,4,44,0,Foul on Jon Elmore.
West Virginia Wesleyan,Marshall,1,6,4,44,0,Quin Nottingham missed Free Throw.
West Virginia Wesleyan,Marshall,1,6,4,44,0,West Virginia Wesleyan Deadball Team Rebound.
West Virginia Wesleyan,Marshall,2,6,4,44,1,Quin Nottingham made Free Throw.
West Virginia Wesleyan,Marshall,2,6,5,4,0,Stevie Browning missed Jumper.
West Virginia Wesleyan,Marshall,2,6,5,4,0,Quin Nottingham Defensive Rebound.
West Virginia Wesleyan,Marshall,2,6,5,26,0,Luka Petrovic Turnover.
West Virginia Wesleyan,Marshall,2,6,5,27,0,Stevie Browning Steal.
West Virginia Wesleyan,Marshall,2,8,5,29,1,Aleksa Nikolic made Dunk. Assisted by Stevie Browning.
West Virginia Wesleyan,Marshall,2,8,5,52,0,Quin Nottingham Turnover.
West Virginia Wesleyan,Marshall,2,8,5,53,0,Jon Elmore Steal.
West Virginia Wesleyan,Marshall,2,10,5,56,1,C.J. Burks made Dunk. Assisted by Jon Elmore.
West Virginia Wesleyan,Marshall,2,10,5,59,0,West Virginia Wesleyan  Timeout
West Virginia Wesleyan,Marshall,2,10,6,22,0,Mo Berchie missed Jumper.
West Virginia Wesleyan,Marshall,2,10,6,22,0,C.J. Burks Defensive Rebound.
West Virginia Wesleyan,Marshall,2,13,6,28,1,Jon Elmore made Three Point Jumper. Assisted by C.J. Burks.
West Virginia Wesleyan,Marshall,2,13,6,42,0,Foul on Christian Thieneman.
West Virginia Wesleyan,Marshall,2,13,7,5,0,Fred Brondsted missed Three Point Jumper.
West Virginia Wesleyan,Marshall,2,13,7,5,0,Marshall Defensive Rebound.
West Virginia Wesleyan,Marshall,2,13,7,19,0,Foul on Quin Nottingham.
West Virginia Wesleyan,Marshall,2,13,7,25,0,Aleksa Nikolic Turnover.
West Virginia Wesleyan,Marshall,2,13,7,26,0,Nick Brooks Steal.
West Virginia Wesleyan,Marshall,4,13,7,29,1,Kevin Kangni made Layup.
West Virginia Wesleyan,Marshall,4,13,7,43,0,Austin Loop missed Three Point Jumper.
West Virginia Wesleyan,Marshall,4,13,7,43,0,Mo Berchie Defensive Rebound.
West Virginia Wesleyan,Marshall,4,13,7,50,0,Fred Brondsted Turnover.
West Virginia Wesleyan,Marshall,4,16,8,0,1,C.J. Burks made Three Point Jumper. Assisted by Phil Bledsoe.
West Virginia Wesleyan,Marshall,4,16,8,24,0,Clay Todd Turnover.
West Virginia Wesleyan,Marshall,4,16,8,24,0,Official TV Timeout
West Virginia Wesleyan,Marshall,4,18,8,37,1,C.J. Burks made Layup.
West Virginia Wesleyan,Marshall,4,18,9,4,0,Kevin Kangni missed Three Point Jumper.
West Virginia Wesleyan,Marshall,4,18,9,4,0,Christian Thieneman Defensive Rebound.
West Virginia Wesleyan,Marshall,4,21,9,17,1,Christian Thieneman made Three Point Jumper. Assisted by Milan Mijovic.
West Virginia Wesleyan,Marshall,4,21,9,37,0,Nick Brooks missed Jumper.
West Virginia Wesleyan,Marshall,4,21,9,37,0,Milan Mijovic Block.
West Virginia Wesleyan,Marshall,4,21,9,39,0,Austin Loop Defensive Rebound.
West Virginia Wesleyan,Marshall,4,21,9,44,0,C.J. Burks missed Three Point Jumper.
West Virginia Wesleyan,Marshall,4,21,9,44,0,Clay Todd Defensive Rebound.
West Virginia Wesleyan,Marshall,6,21,9,51,1,Luke Layhew made Layup. Assisted by Fred Brondsted.
West Virginia Wesleyan,Marshall,6,23,10,11,1,Milan Mijovic made Layup. Assisted by C.J. Burks.
West Virginia Wesleyan,Marshall,6,23,10,28,0,Foul on C.J. Burks.
West Virginia Wesleyan,Marshall,6,23,10,37,0,Mo Berchie missed Three Point Jumper.
West Virginia Wesleyan,Marshall,6,23,10,37,0,Jalen Melvin Offensive Rebound.
West Virginia Wesleyan,Marshall,6,23,10,39,0,Foul on Milan Mijovic.
West Virginia Wesleyan,Marshall,6,23,10,45,0,Clay Todd missed Three Point Jumper.
West Virginia Wesleyan,Marshall,6,23,10,45,0,Mo Berchie Offensive Rebound.
West Virginia Wesleyan,Marshall,6,23,11,6,0,Quin Nottingham missed Jumper.
West Virginia Wesleyan,Marshall,6,23,11,6,0,Phil Bledsoe Defensive Rebound.
West Virginia Wesleyan,Marshall,6,23,11,13,0,Christian Thieneman missed Three Point Jumper.
West Virginia Wesleyan,Marshall,6,23,11,13,0,Clay Todd Defensive Rebound.
West Virginia Wesleyan,Marshall,9,23,11,40,1,Fred Brondsted made Three Point Jumper. Assisted by Mo Berchie.
West Virginia Wesleyan,Marshall,9,26,12,1,1,Phil Bledsoe made Three Point Jumper. Assisted by Austin Loop.
West Virginia Wesleyan,Marshall,9,26,12,27,0,Foul on Clay Todd.
West Virginia Wesleyan,Marshall,9,26,12,27,0,Clay Todd Turnover.
West Virginia Wesleyan,Marshall,9,26,12,27,0,Official TV Timeout
West Virginia Wesleyan,Marshall,9,28,12,38,1,Ajdin Penava made Layup. Assisted by Stevie Browning.
West Virginia Wesleyan,Marshall,9,28,12,38,0,Foul on Jalen Melvin.
West Virginia Wesleyan,Marshall,9,29,12,38,1,Ajdin Penava made Free Throw.
West Virginia Wesleyan,Marshall,9,29,13,1,0,Jalen Melvin missed Layup.
West Virginia Wesleyan,Marshall,9,29,13,1,0,Ajdin Penava Defensive Rebound.
West Virginia Wesleyan,Marshall,9,29,13,14,0,Jon Elmore missed Three Point Jumper.
West Virginia Wesleyan,Marshall,9,29,13,14,0,Clay Todd Defensive Rebound.
West Virginia Wesleyan,Marshall,9,29,13,43,0,Quin Nottingham Turnover.
West Virginia Wesleyan,Marshall,9,29,13,44,0,Ajdin Penava Steal.
West Virginia Wesleyan,Marshall,9,31,13,48,1,Stevie Browning made Layup. Assisted by C.J. Burks.
West Virginia Wesleyan,Marshall,9,31,14,11,0,Jalen Melvin Turnover.
West Virginia Wesleyan,Marshall,9,31,14,11,0,Jon Elmore Steal.
West Virginia Wesleyan,Marshall,9,31,14,11,0,Foul on Mo Berchie.
West Virginia Wesleyan,Marshall,9,33,14,13,1,Stevie Browning made Layup.
West Virginia Wesleyan,Marshall,11,33,14,34,1,Luke Layhew made Layup.
West Virginia Wesleyan,Marshall,11,33,14,42,0,Austin Loop missed Three Point Jumper.
West Virginia Wesleyan,Marshall,11,33,14,42,0,Kevin Kangni Defensive Rebound.
West Virginia Wesleyan,Marshall,11,33,14,52,0,Mo Berchie missed Jumper.
West Virginia Wesleyan,Marshall,11,33,14,52,0,Ajdin Penava Defensive Rebound.
West Virginia Wesleyan,Marshall,11,33,14,59,0,Stevie Browning Turnover.
West Virginia Wesleyan,Marshall,11,33,15,0,0,Mo Berchie Steal.
West Virginia Wesleyan,Marshall,11,33,15,7,0,Foul on Stevie Browning.
West Virginia Wesleyan,Marshall,12,33,15,7,1,Mo Berchie made Free Throw.
West Virginia Wesleyan,Marshall,13,33,15,7,1,Mo Berchie made Free Throw.
West Virginia Wesleyan,Marshall,13,36,15,13,1,Stevie Browning made Three Point Jumper. Assisted by Aleksa Nikolic.
West Virginia Wesleyan,Marshall,13,36,15,21,0,Foul on C.J. Burks.
West Virginia Wesleyan,Marshall,14,36,15,21,1,Quin Nottingham made Free Throw.
West Virginia Wesleyan,Marshall,15,36,15,21,1,Quin Nottingham made Free Throw.
West Virginia Wesleyan,Marshall,15,36,15,30,0,C.J. Burks missed Three Point Jumper.
West Virginia Wesleyan,Marshall,15,36,15,30,0,Kevin Kangni Defensive Rebound.
West Virginia Wesleyan,Marshall,17,36,15,45,1,Clay Todd made Jumper.
West Virginia Wesleyan,Marshall,17,36,15,54,0,Foul on Jon Elmore.
West Virginia Wesleyan,Marshall,17,36,15,54,0,Foul on Jon Elmore.
West Virginia Wesleyan,Marshall,18,36,15,54,1,Fred Brondsted made Free Throw.
West Virginia Wesleyan,Marshall,17,36,15,54,0,Jon Elmore Turnover.
West Virginia Wesleyan,Marshall,17,36,15,54,0,Technical Foul on Jon Elmore.
West Virginia Wesleyan,Marshall,19,36,15,54,1,Fred Brondsted made Free Throw.
West Virginia Wesleyan,Marshall,19,36,16,12,0,Luke Layhew missed Layup.
West Virginia Wesleyan,Marshall,19,36,16,12,0,Milan Mijovic Defensive Rebound.
West Virginia Wesleyan,Marshall,19,36,16,21,0,Foul on Quin Nottingham.
West Virginia Wesleyan,Marshall,19,36,16,21,0,Official TV Timeout
West Virginia Wesleyan,Marshall,19,37,16,21,1,Austin Loop made Free Throw.
West Virginia Wesleyan,Marshall,19,37,16,21,0,Austin Loop missed Free Throw.
West Virginia Wesleyan,Marshall,19,37,16,21,0,Clay Todd Defensive Rebound.
West Virginia Wesleyan,Marshall,19,37,16,45,0,Kevin Kangni missed Jumper.
West Virginia Wesleyan,Marshall,19,37,16,45,0,Stevie Browning Defensive Rebound.
West Virginia Wesleyan,Marshall,19,39,17,9,1,Milan Mijovic made Layup. Assisted by Aleksa Nikolic.
West Virginia Wesleyan,Marshall,19,39,17,33,0,Luke Layhew Turnover.
West Virginia Wesleyan,Marshall,19,39,17,34,0,Austin Loop Steal.
West Virginia Wesleyan,Marshall,19,39,17,40,0,Stevie Browning Turnover.
